Date,Fidelity Total Bond_Open_average,Fidelity Total Bond_Open_max,Fidelity Total Bond_Open_min,Fidelity Total Bond_Open_volatility,Fidelity Total Bond_Open_change,Fidelity Total Bond_High_average,Fidelity Total Bond_High_max,Fidelity Total Bond_High_min,Fidelity Total Bond_High_volatility,Fidelity Total Bond_High_change,Fidelity Total Bond_Low_average,Fidelity Total Bond_Low_max,Fidelity Total Bond_Low_min,Fidelity Total Bond_Low_volatility,Fidelity Total Bond_Low_change,Fidelity Total Bond_Close_average,Fidelity Total Bond_Close_max,Fidelity Total Bond_Close_min,Fidelity Total Bond_Close_volatility,Fidelity Total Bond_Close_change
2018-01-14,49.84,49.84,49.84,0.0,0.0,49.9,49.9,49.9,0.0,0.0,49.8,49.8,49.8,0.0,0.0,49.86,49.86,49.86,0.0,0.0
2018-01-21,49.79,49.79,49.79,0.0,0.0,49.79,49.79,49.79,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.7,49.7,49.7,0.0,0.0
2018-01-28,49.37,49.37,49.37,0.0,0.0,49.71,49.71,49.71,0.0,0.0,49.37,49.37,49.37,0.0,0.0,49.62,49.62,49.62,0.0,0.0
2018-02-04,48.91,48.91,48.91,0.0,0.0,49.1,49.1,49.1,0.0,0.0,48.91,48.91,48.91,0.0,0.0,49.01,49.01,49.01,0.0,0.0
2018-02-11,49.14,49.14,49.14,0.0,0.0,49.16,49.16,49.16,0.0,0.0,49.05,49.05,49.05,0.0,0.0,49.16,49.16,49.16,0.0,0.0
2018-02-18,49.03,49.03,49.03,0.0,0.0,49.16,49.16,49.16,0.0,0.0,49.03,49.03,49.03,0.0,0.0,49.11,49.11,49.11,0.0,0.0
2018-02-25,49.13,49.13,49.13,0.0,0.0,49.13,49.13,49.13,0.0,0.0,48.91,48.91,48.91,0.0,0.0,48.95,48.95,48.95,0.0,0.0
2018-03-04,49.07,49.07,49.07,0.0,0.0,49.08,49.08,49.08,0.0,0.0,49.01,49.01,49.01,0.0,0.0,49.08,49.08,49.08,0.0,0.0
2018-03-11,48.98,48.98,48.98,0.0,0.0,49.1,49.1,49.1,0.0,0.0,48.98,48.98,48.98,0.0,0.0,49.03,49.03,49.03,0.0,0.0
2018-03-18,49.1,49.1,49.1,0.0,0.0,49.14,49.14,49.14,0.0,0.0,49.01,49.01,49.01,0.0,0.0,49.01,49.01,49.01,0.0,0.0
2018-03-25,49.19,49.19,49.19,0.0,0.0,49.21,49.21,49.21,0.0,0.0,49.1,49.1,49.1,0.0,0.0,49.19,49.19,49.19,0.0,0.0
2018-04-01,49.24,49.24,49.24,0.0,0.0,49.25,49.25,49.25,0.0,0.0,49.15,49.15,49.15,0.0,0.0,49.2,49.2,49.2,0.0,0.0
2018-04-08,49.2,49.2,49.2,0.0,0.0,49.27,49.27,49.27,0.0,0.0,49.1,49.1,49.1,0.0,0.0,49.27,49.27,49.27,0.0,0.0
2018-04-15,48.78,48.78,48.78,0.0,0.0,48.84,48.84,48.84,0.0,0.0,48.75,48.75,48.75,0.0,0.0,48.77,48.77,48.77,0.0,0.0
2018-04-22,48.7,48.7,48.7,0.0,0.0,48.82,48.82,48.82,0.0,0.0,48.69,48.69,48.69,0.0,0.0,48.75,48.75,48.75,0.0,0.0
2018-04-29,48.69,48.69,48.69,0.0,0.0,48.75,48.75,48.75,0.0,0.0,48.68,48.68,48.68,0.0,0.0,48.74,48.74,48.74,0.0,0.0
2018-05-06,48.74,48.74,48.74,0.0,0.0,48.81,48.81,48.81,0.0,0.0,48.74,48.74,48.74,0.0,0.0,48.78,48.78,48.78,0.0,0.0
2018-05-13,48.6,48.6,48.6,0.0,0.0,48.62,48.62,48.62,0.0,0.0,48.52,48.52,48.52,0.0,0.0,48.58,48.58,48.58,0.0,0.0
2018-05-20,48.82,48.82,48.82,0.0,0.0,48.9,48.9,48.9,0.0,0.0,48.82,48.82,48.82,0.0,0.0,48.88,48.88,48.88,0.0,0.0
2018-05-27,48.79,48.79,48.79,0.0,0.0,48.8,48.8,48.8,0.0,0.0,48.68,48.68,48.68,0.0,0.0,48.73,48.73,48.73,0.0,0.0
2018-06-03,48.76,48.76,48.76,0.0,0.0,48.79,48.79,48.79,0.0,0.0,48.71,48.71,48.71,0.0,0.0,48.75,48.75,48.75,0.0,0.0
2018-06-10,48.85,48.85,48.85,0.0,0.0,48.87,48.87,48.87,0.0,0.0,48.78,48.78,48.78,0.0,0.0,48.82,48.82,48.82,0.0,0.0
2018-06-17,48.88,48.88,48.88,0.0,0.0,48.94,48.94,48.94,0.0,0.0,48.88,48.88,48.88,0.0,0.0,48.91,48.91,48.91,0.0,0.0
2018-06-24,48.83,48.83,48.83,0.0,0.0,48.88,48.88,48.88,0.0,0.0,48.82,48.82,48.82,0.0,0.0,48.82,48.82,48.82,0.0,0.0
2018-07-01,48.95,48.95,48.95,0.0,0.0,48.96,48.96,48.96,0.0,0.0,48.91,48.91,48.91,0.0,0.0,48.94,48.94,48.94,0.0,0.0
2018-07-08,48.9,48.9,48.9,0.0,0.0,49.05,49.05,49.05,0.0,0.0,48.9,48.9,48.9,0.0,0.0,49.03,49.03,49.03,0.0,0.0
2018-07-15,48.93,48.93,48.93,0.0,0.0,48.93,48.93,48.93,0.0,0.0,48.8,48.8,48.8,0.0,0.0,48.87,48.87,48.87,0.0,0.0
2018-07-22,48.77,48.77,48.77,0.0,0.0,48.83,48.83,48.83,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.77,48.77,48.77,0.0,0.0
2018-07-29,48.9,48.9,48.9,0.0,0.0,48.98,48.98,48.98,0.0,0.0,48.84,48.84,48.84,0.0,0.0,48.9,48.9,48.9,0.0,0.0
2018-08-05,48.9,48.9,48.9,0.0,0.0,48.96,48.96,48.96,0.0,0.0,48.86,48.86,48.86,0.0,0.0,48.93,48.93,48.93,0.0,0.0
2018-08-12,49.11,49.11,49.11,0.0,0.0,49.15,49.15,49.15,0.0,0.0,49.1,49.1,49.1,0.0,0.0,49.13,49.13,49.13,0.0,0.0
2018-08-19,49.15,49.15,49.15,0.0,0.0,49.16,49.16,49.16,0.0,0.0,49.02,49.02,49.02,0.0,0.0,49.13,49.13,49.13,0.0,0.0
2018-08-26,49.0,49.0,49.0,0.0,0.0,49.0,49.0,49.0,0.0,0.0,48.92,48.92,48.92,0.0,0.0,48.92,48.92,48.92,0.0,0.0
2018-09-02,48.82,48.82,48.82,0.0,0.0,48.82,48.82,48.82,0.0,0.0,48.76,48.76,48.76,0.0,0.0,48.77,48.77,48.77,0.0,0.0
2018-09-09,48.74,48.74,48.74,0.0,0.0,48.74,48.74,48.74,0.0,0.0,48.7,48.7,48.7,0.0,0.0,48.7,48.7,48.7,0.0,0.0
2018-09-16,48.61,48.61,48.61,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.6,48.6,48.6,0.0,0.0,48.6,48.6,48.6,0.0,0.0
2018-09-23,48.61,48.61,48.61,0.0,0.0,48.61,48.61,48.61,0.0,0.0,48.54,48.54,48.54,0.0,0.0,48.57,48.57,48.57,0.0,0.0
2018-09-30,48.11,48.11,48.11,0.0,0.0,48.17,48.17,48.17,0.0,0.0,48.11,48.11,48.11,0.0,0.0,48.15,48.15,48.15,0.0,0.0
2018-10-07,48.27,48.27,48.27,0.0,0.0,48.28,48.28,48.28,0.0,0.0,48.16,48.16,48.16,0.0,0.0,48.22,48.22,48.22,0.0,0.0
2018-10-14,48.13,48.13,48.13,0.0,0.0,48.15,48.15,48.15,0.0,0.0,48.11,48.11,48.11,0.0,0.0,48.11,48.11,48.11,0.0,0.0
2018-10-21,48.17,48.17,48.17,0.0,0.0,48.37,48.37,48.37,0.0,0.0,48.12,48.12,48.12,0.0,0.0,48.13,48.13,48.13,0.0,0.0
2018-10-28,47.93,47.93,47.93,0.0,0.0,48.02,48.02,48.02,0.0,0.0,47.93,47.93,47.93,0.0,0.0,47.97,47.97,47.97,0.0,0.0
2018-11-04,48.3,48.3,48.3,0.0,0.0,48.37,48.37,48.37,0.0,0.0,48.0,48.0,48.0,0.0,0.0,48.06,48.06,48.06,0.0,0.0
2018-11-11,48.1,48.1,48.1,0.0,0.0,48.19,48.19,48.19,0.0,0.0,48.09,48.09,48.09,0.0,0.0,48.15,48.15,48.15,0.0,0.0
2018-11-18,48.1,48.1,48.1,0.0,0.0,48.11,48.11,48.11,0.0,0.0,48.07,48.07,48.07,0.0,0.0,48.1,48.1,48.1,0.0,0.0
2018-11-25,48.28,48.28,48.28,0.0,0.0,48.28,48.28,48.28,0.0,0.0,48.07,48.07,48.07,0.0,0.0,48.15,48.15,48.15,0.0,0.0
2018-12-02,48.32,48.32,48.32,0.0,0.0,48.37,48.37,48.37,0.0,0.0,48.27,48.27,48.27,0.0,0.0,48.32,48.32,48.32,0.0,0.0
2018-12-09,48.29,48.29,48.29,0.0,0.0,48.4,48.4,48.4,0.0,0.0,48.16,48.16,48.16,0.0,0.0,48.37,48.37,48.37,0.0,0.0
2018-12-16,48.31,48.31,48.31,0.0,0.0,48.35,48.35,48.35,0.0,0.0,48.26,48.26,48.26,0.0,0.0,48.34,48.34,48.34,0.0,0.0
2018-12-23,48.42,48.42,48.42,0.0,0.0,48.6,48.6,48.6,0.0,0.0,48.39,48.39,48.39,0.0,0.0,48.53,48.53,48.53,0.0,0.0
2018-12-30,48.77,48.77,48.77,0.0,0.0,48.77,48.77,48.77,0.0,0.0,48.62,48.62,48.62,0.0,0.0,48.65,48.65,48.65,0.0,0.0
2019-01-06,48.72,48.72,48.72,0.0,0.0,48.75,48.75,48.75,0.0,0.0,48.65,48.65,48.65,0.0,0.0,48.67,48.67,48.67,0.0,0.0
2019-01-13,48.75,48.75,48.75,0.0,0.0,48.83,48.83,48.83,0.0,0.0,48.71,48.71,48.71,0.0,0.0,48.78,48.78,48.78,0.0,0.0
2019-01-20,48.97,48.97,48.97,0.0,0.0,48.97,48.97,48.97,0.0,0.0,48.91,48.91,48.91,0.0,0.0,48.94,48.94,48.94,0.0,0.0
2019-01-27,49.16,49.16,49.16,0.0,0.0,49.18,49.18,49.18,0.0,0.0,49.06,49.06,49.06,0.0,0.0,49.15,49.15,49.15,0.0,0.0
