Date,First Trust NASDAQ Smartphone_Open_average,First Trust NASDAQ Smartphone_Open_max,First Trust NASDAQ Smartphone_Open_min,First Trust NASDAQ Smartphone_Open_volatility,First Trust NASDAQ Smartphone_Open_change,First Trust NASDAQ Smartphone_High_average,First Trust NASDAQ Smartphone_High_max,First Trust NASDAQ Smartphone_High_min,First Trust NASDAQ Smartphone_High_volatility,First Trust NASDAQ Smartphone_High_change,First Trust NASDAQ Smartphone_Low_average,First Trust NASDAQ Smartphone_Low_max,First Trust NASDAQ Smartphone_Low_min,First Trust NASDAQ Smartphone_Low_volatility,First Trust NASDAQ Smartphone_Low_change,First Trust NASDAQ Smartphone_Close_average,First Trust NASDAQ Smartphone_Close_max,First Trust NASDAQ Smartphone_Close_min,First Trust NASDAQ Smartphone_Close_volatility,First Trust NASDAQ Smartphone_Close_change
2018-01-14,54.75,54.75,54.75,0.0,0.0,54.91,54.91,54.91,0.0,0.0,54.66,54.66,54.66,0.0,0.0,54.91,54.91,54.91,0.0,0.0
2018-01-21,53.62,53.62,53.62,0.0,0.0,54.25,54.25,54.25,0.0,0.0,53.62,53.62,53.62,0.0,0.0,54.25,54.25,54.25,0.0,0.0
2018-01-28,52.59,52.59,52.59,0.0,0.0,53.04,53.04,53.04,0.0,0.0,51.23,51.23,51.23,0.0,0.0,51.27,51.27,51.27,0.0,0.0
2018-02-04,50.98,50.98,50.98,0.0,0.0,51.19,51.19,51.19,0.0,0.0,50.85,50.85,50.85,0.0,0.0,51.15,51.15,51.15,0.0,0.0
2018-02-11,52.93,52.93,52.93,0.0,0.0,53.05,53.05,53.05,0.0,0.0,52.87,52.87,52.87,0.0,0.0,52.87,52.87,52.87,0.0,0.0
2018-02-18,53.62,53.62,53.62,0.0,0.0,54.1,54.1,54.1,0.0,0.0,53.57,53.57,53.57,0.0,0.0,54.1,54.1,54.1,0.0,0.0
2018-02-25,52.8,52.8,52.8,0.0,0.0,53.32,53.32,53.32,0.0,0.0,52.75,52.75,52.75,0.0,0.0,53.32,53.32,53.32,0.0,0.0
2018-03-04,55.17,55.17,55.17,0.0,0.0,55.17,55.17,55.17,0.0,0.0,55.17,55.17,55.17,0.0,0.0,55.17,55.17,55.17,0.0,0.0
2018-03-11,54.4,54.4,54.4,0.0,0.0,54.48,54.48,54.48,0.0,0.0,53.89,53.89,53.89,0.0,0.0,54.36,54.36,54.36,0.0,0.0
2018-03-18,52.64,52.64,52.64,0.0,0.0,53.26,53.26,53.26,0.0,0.0,52.57,52.57,52.57,0.0,0.0,53.26,53.26,53.26,0.0,0.0
