Date,ValueShares US Quantitative Value_Open_average,ValueShares US Quantitative Value_Open_max,ValueShares US Quantitative Value_Open_min,ValueShares US Quantitative Value_Open_volatility,ValueShares US Quantitative Value_Open_change,ValueShares US Quantitative Value_High_average,ValueShares US Quantitative Value_High_max,ValueShares US Quantitative Value_High_min,ValueShares US Quantitative Value_High_volatility,ValueShares US Quantitative Value_High_change,ValueShares US Quantitative Value_Low_average,ValueShares US Quantitative Value_Low_max,ValueShares US Quantitative Value_Low_min,ValueShares US Quantitative Value_Low_volatility,ValueShares US Quantitative Value_Low_change,ValueShares US Quantitative Value_Close_average,ValueShares US Quantitative Value_Close_max,ValueShares US Quantitative Value_Close_min,ValueShares US Quantitative Value_Close_volatility,ValueShares US Quantitative Value_Close_change
2018-01-14,33.05,33.05,33.05,0.0,0.0,33.22,33.22,33.22,0.0,0.0,32.87,32.87,32.87,0.0,0.0,33.22,33.22,33.22,0.0,0.0
2018-01-21,33.51,33.51,33.51,0.0,0.0,33.51,33.51,33.51,0.0,0.0,33.25,33.25,33.25,0.0,0.0,33.39,33.39,33.39,0.0,0.0
2018-01-28,31.26,31.26,31.26,0.0,0.0,31.43,31.43,31.43,0.0,0.0,30.28,30.28,30.28,0.0,0.0,30.28,30.28,30.28,0.0,0.0
2018-02-04,30.81,30.81,30.81,0.0,0.0,30.99,30.99,30.99,0.0,0.0,30.53,30.53,30.53,0.0,0.0,30.81,30.81,30.81,0.0,0.0
2018-02-11,31.76,31.76,31.76,0.0,0.0,32.04,32.04,32.04,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.78,31.78,31.78,0.0,0.0
2018-02-18,31.89,31.89,31.89,0.0,0.0,31.93,31.93,31.93,0.0,0.0,31.67,31.67,31.67,0.0,0.0,31.91,31.91,31.91,0.0,0.0
2018-02-25,31.24,31.24,31.24,0.0,0.0,31.51,31.51,31.51,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.48,31.48,31.48,0.0,0.0
2018-03-04,31.86,31.86,31.86,0.0,0.0,31.91,31.91,31.91,0.0,0.0,31.66,31.66,31.66,0.0,0.0,31.71,31.71,31.71,0.0,0.0
2018-03-11,31.33,31.33,31.33,0.0,0.0,31.33,31.33,31.33,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.94,30.94,30.94,0.0,0.0
2018-03-18,29.95,29.95,29.95,0.0,0.0,30.23,30.23,30.23,0.0,0.0,29.67,29.67,29.67,0.0,0.0,30.23,30.23,30.23,0.0,0.0
2018-03-25,30.15,30.15,30.15,0.0,0.0,30.21,30.21,30.21,0.0,0.0,29.16,29.16,29.16,0.0,0.0,29.47,29.47,29.47,0.0,0.0
2018-04-01,30.02,30.02,30.02,0.0,0.0,30.24,30.24,30.24,0.0,0.0,29.94,29.94,29.94,0.0,0.0,29.94,29.94,29.94,0.0,0.0
2018-04-08,30.38,30.38,30.38,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.18,30.18,30.18,0.0,0.0,30.44,30.44,30.44,0.0,0.0
2018-04-15,30.07,30.07,30.07,0.0,0.0,30.21,30.21,30.21,0.0,0.0,29.94,29.94,29.94,0.0,0.0,30.05,30.05,30.05,0.0,0.0
2018-04-22,30.27,30.27,30.27,0.0,0.0,30.3,30.3,30.3,0.0,0.0,29.74,29.74,29.74,0.0,0.0,29.75,29.75,29.75,0.0,0.0
2018-04-29,29.45,29.45,29.45,0.0,0.0,29.51,29.51,29.51,0.0,0.0,29.41,29.41,29.41,0.0,0.0,29.47,29.47,29.47,0.0,0.0
2018-05-06,30.08,30.08,30.08,0.0,0.0,30.33,30.33,30.33,0.0,0.0,30.08,30.08,30.08,0.0,0.0,30.23,30.23,30.23,0.0,0.0
2018-05-13,30.7,30.7,30.7,0.0,0.0,30.85,30.85,30.85,0.0,0.0,30.7,30.7,30.7,0.0,0.0,30.75,30.75,30.75,0.0,0.0
2018-05-20,30.67,30.67,30.67,0.0,0.0,30.87,30.87,30.87,0.0,0.0,30.67,30.67,30.67,0.0,0.0,30.76,30.76,30.76,0.0,0.0
2018-05-27,30.82,30.82,30.82,0.0,0.0,31.28,31.28,31.28,0.0,0.0,30.82,30.82,30.82,0.0,0.0,31.27,31.27,31.27,0.0,0.0
2018-06-03,32.32,32.32,32.32,0.0,0.0,32.6,32.6,32.6,0.0,0.0,32.32,32.32,32.32,0.0,0.0,32.53,32.53,32.53,0.0,0.0
2018-06-10,31.89,31.89,31.89,0.0,0.0,32.12,32.12,32.12,0.0,0.0,31.87,31.87,31.87,0.0,0.0,32.02,32.02,32.02,0.0,0.0
2018-06-17,31.62,31.62,31.62,0.0,0.0,31.66,31.66,31.66,0.0,0.0,31.17,31.17,31.17,0.0,0.0,31.32,31.32,31.32,0.0,0.0
2018-06-24,30.82,30.82,30.82,0.0,0.0,31.03,31.03,31.03,0.0,0.0,30.75,30.75,30.75,0.0,0.0,31.03,31.03,31.03,0.0,0.0
2018-07-01,31.77,31.77,31.77,0.0,0.0,32.06,32.06,32.06,0.0,0.0,31.77,31.77,31.77,0.0,0.0,32.06,32.06,32.06,0.0,0.0
2018-07-08,31.83,31.83,31.83,0.0,0.0,31.83,31.83,31.83,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.68,31.68,31.68,0.0,0.0
2018-07-15,31.78,31.78,31.78,0.0,0.0,31.78,31.78,31.78,0.0,0.0,31.64,31.64,31.64,0.0,0.0,31.7,31.7,31.7,0.0,0.0
2018-07-22,31.3,31.3,31.3,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.39,31.39,31.39,0.0,0.0
2018-07-29,31.74,31.74,31.74,0.0,0.0,31.8,31.8,31.8,0.0,0.0,31.64,31.64,31.64,0.0,0.0,31.8,31.8,31.8,0.0,0.0
2018-08-05,31.66,31.66,31.66,0.0,0.0,31.72,31.72,31.72,0.0,0.0,31.48,31.48,31.48,0.0,0.0,31.63,31.63,31.63,0.0,0.0
2018-08-12,31.97,31.97,31.97,0.0,0.0,32.22,32.22,32.22,0.0,0.0,31.97,31.97,31.97,0.0,0.0,32.22,32.22,32.22,0.0,0.0
2018-08-19,32.35,32.35,32.35,0.0,0.0,32.6,32.6,32.6,0.0,0.0,32.35,32.35,32.35,0.0,0.0,32.5,32.5,32.5,0.0,0.0
2018-08-26,32.21,32.21,32.21,0.0,0.0,32.32,32.32,32.32,0.0,0.0,32.21,32.21,32.21,0.0,0.0,32.32,32.32,32.32,0.0,0.0
2018-09-02,31.7,31.7,31.7,0.0,0.0,31.85,31.85,31.85,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.71,31.71,31.71,0.0,0.0
2018-09-09,31.52,31.52,31.52,0.0,0.0,31.59,31.59,31.59,0.0,0.0,31.39,31.39,31.39,0.0,0.0,31.4,31.4,31.4,0.0,0.0
2018-09-16,31.65,31.65,31.65,0.0,0.0,31.65,31.65,31.65,0.0,0.0,31.44,31.44,31.44,0.0,0.0,31.5,31.5,31.5,0.0,0.0
2018-09-23,31.12,31.12,31.12,0.0,0.0,31.12,31.12,31.12,0.0,0.0,30.92,30.92,30.92,0.0,0.0,30.92,30.92,30.92,0.0,0.0
2018-09-30,30.15,30.15,30.15,0.0,0.0,30.33,30.33,30.33,0.0,0.0,30.15,30.15,30.15,0.0,0.0,30.33,30.33,30.33,0.0,0.0
2018-10-07,28.9,28.9,28.9,0.0,0.0,29.21,29.21,29.21,0.0,0.0,28.9,28.9,28.9,0.0,0.0,29.01,29.01,29.01,0.0,0.0
2018-10-14,28.99,28.99,28.99,0.0,0.0,28.99,28.99,28.99,0.0,0.0,28.67,28.67,28.67,0.0,0.0,28.74,28.74,28.74,0.0,0.0
