Date,ABCZY_Open_average,ABCZY_Open_max,ABCZY_Open_min,ABCZY_Open_volatility,ABCZY_Open_change,ABCZY_High_average,ABCZY_High_max,ABCZY_High_min,ABCZY_High_volatility,ABCZY_High_change,ABCZY_Low_average,ABCZY_Low_max,ABCZY_Low_min,ABCZY_Low_volatility,ABCZY_Low_change,ABCZY_Close_average,ABCZY_Close_max,ABCZY_Close_min,ABCZY_Close_volatility,ABCZY_Close_change,ABCZY_Volume_average,ABCZY_Volume_max,ABCZY_Volume_min,ABCZY_Volume_volatility,ABCZY_Volume_change
2018-01-14,16.445999999999998,16.9,16.15,0.75,0.75,16.504,17.19,16.15,1.0400000000000027,1.0400000000000027,16.288,16.9,16.06,0.8399999999999999,0.75,16.372,16.91,16.15,0.7600000000000016,0.7600000000000016,625,1400,0,1400,1400
2018-01-21,16.974,17.36,16.57,0.7899999999999991,0.33999999999999986,17.192,17.38,16.93,0.4499999999999993,0.33999999999999986,16.974,17.36,16.57,0.7899999999999991,0.33999999999999986,17.142,17.36,16.93,0.4299999999999997,0.33999999999999986,1251,5605,0,5605,0
2018-01-28,17.726,18.03,17.18,0.8500000000000014,0.7199999999999989,17.876,18.06,17.53,0.5299999999999976,0.36999999999999744,17.506,17.88,17.16,0.7199999999999989,-0.019999999999999574,17.588,17.88,17.16,0.7199999999999989,-0.05999999999999872,704,924,488,436,228
2018-02-04,17.372500000000002,18.1,16.12,1.9800000000000004,-1.5999999999999979,17.695,18.1,17.13,0.9700000000000024,-0.870000000000001,17.33,17.93,16.12,1.8099999999999987,-1.5999999999999979,17.6525,18.0,17.13,0.870000000000001,-0.870000000000001,1004,3071,0,3071,2523
2018-02-11,17.64,18.25,17.14,1.1099999999999994,1.0,17.6875,18.25,17.25,1.0,1.0,17.4425,18.25,16.63,1.620000000000001,1.620000000000001,17.5275,18.25,16.63,1.620000000000001,1.620000000000001,1063,1720,0,1720,-1720
2018-02-18,18.08,18.45,17.66,0.7899999999999991,0.3999999999999986,18.218,18.45,18.05,0.3999999999999986,-0.2900000000000027,17.996,18.18,17.66,0.5199999999999996,0.28000000000000114,18.168,18.35,17.94,0.41000000000000014,-0.41000000000000014,541,1097,0,1097,-228
2018-02-25,17.384,17.95,16.79,1.1600000000000001,-1.1600000000000001,17.514,17.95,16.79,1.1600000000000001,-1.1600000000000001,17.216,17.95,16.79,1.1600000000000001,-1.1600000000000001,17.323999999999998,17.95,16.79,1.1600000000000001,-1.1600000000000001,784,2735,0,2735,0
2018-03-04,17.1375,18.18,16.51,1.6699999999999982,1.5300000000000011,17.25,18.2,16.75,1.4499999999999993,1.4499999999999993,16.925,17.53,16.45,1.0800000000000018,1.0800000000000018,17.2225,18.2,16.64,1.5599999999999987,1.5599999999999987,1198,2410,0,2410,814
2018-03-11,18.03,18.3,17.86,0.4400000000000013,0.370000000000001,18.213333333333335,18.41,17.93,0.4800000000000004,0.370000000000001,18.03,18.3,17.86,0.4400000000000013,0.370000000000001,18.213333333333335,18.41,17.93,0.4800000000000004,0.370000000000001,609,1829,0,1829,0
2018-03-18,17.7175,17.86,17.59,0.2699999999999996,-0.2699999999999996,17.8425,18.06,17.59,0.46999999999999886,-0.3000000000000007,17.705,17.86,17.59,0.2699999999999996,-0.2699999999999996,17.810000000000002,17.98,17.59,0.39000000000000057,-0.3000000000000007,981,2894,0,2894,-546
