Date,Hartford US Equity_Open_average,Hartford US Equity_Open_max,Hartford US Equity_Open_min,Hartford US Equity_Open_volatility,Hartford US Equity_Open_change,Hartford US Equity_High_average,Hartford US Equity_High_max,Hartford US Equity_High_min,Hartford US Equity_High_volatility,Hartford US Equity_High_change,Hartford US Equity_Low_average,Hartford US Equity_Low_max,Hartford US Equity_Low_min,Hartford US Equity_Low_volatility,Hartford US Equity_Low_change,Hartford US Equity_Close_average,Hartford US Equity_Close_max,Hartford US Equity_Close_min,Hartford US Equity_Close_volatility,Hartford US Equity_Close_change
2018-01-14,33.18,33.18,33.18,0.0,0.0,33.22,33.22,33.22,0.0,0.0,33.18,33.18,33.18,0.0,0.0,33.22,33.22,33.22,0.0,0.0
2018-01-21,33.42,33.42,33.42,0.0,0.0,33.42,33.42,33.42,0.0,0.0,33.41,33.41,33.41,0.0,0.0,33.41,33.41,33.41,0.0,0.0
2018-01-28,30.91,30.91,30.91,0.0,0.0,31.23,31.23,31.23,0.0,0.0,30.78,30.78,30.78,0.0,0.0,31.23,31.23,31.23,0.0,0.0
2018-02-04,30.85,30.85,30.85,0.0,0.0,30.87,30.87,30.87,0.0,0.0,30.85,30.85,30.85,0.0,0.0,30.87,30.87,30.87,0.0,0.0
2018-02-11,31.88,31.88,31.88,0.0,0.0,31.99,31.99,31.99,0.0,0.0,31.83,31.83,31.83,0.0,0.0,31.83,31.83,31.83,0.0,0.0
2018-02-18,32.07,32.07,32.07,0.0,0.0,32.13,32.13,32.13,0.0,0.0,32.06,32.06,32.06,0.0,0.0,32.13,32.13,32.13,0.0,0.0
2018-02-25,31.45,31.45,31.45,0.0,0.0,31.66,31.66,31.66,0.0,0.0,31.45,31.45,31.45,0.0,0.0,31.63,31.63,31.63,0.0,0.0
2018-03-04,32.56,32.56,32.56,0.0,0.0,32.56,32.56,32.56,0.0,0.0,32.4,32.4,32.4,0.0,0.0,32.4,32.4,32.4,0.0,0.0
2018-03-11,32.15,32.15,32.15,0.0,0.0,32.15,32.15,32.15,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.68,31.68,31.68,0.0,0.0
2018-03-18,30.93,30.93,30.93,0.0,0.0,30.96,30.96,30.96,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.96,30.96,30.96,0.0,0.0
2018-03-25,30.62,30.62,30.62,0.0,0.0,30.62,30.62,30.62,0.0,0.0,30.05,30.05,30.05,0.0,0.0,30.18,30.18,30.18,0.0,0.0
2018-04-01,30.66,30.66,30.66,0.0,0.0,31.03,31.03,31.03,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.97,30.97,30.97,0.0,0.0
2018-04-08,31.43,31.43,31.43,0.0,0.0,31.55,31.55,31.55,0.0,0.0,31.36,31.36,31.36,0.0,0.0,31.45,31.45,31.45,0.0,0.0
2018-04-15,31.36,31.36,31.36,0.0,0.0,31.41,31.41,31.41,0.0,0.0,31.16,31.16,31.16,0.0,0.0,31.25,31.25,31.25,0.0,0.0
2018-04-22,31.49,31.49,31.49,0.0,0.0,31.49,31.49,31.49,0.0,0.0,31.12,31.12,31.12,0.0,0.0,31.12,31.12,31.12,0.0,0.0
2018-04-29,31.06,31.06,31.06,0.0,0.0,31.15,31.15,31.15,0.0,0.0,31.04,31.04,31.04,0.0,0.0,31.08,31.08,31.08,0.0,0.0
2018-05-06,31.81,31.81,31.81,0.0,0.0,31.81,31.81,31.81,0.0,0.0,31.66,31.66,31.66,0.0,0.0,31.66,31.66,31.66,0.0,0.0
2018-05-13,32.13,32.13,32.13,0.0,0.0,32.13,32.13,32.13,0.0,0.0,32.0,32.0,32.0,0.0,0.0,32.01,32.01,32.01,0.0,0.0
2018-05-20,31.88,31.88,31.88,0.0,0.0,31.91,31.91,31.91,0.0,0.0,31.84,31.84,31.84,0.0,0.0,31.85,31.85,31.85,0.0,0.0
2018-05-27,32.08,32.08,32.08,0.0,0.0,32.12,32.12,32.12,0.0,0.0,32.07,32.07,32.07,0.0,0.0,32.12,32.12,32.12,0.0,0.0
2018-06-03,32.75,32.75,32.75,0.0,0.0,32.77,32.77,32.77,0.0,0.0,32.71,32.71,32.71,0.0,0.0,32.77,32.77,32.77,0.0,0.0
2018-06-10,32.47,32.47,32.47,0.0,0.0,32.47,32.47,32.47,0.0,0.0,32.3,32.3,32.3,0.0,0.0,32.46,32.46,32.46,0.0,0.0
2018-06-17,31.62,31.62,31.62,0.0,0.0,31.62,31.62,31.62,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.5,31.5,31.5,0.0,0.0
2018-06-24,31.15,31.15,31.15,0.0,0.0,31.34,31.34,31.34,0.0,0.0,31.15,31.15,31.15,0.0,0.0,31.31,31.31,31.31,0.0,0.0
2018-07-01,32.08,32.08,32.08,0.0,0.0,32.15,32.15,32.15,0.0,0.0,31.99,31.99,31.99,0.0,0.0,32.14,32.14,32.14,0.0,0.0
2018-07-08,32.05,32.05,32.05,0.0,0.0,32.05,32.05,32.05,0.0,0.0,32.05,32.05,32.05,0.0,0.0,32.05,32.05,32.05,0.0,0.0
2018-07-15,32.22,32.22,32.22,0.0,0.0,32.25,32.25,32.25,0.0,0.0,32.04,32.04,32.04,0.0,0.0,32.25,32.25,32.25,0.0,0.0
2018-07-22,32.5,32.5,32.5,0.0,0.0,32.5,32.5,32.5,0.0,0.0,32.25,32.25,32.25,0.0,0.0,32.25,32.25,32.25,0.0,0.0
2018-07-29,32.7,32.7,32.7,0.0,0.0,32.79,32.79,32.79,0.0,0.0,32.7,32.7,32.7,0.0,0.0,32.77,32.77,32.77,0.0,0.0
2018-08-05,32.86,32.86,32.86,0.0,0.0,32.86,32.86,32.86,0.0,0.0,32.49,32.49,32.49,0.0,0.0,32.61,32.61,32.61,0.0,0.0
2018-08-12,33.14,33.14,33.14,0.0,0.0,33.25,33.25,33.25,0.0,0.0,33.07,33.07,33.07,0.0,0.0,33.23,33.23,33.23,0.0,0.0
2018-08-19,33.42,33.42,33.42,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.42,33.42,33.42,0.0,0.0,33.57,33.57,33.57,0.0,0.0
2018-08-26,33.27,33.27,33.27,0.0,0.0,33.48,33.48,33.48,0.0,0.0,33.27,33.27,33.27,0.0,0.0,33.48,33.48,33.48,0.0,0.0
2018-09-02,33.33,33.33,33.33,0.0,0.0,33.33,33.33,33.33,0.0,0.0,33.13,33.13,33.13,0.0,0.0,33.15,33.15,33.15,0.0,0.0
2018-09-09,33.46,33.46,33.46,0.0,0.0,33.46,33.46,33.46,0.0,0.0,33.12,33.12,33.12,0.0,0.0,33.12,33.12,33.12,0.0,0.0
2018-09-16,33.29,33.29,33.29,0.0,0.0,33.42,33.42,33.42,0.0,0.0,33.18,33.18,33.18,0.0,0.0,33.22,33.22,33.22,0.0,0.0
2018-09-23,33.28,33.28,33.28,0.0,0.0,33.28,33.28,33.28,0.0,0.0,32.94,32.94,32.94,0.0,0.0,33.0,33.0,33.0,0.0,0.0
2018-09-30,32.62,32.62,32.62,0.0,0.0,32.66,32.66,32.66,0.0,0.0,32.42,32.42,32.42,0.0,0.0,32.65,32.65,32.65,0.0,0.0
2018-10-07,31.29,31.29,31.29,0.0,0.0,31.35,31.35,31.35,0.0,0.0,31.13,31.13,31.13,0.0,0.0,31.14,31.14,31.14,0.0,0.0
2018-10-14,31.32,31.32,31.32,0.0,0.0,31.32,31.32,31.32,0.0,0.0,30.98,30.98,30.98,0.0,0.0,31.06,31.06,31.06,0.0,0.0
2018-10-21,29.94,29.94,29.94,0.0,0.0,30.32,30.32,30.32,0.0,0.0,29.44,29.44,29.44,0.0,0.0,29.44,29.44,29.44,0.0,0.0
2018-10-28,31.08,31.08,31.08,0.0,0.0,31.22,31.22,31.22,0.0,0.0,30.89,30.89,30.89,0.0,0.0,31.13,31.13,31.13,0.0,0.0
2018-11-04,31.46,31.46,31.46,0.0,0.0,31.46,31.46,31.46,0.0,0.0,31.04,31.04,31.04,0.0,0.0,31.04,31.04,31.04,0.0,0.0
2018-11-11,30.99,30.99,30.99,0.0,0.0,30.99,30.99,30.99,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.46,30.46,30.46,0.0,0.0
2018-11-18,31.18,31.18,31.18,0.0,0.0,31.18,31.18,31.18,0.0,0.0,30.25,30.25,30.25,0.0,0.0,30.43,30.43,30.43,0.0,0.0
2018-11-25,31.75,31.75,31.75,0.0,0.0,31.75,31.75,31.75,0.0,0.0,31.23,31.23,31.23,0.0,0.0,31.44,31.44,31.44,0.0,0.0
2018-12-02,29.57,29.57,29.57,0.0,0.0,29.57,29.57,29.57,0.0,0.0,28.9,28.9,28.9,0.0,0.0,29.42,29.42,29.42,0.0,0.0
2018-12-09,28.53,28.53,28.53,0.0,0.0,28.96,28.96,28.96,0.0,0.0,28.23,28.23,28.23,0.0,0.0,28.3,28.3,28.3,0.0,0.0
2018-12-16,26.66,26.66,26.66,0.0,0.0,26.66,26.66,26.66,0.0,0.0,26.22,26.22,26.22,0.0,0.0,26.23,26.23,26.23,0.0,0.0
2018-12-23,27.79,27.79,27.79,0.0,0.0,27.86,27.86,27.86,0.0,0.0,27.57,27.57,27.57,0.0,0.0,27.8,27.8,27.8,0.0,0.0
2018-12-30,28.31,28.31,28.31,0.0,0.0,28.74,28.74,28.74,0.0,0.0,28.14,28.14,28.14,0.0,0.0,28.54,28.54,28.54,0.0,0.0
2019-01-06,29.03,29.03,29.03,0.0,0.0,29.03,29.03,29.03,0.0,0.0,28.8,28.8,28.8,0.0,0.0,28.9,28.9,28.9,0.0,0.0
2019-01-13,29.67,29.67,29.67,0.0,0.0,29.92,29.92,29.92,0.0,0.0,29.6,29.6,29.6,0.0,0.0,29.84,29.84,29.84,0.0,0.0
2019-01-20,29.8,29.8,29.8,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.67,29.67,29.67,0.0,0.0,29.88,29.88,29.88,0.0,0.0
2019-01-27,30.31,30.31,30.31,0.0,0.0,30.57,30.57,30.57,0.0,0.0,30.31,30.31,30.31,0.0,0.0,30.56,30.56,30.56,0.0,0.0
2019-02-03,30.65,30.65,30.65,0.0,0.0,30.65,30.65,30.65,0.0,0.0,30.36,30.36,30.36,0.0,0.0,30.45,30.45,30.45,0.0,0.0
2019-02-10,31.19,31.19,31.19,0.0,0.0,31.36,31.36,31.36,0.0,0.0,31.19,31.19,31.19,0.0,0.0,31.36,31.36,31.36,0.0,0.0
2019-02-17,31.59,31.59,31.59,0.0,0.0,31.75,31.75,31.75,0.0,0.0,31.55,31.55,31.55,0.0,0.0,31.55,31.55,31.55,0.0,0.0
