Date,AWK_stock_Open_average,AWK_stock_Open_max,AWK_stock_Open_min,AWK_stock_Open_volatility,AWK_stock_Open_change,AWK_stock_High_average,AWK_stock_High_max,AWK_stock_High_min,AWK_stock_High_volatility,AWK_stock_High_change,AWK_stock_Low_average,AWK_stock_Low_max,AWK_stock_Low_min,AWK_stock_Low_volatility,AWK_stock_Low_change,AWK_stock_Close_average,AWK_stock_Close_max,AWK_stock_Close_min,AWK_stock_Close_volatility,AWK_stock_Close_change,AWK_stock_Volume_average,AWK_stock_Volume_max,AWK_stock_Volume_min,AWK_stock_Volume_volatility,AWK_stock_Volume_change
2018-01-14,82.1625,82.84,81.25,1.5900000000000034,1.5900000000000034,83.265,83.6,82.8,0.7999999999999972,-0.06999999999999318,81.7875,82.38,80.96,1.4200000000000017,1.4200000000000017,82.5375,83.01,82.22,0.7900000000000063,0.7900000000000063,1869670,3111494,1323868,1787626,-1787626
2018-01-21,83.82600000000001,84.65,82.86,1.7900000000000063,1.2000000000000028,84.51,85.0,83.75,1.25,1.25,83.23,83.83,82.66,1.1700000000000017,1.1700000000000017,84.076,84.94,82.96,1.980000000000004,1.980000000000004,983932,1317832,764845,552987,-448291
2018-01-28,83.168,84.65,81.71,2.940000000000012,-2.940000000000012,83.548,84.65,82.29,2.3599999999999994,-2.3599999999999994,82.218,83.2,81.0,2.200000000000003,-2.200000000000003,82.616,83.74,81.22,2.519999999999996,-2.519999999999996,1094409,1334666,829815,504851,271971
2018-02-04,78.48,81.0,76.61,4.390000000000001,-4.390000000000001,79.536,81.54,78.46,3.0800000000000125,-2.8599999999999994,77.158,78.61,76.04,2.569999999999993,-2.219999999999999,77.948,78.96,76.06,2.8999999999999915,-0.8799999999999955,1733892,2169607,1268677,900930,-108348
2018-02-11,78.452,79.69,77.83,1.8599999999999994,1.480000000000004,79.374,81.06,78.34,2.719999999999999,2.719999999999999,77.968,79.43,77.07,2.3600000000000136,2.3600000000000136,79.04599999999999,80.5,77.92,2.5799999999999983,2.5799999999999983,879066,1016930,718145,298785,-4197
2018-02-18,79.2425,80.25,78.81,1.4399999999999977,-1.4399999999999977,80.56,81.06,79.55,1.5100000000000051,-0.030000000000001137,78.865,79.57,78.26,1.309999999999988,-0.7599999999999909,79.5175,80.63,78.74,1.8900000000000006,0.7800000000000011,980079,1250359,655775,594584,-370204
2018-02-25,80.122,81.5,78.96,2.5400000000000063,-2.5400000000000063,80.97,81.94,80.14,1.7999999999999972,-1.5,79.242,80.58,78.15,2.4299999999999926,-2.4299999999999926,79.63,80.8,78.88,1.9200000000000017,-1.9200000000000017,1093601,1373786,804279,569507,569507
2018-03-04,79.94800000000001,80.93,78.73,2.200000000000003,2.200000000000003,80.846,81.38,80.37,1.009999999999991,0.5,79.606,80.46,78.66,1.7999999999999972,1.7999999999999972,80.444,81.36,79.69,1.6700000000000017,1.1700000000000017,1158116,1992421,665894,1326527,-1326527
2018-03-11,81.574,82.49,81.04,1.4499999999999886,0.3300000000000125,82.304,82.67,81.83,0.8400000000000034,0.010000000000005116,81.038,81.48,80.56,0.9200000000000017,0.1600000000000108,81.556,82.2,80.75,1.4500000000000028,-0.04000000000000625,1103612,1952223,785287,1166936,992838
2018-03-18,81.352,82.16,80.76,1.3999999999999915,-1.3999999999999915,82.058,82.59,81.62,0.9699999999999989,-0.9699999999999989,80.366,81.2,79.02,2.180000000000007,-1.9000000000000057,80.634,81.52,79.23,2.289999999999992,-2.289999999999992,758949,1002807,570641,432166,-218113
2018-03-25,80.39,81.34,79.41,1.9300000000000068,1.9300000000000068,81.4175,82.54,80.01,2.530000000000001,2.530000000000001,80.0125,81.34,78.89,2.450000000000003,2.450000000000003,80.97,82.13,79.87,2.259999999999991,2.259999999999991,942532,1111371,742440,368931,327153
2018-04-01,81.55199999999999,82.29,80.82,1.470000000000013,-0.060000000000002274,82.054,82.74,81.45,1.289999999999992,0.4200000000000017,80.652,81.82,80.21,1.6099999999999994,1.3599999999999994,81.518,82.11,81.16,0.9500000000000028,0.7199999999999989,939961,1216387,734055,482332,288714
2018-04-08,81.562,82.42,80.9,1.519999999999996,-0.8299999999999983,82.132,82.72,81.47,1.25,-1.1400000000000006,81.07000000000001,81.67,80.25,1.4200000000000017,-0.7999999999999972,81.452,82.14,80.65,1.4899999999999949,-1.2800000000000011,1071518,2152584,728389,1424195,206267
2018-04-15,83.276,84.13,82.0,2.1299999999999955,1.6899999999999977,83.962,84.58,83.0,1.5799999999999983,0.8799999999999955,82.93,83.68,81.85,1.8300000000000125,1.3200000000000074,83.54,84.07,82.62,1.4499999999999886,1.0499999999999972,995498,1254355,834581,419774,-419774
2018-04-22,84.74000000000001,85.87,83.64,2.230000000000004,2.230000000000004,85.556,86.99,84.29,2.6999999999999886,2.6999999999999886,84.27,85.81,83.18,2.6299999999999955,2.6299999999999955,85.294,86.78,84.28,2.5,2.5,704884,936602,504266,432336,361147
2018-04-29,86.194,86.91,85.2,1.7099999999999937,-1.7099999999999937,86.618,87.19,85.95,1.2399999999999949,-1.2399999999999949,85.352,86.37,84.11,2.260000000000005,-1.7600000000000051,86.09,86.63,85.29,1.3399999999999892,-0.8599999999999994,779328,1107425,555799,551626,-189579
2018-05-06,84.1,85.8,83.19,2.6099999999999994,-1.8999999999999915,84.302,85.8,83.37,2.4299999999999926,-1.8999999999999915,83.148,84.52,82.45,2.069999999999993,-1.4799999999999898,83.652,84.8,83.01,1.789999999999992,-1.3199999999999932,643853,853389,480846,372543,-166918
