Date,Goldman Sachs Equal Weight U.S. Large Cap Equity_Open_average,Goldman Sachs Equal Weight U.S. Large Cap Equity_Open_max,Goldman Sachs Equal Weight U.S. Large Cap Equity_Open_min,Goldman Sachs Equal Weight U.S. Large Cap Equity_Open_volatility,Goldman Sachs Equal Weight U.S. Large Cap Equity_Open_change,Goldman Sachs Equal Weight U.S. Large Cap Equity_High_average,Goldman Sachs Equal Weight U.S. Large Cap Equity_High_max,Goldman Sachs Equal Weight U.S. Large Cap Equity_High_min,Goldman Sachs Equal Weight U.S. Large Cap Equity_High_volatility,Goldman Sachs Equal Weight U.S. Large Cap Equity_High_change,Goldman Sachs Equal Weight U.S. Large Cap Equity_Low_average,Goldman Sachs Equal Weight U.S. Large Cap Equity_Low_max,Goldman Sachs Equal Weight U.S. Large Cap Equity_Low_min,Goldman Sachs Equal Weight U.S. Large Cap Equity_Low_volatility,Goldman Sachs Equal Weight U.S. Large Cap Equity_Low_change,Goldman Sachs Equal Weight U.S. Large Cap Equity_Close_average,Goldman Sachs Equal Weight U.S. Large Cap Equity_Close_max,Goldman Sachs Equal Weight U.S. Large Cap Equity_Close_min,Goldman Sachs Equal Weight U.S. Large Cap Equity_Close_volatility,Goldman Sachs Equal Weight U.S. Large Cap Equity_Close_change
2018-01-14,45.33,45.33,45.33,0.0,0.0,45.64,45.64,45.64,0.0,0.0,45.31,45.31,45.31,0.0,0.0,45.6,45.6,45.6,0.0,0.0
2018-01-21,46.27,46.27,46.27,0.0,0.0,46.27,46.27,46.27,0.0,0.0,45.89,45.89,45.89,0.0,0.0,45.93,45.93,45.93,0.0,0.0
2018-01-28,44.43,44.43,44.43,0.0,0.0,44.45,44.45,44.45,0.0,0.0,42.74,42.74,42.74,0.0,0.0,42.74,42.74,42.74,0.0,0.0
2018-02-04,42.77,42.77,42.77,0.0,0.0,42.99,42.99,42.99,0.0,0.0,42.42,42.42,42.42,0.0,0.0,42.76,42.76,42.76,0.0,0.0
2018-02-11,43.93,43.93,43.93,0.0,0.0,44.3,44.3,44.3,0.0,0.0,43.93,43.93,43.93,0.0,0.0,44.03,44.03,44.03,0.0,0.0
2018-02-18,44.31,44.31,44.31,0.0,0.0,44.5,44.5,44.5,0.0,0.0,44.17,44.17,44.17,0.0,0.0,44.43,44.43,44.43,0.0,0.0
2018-02-25,43.56,43.56,43.56,0.0,0.0,43.84,43.84,43.84,0.0,0.0,43.56,43.56,43.56,0.0,0.0,43.77,43.77,43.77,0.0,0.0
2018-03-04,44.95,44.95,44.95,0.0,0.0,44.96,44.96,44.96,0.0,0.0,44.81,44.81,44.81,0.0,0.0,44.81,44.81,44.81,0.0,0.0
2018-03-11,44.28,44.28,44.28,0.0,0.0,44.28,44.28,44.28,0.0,0.0,43.78,43.78,43.78,0.0,0.0,44.0,44.0,44.0,0.0,0.0
2018-03-18,42.68,42.68,42.68,0.0,0.0,42.99,42.99,42.99,0.0,0.0,42.42,42.42,42.42,0.0,0.0,42.99,42.99,42.99,0.0,0.0
2018-03-25,42.71,42.71,42.71,0.0,0.0,42.71,42.71,42.71,0.0,0.0,41.66,41.66,41.66,0.0,0.0,42.03,42.03,42.03,0.0,0.0
2018-04-01,42.57,42.57,42.57,0.0,0.0,42.87,42.87,42.87,0.0,0.0,42.57,42.57,42.57,0.0,0.0,42.58,42.58,42.58,0.0,0.0
2018-04-08,43.33,43.33,43.33,0.0,0.0,43.5,43.5,43.5,0.0,0.0,43.33,43.33,43.33,0.0,0.0,43.41,43.41,43.41,0.0,0.0
2018-04-15,43.39,43.39,43.39,0.0,0.0,43.47,43.47,43.47,0.0,0.0,43.22,43.22,43.22,0.0,0.0,43.22,43.22,43.22,0.0,0.0
2018-04-22,43.48,43.48,43.48,0.0,0.0,43.48,43.48,43.48,0.0,0.0,43.09,43.09,43.09,0.0,0.0,43.13,43.13,43.13,0.0,0.0
2018-04-29,43.28,43.28,43.28,0.0,0.0,43.34,43.34,43.34,0.0,0.0,43.17,43.17,43.17,0.0,0.0,43.17,43.17,43.17,0.0,0.0
2018-05-06,44.1,44.1,44.1,0.0,0.0,44.15,44.15,44.15,0.0,0.0,43.88,43.88,43.88,0.0,0.0,43.91,43.91,43.91,0.0,0.0
2018-05-13,44.22,44.22,44.22,0.0,0.0,44.22,44.22,44.22,0.0,0.0,44.15,44.15,44.15,0.0,0.0,44.2,44.2,44.2,0.0,0.0
2018-05-20,44.04,44.04,44.04,0.0,0.0,44.04,44.04,44.04,0.0,0.0,43.9,43.9,43.9,0.0,0.0,43.9,43.9,43.9,0.0,0.0
2018-05-27,44.26,44.26,44.26,0.0,0.0,44.27,44.27,44.27,0.0,0.0,44.22,44.22,44.22,0.0,0.0,44.24,44.24,44.24,0.0,0.0
2018-06-03,44.99,44.99,44.99,0.0,0.0,45.0,45.0,45.0,0.0,0.0,44.93,44.93,44.93,0.0,0.0,44.93,44.93,44.93,0.0,0.0
2018-06-10,44.94,44.94,44.94,0.0,0.0,44.98,44.98,44.98,0.0,0.0,44.85,44.85,44.85,0.0,0.0,44.97,44.97,44.97,0.0,0.0
2018-06-17,44.43,44.43,44.43,0.0,0.0,44.43,44.43,44.43,0.0,0.0,43.8,43.8,43.8,0.0,0.0,44.02,44.02,44.02,0.0,0.0
