Date,DB Gold Short Exp 15 Feb 2038_Open_average,DB Gold Short Exp 15 Feb 2038_Open_max,DB Gold Short Exp 15 Feb 2038_Open_min,DB Gold Short Exp 15 Feb 2038_Open_volatility,DB Gold Short Exp 15 Feb 2038_Open_change,DB Gold Short Exp 15 Feb 2038_High_average,DB Gold Short Exp 15 Feb 2038_High_max,DB Gold Short Exp 15 Feb 2038_High_min,DB Gold Short Exp 15 Feb 2038_High_volatility,DB Gold Short Exp 15 Feb 2038_High_change,DB Gold Short Exp 15 Feb 2038_Low_average,DB Gold Short Exp 15 Feb 2038_Low_max,DB Gold Short Exp 15 Feb 2038_Low_min,DB Gold Short Exp 15 Feb 2038_Low_volatility,DB Gold Short Exp 15 Feb 2038_Low_change,DB Gold Short Exp 15 Feb 2038_Close_average,DB Gold Short Exp 15 Feb 2038_Close_max,DB Gold Short Exp 15 Feb 2038_Close_min,DB Gold Short Exp 15 Feb 2038_Close_volatility,DB Gold Short Exp 15 Feb 2038_Close_change
2018-01-14,13.3,13.3,13.3,0.0,0.0,13.3,13.3,13.3,0.0,0.0,13.3,13.3,13.3,0.0,0.0,13.3,13.3,13.3,0.0,0.0
2018-01-21,13.28,13.28,13.28,0.0,0.0,13.3,13.3,13.3,0.0,0.0,13.25,13.25,13.25,0.0,0.0,13.25,13.25,13.25,0.0,0.0
2018-01-28,13.35,13.35,13.35,0.0,0.0,13.4,13.4,13.4,0.0,0.0,13.28,13.28,13.28,0.0,0.0,13.3,13.3,13.3,0.0,0.0
2018-02-04,13.44,13.44,13.44,0.0,0.0,13.47,13.47,13.47,0.0,0.0,13.43,13.43,13.43,0.0,0.0,13.43,13.43,13.43,0.0,0.0
2018-02-11,13.19,13.19,13.19,0.0,0.0,13.25,13.25,13.25,0.0,0.0,13.15,13.15,13.15,0.0,0.0,13.22,13.22,13.22,0.0,0.0
2018-02-18,13.36,13.36,13.36,0.0,0.0,13.39,13.39,13.39,0.0,0.0,13.31,13.31,13.31,0.0,0.0,13.33,13.33,13.33,0.0,0.0
2018-02-25,13.44,13.44,13.44,0.0,0.0,13.46,13.46,13.46,0.0,0.0,13.42,13.42,13.42,0.0,0.0,13.46,13.46,13.46,0.0,0.0
2018-03-04,13.44,13.44,13.44,0.0,0.0,13.44,13.44,13.44,0.0,0.0,13.44,13.44,13.44,0.0,0.0,13.44,13.44,13.44,0.0,0.0
2018-03-11,13.56,13.56,13.56,0.0,0.0,13.56,13.56,13.56,0.0,0.0,13.48,13.48,13.48,0.0,0.0,13.5,13.5,13.5,0.0,0.0
2018-03-18,13.16,13.16,13.16,0.0,0.0,13.17,13.17,13.17,0.0,0.0,13.16,13.16,13.16,0.0,0.0,13.17,13.17,13.17,0.0,0.0
2018-03-25,13.31,13.31,13.31,0.0,0.0,13.33,13.33,13.33,0.0,0.0,13.25,13.25,13.25,0.0,0.0,13.32,13.32,13.32,0.0,0.0
2018-04-01,13.48,13.48,13.48,0.0,0.0,13.48,13.48,13.48,0.0,0.0,13.42,13.42,13.42,0.0,0.0,13.42,13.42,13.42,0.0,0.0
2018-04-08,13.26,13.26,13.26,0.0,0.0,13.26,13.26,13.26,0.0,0.0,13.22,13.22,13.22,0.0,0.0,13.22,13.22,13.22,0.0,0.0
2018-04-15,13.44,13.44,13.44,0.0,0.0,13.51,13.51,13.51,0.0,0.0,13.44,13.44,13.44,0.0,0.0,13.51,13.51,13.51,0.0,0.0
2018-04-22,13.62,13.62,13.62,0.0,0.0,13.65,13.65,13.65,0.0,0.0,13.55,13.55,13.55,0.0,0.0,13.59,13.59,13.59,0.0,0.0
2018-04-29,13.66,13.66,13.66,0.0,0.0,13.69,13.69,13.69,0.0,0.0,13.59,13.59,13.59,0.0,0.0,13.59,13.59,13.59,0.0,0.0
2018-05-06,13.67,13.67,13.67,0.0,0.0,13.67,13.67,13.67,0.0,0.0,13.67,13.67,13.67,0.0,0.0,13.67,13.67,13.67,0.0,0.0
2018-05-13,13.91,13.91,13.91,0.0,0.0,13.91,13.91,13.91,0.0,0.0,13.85,13.85,13.85,0.0,0.0,13.87,13.87,13.87,0.0,0.0
2018-05-20,13.78,13.78,13.78,0.0,0.0,13.78,13.78,13.78,0.0,0.0,13.78,13.78,13.78,0.0,0.0,13.78,13.78,13.78,0.0,0.0
