Date,VanEck Vectors High Income Infrastructure MLP_Open_average,VanEck Vectors High Income Infrastructure MLP_Open_max,VanEck Vectors High Income Infrastructure MLP_Open_min,VanEck Vectors High Income Infrastructure MLP_Open_volatility,VanEck Vectors High Income Infrastructure MLP_Open_change,VanEck Vectors High Income Infrastructure MLP_High_average,VanEck Vectors High Income Infrastructure MLP_High_max,VanEck Vectors High Income Infrastructure MLP_High_min,VanEck Vectors High Income Infrastructure MLP_High_volatility,VanEck Vectors High Income Infrastructure MLP_High_change,VanEck Vectors High Income Infrastructure MLP_Low_average,VanEck Vectors High Income Infrastructure MLP_Low_max,VanEck Vectors High Income Infrastructure MLP_Low_min,VanEck Vectors High Income Infrastructure MLP_Low_volatility,VanEck Vectors High Income Infrastructure MLP_Low_change,VanEck Vectors High Income Infrastructure MLP_Close_average,VanEck Vectors High Income Infrastructure MLP_Close_max,VanEck Vectors High Income Infrastructure MLP_Close_min,VanEck Vectors High Income Infrastructure MLP_Close_volatility,VanEck Vectors High Income Infrastructure MLP_Close_change
2016-01-03,11.17,11.17,11.17,0.0,0.0,11.17,11.17,11.17,0.0,0.0,10.7,10.7,10.7,0.0,0.0,10.79,10.79,10.79,0.0,0.0
2016-01-10,10.08,10.08,10.08,0.0,0.0,10.2,10.2,10.2,0.0,0.0,10.05,10.05,10.05,0.0,0.0,10.15,10.15,10.15,0.0,0.0
2016-01-17,10.21,10.21,10.21,0.0,0.0,10.72,10.72,10.72,0.0,0.0,10.02,10.02,10.02,0.0,0.0,10.03,10.03,10.03,0.0,0.0
2016-01-24,10.36,10.36,10.36,0.0,0.0,10.46,10.46,10.46,0.0,0.0,10.14,10.14,10.14,0.0,0.0,10.46,10.46,10.46,0.0,0.0
2016-01-31,9.53,9.53,9.53,0.0,0.0,10.0,10.0,10.0,0.0,0.0,9.29,9.29,9.29,0.0,0.0,9.37,9.37,9.37,0.0,0.0
2016-02-07,8.66,8.66,8.66,0.0,0.0,8.8,8.8,8.8,0.0,0.0,8.63,8.63,8.63,0.0,0.0,8.8,8.8,8.8,0.0,0.0
2016-02-14,10.06,10.06,10.06,0.0,0.0,10.15,10.15,10.15,0.0,0.0,10.06,10.06,10.06,0.0,0.0,10.15,10.15,10.15,0.0,0.0
2016-02-21,10.22,10.22,10.22,0.0,0.0,10.26,10.26,10.26,0.0,0.0,10.19,10.19,10.19,0.0,0.0,10.24,10.24,10.24,0.0,0.0
2016-02-28,11.23,11.23,11.23,0.0,0.0,11.37,11.37,11.37,0.0,0.0,11.22,11.22,11.22,0.0,0.0,11.27,11.27,11.27,0.0,0.0
2016-03-06,10.93,10.93,10.93,0.0,0.0,11.0,11.0,11.0,0.0,0.0,10.93,10.93,10.93,0.0,0.0,11.0,11.0,11.0,0.0,0.0
2016-03-13,11.51,11.51,11.51,0.0,0.0,11.66,11.66,11.66,0.0,0.0,11.34,11.34,11.34,0.0,0.0,11.44,11.44,11.44,0.0,0.0
