Date,WisdomTree EM Dividend Fund_Open_average,WisdomTree EM Dividend Fund_Open_max,WisdomTree EM Dividend Fund_Open_min,WisdomTree EM Dividend Fund_Open_volatility,WisdomTree EM Dividend Fund_Open_change,WisdomTree EM Dividend Fund_High_average,WisdomTree EM Dividend Fund_High_max,WisdomTree EM Dividend Fund_High_min,WisdomTree EM Dividend Fund_High_volatility,WisdomTree EM Dividend Fund_High_change,WisdomTree EM Dividend Fund_Low_average,WisdomTree EM Dividend Fund_Low_max,WisdomTree EM Dividend Fund_Low_min,WisdomTree EM Dividend Fund_Low_volatility,WisdomTree EM Dividend Fund_Low_change,WisdomTree EM Dividend Fund_Close_average,WisdomTree EM Dividend Fund_Close_max,WisdomTree EM Dividend Fund_Close_min,WisdomTree EM Dividend Fund_Close_volatility,WisdomTree EM Dividend Fund_Close_change
2018-01-14,35.82,35.82,35.82,0.0,0.0,35.93,35.93,35.93,0.0,0.0,35.69,35.69,35.69,0.0,0.0,35.93,35.93,35.93,0.0,0.0
2018-01-21,36.36,36.36,36.36,0.0,0.0,36.36,36.36,36.36,0.0,0.0,36.18,36.18,36.18,0.0,0.0,36.24,36.24,36.24,0.0,0.0
2018-01-28,35.24,35.24,35.24,0.0,0.0,35.41,35.41,35.41,0.0,0.0,34.52,34.52,34.52,0.0,0.0,34.52,34.52,34.52,0.0,0.0
2018-02-04,33.76,33.76,33.76,0.0,0.0,34.04,34.04,34.04,0.0,0.0,33.71,33.71,33.71,0.0,0.0,33.84,33.84,33.84,0.0,0.0
2018-02-11,35.2,35.2,35.2,0.0,0.0,35.45,35.45,35.45,0.0,0.0,35.16,35.16,35.16,0.0,0.0,35.24,35.24,35.24,0.0,0.0
2018-02-18,35.62,35.62,35.62,0.0,0.0,35.83,35.83,35.83,0.0,0.0,35.5,35.5,35.5,0.0,0.0,35.83,35.83,35.83,0.0,0.0
2018-02-25,34.28,34.28,34.28,0.0,0.0,34.72,34.72,34.72,0.0,0.0,33.95,33.95,33.95,0.0,0.0,34.66,34.66,34.66,0.0,0.0
2018-03-04,35.29,35.29,35.29,0.0,0.0,35.38,35.38,35.38,0.0,0.0,35.22,35.22,35.22,0.0,0.0,35.36,35.36,35.36,0.0,0.0
2018-03-11,34.76,34.76,34.76,0.0,0.0,34.8,34.8,34.8,0.0,0.0,34.52,34.52,34.52,0.0,0.0,34.65,34.65,34.65,0.0,0.0
2018-03-18,34.57,34.57,34.57,0.0,0.0,34.57,34.57,34.57,0.0,0.0,34.57,34.57,34.57,0.0,0.0,34.57,34.57,34.57,0.0,0.0
2018-03-25,34.54,34.54,34.54,0.0,0.0,34.54,34.54,34.54,0.0,0.0,33.83,33.83,33.83,0.0,0.0,33.83,33.83,33.83,0.0,0.0
