Date,FlexShares Credit-Scored US Long Corporate Bond_Open_average,FlexShares Credit-Scored US Long Corporate Bond_Open_max,FlexShares Credit-Scored US Long Corporate Bond_Open_min,FlexShares Credit-Scored US Long Corporate Bond_Open_volatility,FlexShares Credit-Scored US Long Corporate Bond_Open_change,FlexShares Credit-Scored US Long Corporate Bond_High_average,FlexShares Credit-Scored US Long Corporate Bond_High_max,FlexShares Credit-Scored US Long Corporate Bond_High_min,FlexShares Credit-Scored US Long Corporate Bond_High_volatility,FlexShares Credit-Scored US Long Corporate Bond_High_change,FlexShares Credit-Scored US Long Corporate Bond_Low_average,FlexShares Credit-Scored US Long Corporate Bond_Low_max,FlexShares Credit-Scored US Long Corporate Bond_Low_min,FlexShares Credit-Scored US Long Corporate Bond_Low_volatility,FlexShares Credit-Scored US Long Corporate Bond_Low_change,FlexShares Credit-Scored US Long Corporate Bond_Close_average,FlexShares Credit-Scored US Long Corporate Bond_Close_max,FlexShares Credit-Scored US Long Corporate Bond_Close_min,FlexShares Credit-Scored US Long Corporate Bond_Close_volatility,FlexShares Credit-Scored US Long Corporate Bond_Close_change
2018-01-14,54.14,54.14,54.14,0.0,0.0,54.33,54.33,54.33,0.0,0.0,54.14,54.14,54.14,0.0,0.0,54.22,54.22,54.22,0.0,0.0
2018-01-21,54.59,54.59,54.59,0.0,0.0,54.59,54.59,54.59,0.0,0.0,54.45,54.45,54.45,0.0,0.0,54.54,54.54,54.54,0.0,0.0
2018-01-28,53.19,53.19,53.19,0.0,0.0,53.24,53.24,53.24,0.0,0.0,53.01,53.01,53.01,0.0,0.0,53.03,53.03,53.03,0.0,0.0
2018-02-04,52.1,52.1,52.1,0.0,0.0,52.18,52.18,52.18,0.0,0.0,52.1,52.1,52.1,0.0,0.0,52.18,52.18,52.18,0.0,0.0
2018-02-11,51.73,51.73,51.73,0.0,0.0,51.92,51.92,51.92,0.0,0.0,51.73,51.73,51.73,0.0,0.0,51.92,51.92,51.92,0.0,0.0
2018-02-18,52.04,52.04,52.04,0.0,0.0,52.04,52.04,52.04,0.0,0.0,51.83,51.83,51.83,0.0,0.0,51.84,51.84,51.84,0.0,0.0
2018-02-25,51.14,51.14,51.14,0.0,0.0,51.14,51.14,51.14,0.0,0.0,51.1,51.1,51.1,0.0,0.0,51.1,51.1,51.1,0.0,0.0
2018-03-04,50.96,50.96,50.96,0.0,0.0,51.02,51.02,51.02,0.0,0.0,50.84,50.84,50.84,0.0,0.0,51.0,51.0,51.0,0.0,0.0
2018-03-11,51.29,51.29,51.29,0.0,0.0,51.35,51.35,51.35,0.0,0.0,51.29,51.29,51.29,0.0,0.0,51.35,51.35,51.35,0.0,0.0
2018-03-18,51.16,51.16,51.16,0.0,0.0,51.16,51.16,51.16,0.0,0.0,51.05,51.05,51.05,0.0,0.0,51.1,51.1,51.1,0.0,0.0
2018-03-25,51.95,51.95,51.95,0.0,0.0,52.1,52.1,52.1,0.0,0.0,51.95,51.95,51.95,0.0,0.0,52.1,52.1,52.1,0.0,0.0
2018-04-01,52.14,52.14,52.14,0.0,0.0,52.16,52.16,52.16,0.0,0.0,52.14,52.14,52.14,0.0,0.0,52.16,52.16,52.16,0.0,0.0
