Date,Franklin Liberty International Opportunities_Open_average,Franklin Liberty International Opportunities_Open_max,Franklin Liberty International Opportunities_Open_min,Franklin Liberty International Opportunities_Open_volatility,Franklin Liberty International Opportunities_Open_change,Franklin Liberty International Opportunities_High_average,Franklin Liberty International Opportunities_High_max,Franklin Liberty International Opportunities_High_min,Franklin Liberty International Opportunities_High_volatility,Franklin Liberty International Opportunities_High_change,Franklin Liberty International Opportunities_Low_average,Franklin Liberty International Opportunities_Low_max,Franklin Liberty International Opportunities_Low_min,Franklin Liberty International Opportunities_Low_volatility,Franklin Liberty International Opportunities_Low_change,Franklin Liberty International Opportunities_Close_average,Franklin Liberty International Opportunities_Close_max,Franklin Liberty International Opportunities_Close_min,Franklin Liberty International Opportunities_Close_volatility,Franklin Liberty International Opportunities_Close_change
2018-01-14,30.96,30.96,30.96,0.0,0.0,30.96,30.96,30.96,0.0,0.0,30.94,30.94,30.94,0.0,0.0,30.96,30.96,30.96,0.0,0.0
2018-01-21,31.24,31.24,31.24,0.0,0.0,31.24,31.24,31.24,0.0,0.0,31.17,31.17,31.17,0.0,0.0,31.19,31.19,31.19,0.0,0.0
2018-01-28,29.91,29.91,29.91,0.0,0.0,29.91,29.91,29.91,0.0,0.0,29.74,29.74,29.74,0.0,0.0,29.74,29.74,29.74,0.0,0.0
2018-02-04,29.08,29.08,29.08,0.0,0.0,29.08,29.08,29.08,0.0,0.0,29.08,29.08,29.08,0.0,0.0,29.08,29.08,29.08,0.0,0.0
2018-02-11,28.85,28.85,28.85,0.0,0.0,28.85,28.85,28.85,0.0,0.0,28.85,28.85,28.85,0.0,0.0,28.85,28.85,28.85,0.0,0.0
2018-02-18,29.5,29.5,29.5,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.5,29.5,29.5,0.0,0.0
2018-02-25,29.61,29.61,29.61,0.0,0.0,29.63,29.63,29.63,0.0,0.0,29.61,29.61,29.61,0.0,0.0,29.63,29.63,29.63,0.0,0.0
2018-03-04,29.9,29.9,29.9,0.0,0.0,29.9,29.9,29.9,0.0,0.0,29.9,29.9,29.9,0.0,0.0,29.9,29.9,29.9,0.0,0.0
2018-03-11,29.37,29.37,29.37,0.0,0.0,29.37,29.37,29.37,0.0,0.0,29.37,29.37,29.37,0.0,0.0,29.37,29.37,29.37,0.0,0.0
2018-03-18,29.57,29.57,29.57,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.57,29.57,29.57,0.0,0.0
2018-03-25,29.15,29.15,29.15,0.0,0.0,29.15,29.15,29.15,0.0,0.0,29.13,29.13,29.13,0.0,0.0,29.15,29.15,29.15,0.0,0.0
2018-04-01,28.99,28.99,28.99,0.0,0.0,28.99,28.99,28.99,0.0,0.0,28.99,28.99,28.99,0.0,0.0,28.99,28.99,28.99,0.0,0.0
