Date,Guggenheim SolarEtf_Open_average,Guggenheim SolarEtf_Open_max,Guggenheim SolarEtf_Open_min,Guggenheim SolarEtf_Open_volatility,Guggenheim SolarEtf_Open_change,Guggenheim SolarEtf_High_average,Guggenheim SolarEtf_High_max,Guggenheim SolarEtf_High_min,Guggenheim SolarEtf_High_volatility,Guggenheim SolarEtf_High_change,Guggenheim SolarEtf_Low_average,Guggenheim SolarEtf_Low_max,Guggenheim SolarEtf_Low_min,Guggenheim SolarEtf_Low_volatility,Guggenheim SolarEtf_Low_change,Guggenheim SolarEtf_Close_average,Guggenheim SolarEtf_Close_max,Guggenheim SolarEtf_Close_min,Guggenheim SolarEtf_Close_volatility,Guggenheim SolarEtf_Close_change
2018-01-14,26.01,26.01,26.01,0.0,0.0,26.04,26.04,26.04,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.97,25.97,25.97,0.0,0.0
2018-01-21,25.49,25.49,25.49,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.33,25.33,25.33,0.0,0.0,25.51,25.51,25.51,0.0,0.0
2018-01-28,24.55,24.55,24.55,0.0,0.0,24.59,24.59,24.59,0.0,0.0,24.02,24.02,24.02,0.0,0.0,24.05,24.05,24.05,0.0,0.0
2018-02-04,22.43,22.43,22.43,0.0,0.0,22.65,22.65,22.65,0.0,0.0,21.74,21.74,21.74,0.0,0.0,22.4,22.4,22.4,0.0,0.0
2018-02-11,24.61,24.61,24.61,0.0,0.0,24.96,24.96,24.96,0.0,0.0,24.57,24.57,24.57,0.0,0.0,24.84,24.84,24.84,0.0,0.0
2018-02-18,24.97,24.97,24.97,0.0,0.0,25.06,25.06,25.06,0.0,0.0,24.67,24.67,24.67,0.0,0.0,24.91,24.91,24.91,0.0,0.0
2018-02-25,24.0,24.0,24.0,0.0,0.0,24.34,24.34,24.34,0.0,0.0,23.71,23.71,23.71,0.0,0.0,24.31,24.31,24.31,0.0,0.0
2018-03-04,25.18,25.18,25.18,0.0,0.0,25.28,25.28,25.28,0.0,0.0,25.04,25.04,25.04,0.0,0.0,25.25,25.25,25.25,0.0,0.0
2018-03-11,25.08,25.08,25.08,0.0,0.0,25.3,25.3,25.3,0.0,0.0,25.05,25.05,25.05,0.0,0.0,25.22,25.22,25.22,0.0,0.0
2018-03-18,24.79,24.79,24.79,0.0,0.0,25.01,25.01,25.01,0.0,0.0,24.64,24.64,24.64,0.0,0.0,24.64,24.64,24.64,0.0,0.0
2018-03-25,24.3,24.3,24.3,0.0,0.0,24.77,24.77,24.77,0.0,0.0,24.26,24.26,24.26,0.0,0.0,24.56,24.56,24.56,0.0,0.0
2018-04-01,24.64,24.64,24.64,0.0,0.0,24.95,24.95,24.95,0.0,0.0,24.26,24.26,24.26,0.0,0.0,24.38,24.38,24.38,0.0,0.0
2018-04-08,24.95,24.95,24.95,0.0,0.0,24.96,24.96,24.96,0.0,0.0,24.6,24.6,24.6,0.0,0.0,24.69,24.69,24.69,0.0,0.0
2018-04-15,25.24,25.24,25.24,0.0,0.0,25.36,25.36,25.36,0.0,0.0,25.14,25.14,25.14,0.0,0.0,25.3,25.3,25.3,0.0,0.0
2018-04-22,25.03,25.03,25.03,0.0,0.0,25.39,25.39,25.39,0.0,0.0,25.03,25.03,25.03,0.0,0.0,25.11,25.11,25.11,0.0,0.0
2018-04-29,24.06,24.06,24.06,0.0,0.0,24.4,24.4,24.4,0.0,0.0,24.05,24.05,24.05,0.0,0.0,24.25,24.25,24.25,0.0,0.0
2018-05-06,26.23,26.23,26.23,0.0,0.0,26.24,26.24,26.24,0.0,0.0,25.76,25.76,25.76,0.0,0.0,25.9,25.9,25.9,0.0,0.0
