Date,CBBStock_Open_average,CBBStock_Open_max,CBBStock_Open_min,CBBStock_Open_volatility,CBBStock_Open_change,CBBStock_High_average,CBBStock_High_max,CBBStock_High_min,CBBStock_High_volatility,CBBStock_High_change,CBBStock_Low_average,CBBStock_Low_max,CBBStock_Low_min,CBBStock_Low_volatility,CBBStock_Low_change,CBBStock_Close_average,CBBStock_Close_max,CBBStock_Close_min,CBBStock_Close_volatility,CBBStock_Close_change,CBBStock_Volume_average,CBBStock_Volume_max,CBBStock_Volume_min,CBBStock_Volume_volatility,CBBStock_Volume_change
2018-01-14,18.075,18.8,17.55,1.25,-1.25,18.2625,18.85,17.9,0.9500000000000028,-0.9500000000000028,17.6,17.95,17.35,0.5999999999999979,-0.5999999999999979,17.785,18.04,17.6,0.4399999999999977,-0.23999999999999844,239242,335881,196476,139405,7142
2018-01-21,17.9,18.3,17.7,0.6000000000000014,0.0,18.16,18.45,17.8,0.6499999999999986,-0.6499999999999986,17.59,17.8,17.35,0.4499999999999993,-0.3000000000000007,17.85,18.4,17.6,0.7999999999999972,-0.7999999999999972,215701,250391,188941,61450,-7970
2018-01-28,17.38,17.55,17.15,0.40000000000000213,-0.3500000000000014,17.578,17.9,17.29,0.6099999999999994,-0.6099999999999994,17.06,17.4,16.5,0.8999999999999986,-0.8999999999999986,17.22,17.6,16.5,1.1000000000000014,-1.1000000000000014,184145,200265,168444,31821,31821
2018-02-04,15.85,16.4,15.4,0.9999999999999982,-0.9999999999999982,16.14,16.85,15.55,1.3000000000000007,-1.3000000000000007,15.44,15.9,14.7,1.200000000000001,-1.200000000000001,15.6,16.0,14.95,1.0500000000000007,-1.0500000000000007,382641,589726,197411,392315,-192313
2018-02-11,14.879999999999999,15.35,14.0,1.3499999999999996,0.05000000000000071,15.5,15.9,15.35,0.5500000000000007,0.34999999999999964,14.708,15.0,14.0,1.0,0.1999999999999993,15.3,15.6,15.15,0.4499999999999993,0.1999999999999993,350828,538385,216263,322122,-109713
2018-02-18,15.024999999999999,15.45,14.45,1.0,-1.0,15.3825,15.73,15.1,0.6300000000000008,-0.5800000000000001,14.7,15.15,14.3,0.8499999999999996,-0.8000000000000007,14.925,15.15,14.4,0.75,0.0,405174,521843,336838,185005,-185005
2018-02-25,15.78,16.1,15.2,0.9000000000000021,0.75,16.286,16.6,16.05,0.5500000000000007,-0.029999999999997584,15.55,16.05,15.2,0.8500000000000014,0.15000000000000036,15.82,16.15,15.5,0.6499999999999986,-0.3000000000000007,671319,1015893,444733,571160,194478
2018-03-04,15.57,15.7,15.4,0.29999999999999893,0.29999999999999893,15.87,16.0,15.75,0.25,-0.25,15.336,15.5,15.15,0.34999999999999964,-0.25,15.59,15.7,15.3,0.3999999999999986,-0.3999999999999986,391045,515583,289830,225753,156554
2018-03-11,15.049999999999999,15.25,14.85,0.40000000000000036,-0.40000000000000036,15.31,15.55,15.1,0.45000000000000107,0.10000000000000142,14.724,14.85,14.6,0.25,-0.07000000000000028,15.08,15.55,14.75,0.8000000000000007,0.3500000000000014,729392,1826196,320016,1506180,1363896
2018-03-18,14.17,15.3,13.6,1.700000000000001,-1.700000000000001,14.34,15.45,13.65,1.799999999999999,-1.799999999999999,13.69,14.15,13.3,0.8499999999999996,-0.8499999999999996,13.8,14.3,13.35,0.9500000000000011,-0.9500000000000011,525671,948715,345895,602820,-544138
2018-03-25,13.725,13.9,13.5,0.40000000000000036,0.25,13.925,13.95,13.9,0.049999999999998934,0.0,13.4125,13.55,13.35,0.20000000000000107,0.0,13.7375,13.85,13.65,0.1999999999999993,0.15000000000000036,307350,368384,187056,181328,5862
2018-04-01,13.68,14.1,13.25,0.8499999999999996,0.0,14.016,14.38,13.5,0.8800000000000008,0.4300000000000015,13.404,13.82,13.0,0.8200000000000003,0.75,13.74,14.25,13.1,1.1500000000000004,1.1500000000000004,322635,422359,265472,156887,53216
2018-04-08,14.34,14.55,14.25,0.3000000000000007,-0.05000000000000071,14.5,14.7,14.3,0.3999999999999986,0.09999999999999964,14.06,14.2,13.9,0.29999999999999893,0.20000000000000107,14.27,14.4,14.15,0.25,-0.049999999999998934,244133,359608,128708,230900,-230900
