Date,AdvisorShares Wilshire Buyback_Open_average,AdvisorShares Wilshire Buyback_Open_max,AdvisorShares Wilshire Buyback_Open_min,AdvisorShares Wilshire Buyback_Open_volatility,AdvisorShares Wilshire Buyback_Open_change,AdvisorShares Wilshire Buyback_High_average,AdvisorShares Wilshire Buyback_High_max,AdvisorShares Wilshire Buyback_High_min,AdvisorShares Wilshire Buyback_High_volatility,AdvisorShares Wilshire Buyback_High_change,AdvisorShares Wilshire Buyback_Low_average,AdvisorShares Wilshire Buyback_Low_max,AdvisorShares Wilshire Buyback_Low_min,AdvisorShares Wilshire Buyback_Low_volatility,AdvisorShares Wilshire Buyback_Low_change,AdvisorShares Wilshire Buyback_Close_average,AdvisorShares Wilshire Buyback_Close_max,AdvisorShares Wilshire Buyback_Close_min,AdvisorShares Wilshire Buyback_Close_volatility,AdvisorShares Wilshire Buyback_Close_change
2018-01-14,74.04,74.04,74.04,0.0,0.0,74.52,74.52,74.52,0.0,0.0,74.04,74.04,74.04,0.0,0.0,74.52,74.52,74.52,0.0,0.0
2018-01-21,75.38,75.38,75.38,0.0,0.0,75.61,75.61,75.61,0.0,0.0,75.37,75.37,75.37,0.0,0.0,75.43,75.43,75.43,0.0,0.0
2018-01-28,71.84,71.84,71.84,0.0,0.0,72.66,72.66,72.66,0.0,0.0,69.92,69.92,69.92,0.0,0.0,70.86,70.86,70.86,0.0,0.0
2018-02-04,69.19,69.19,69.19,0.0,0.0,70.0,70.0,70.0,0.0,0.0,68.9,68.9,68.9,0.0,0.0,69.87,69.87,69.87,0.0,0.0
2018-02-11,71.34,71.34,71.34,0.0,0.0,71.55,71.55,71.55,0.0,0.0,71.33,71.33,71.33,0.0,0.0,71.5,71.5,71.5,0.0,0.0
2018-02-18,71.14,71.14,71.14,0.0,0.0,71.67,71.67,71.67,0.0,0.0,71.14,71.14,71.14,0.0,0.0,71.67,71.67,71.67,0.0,0.0
2018-02-25,69.78,69.78,69.78,0.0,0.0,70.61,70.61,70.61,0.0,0.0,69.68,69.68,69.68,0.0,0.0,70.61,70.61,70.61,0.0,0.0
2018-03-04,71.75,71.75,71.75,0.0,0.0,71.78,71.78,71.78,0.0,0.0,71.68,71.68,71.68,0.0,0.0,71.78,71.78,71.78,0.0,0.0
2018-03-11,70.47,70.47,70.47,0.0,0.0,70.47,70.47,70.47,0.0,0.0,69.8,69.8,69.8,0.0,0.0,70.14,70.14,70.14,0.0,0.0
2018-03-18,67.59,67.59,67.59,0.0,0.0,68.51,68.51,68.51,0.0,0.0,67.59,67.59,67.59,0.0,0.0,68.51,68.51,68.51,0.0,0.0
2018-03-25,68.06,68.06,68.06,0.0,0.0,68.06,68.06,68.06,0.0,0.0,66.54,66.54,66.54,0.0,0.0,67.06,67.06,67.06,0.0,0.0
2018-04-01,67.7,67.7,67.7,0.0,0.0,68.23,68.23,68.23,0.0,0.0,67.64,67.64,67.64,0.0,0.0,67.77,67.77,67.77,0.0,0.0
2018-04-08,67.65,67.65,67.65,0.0,0.0,68.84,68.84,68.84,0.0,0.0,67.65,67.65,67.65,0.0,0.0,68.7,68.7,68.7,0.0,0.0
2018-04-15,68.18,68.18,68.18,0.0,0.0,68.59,68.59,68.59,0.0,0.0,68.12,68.12,68.12,0.0,0.0,68.34,68.34,68.34,0.0,0.0
2018-04-22,68.3,68.3,68.3,0.0,0.0,68.58,68.58,68.58,0.0,0.0,67.77,67.77,67.77,0.0,0.0,67.77,67.77,67.77,0.0,0.0
