Date,iShares Edge MSCI Multifactor USA_Open_average,iShares Edge MSCI Multifactor USA_Open_max,iShares Edge MSCI Multifactor USA_Open_min,iShares Edge MSCI Multifactor USA_Open_volatility,iShares Edge MSCI Multifactor USA_Open_change,iShares Edge MSCI Multifactor USA_High_average,iShares Edge MSCI Multifactor USA_High_max,iShares Edge MSCI Multifactor USA_High_min,iShares Edge MSCI Multifactor USA_High_volatility,iShares Edge MSCI Multifactor USA_High_change,iShares Edge MSCI Multifactor USA_Low_average,iShares Edge MSCI Multifactor USA_Low_max,iShares Edge MSCI Multifactor USA_Low_min,iShares Edge MSCI Multifactor USA_Low_volatility,iShares Edge MSCI Multifactor USA_Low_change,iShares Edge MSCI Multifactor USA_Close_average,iShares Edge MSCI Multifactor USA_Close_max,iShares Edge MSCI Multifactor USA_Close_min,iShares Edge MSCI Multifactor USA_Close_volatility,iShares Edge MSCI Multifactor USA_Close_change
2018-01-14,33.44,33.44,33.44,0.0,0.0,33.54,33.54,33.54,0.0,0.0,33.35,33.35,33.35,0.0,0.0,33.54,33.54,33.54,0.0,0.0
2018-01-21,33.86,33.86,33.86,0.0,0.0,33.92,33.92,33.92,0.0,0.0,33.58,33.58,33.58,0.0,0.0,33.58,33.58,33.58,0.0,0.0
2018-01-28,32.18,32.18,32.18,0.0,0.0,32.49,32.49,32.49,0.0,0.0,31.28,31.28,31.28,0.0,0.0,31.29,31.29,31.29,0.0,0.0
2018-02-04,31.08,31.08,31.08,0.0,0.0,31.49,31.49,31.49,0.0,0.0,30.9,30.9,30.9,0.0,0.0,31.29,31.29,31.29,0.0,0.0
2018-02-11,32.15,32.15,32.15,0.0,0.0,32.44,32.44,32.44,0.0,0.0,32.08,32.08,32.08,0.0,0.0,32.26,32.26,32.26,0.0,0.0
2018-02-18,32.44,32.44,32.44,0.0,0.0,32.62,32.62,32.62,0.0,0.0,32.34,32.34,32.34,0.0,0.0,32.6,32.6,32.6,0.0,0.0
2018-02-25,31.56,31.56,31.56,0.0,0.0,32.11,32.11,32.11,0.0,0.0,31.56,31.56,31.56,0.0,0.0,32.05,32.05,32.05,0.0,0.0
2018-03-04,32.81,32.81,32.81,0.0,0.0,32.82,32.82,32.82,0.0,0.0,32.63,32.63,32.63,0.0,0.0,32.67,32.67,32.67,0.0,0.0
2018-03-11,32.39,32.39,32.39,0.0,0.0,32.41,32.41,32.41,0.0,0.0,32.03,32.03,32.03,0.0,0.0,32.25,32.25,32.25,0.0,0.0
2018-03-18,31.27,31.27,31.27,0.0,0.0,31.65,31.65,31.65,0.0,0.0,31.06,31.06,31.06,0.0,0.0,31.63,31.63,31.63,0.0,0.0
2018-03-25,31.44,31.44,31.44,0.0,0.0,31.48,31.48,31.48,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.91,30.91,30.91,0.0,0.0
2018-04-01,31.26,31.26,31.26,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.15,31.15,31.15,0.0,0.0,31.16,31.16,31.16,0.0,0.0
2018-04-08,31.95,31.95,31.95,0.0,0.0,32.17,32.17,32.17,0.0,0.0,31.91,31.91,31.91,0.0,0.0,32.11,32.11,32.11,0.0,0.0
2018-04-15,32.14,32.14,32.14,0.0,0.0,32.2,32.2,32.2,0.0,0.0,31.93,31.93,31.93,0.0,0.0,32.06,32.06,32.06,0.0,0.0
2018-04-22,31.97,31.97,31.97,0.0,0.0,32.06,32.06,32.06,0.0,0.0,31.64,31.64,31.64,0.0,0.0,31.64,31.64,31.64,0.0,0.0
2018-04-29,32.02,32.02,32.02,0.0,0.0,32.05,32.05,32.05,0.0,0.0,31.86,31.86,31.86,0.0,0.0,31.93,31.93,31.93,0.0,0.0
2018-05-06,32.61,32.61,32.61,0.0,0.0,32.64,32.64,32.64,0.0,0.0,32.4,32.4,32.4,0.0,0.0,32.47,32.47,32.47,0.0,0.0
2018-05-13,32.67,32.67,32.67,0.0,0.0,32.76,32.76,32.76,0.0,0.0,32.63,32.63,32.63,0.0,0.0,32.72,32.72,32.72,0.0,0.0
2018-05-20,32.56,32.56,32.56,0.0,0.0,32.56,32.56,32.56,0.0,0.0,32.41,32.41,32.41,0.0,0.0,32.49,32.49,32.49,0.0,0.0
2018-05-27,32.76,32.76,32.76,0.0,0.0,32.88,32.88,32.88,0.0,0.0,32.76,32.76,32.76,0.0,0.0,32.86,32.86,32.86,0.0,0.0
2018-06-03,33.25,33.25,33.25,0.0,0.0,33.32,33.32,33.32,0.0,0.0,33.22,33.22,33.22,0.0,0.0,33.26,33.26,33.26,0.0,0.0
2018-06-10,33.04,33.04,33.04,0.0,0.0,33.2,33.2,33.2,0.0,0.0,32.99,32.99,32.99,0.0,0.0,33.19,33.19,33.19,0.0,0.0
2018-06-17,32.5,32.5,32.5,0.0,0.0,32.5,32.5,32.5,0.0,0.0,32.13,32.13,32.13,0.0,0.0,32.29,32.29,32.29,0.0,0.0
2018-06-24,31.8,31.8,31.8,0.0,0.0,32.03,32.03,32.03,0.0,0.0,31.75,31.75,31.75,0.0,0.0,32.03,32.03,32.03,0.0,0.0
2018-07-01,32.5,32.5,32.5,0.0,0.0,32.66,32.66,32.66,0.0,0.0,32.49,32.49,32.49,0.0,0.0,32.66,32.66,32.66,0.0,0.0
2018-07-08,32.77,32.77,32.77,0.0,0.0,32.77,32.77,32.77,0.0,0.0,32.64,32.64,32.64,0.0,0.0,32.65,32.65,32.65,0.0,0.0
2018-07-15,32.74,32.74,32.74,0.0,0.0,32.85,32.85,32.85,0.0,0.0,32.69,32.69,32.69,0.0,0.0,32.81,32.81,32.81,0.0,0.0
2018-07-22,32.99,32.99,32.99,0.0,0.0,33.01,33.01,33.01,0.0,0.0,32.8,32.8,32.8,0.0,0.0,32.81,32.81,32.81,0.0,0.0
2018-07-29,33.12,33.12,33.12,0.0,0.0,33.27,33.27,33.27,0.0,0.0,33.12,33.12,33.12,0.0,0.0,33.25,33.25,33.25,0.0,0.0
2018-08-05,33.19,33.19,33.19,0.0,0.0,33.28,33.28,33.28,0.0,0.0,33.0,33.0,33.0,0.0,0.0,33.05,33.05,33.05,0.0,0.0
2018-08-12,33.52,33.52,33.52,0.0,0.0,33.6,33.6,33.6,0.0,0.0,33.43,33.43,33.43,0.0,0.0,33.53,33.53,33.53,0.0,0.0
2018-08-19,33.9,33.9,33.9,0.0,0.0,34.03,34.03,34.03,0.0,0.0,33.9,33.9,33.9,0.0,0.0,33.96,33.96,33.96,0.0,0.0
2018-08-26,33.93,33.93,33.93,0.0,0.0,34.03,34.03,34.03,0.0,0.0,33.88,33.88,33.88,0.0,0.0,33.97,33.97,33.97,0.0,0.0
2018-09-02,33.7,33.7,33.7,0.0,0.0,33.74,33.74,33.74,0.0,0.0,33.64,33.64,33.64,0.0,0.0,33.66,33.66,33.66,0.0,0.0
2018-09-09,33.99,33.99,33.99,0.0,0.0,34.03,34.03,34.03,0.0,0.0,33.79,33.79,33.79,0.0,0.0,33.82,33.82,33.82,0.0,0.0
2018-09-16,34.03,34.03,34.03,0.0,0.0,34.04,34.04,34.04,0.0,0.0,33.91,33.91,33.91,0.0,0.0,33.96,33.96,33.96,0.0,0.0
2018-09-23,33.78,33.78,33.78,0.0,0.0,33.84,33.84,33.84,0.0,0.0,33.61,33.61,33.61,0.0,0.0,33.67,33.67,33.67,0.0,0.0
2018-09-30,33.22,33.22,33.22,0.0,0.0,33.26,33.26,33.26,0.0,0.0,32.97,32.97,32.97,0.0,0.0,33.21,33.21,33.21,0.0,0.0
2018-10-07,31.67,31.67,31.67,0.0,0.0,31.84,31.84,31.84,0.0,0.0,31.61,31.61,31.61,0.0,0.0,31.64,31.64,31.64,0.0,0.0
2018-10-14,31.59,31.59,31.59,0.0,0.0,31.6,31.6,31.6,0.0,0.0,31.34,31.34,31.34,0.0,0.0,31.48,31.48,31.48,0.0,0.0
2018-10-21,30.68,30.68,30.68,0.0,0.0,30.88,30.88,30.88,0.0,0.0,29.88,29.88,29.88,0.0,0.0,30.23,30.23,30.23,0.0,0.0
2018-10-28,31.33,31.33,31.33,0.0,0.0,31.59,31.59,31.59,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.5,31.5,31.5,0.0,0.0
2018-11-04,31.72,31.72,31.72,0.0,0.0,31.72,31.72,31.72,0.0,0.0,31.19,31.19,31.19,0.0,0.0,31.23,31.23,31.23,0.0,0.0
