Date,VanEck Vectors Coal_Open_average,VanEck Vectors Coal_Open_max,VanEck Vectors Coal_Open_volatility,VanEck Vectors Coal_Open_change,VanEck Vectors Coal_High_average,VanEck Vectors Coal_High_max,VanEck Vectors Coal_High_volatility,VanEck Vectors Coal_High_change,VanEck Vectors Coal_Low_average,VanEck Vectors Coal_Low_max,VanEck Vectors Coal_Low_volatility,VanEck Vectors Coal_Low_change,VanEck Vectors Coal_Close_average,VanEck Vectors Coal_Close_max,VanEck Vectors Coal_Close_volatility,VanEck Vectors Coal_Close_change
2016-01-03,57.15,57.15,0.0,0.0,57.15,57.15,0.0,0.0,55.25,55.25,0.0,0.0,55.85,55.85,0.0,0.0
2016-01-10,52.85,52.85,0.0,0.0,53.25,53.25,0.0,0.0,52.35,52.35,0.0,0.0,53.25,53.25,0.0,0.0
2016-01-17,55.35,55.35,0.0,0.0,55.75,55.75,0.0,0.0,54.25,54.25,0.0,0.0,54.35,54.35,0.0,0.0
2016-01-24,58.54,58.54,0.0,0.0,58.94,58.94,0.0,0.0,58.05,58.05,0.0,0.0,58.84,58.84,0.0,0.0
2016-01-31,61.34,61.34,0.0,0.0,61.34,61.34,0.0,0.0,60.44,60.44,0.0,0.0,61.04,61.04,0.0,0.0
2016-02-07,58.44,58.44,0.0,0.0,60.54,60.54,0.0,0.0,58.44,58.44,0.0,0.0,60.34,60.34,0.0,0.0
2016-02-14,64.94,64.94,0.0,0.0,67.24,67.24,0.0,0.0,64.94,64.94,0.0,0.0,66.94,66.94,0.0,0.0
2016-02-21,64.94,64.94,0.0,0.0,65.94,65.94,0.0,0.0,64.65,64.65,0.0,0.0,64.94,64.94,0.0,0.0
2016-02-28,75.63,75.63,0.0,0.0,78.23,78.23,0.0,0.0,75.63,75.63,0.0,0.0,77.83,77.83,0.0,0.0
2016-03-06,76.03,76.03,0.0,0.0,76.53,76.53,0.0,0.0,75.53,75.53,0.0,0.0,76.03,76.03,0.0,0.0
2016-03-13,76.73,76.73,0.0,0.0,77.43,77.43,0.0,0.0,76.23,76.23,0.0,0.0,76.83,76.83,0.0,0.0
2016-03-20,74.33,74.33,0.0,0.0,74.53,74.53,0.0,0.0,73.63,73.63,0.0,0.0,74.43,74.43,0.0,0.0
2016-03-27,74.83,74.83,0.0,0.0,75.13,75.13,0.0,0.0,73.93,73.93,0.0,0.0,74.13,74.13,0.0,0.0
2016-04-03,75.83,75.83,0.0,0.0,77.35,77.35,0.0,0.0,75.83,75.83,0.0,0.0,76.93,76.93,0.0,0.0
2016-04-10,82.12,82.12,0.0,0.0,84.12,84.12,0.0,0.0,81.52,81.52,0.0,0.0,83.62,83.62,0.0,0.0
2016-04-17,85.62,85.62,0.0,0.0,85.62,85.62,0.0,0.0,84.92,84.92,0.0,0.0,85.12,85.12,0.0,0.0
2016-04-24,87.22,87.22,0.0,0.0,87.61,87.61,0.0,0.0,86.42,86.42,0.0,0.0,87.42,87.42,0.0,0.0
2016-05-01,81.22,81.22,0.0,0.0,81.22,81.22,0.0,0.0,78.13,78.13,0.0,0.0,78.33,78.33,0.0,0.0
2016-05-08,78.03,78.03,0.0,0.0,79.12,79.12,0.0,0.0,78.03,78.03,0.0,0.0,78.43,78.43,0.0,0.0
2016-05-15,76.83,76.83,0.0,0.0,77.53,77.53,0.0,0.0,76.73,76.73,0.0,0.0,77.03,77.03,0.0,0.0
2016-05-22,79.87,79.87,0.0,0.0,80.22,80.22,0.0,0.0,79.42,79.42,0.0,0.0,79.7,79.7,0.0,0.0
2016-05-29,85.52,85.52,0.0,0.0,86.72,86.72,0.0,0.0,85.37,85.37,0.0,0.0,86.32,86.32,0.0,0.0
2016-06-05,83.42,83.42,0.0,0.0,85.28,85.28,0.0,0.0,83.42,83.42,0.0,0.0,83.92,83.92,0.0,0.0
