Date,iShares Intermediate GovtCredit Bond_etf_Open_average,iShares Intermediate GovtCredit Bond_etf_Open_max,iShares Intermediate GovtCredit Bond_etf_Open_min,iShares Intermediate GovtCredit Bond_etf_Open_volatility,iShares Intermediate GovtCredit Bond_etf_Open_change,iShares Intermediate GovtCredit Bond_etf_High_average,iShares Intermediate GovtCredit Bond_etf_High_max,iShares Intermediate GovtCredit Bond_etf_High_min,iShares Intermediate GovtCredit Bond_etf_High_volatility,iShares Intermediate GovtCredit Bond_etf_High_change,iShares Intermediate GovtCredit Bond_etf_Low_average,iShares Intermediate GovtCredit Bond_etf_Low_max,iShares Intermediate GovtCredit Bond_etf_Low_min,iShares Intermediate GovtCredit Bond_etf_Low_volatility,iShares Intermediate GovtCredit Bond_etf_Low_change,iShares Intermediate GovtCredit Bond_etf_Close_average,iShares Intermediate GovtCredit Bond_etf_Close_max,iShares Intermediate GovtCredit Bond_etf_Close_min,iShares Intermediate GovtCredit Bond_etf_Close_volatility,iShares Intermediate GovtCredit Bond_etf_Close_change
2018-01-14,109.01,109.01,109.01,0.0,0.0,109.13,109.13,109.13,0.0,0.0,108.94,108.94,108.94,0.0,0.0,109.02,109.02,109.02,0.0,0.0
2018-01-21,109.14,109.14,109.14,0.0,0.0,109.14,109.14,109.14,0.0,0.0,108.93,108.93,108.93,0.0,0.0,109.0,109.0,109.0,0.0,0.0
2018-01-28,108.25,108.25,108.25,0.0,0.0,108.46,108.46,108.46,0.0,0.0,108.25,108.25,108.25,0.0,0.0,108.3,108.3,108.3,0.0,0.0
2018-02-04,108.45,108.45,108.45,0.0,0.0,108.56,108.56,108.56,0.0,0.0,108.22,108.22,108.22,0.0,0.0,108.34,108.34,108.34,0.0,0.0
2018-02-11,108.07,108.07,108.07,0.0,0.0,108.21,108.21,108.21,0.0,0.0,108.04,108.04,108.04,0.0,0.0,108.16,108.16,108.16,0.0,0.0
2018-02-18,108.15,108.15,108.15,0.0,0.0,108.22,108.22,108.22,0.0,0.0,108.05,108.05,108.05,0.0,0.0,108.18,108.18,108.18,0.0,0.0
2018-02-25,108.02,108.02,108.02,0.0,0.0,108.08,108.08,108.08,0.0,0.0,107.84,107.84,107.84,0.0,0.0,107.94,107.94,107.94,0.0,0.0
2018-03-04,107.77,107.77,107.77,0.0,0.0,107.9,107.9,107.9,0.0,0.0,107.77,107.77,107.77,0.0,0.0,107.84,107.84,107.84,0.0,0.0
2018-03-11,108.05,108.05,108.05,0.0,0.0,108.05,108.05,108.05,0.0,0.0,107.85,107.85,107.85,0.0,0.0,107.86,107.86,107.86,0.0,0.0
2018-03-18,107.99,107.99,107.99,0.0,0.0,108.04,108.04,108.04,0.0,0.0,107.89,107.89,107.89,0.0,0.0,108.04,108.04,108.04,0.0,0.0
