Date,ProShares Short SmallCap600Etf_Open_average,ProShares Short SmallCap600Etf_Open_max,ProShares Short SmallCap600Etf_Open_min,ProShares Short SmallCap600Etf_Open_volatility,ProShares Short SmallCap600Etf_Open_change,ProShares Short SmallCap600Etf_High_average,ProShares Short SmallCap600Etf_High_max,ProShares Short SmallCap600Etf_High_min,ProShares Short SmallCap600Etf_High_volatility,ProShares Short SmallCap600Etf_High_change,ProShares Short SmallCap600Etf_Low_average,ProShares Short SmallCap600Etf_Low_max,ProShares Short SmallCap600Etf_Low_min,ProShares Short SmallCap600Etf_Low_volatility,ProShares Short SmallCap600Etf_Low_change,ProShares Short SmallCap600Etf_Close_average,ProShares Short SmallCap600Etf_Close_max,ProShares Short SmallCap600Etf_Close_min,ProShares Short SmallCap600Etf_Close_volatility,ProShares Short SmallCap600Etf_Close_change
2018-01-14,33.17,33.17,33.17,0.0,0.0,33.37,33.37,33.37,0.0,0.0,33.17,33.17,33.17,0.0,0.0,33.37,33.37,33.37,0.0,0.0
2018-01-21,32.8,32.8,32.8,0.0,0.0,32.84,32.84,32.84,0.0,0.0,32.8,32.8,32.8,0.0,0.0,32.84,32.84,32.84,0.0,0.0
2018-01-28,33.37,33.37,33.37,0.0,0.0,34.05,34.05,34.05,0.0,0.0,33.37,33.37,33.37,0.0,0.0,34.03,34.03,34.03,0.0,0.0
2018-02-04,36.06,36.06,36.06,0.0,0.0,36.31,36.31,36.31,0.0,0.0,35.82,35.82,35.82,0.0,0.0,35.82,35.82,35.82,0.0,0.0
2018-02-11,33.89,33.89,33.89,0.0,0.0,34.03,34.03,34.03,0.0,0.0,33.85,33.85,33.85,0.0,0.0,33.92,33.92,33.92,0.0,0.0
2018-02-18,33.96,33.96,33.96,0.0,0.0,33.96,33.96,33.96,0.0,0.0,33.96,33.96,33.96,0.0,0.0,33.96,33.96,33.96,0.0,0.0
2018-02-25,34.92,34.92,34.92,0.0,0.0,35.0,35.0,35.0,0.0,0.0,34.83,34.83,34.83,0.0,0.0,34.83,34.83,34.83,0.0,0.0
2018-03-04,33.01,33.01,33.01,0.0,0.0,33.01,33.01,33.01,0.0,0.0,33.0,33.0,33.0,0.0,0.0,33.0,33.0,33.0,0.0,0.0
2018-03-11,33.22,33.22,33.22,0.0,0.0,33.24,33.24,33.24,0.0,0.0,33.2,33.2,33.2,0.0,0.0,33.2,33.2,33.2,0.0,0.0
2018-03-18,34.14,34.14,34.14,0.0,0.0,34.14,34.14,34.14,0.0,0.0,34.14,34.14,34.14,0.0,0.0,34.14,34.14,34.14,0.0,0.0
2018-03-25,33.85,33.85,33.85,0.0,0.0,33.86,33.86,33.86,0.0,0.0,33.85,33.85,33.85,0.0,0.0,33.86,33.86,33.86,0.0,0.0
2018-04-01,34.31,34.31,34.31,0.0,0.0,34.31,34.31,34.31,0.0,0.0,34.31,34.31,34.31,0.0,0.0,34.31,34.31,34.31,0.0,0.0
2018-04-08,33.28,33.28,33.28,0.0,0.0,33.28,33.28,33.28,0.0,0.0,33.28,33.28,33.28,0.0,0.0,33.28,33.28,33.28,0.0,0.0
2018-04-15,32.96,32.96,32.96,0.0,0.0,32.96,32.96,32.96,0.0,0.0,32.96,32.96,32.96,0.0,0.0,32.96,32.96,32.96,0.0,0.0
2018-04-22,33.51,33.51,33.51,0.0,0.0,33.55,33.55,33.55,0.0,0.0,33.51,33.51,33.51,0.0,0.0,33.55,33.55,33.55,0.0,0.0
2018-04-29,33.3,33.3,33.3,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.3,33.3,33.3,0.0,0.0
2018-05-06,32.28,32.28,32.28,0.0,0.0,32.28,32.28,32.28,0.0,0.0,32.28,32.28,32.28,0.0,0.0,32.28,32.28,32.28,0.0,0.0
2018-05-13,32.36,32.36,32.36,0.0,0.0,32.36,32.36,32.36,0.0,0.0,32.36,32.36,32.36,0.0,0.0,32.36,32.36,32.36,0.0,0.0
2018-05-20,31.88,31.88,31.88,0.0,0.0,31.88,31.88,31.88,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.59,31.59,31.59,0.0,0.0
2018-05-27,30.62,30.62,30.62,0.0,0.0,30.62,30.62,30.62,0.0,0.0,30.62,30.62,30.62,0.0,0.0,30.62,30.62,30.62,0.0,0.0
2018-06-03,30.5,30.5,30.5,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.5,30.5,30.5,0.0,0.0
2018-06-10,30.73,30.73,30.73,0.0,0.0,30.74,30.74,30.74,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.61,30.61,30.61,0.0,0.0
2018-06-17,30.37,30.37,30.37,0.0,0.0,30.37,30.37,30.37,0.0,0.0,30.37,30.37,30.37,0.0,0.0,30.37,30.37,30.37,0.0,0.0
2018-06-24,31.3,31.3,31.3,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.27,31.27,31.27,0.0,0.0,31.27,31.27,31.27,0.0,0.0
2018-07-01,30.35,30.35,30.35,0.0,0.0,30.35,30.35,30.35,0.0,0.0,30.35,30.35,30.35,0.0,0.0,30.35,30.35,30.35,0.0,0.0
2018-07-08,30.27,30.27,30.27,0.0,0.0,30.27,30.27,30.27,0.0,0.0,30.27,30.27,30.27,0.0,0.0,30.27,30.27,30.27,0.0,0.0
2018-07-15,29.97,29.97,29.97,0.0,0.0,29.97,29.97,29.97,0.0,0.0,29.97,29.97,29.97,0.0,0.0,29.97,29.97,29.97,0.0,0.0
2018-07-22,30.44,30.44,30.44,0.0,0.0,30.53,30.53,30.53,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.53,30.53,30.53,0.0,0.0
