Date,First Trust Small Cap Growth AlphaDEX_Open_average,First Trust Small Cap Growth AlphaDEX_Open_max,First Trust Small Cap Growth AlphaDEX_Open_min,First Trust Small Cap Growth AlphaDEX_Open_volatility,First Trust Small Cap Growth AlphaDEX_Open_change,First Trust Small Cap Growth AlphaDEX_High_average,First Trust Small Cap Growth AlphaDEX_High_max,First Trust Small Cap Growth AlphaDEX_High_min,First Trust Small Cap Growth AlphaDEX_High_volatility,First Trust Small Cap Growth AlphaDEX_High_change,First Trust Small Cap Growth AlphaDEX_Low_average,First Trust Small Cap Growth AlphaDEX_Low_max,First Trust Small Cap Growth AlphaDEX_Low_min,First Trust Small Cap Growth AlphaDEX_Low_volatility,First Trust Small Cap Growth AlphaDEX_Low_change,First Trust Small Cap Growth AlphaDEX_Close_average,First Trust Small Cap Growth AlphaDEX_Close_max,First Trust Small Cap Growth AlphaDEX_Close_min,First Trust Small Cap Growth AlphaDEX_Close_volatility,First Trust Small Cap Growth AlphaDEX_Close_change
2018-01-14,43.66,43.66,43.66,0.0,0.0,44.08,44.08,44.08,0.0,0.0,43.66,43.66,43.66,0.0,0.0,43.99,43.99,43.99,0.0,0.0
2018-01-21,44.62,44.62,44.62,0.0,0.0,44.62,44.62,44.62,0.0,0.0,44.2,44.2,44.2,0.0,0.0,44.56,44.56,44.56,0.0,0.0
2018-01-28,43.52,43.52,43.52,0.0,0.0,43.52,43.52,43.52,0.0,0.0,42.79,42.79,42.79,0.0,0.0,42.93,42.93,42.93,0.0,0.0
2018-02-04,41.11,41.11,41.11,0.0,0.0,41.39,41.39,41.39,0.0,0.0,39.88,39.88,39.88,0.0,0.0,41.03,41.03,41.03,0.0,0.0
2018-02-11,42.85,42.85,42.85,0.0,0.0,43.42,43.42,43.42,0.0,0.0,42.85,42.85,42.85,0.0,0.0,43.27,43.27,43.27,0.0,0.0
2018-02-18,43.12,43.12,43.12,0.0,0.0,43.46,43.46,43.46,0.0,0.0,42.92,42.92,42.92,0.0,0.0,43.46,43.46,43.46,0.0,0.0
2018-02-25,41.85,41.85,41.85,0.0,0.0,43.03,43.03,43.03,0.0,0.0,41.85,41.85,41.85,0.0,0.0,43.03,43.03,43.03,0.0,0.0
2018-03-04,44.42,44.42,44.42,0.0,0.0,44.88,44.88,44.88,0.0,0.0,44.42,44.42,44.42,0.0,0.0,44.88,44.88,44.88,0.0,0.0
2018-03-11,44.69,44.69,44.69,0.0,0.0,44.86,44.86,44.86,0.0,0.0,44.58,44.58,44.58,0.0,0.0,44.79,44.79,44.79,0.0,0.0
2018-03-18,44.03,44.03,44.03,0.0,0.0,44.03,44.03,44.03,0.0,0.0,42.97,42.97,42.97,0.0,0.0,42.98,42.98,42.98,0.0,0.0
2018-03-25,42.92,42.92,42.92,0.0,0.0,43.7,43.7,43.7,0.0,0.0,42.92,42.92,42.92,0.0,0.0,43.38,43.38,43.38,0.0,0.0
2018-04-01,43.5,43.5,43.5,0.0,0.0,43.64,43.64,43.64,0.0,0.0,42.5,42.5,42.5,0.0,0.0,42.67,42.67,42.67,0.0,0.0
2018-04-08,44.48,44.48,44.48,0.0,0.0,44.48,44.48,44.48,0.0,0.0,43.78,43.78,43.78,0.0,0.0,43.94,43.94,43.94,0.0,0.0
2018-04-15,44.75,44.75,44.75,0.0,0.0,45.01,45.01,45.01,0.0,0.0,44.51,44.51,44.51,0.0,0.0,44.56,44.56,44.56,0.0,0.0
2018-04-22,44.36,44.36,44.36,0.0,0.0,44.36,44.36,44.36,0.0,0.0,43.96,43.96,43.96,0.0,0.0,44.2,44.2,44.2,0.0,0.0
2018-04-29,43.93,43.93,43.93,0.0,0.0,44.79,44.79,44.79,0.0,0.0,43.79,43.79,43.79,0.0,0.0,44.65,44.65,44.65,0.0,0.0
2018-05-06,45.7,45.7,45.7,0.0,0.0,46.07,46.07,46.07,0.0,0.0,45.68,45.68,45.68,0.0,0.0,46.05,46.05,46.05,0.0,0.0
2018-05-13,46.96,46.96,46.96,0.0,0.0,46.96,46.96,46.96,0.0,0.0,46.65,46.65,46.65,0.0,0.0,46.87,46.87,46.87,0.0,0.0
2018-05-20,46.99,46.99,46.99,0.0,0.0,47.1,47.1,47.1,0.0,0.0,46.81,46.81,46.81,0.0,0.0,46.95,46.95,46.95,0.0,0.0
2018-05-27,48.14,48.14,48.14,0.0,0.0,48.14,48.14,48.14,0.0,0.0,47.64,47.64,47.64,0.0,0.0,47.98,47.98,47.98,0.0,0.0
2018-06-03,48.73,48.73,48.73,0.0,0.0,49.09,49.09,49.09,0.0,0.0,48.68,48.68,48.68,0.0,0.0,49.0,49.0,49.0,0.0,0.0
2018-06-10,49.38,49.38,49.38,0.0,0.0,49.77,49.77,49.77,0.0,0.0,49.33,49.33,49.33,0.0,0.0,49.57,49.57,49.57,0.0,0.0
2018-06-17,50.27,50.27,50.27,0.0,0.0,50.32,50.32,50.32,0.0,0.0,49.52,49.52,49.52,0.0,0.0,49.7,49.7,49.7,0.0,0.0
2018-06-24,48.63,48.63,48.63,0.0,0.0,48.83,48.83,48.83,0.0,0.0,48.36,48.36,48.36,0.0,0.0,48.52,48.52,48.52,0.0,0.0
2018-07-01,49.77,49.77,49.77,0.0,0.0,50.18,50.18,50.18,0.0,0.0,49.7,49.7,49.7,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2018-07-08,50.24,50.24,50.24,0.0,0.0,50.32,50.32,50.32,0.0,0.0,49.98,49.98,49.98,0.0,0.0,50.12,50.12,50.12,0.0,0.0
2018-07-15,50.95,50.95,50.95,0.0,0.0,51.0,51.0,51.0,0.0,0.0,50.65,50.65,50.65,0.0,0.0,50.65,50.65,50.65,0.0,0.0
2018-07-22,50.55,50.55,50.55,0.0,0.0,50.55,50.55,50.55,0.0,0.0,48.78,48.78,48.78,0.0,0.0,48.96,48.96,48.96,0.0,0.0
2018-07-29,49.7,49.7,49.7,0.0,0.0,49.7,49.7,49.7,0.0,0.0,49.0,49.0,49.0,0.0,0.0,49.2,49.2,49.2,0.0,0.0
