Date,First Trust Latin America AlphaDEX_Open_average,First Trust Latin America AlphaDEX_Open_max,First Trust Latin America AlphaDEX_Open_min,First Trust Latin America AlphaDEX_Open_volatility,First Trust Latin America AlphaDEX_Open_change,First Trust Latin America AlphaDEX_High_average,First Trust Latin America AlphaDEX_High_max,First Trust Latin America AlphaDEX_High_min,First Trust Latin America AlphaDEX_High_volatility,First Trust Latin America AlphaDEX_High_change,First Trust Latin America AlphaDEX_Low_average,First Trust Latin America AlphaDEX_Low_max,First Trust Latin America AlphaDEX_Low_min,First Trust Latin America AlphaDEX_Low_volatility,First Trust Latin America AlphaDEX_Low_change,First Trust Latin America AlphaDEX_Close_average,First Trust Latin America AlphaDEX_Close_max,First Trust Latin America AlphaDEX_Close_min,First Trust Latin America AlphaDEX_Close_volatility,First Trust Latin America AlphaDEX_Close_change
2018-01-14,22.15,22.15,22.15,0.0,0.0,22.19,22.19,22.19,0.0,0.0,22.09,22.09,22.09,0.0,0.0,22.18,22.18,22.18,0.0,0.0
2018-01-21,23.12,23.12,23.12,0.0,0.0,23.12,23.12,23.12,0.0,0.0,22.9,22.9,22.9,0.0,0.0,22.91,22.91,22.91,0.0,0.0
2018-01-28,22.4,22.4,22.4,0.0,0.0,22.48,22.48,22.48,0.0,0.0,21.61,21.61,21.61,0.0,0.0,21.61,21.61,21.61,0.0,0.0
2018-02-04,21.68,21.68,21.68,0.0,0.0,21.68,21.68,21.68,0.0,0.0,21.35,21.35,21.35,0.0,0.0,21.64,21.64,21.64,0.0,0.0
2018-02-11,22.22,22.22,22.22,0.0,0.0,22.53,22.53,22.53,0.0,0.0,22.18,22.18,22.18,0.0,0.0,22.33,22.33,22.33,0.0,0.0
2018-02-18,23.16,23.16,23.16,0.0,0.0,23.16,23.16,23.16,0.0,0.0,22.93,22.93,22.93,0.0,0.0,22.96,22.96,22.96,0.0,0.0
2018-02-25,22.07,22.07,22.07,0.0,0.0,22.38,22.38,22.38,0.0,0.0,21.97,21.97,21.97,0.0,0.0,22.36,22.36,22.36,0.0,0.0
2018-03-04,22.93,22.93,22.93,0.0,0.0,22.93,22.93,22.93,0.0,0.0,22.74,22.74,22.74,0.0,0.0,22.86,22.86,22.86,0.0,0.0
2018-03-11,21.95,21.95,21.95,0.0,0.0,21.95,21.95,21.95,0.0,0.0,21.95,21.95,21.95,0.0,0.0,21.95,21.95,21.95,0.0,0.0
2018-03-18,22.3,22.3,22.3,0.0,0.0,22.3,22.3,22.3,0.0,0.0,22.09,22.09,22.09,0.0,0.0,22.29,22.29,22.29,0.0,0.0
