Date,First Trust Morningstar Managed Futures Strategy_Open_average,First Trust Morningstar Managed Futures Strategy_Open_max,First Trust Morningstar Managed Futures Strategy_Open_min,First Trust Morningstar Managed Futures Strategy_Open_volatility,First Trust Morningstar Managed Futures Strategy_Open_change,First Trust Morningstar Managed Futures Strategy_High_average,First Trust Morningstar Managed Futures Strategy_High_max,First Trust Morningstar Managed Futures Strategy_High_min,First Trust Morningstar Managed Futures Strategy_High_volatility,First Trust Morningstar Managed Futures Strategy_High_change,First Trust Morningstar Managed Futures Strategy_Low_average,First Trust Morningstar Managed Futures Strategy_Low_max,First Trust Morningstar Managed Futures Strategy_Low_min,First Trust Morningstar Managed Futures Strategy_Low_volatility,First Trust Morningstar Managed Futures Strategy_Low_change,First Trust Morningstar Managed Futures Strategy_Close_average,First Trust Morningstar Managed Futures Strategy_Close_max,First Trust Morningstar Managed Futures Strategy_Close_min,First Trust Morningstar Managed Futures Strategy_Close_volatility,First Trust Morningstar Managed Futures Strategy_Close_change
2018-01-14,48.58,48.58,48.58,0.0,0.0,48.76,48.76,48.76,0.0,0.0,48.58,48.58,48.58,0.0,0.0,48.76,48.76,48.76,0.0,0.0
2018-01-21,49.01,49.01,49.01,0.0,0.0,49.01,49.01,49.01,0.0,0.0,48.9,48.9,48.9,0.0,0.0,48.9,48.9,48.9,0.0,0.0
2018-01-28,48.29,48.29,48.29,0.0,0.0,48.29,48.29,48.29,0.0,0.0,47.8,47.8,47.8,0.0,0.0,47.84,47.84,47.84,0.0,0.0
2018-02-04,46.81,46.81,46.81,0.0,0.0,46.82,46.82,46.82,0.0,0.0,46.81,46.81,46.81,0.0,0.0,46.82,46.82,46.82,0.0,0.0
2018-02-11,46.93,46.93,46.93,0.0,0.0,47.16,47.16,47.16,0.0,0.0,46.93,46.93,46.93,0.0,0.0,47.16,47.16,47.16,0.0,0.0
2018-02-18,47.49,47.49,47.49,0.0,0.0,47.75,47.75,47.75,0.0,0.0,47.49,47.49,47.49,0.0,0.0,47.57,47.57,47.57,0.0,0.0
2018-02-25,46.82,46.82,46.82,0.0,0.0,46.82,46.82,46.82,0.0,0.0,46.82,46.82,46.82,0.0,0.0,46.82,46.82,46.82,0.0,0.0
2018-03-04,47.14,47.14,47.14,0.0,0.0,47.26,47.26,47.26,0.0,0.0,47.12,47.12,47.12,0.0,0.0,47.26,47.26,47.26,0.0,0.0
2018-03-11,47.23,47.23,47.23,0.0,0.0,47.23,47.23,47.23,0.0,0.0,47.23,47.23,47.23,0.0,0.0,47.23,47.23,47.23,0.0,0.0
2018-03-18,47.61,47.61,47.61,0.0,0.0,47.63,47.63,47.63,0.0,0.0,47.53,47.53,47.53,0.0,0.0,47.63,47.63,47.63,0.0,0.0
2018-03-25,47.35,47.35,47.35,0.0,0.0,47.35,47.35,47.35,0.0,0.0,46.94,46.94,46.94,0.0,0.0,47.05,47.05,47.05,0.0,0.0
2018-04-01,47.45,47.45,47.45,0.0,0.0,47.45,47.45,47.45,0.0,0.0,47.45,47.45,47.45,0.0,0.0,47.45,47.45,47.45,0.0,0.0
2018-04-08,48.1,48.1,48.1,0.0,0.0,48.1,48.1,48.1,0.0,0.0,48.1,48.1,48.1,0.0,0.0,48.1,48.1,48.1,0.0,0.0
2018-04-15,47.86,47.86,47.86,0.0,0.0,47.96,47.96,47.96,0.0,0.0,47.86,47.86,47.86,0.0,0.0,47.91,47.91,47.91,0.0,0.0
2018-04-22,48.14,48.14,48.14,0.0,0.0,48.14,48.14,48.14,0.0,0.0,48.14,48.14,48.14,0.0,0.0,48.14,48.14,48.14,0.0,0.0
2018-04-29,48.05,48.05,48.05,0.0,0.0,48.05,48.05,48.05,0.0,0.0,48.03,48.03,48.03,0.0,0.0,48.03,48.03,48.03,0.0,0.0
2018-05-06,48.64,48.64,48.64,0.0,0.0,48.72,48.72,48.72,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.67,48.67,48.67,0.0,0.0
2018-05-13,48.52,48.52,48.52,0.0,0.0,48.71,48.71,48.71,0.0,0.0,48.48,48.48,48.48,0.0,0.0,48.71,48.71,48.71,0.0,0.0
2018-05-20,47.97,47.97,47.97,0.0,0.0,47.97,47.97,47.97,0.0,0.0,47.7,47.7,47.7,0.0,0.0,47.75,47.75,47.75,0.0,0.0
2018-05-27,47.47,47.47,47.47,0.0,0.0,47.58,47.58,47.58,0.0,0.0,47.45,47.45,47.45,0.0,0.0,47.58,47.58,47.58,0.0,0.0
2018-06-03,47.94,47.94,47.94,0.0,0.0,47.98,47.98,47.98,0.0,0.0,47.79,47.79,47.79,0.0,0.0,47.98,47.98,47.98,0.0,0.0
2018-06-10,47.73,47.73,47.73,0.0,0.0,47.87,47.87,47.87,0.0,0.0,47.68,47.68,47.68,0.0,0.0,47.69,47.69,47.69,0.0,0.0
2018-06-17,47.5,47.5,47.5,0.0,0.0,47.51,47.51,47.51,0.0,0.0,47.31,47.31,47.31,0.0,0.0,47.51,47.51,47.51,0.0,0.0
2018-06-24,48.06,48.06,48.06,0.0,0.0,48.06,48.06,48.06,0.0,0.0,48.0,48.0,48.0,0.0,0.0,48.01,48.01,48.01,0.0,0.0
2018-07-01,48.37,48.37,48.37,0.0,0.0,48.43,48.43,48.43,0.0,0.0,48.37,48.37,48.37,0.0,0.0,48.4,48.4,48.4,0.0,0.0
2018-07-08,48.42,48.42,48.42,0.0,0.0,48.42,48.42,48.42,0.0,0.0,48.35,48.35,48.35,0.0,0.0,48.39,48.39,48.39,0.0,0.0
2018-07-15,48.43,48.43,48.43,0.0,0.0,48.43,48.43,48.43,0.0,0.0,48.13,48.13,48.13,0.0,0.0,48.34,48.34,48.34,0.0,0.0
2018-07-22,48.51,48.51,48.51,0.0,0.0,48.51,48.51,48.51,0.0,0.0,48.48,48.48,48.48,0.0,0.0,48.48,48.48,48.48,0.0,0.0
2018-07-29,48.7,48.7,48.7,0.0,0.0,48.8,48.8,48.8,0.0,0.0,48.59,48.59,48.59,0.0,0.0,48.61,48.61,48.61,0.0,0.0
2018-08-05,48.81,48.81,48.81,0.0,0.0,48.81,48.81,48.81,0.0,0.0,48.58,48.58,48.58,0.0,0.0,48.78,48.78,48.78,0.0,0.0
2018-08-12,49.13,49.13,49.13,0.0,0.0,49.3,49.3,49.3,0.0,0.0,49.13,49.13,49.13,0.0,0.0,49.18,49.18,49.18,0.0,0.0
2018-08-19,49.34,49.34,49.34,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.34,49.34,49.34,0.0,0.0
2018-08-26,49.76,49.76,49.76,0.0,0.0,49.76,49.76,49.76,0.0,0.0,49.76,49.76,49.76,0.0,0.0,49.76,49.76,49.76,0.0,0.0
2018-09-02,49.25,49.25,49.25,0.0,0.0,49.44,49.44,49.44,0.0,0.0,49.25,49.25,49.25,0.0,0.0,49.37,49.37,49.37,0.0,0.0
2018-09-09,49.44,49.44,49.44,0.0,0.0,49.44,49.44,49.44,0.0,0.0,49.26,49.26,49.26,0.0,0.0,49.29,49.29,49.29,0.0,0.0
2018-09-16,49.44,49.44,49.44,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.44,49.44,49.44,0.0,0.0,49.55,49.55,49.55,0.0,0.0
2018-09-23,50.71,50.71,50.71,0.0,0.0,50.71,50.71,50.71,0.0,0.0,50.71,50.71,50.71,0.0,0.0,50.71,50.71,50.71,0.0,0.0
