Date,DeltaShares S&P International Managed Risk_Open_average,DeltaShares S&P International Managed Risk_Open_max,DeltaShares S&P International Managed Risk_Open_min,DeltaShares S&P International Managed Risk_Open_volatility,DeltaShares S&P International Managed Risk_Open_change,DeltaShares S&P International Managed Risk_High_average,DeltaShares S&P International Managed Risk_High_max,DeltaShares S&P International Managed Risk_High_min,DeltaShares S&P International Managed Risk_High_volatility,DeltaShares S&P International Managed Risk_High_change,DeltaShares S&P International Managed Risk_Low_average,DeltaShares S&P International Managed Risk_Low_max,DeltaShares S&P International Managed Risk_Low_min,DeltaShares S&P International Managed Risk_Low_volatility,DeltaShares S&P International Managed Risk_Low_change,DeltaShares S&P International Managed Risk_Close_average,DeltaShares S&P International Managed Risk_Close_max,DeltaShares S&P International Managed Risk_Close_min,DeltaShares S&P International Managed Risk_Close_volatility,DeltaShares S&P International Managed Risk_Close_change
2018-01-14,55.98,55.98,55.98,0.0,0.0,55.98,55.98,55.98,0.0,0.0,55.98,55.98,55.98,0.0,0.0,55.98,55.98,55.98,0.0,0.0
2018-01-21,56.64,56.64,56.64,0.0,0.0,56.64,56.64,56.64,0.0,0.0,56.64,56.64,56.64,0.0,0.0,56.64,56.64,56.64,0.0,0.0
2018-01-28,55.13,55.13,55.13,0.0,0.0,55.13,55.13,55.13,0.0,0.0,55.1,55.1,55.1,0.0,0.0,55.1,55.1,55.1,0.0,0.0
2018-02-04,51.58,51.58,51.58,0.0,0.0,51.58,51.58,51.58,0.0,0.0,51.58,51.58,51.58,0.0,0.0,51.58,51.58,51.58,0.0,0.0
2018-02-11,53.96,53.96,53.96,0.0,0.0,53.96,53.96,53.96,0.0,0.0,53.96,53.96,53.96,0.0,0.0,53.96,53.96,53.96,0.0,0.0
2018-02-18,53.51,53.51,53.51,0.0,0.0,53.51,53.51,53.51,0.0,0.0,53.42,53.42,53.42,0.0,0.0,53.5,53.5,53.5,0.0,0.0
2018-02-25,52.07,52.07,52.07,0.0,0.0,52.3,52.3,52.3,0.0,0.0,52.07,52.07,52.07,0.0,0.0,52.3,52.3,52.3,0.0,0.0
2018-03-04,52.99,52.99,52.99,0.0,0.0,53.03,53.03,53.03,0.0,0.0,52.99,52.99,52.99,0.0,0.0,53.03,53.03,53.03,0.0,0.0
2018-03-11,53.66,53.66,53.66,0.0,0.0,53.66,53.66,53.66,0.0,0.0,53.58,53.58,53.58,0.0,0.0,53.58,53.58,53.58,0.0,0.0
2018-03-18,52.32,52.32,52.32,0.0,0.0,52.32,52.32,52.32,0.0,0.0,52.0,52.0,52.0,0.0,0.0,52.0,52.0,52.0,0.0,0.0
2018-03-25,52.57,52.57,52.57,0.0,0.0,52.57,52.57,52.57,0.0,0.0,52.57,52.57,52.57,0.0,0.0,52.57,52.57,52.57,0.0,0.0
2018-04-01,52.3,52.3,52.3,0.0,0.0,52.3,52.3,52.3,0.0,0.0,52.3,52.3,52.3,0.0,0.0,52.3,52.3,52.3,0.0,0.0
2018-04-08,53.26,53.26,53.26,0.0,0.0,53.26,53.26,53.26,0.0,0.0,53.26,53.26,53.26,0.0,0.0,53.26,53.26,53.26,0.0,0.0
2018-04-15,53.46,53.46,53.46,0.0,0.0,53.46,53.46,53.46,0.0,0.0,53.46,53.46,53.46,0.0,0.0,53.46,53.46,53.46,0.0,0.0
2018-04-22,53.47,53.47,53.47,0.0,0.0,53.47,53.47,53.47,0.0,0.0,53.47,53.47,53.47,0.0,0.0,53.47,53.47,53.47,0.0,0.0
2018-04-29,53.21,53.21,53.21,0.0,0.0,53.21,53.21,53.21,0.0,0.0,53.21,53.21,53.21,0.0,0.0,53.21,53.21,53.21,0.0,0.0
2018-05-06,53.32,53.32,53.32,0.0,0.0,53.38,53.38,53.38,0.0,0.0,53.32,53.32,53.32,0.0,0.0,53.37,53.37,53.37,0.0,0.0
2018-05-13,53.61,53.61,53.61,0.0,0.0,53.63,53.63,53.63,0.0,0.0,53.58,53.58,53.58,0.0,0.0,53.62,53.62,53.62,0.0,0.0
2018-05-20,56.01,56.01,56.01,0.0,0.0,56.04,56.04,56.04,0.0,0.0,56.0,56.0,56.0,0.0,0.0,56.0,56.0,56.0,0.0,0.0
2018-05-27,54.0,54.0,54.0,0.0,0.0,54.5,54.5,54.5,0.0,0.0,54.0,54.0,54.0,0.0,0.0,54.3,54.3,54.3,0.0,0.0
2018-06-03,53.3,53.3,53.3,0.0,0.0,53.3,53.3,53.3,0.0,0.0,53.3,53.3,53.3,0.0,0.0,53.3,53.3,53.3,0.0,0.0
2018-06-10,52.96,52.96,52.96,0.0,0.0,52.99,52.99,52.99,0.0,0.0,52.8,52.8,52.8,0.0,0.0,52.99,52.99,52.99,0.0,0.0
2018-06-17,51.1,51.1,51.1,0.0,0.0,51.1,51.1,51.1,0.0,0.0,51.1,51.1,51.1,0.0,0.0,51.1,51.1,51.1,0.0,0.0
2018-06-24,50.97,50.97,50.97,0.0,0.0,50.97,50.97,50.97,0.0,0.0,50.68,50.68,50.68,0.0,0.0,50.68,50.68,50.68,0.0,0.0
2018-07-01,52.25,52.25,52.25,0.0,0.0,52.25,52.25,52.25,0.0,0.0,51.09,51.09,51.09,0.0,0.0,51.25,51.25,51.25,0.0,0.0
2018-07-08,51.69,51.69,51.69,0.0,0.0,51.96,51.96,51.96,0.0,0.0,51.1,51.1,51.1,0.0,0.0,51.96,51.96,51.96,0.0,0.0
2018-07-15,51.07,51.07,51.07,0.0,0.0,51.07,51.07,51.07,0.0,0.0,51.07,51.07,51.07,0.0,0.0,51.07,51.07,51.07,0.0,0.0
2018-07-22,51.85,51.85,51.85,0.0,0.0,51.96,51.96,51.96,0.0,0.0,51.78,51.78,51.78,0.0,0.0,51.78,51.78,51.78,0.0,0.0
2018-07-29,51.3,51.3,51.3,0.0,0.0,51.51,51.51,51.51,0.0,0.0,51.3,51.3,51.3,0.0,0.0,51.39,51.39,51.39,0.0,0.0
2018-08-05,50.22,50.22,50.22,0.0,0.0,50.54,50.54,50.54,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.48,50.48,50.48,0.0,0.0
2018-08-12,49.63,49.63,49.63,0.0,0.0,49.91,49.91,49.91,0.0,0.0,49.63,49.63,49.63,0.0,0.0,49.91,49.91,49.91,0.0,0.0
2018-08-19,50.72,50.72,50.72,0.0,0.0,50.84,50.84,50.84,0.0,0.0,50.72,50.72,50.72,0.0,0.0,50.84,50.84,50.84,0.0,0.0
2018-08-26,50.9,50.9,50.9,0.0,0.0,51.06,51.06,51.06,0.0,0.0,50.76,50.76,50.76,0.0,0.0,50.85,50.85,50.85,0.0,0.0
2018-09-02,49.47,49.47,49.47,0.0,0.0,49.52,49.52,49.52,0.0,0.0,49.32,49.32,49.32,0.0,0.0,49.52,49.52,49.52,0.0,0.0
2018-09-09,50.43,50.43,50.43,0.0,0.0,50.43,50.43,50.43,0.0,0.0,50.34,50.34,50.34,0.0,0.0,50.34,50.34,50.34,0.0,0.0
2018-09-16,51.81,51.81,51.81,0.0,0.0,52.17,52.17,52.17,0.0,0.0,51.67,51.67,51.67,0.0,0.0,52.13,52.13,52.13,0.0,0.0
2018-09-23,51.15,51.15,51.15,0.0,0.0,51.19,51.19,51.19,0.0,0.0,51.12,51.12,51.12,0.0,0.0,51.19,51.19,51.19,0.0,0.0
2018-09-30,49.78,49.78,49.78,0.0,0.0,49.78,49.78,49.78,0.0,0.0,49.78,49.78,49.78,0.0,0.0,49.78,49.78,49.78,0.0,0.0
2018-10-07,47.45,47.45,47.45,0.0,0.0,47.45,47.45,47.45,0.0,0.0,47.45,47.45,47.45,0.0,0.0,47.45,47.45,47.45,0.0,0.0
2018-10-14,47.88,47.88,47.88,0.0,0.0,47.91,47.91,47.91,0.0,0.0,47.84,47.84,47.84,0.0,0.0,47.84,47.84,47.84,0.0,0.0
2018-10-21,46.46,46.46,46.46,0.0,0.0,46.5,46.5,46.5,0.0,0.0,46.46,46.46,46.46,0.0,0.0,46.5,46.5,46.5,0.0,0.0
2018-10-28,47.52,47.52,47.52,0.0,0.0,47.76,47.76,47.76,0.0,0.0,47.42,47.42,47.42,0.0,0.0,47.42,47.42,47.42,0.0,0.0
2018-11-04,47.26,47.26,47.26,0.0,0.0,47.26,47.26,47.26,0.0,0.0,47.26,47.26,47.26,0.0,0.0,47.26,47.26,47.26,0.0,0.0
2018-11-11,47.0,47.0,47.0,0.0,0.0,47.0,47.0,47.0,0.0,0.0,47.0,47.0,47.0,0.0,0.0,47.0,47.0,47.0,0.0,0.0
2018-11-18,46.38,46.38,46.38,0.0,0.0,46.38,46.38,46.38,0.0,0.0,46.38,46.38,46.38,0.0,0.0,46.38,46.38,46.38,0.0,0.0
2018-11-25,47.44,47.44,47.44,0.0,0.0,47.44,47.44,47.44,0.0,0.0,47.44,47.44,47.44,0.0,0.0,47.44,47.44,47.44,0.0,0.0
2018-12-02,45.95,45.95,45.95,0.0,0.0,45.95,45.95,45.95,0.0,0.0,45.95,45.95,45.95,0.0,0.0,45.95,45.95,45.95,0.0,0.0
2018-12-09,45.63,45.63,45.63,0.0,0.0,46.05,46.05,46.05,0.0,0.0,45.63,45.63,45.63,0.0,0.0,45.73,45.73,45.73,0.0,0.0
2018-12-16,44.8,44.8,44.8,0.0,0.0,45.15,45.15,45.15,0.0,0.0,44.32,44.32,44.32,0.0,0.0,44.42,44.42,44.42,0.0,0.0
2018-12-23,45.08,45.08,45.08,0.0,0.0,45.42,45.42,45.42,0.0,0.0,45.08,45.08,45.08,0.0,0.0,45.24,45.24,45.24,0.0,0.0
2018-12-30,45.91,45.91,45.91,0.0,0.0,46.39,46.39,46.39,0.0,0.0,45.81,45.81,45.81,0.0,0.0,45.81,45.81,45.81,0.0,0.0
2019-01-06,46.61,46.61,46.61,0.0,0.0,46.61,46.61,46.61,0.0,0.0,46.58,46.58,46.58,0.0,0.0,46.58,46.58,46.58,0.0,0.0
2019-01-13,46.77,46.77,46.77,0.0,0.0,46.8,46.8,46.8,0.0,0.0,46.77,46.77,46.77,0.0,0.0,46.8,46.8,46.8,0.0,0.0
2019-01-20,47.33,47.33,47.33,0.0,0.0,47.33,47.33,47.33,0.0,0.0,46.74,46.74,46.74,0.0,0.0,46.74,46.74,46.74,0.0,0.0
2019-01-27,47.28,47.28,47.28,0.0,0.0,47.68,47.68,47.68,0.0,0.0,47.28,47.28,47.28,0.0,0.0,47.54,47.54,47.54,0.0,0.0
2019-02-03,46.69,46.69,46.69,0.0,0.0,46.69,46.69,46.69,0.0,0.0,46.69,46.69,46.69,0.0,0.0,46.69,46.69,46.69,0.0,0.0
2019-02-10,47.79,47.79,47.79,0.0,0.0,47.79,47.79,47.79,0.0,0.0,47.79,47.79,47.79,0.0,0.0,47.79,47.79,47.79,0.0,0.0
2019-02-17,48.1,48.1,48.1,0.0,0.0,48.25,48.25,48.25,0.0,0.0,48.1,48.1,48.1,0.0,0.0,48.2,48.2,48.2,0.0,0.0
2019-02-24,48.47,48.47,48.47,0.0,0.0,48.47,48.47,48.47,0.0,0.0,48.18,48.18,48.18,0.0,0.0,48.18,48.18,48.18,0.0,0.0
2019-03-03,47.33,47.33,47.33,0.0,0.0,47.33,47.33,47.33,0.0,0.0,47.33,47.33,47.33,0.0,0.0,47.33,47.33,47.33,0.0,0.0
2019-03-10,48.63,48.63,48.63,0.0,0.0,48.63,48.63,48.63,0.0,0.0,48.63,48.63,48.63,0.0,0.0,48.63,48.63,48.63,0.0,0.0
2019-03-17,47.94,47.94,47.94,0.0,0.0,48.1,48.1,48.1,0.0,0.0,47.68,47.68,47.68,0.0,0.0,47.68,47.68,47.68,0.0,0.0
2019-03-24,47.93,47.93,47.93,0.0,0.0,48.0,48.0,48.0,0.0,0.0,47.93,47.93,47.93,0.0,0.0,48.0,48.0,48.0,0.0,0.0
2019-03-31,49.26,49.26,49.26,0.0,0.0,49.55,49.55,49.55,0.0,0.0,48.86,48.86,48.86,0.0,0.0,48.86,48.86,48.86,0.0,0.0
