Date,UBS E-TRACS Alerian MLPEtf_Open_average,UBS E-TRACS Alerian MLPEtf_Open_max,UBS E-TRACS Alerian MLPEtf_Open_min,UBS E-TRACS Alerian MLPEtf_Open_volatility,UBS E-TRACS Alerian MLPEtf_Open_change,UBS E-TRACS Alerian MLPEtf_High_average,UBS E-TRACS Alerian MLPEtf_High_max,UBS E-TRACS Alerian MLPEtf_High_min,UBS E-TRACS Alerian MLPEtf_High_volatility,UBS E-TRACS Alerian MLPEtf_High_change,UBS E-TRACS Alerian MLPEtf_Low_average,UBS E-TRACS Alerian MLPEtf_Low_max,UBS E-TRACS Alerian MLPEtf_Low_min,UBS E-TRACS Alerian MLPEtf_Low_volatility,UBS E-TRACS Alerian MLPEtf_Low_change,UBS E-TRACS Alerian MLPEtf_Close_average,UBS E-TRACS Alerian MLPEtf_Close_max,UBS E-TRACS Alerian MLPEtf_Close_min,UBS E-TRACS Alerian MLPEtf_Close_volatility,UBS E-TRACS Alerian MLPEtf_Close_change
2018-01-14,18.3,18.3,18.3,0.0,0.0,18.61,18.61,18.61,0.0,0.0,18.3,18.3,18.3,0.0,0.0,18.61,18.61,18.61,0.0,0.0
2018-01-21,18.73,18.73,18.73,0.0,0.0,19.05,19.05,19.05,0.0,0.0,18.73,18.73,18.73,0.0,0.0,18.99,18.99,18.99,0.0,0.0
2018-01-28,18.17,18.17,18.17,0.0,0.0,18.26,18.26,18.26,0.0,0.0,17.84,17.84,17.84,0.0,0.0,17.84,17.84,17.84,0.0,0.0
2018-02-04,17.22,17.22,17.22,0.0,0.0,17.35,17.35,17.35,0.0,0.0,16.69,16.69,16.69,0.0,0.0,17.13,17.13,17.13,0.0,0.0
2018-02-11,17.4,17.4,17.4,0.0,0.0,17.6,17.6,17.6,0.0,0.0,17.25,17.25,17.25,0.0,0.0,17.25,17.25,17.25,0.0,0.0
2018-02-18,16.99,16.99,16.99,0.0,0.0,17.09,17.09,17.09,0.0,0.0,16.91,16.91,16.91,0.0,0.0,16.98,16.98,16.98,0.0,0.0
2018-02-25,16.21,16.21,16.21,0.0,0.0,16.37,16.37,16.37,0.0,0.0,16.01,16.01,16.01,0.0,0.0,16.31,16.31,16.31,0.0,0.0
2018-03-04,16.22,16.22,16.22,0.0,0.0,16.41,16.41,16.41,0.0,0.0,16.17,16.17,16.17,0.0,0.0,16.41,16.41,16.41,0.0,0.0
2018-03-11,15.77,15.77,15.77,0.0,0.0,16.08,16.08,16.08,0.0,0.0,15.77,15.77,15.77,0.0,0.0,15.88,15.88,15.88,0.0,0.0
2018-03-18,15.24,15.24,15.24,0.0,0.0,15.27,15.27,15.27,0.0,0.0,15.01,15.01,15.01,0.0,0.0,15.01,15.01,15.01,0.0,0.0
2018-03-25,15.09,15.09,15.09,0.0,0.0,15.19,15.19,15.19,0.0,0.0,14.96,14.96,14.96,0.0,0.0,15.08,15.08,15.08,0.0,0.0
2018-04-01,15.27,15.27,15.27,0.0,0.0,15.27,15.27,15.27,0.0,0.0,14.92,14.92,14.92,0.0,0.0,15.08,15.08,15.08,0.0,0.0
2018-04-08,15.62,15.62,15.62,0.0,0.0,15.68,15.68,15.68,0.0,0.0,15.17,15.17,15.17,0.0,0.0,15.61,15.61,15.61,0.0,0.0
2018-04-15,16.27,16.27,16.27,0.0,0.0,16.27,16.27,16.27,0.0,0.0,16.05,16.05,16.05,0.0,0.0,16.15,16.15,16.15,0.0,0.0
2018-04-22,16.24,16.24,16.24,0.0,0.0,16.3,16.3,16.3,0.0,0.0,16.17,16.17,16.17,0.0,0.0,16.22,16.22,16.22,0.0,0.0
2018-04-29,16.13,16.13,16.13,0.0,0.0,16.27,16.27,16.27,0.0,0.0,15.98,15.98,15.98,0.0,0.0,16.27,16.27,16.27,0.0,0.0
2018-05-06,16.74,16.74,16.74,0.0,0.0,16.77,16.77,16.77,0.0,0.0,16.61,16.61,16.61,0.0,0.0,16.62,16.62,16.62,0.0,0.0
2018-05-13,17.26,17.26,17.26,0.0,0.0,17.26,17.26,17.26,0.0,0.0,17.1,17.1,17.1,0.0,0.0,17.14,17.14,17.14,0.0,0.0
2018-05-20,16.46,16.46,16.46,0.0,0.0,16.55,16.55,16.55,0.0,0.0,16.21,16.21,16.21,0.0,0.0,16.55,16.55,16.55,0.0,0.0
2018-05-27,16.66,16.66,16.66,0.0,0.0,16.91,16.91,16.91,0.0,0.0,16.66,16.66,16.66,0.0,0.0,16.88,16.88,16.88,0.0,0.0
2018-06-03,17.03,17.03,17.03,0.0,0.0,17.03,17.03,17.03,0.0,0.0,16.86,16.86,16.86,0.0,0.0,16.91,16.91,16.91,0.0,0.0
2018-06-10,16.77,16.77,16.77,0.0,0.0,16.82,16.82,16.82,0.0,0.0,16.37,16.37,16.37,0.0,0.0,16.37,16.37,16.37,0.0,0.0
2018-06-17,16.81,16.81,16.81,0.0,0.0,16.93,16.93,16.93,0.0,0.0,16.72,16.72,16.72,0.0,0.0,16.73,16.73,16.73,0.0,0.0
2018-06-24,16.42,16.42,16.42,0.0,0.0,16.57,16.57,16.57,0.0,0.0,16.39,16.39,16.39,0.0,0.0,16.5,16.5,16.5,0.0,0.0
2018-07-01,16.91,16.91,16.91,0.0,0.0,16.91,16.91,16.91,0.0,0.0,16.47,16.47,16.47,0.0,0.0,16.6,16.6,16.6,0.0,0.0
2018-07-08,16.69,16.69,16.69,0.0,0.0,16.78,16.78,16.78,0.0,0.0,16.59,16.59,16.59,0.0,0.0,16.76,16.76,16.76,0.0,0.0
2018-07-15,17.23,17.23,17.23,0.0,0.0,17.25,17.25,17.25,0.0,0.0,17.04,17.04,17.04,0.0,0.0,17.06,17.06,17.06,0.0,0.0
2018-07-22,17.36,17.36,17.36,0.0,0.0,17.65,17.65,17.65,0.0,0.0,17.25,17.25,17.25,0.0,0.0,17.27,17.27,17.27,0.0,0.0
2018-07-29,18.11,18.11,18.11,0.0,0.0,18.24,18.24,18.24,0.0,0.0,18.03,18.03,18.03,0.0,0.0,18.16,18.16,18.16,0.0,0.0
2018-08-05,18.59,18.59,18.59,0.0,0.0,18.79,18.79,18.79,0.0,0.0,18.55,18.55,18.55,0.0,0.0,18.59,18.59,18.59,0.0,0.0
2018-08-12,18.16,18.16,18.16,0.0,0.0,18.41,18.41,18.41,0.0,0.0,18.16,18.16,18.16,0.0,0.0,18.41,18.41,18.41,0.0,0.0
2018-08-19,18.56,18.56,18.56,0.0,0.0,18.56,18.56,18.56,0.0,0.0,18.44,18.44,18.44,0.0,0.0,18.5,18.5,18.5,0.0,0.0
2018-08-26,17.51,17.51,17.51,0.0,0.0,17.55,17.55,17.55,0.0,0.0,17.39,17.39,17.39,0.0,0.0,17.54,17.54,17.54,0.0,0.0
2018-09-02,17.58,17.58,17.58,0.0,0.0,17.58,17.58,17.58,0.0,0.0,17.41,17.41,17.41,0.0,0.0,17.5,17.5,17.5,0.0,0.0
2018-09-09,17.53,17.53,17.53,0.0,0.0,17.61,17.61,17.61,0.0,0.0,17.4,17.4,17.4,0.0,0.0,17.61,17.61,17.61,0.0,0.0
2018-09-16,17.46,17.46,17.46,0.0,0.0,17.53,17.53,17.53,0.0,0.0,17.46,17.46,17.46,0.0,0.0,17.48,17.48,17.48,0.0,0.0
2018-09-23,17.23,17.23,17.23,0.0,0.0,17.33,17.33,17.33,0.0,0.0,17.2,17.2,17.2,0.0,0.0,17.25,17.25,17.25,0.0,0.0
2018-09-30,17.48,17.48,17.48,0.0,0.0,17.7,17.7,17.7,0.0,0.0,17.48,17.48,17.48,0.0,0.0,17.57,17.57,17.57,0.0,0.0
2018-10-07,17.26,17.26,17.26,0.0,0.0,17.3,17.3,17.3,0.0,0.0,16.84,16.84,16.84,0.0,0.0,17.02,17.02,17.02,0.0,0.0
2018-10-14,16.99,16.99,16.99,0.0,0.0,17.22,17.22,17.22,0.0,0.0,16.89,16.89,16.89,0.0,0.0,17.08,17.08,17.08,0.0,0.0
2018-10-21,15.95,15.95,15.95,0.0,0.0,16.13,16.13,16.13,0.0,0.0,15.79,15.79,15.79,0.0,0.0,15.95,15.95,15.95,0.0,0.0
2018-10-28,16.12,16.12,16.12,0.0,0.0,16.21,16.21,16.21,0.0,0.0,15.83,15.83,15.83,0.0,0.0,15.92,15.92,15.92,0.0,0.0
2018-11-04,16.3,16.3,16.3,0.0,0.0,16.41,16.41,16.41,0.0,0.0,16.15,16.15,16.15,0.0,0.0,16.32,16.32,16.32,0.0,0.0
2018-11-11,15.84,15.84,15.84,0.0,0.0,16.1,16.1,16.1,0.0,0.0,15.84,15.84,15.84,0.0,0.0,16.0,16.0,16.0,0.0,0.0
2018-11-18,15.52,15.52,15.52,0.0,0.0,15.62,15.62,15.62,0.0,0.0,15.48,15.48,15.48,0.0,0.0,15.48,15.48,15.48,0.0,0.0
2018-11-25,15.6,15.6,15.6,0.0,0.0,15.6,15.6,15.6,0.0,0.0,15.34,15.34,15.34,0.0,0.0,15.47,15.47,15.47,0.0,0.0
2018-12-02,15.41,15.41,15.41,0.0,0.0,15.65,15.65,15.65,0.0,0.0,15.21,15.21,15.21,0.0,0.0,15.28,15.28,15.28,0.0,0.0
2018-12-09,15.31,15.31,15.31,0.0,0.0,15.55,15.55,15.55,0.0,0.0,15.06,15.06,15.06,0.0,0.0,15.06,15.06,15.06,0.0,0.0
2018-12-16,14.09,14.09,14.09,0.0,0.0,14.32,14.32,14.32,0.0,0.0,13.86,13.86,13.86,0.0,0.0,13.89,13.89,13.89,0.0,0.0
2018-12-23,14.0,14.0,14.0,0.0,0.0,14.01,14.01,14.01,0.0,0.0,13.6,13.6,13.6,0.0,0.0,13.83,13.83,13.83,0.0,0.0
2018-12-30,14.52,14.52,14.52,0.0,0.0,15.09,15.09,15.09,0.0,0.0,14.52,14.52,14.52,0.0,0.0,15.0,15.0,15.0,0.0,0.0
2019-01-06,15.57,15.57,15.57,0.0,0.0,15.57,15.57,15.57,0.0,0.0,15.4,15.4,15.4,0.0,0.0,15.44,15.44,15.44,0.0,0.0
2019-01-13,15.65,15.65,15.65,0.0,0.0,15.78,15.78,15.78,0.0,0.0,15.57,15.57,15.57,0.0,0.0,15.76,15.76,15.76,0.0,0.0
2019-01-20,15.55,15.55,15.55,0.0,0.0,15.76,15.76,15.76,0.0,0.0,15.52,15.52,15.52,0.0,0.0,15.66,15.66,15.66,0.0,0.0
2019-01-27,15.78,15.78,15.78,0.0,0.0,15.93,15.93,15.93,0.0,0.0,15.75,15.75,15.75,0.0,0.0,15.93,15.93,15.93,0.0,0.0
2019-02-03,15.43,15.43,15.43,0.0,0.0,15.43,15.43,15.43,0.0,0.0,15.19,15.19,15.19,0.0,0.0,15.37,15.37,15.37,0.0,0.0
2019-02-10,16.19,16.19,16.19,0.0,0.0,16.2,16.2,16.2,0.0,0.0,16.08,16.08,16.08,0.0,0.0,16.1,16.1,16.1,0.0,0.0
2019-02-17,16.15,16.15,16.15,0.0,0.0,16.25,16.25,16.25,0.0,0.0,16.09,16.09,16.09,0.0,0.0,16.09,16.09,16.09,0.0,0.0
2019-02-24,15.59,15.59,15.59,0.0,0.0,15.68,15.68,15.68,0.0,0.0,15.45,15.45,15.45,0.0,0.0,15.61,15.61,15.61,0.0,0.0
2019-03-03,15.33,15.33,15.33,0.0,0.0,15.65,15.65,15.65,0.0,0.0,15.33,15.33,15.33,0.0,0.0,15.63,15.63,15.63,0.0,0.0
2019-03-10,15.84,15.84,15.84,0.0,0.0,15.84,15.84,15.84,0.0,0.0,15.69,15.69,15.69,0.0,0.0,15.77,15.77,15.77,0.0,0.0
