Date,United States 12 Month Natural Gas_Open_average,United States 12 Month Natural Gas_Open_max,United States 12 Month Natural Gas_Open_min,United States 12 Month Natural Gas_Open_volatility,United States 12 Month Natural Gas_Open_change,United States 12 Month Natural Gas_High_average,United States 12 Month Natural Gas_High_max,United States 12 Month Natural Gas_High_min,United States 12 Month Natural Gas_High_volatility,United States 12 Month Natural Gas_High_change,United States 12 Month Natural Gas_Low_average,United States 12 Month Natural Gas_Low_max,United States 12 Month Natural Gas_Low_min,United States 12 Month Natural Gas_Low_volatility,United States 12 Month Natural Gas_Low_change,United States 12 Month Natural Gas_Close_average,United States 12 Month Natural Gas_Close_max,United States 12 Month Natural Gas_Close_min,United States 12 Month Natural Gas_Close_volatility,United States 12 Month Natural Gas_Close_change
2018-01-14,9.35,9.35,9.35,0.0,0.0,9.41,9.41,9.41,0.0,0.0,9.35,9.35,9.35,0.0,0.0,9.41,9.41,9.41,0.0,0.0
2018-01-21,9.69,9.69,9.69,0.0,0.0,9.84,9.84,9.84,0.0,0.0,9.69,9.69,9.69,0.0,0.0,9.84,9.84,9.84,0.0,0.0
2018-01-28,9.42,9.42,9.42,0.0,0.0,9.42,9.42,9.42,0.0,0.0,9.24,9.24,9.24,0.0,0.0,9.25,9.25,9.25,0.0,0.0
2018-02-04,8.85,8.85,8.85,0.0,0.0,8.93,8.93,8.93,0.0,0.0,8.85,8.85,8.85,0.0,0.0,8.93,8.93,8.93,0.0,0.0
2018-02-11,8.92,8.92,8.92,0.0,0.0,8.98,8.98,8.98,0.0,0.0,8.92,8.92,8.92,0.0,0.0,8.98,8.98,8.98,0.0,0.0
2018-02-18,9.07,9.07,9.07,0.0,0.0,9.1,9.1,9.1,0.0,0.0,9.07,9.07,9.07,0.0,0.0,9.1,9.1,9.1,0.0,0.0
2018-02-25,9.24,9.24,9.24,0.0,0.0,9.24,9.24,9.24,0.0,0.0,9.24,9.24,9.24,0.0,0.0,9.24,9.24,9.24,0.0,0.0
2018-03-04,9.46,9.46,9.46,0.0,0.0,9.47,9.47,9.47,0.0,0.0,9.44,9.44,9.44,0.0,0.0,9.44,9.44,9.44,0.0,0.0
2018-03-11,9.17,9.17,9.17,0.0,0.0,9.2,9.2,9.2,0.0,0.0,9.16,9.16,9.16,0.0,0.0,9.2,9.2,9.2,0.0,0.0
2018-03-18,8.72,8.72,8.72,0.0,0.0,9.13,9.13,9.13,0.0,0.0,8.72,8.72,8.72,0.0,0.0,9.12,9.12,9.12,0.0,0.0
2018-03-25,9.19,9.19,9.19,0.0,0.0,9.19,9.19,9.19,0.0,0.0,9.06,9.06,9.06,0.0,0.0,9.09,9.09,9.09,0.0,0.0
2018-04-01,9.1,9.1,9.1,0.0,0.0,9.17,9.17,9.17,0.0,0.0,9.1,9.1,9.1,0.0,0.0,9.16,9.16,9.16,0.0,0.0
2018-04-08,9.29,9.29,9.29,0.0,0.0,9.29,9.29,9.29,0.0,0.0,9.27,9.27,9.27,0.0,0.0,9.27,9.27,9.27,0.0,0.0
2018-04-15,9.18,9.18,9.18,0.0,0.0,9.18,9.18,9.18,0.0,0.0,9.18,9.18,9.18,0.0,0.0,9.18,9.18,9.18,0.0,0.0
2018-04-22,9.13,9.13,9.13,0.0,0.0,9.13,9.13,9.13,0.0,0.0,9.03,9.03,9.03,0.0,0.0,9.1,9.1,9.1,0.0,0.0
2018-04-29,8.97,8.97,8.97,0.0,0.0,8.97,8.97,8.97,0.0,0.0,8.97,8.97,8.97,0.0,0.0,8.97,8.97,8.97,0.0,0.0
2018-05-06,9.09,9.09,9.09,0.0,0.0,9.23,9.23,9.23,0.0,0.0,9.09,9.09,9.09,0.0,0.0,9.21,9.21,9.21,0.0,0.0
2018-05-13,9.29,9.29,9.29,0.0,0.0,9.3,9.3,9.3,0.0,0.0,9.27,9.27,9.27,0.0,0.0,9.27,9.27,9.27,0.0,0.0
2018-05-20,9.6,9.6,9.6,0.0,0.0,9.6,9.6,9.6,0.0,0.0,9.55,9.55,9.55,0.0,0.0,9.56,9.56,9.56,0.0,0.0
