Date,First Trust US IPO_etf_Open_average,First Trust US IPO_etf_Open_max,First Trust US IPO_etf_Open_min,First Trust US IPO_etf_Open_volatility,First Trust US IPO_etf_Open_change,First Trust US IPO_etf_High_average,First Trust US IPO_etf_High_max,First Trust US IPO_etf_High_min,First Trust US IPO_etf_High_volatility,First Trust US IPO_etf_High_change,First Trust US IPO_etf_Low_average,First Trust US IPO_etf_Low_max,First Trust US IPO_etf_Low_min,First Trust US IPO_etf_Low_volatility,First Trust US IPO_etf_Low_change,First Trust US IPO_etf_Close_average,First Trust US IPO_etf_Close_max,First Trust US IPO_etf_Close_min,First Trust US IPO_etf_Close_volatility,First Trust US IPO_etf_Close_change
2018-01-14,71.56,71.56,71.56,0.0,0.0,72.11,72.11,72.11,0.0,0.0,71.56,71.56,71.56,0.0,0.0,72.07,72.07,72.07,0.0,0.0
2018-01-21,73.54,73.54,73.54,0.0,0.0,74.54,74.54,74.54,0.0,0.0,73.44,73.44,73.44,0.0,0.0,74.54,74.54,74.54,0.0,0.0
2018-01-28,72.17,72.17,72.17,0.0,0.0,72.23,72.23,72.23,0.0,0.0,71.09,71.09,71.09,0.0,0.0,71.13,71.13,71.13,0.0,0.0
2018-02-04,68.26,68.26,68.26,0.0,0.0,68.93,68.93,68.93,0.0,0.0,66.24,66.24,66.24,0.0,0.0,68.38,68.38,68.38,0.0,0.0
2018-02-11,71.28,71.28,71.28,0.0,0.0,71.77,71.77,71.77,0.0,0.0,71.23,71.23,71.23,0.0,0.0,71.48,71.48,71.48,0.0,0.0
2018-02-18,70.69,70.69,70.69,0.0,0.0,71.25,71.25,71.25,0.0,0.0,70.4,70.4,70.4,0.0,0.0,71.23,71.23,71.23,0.0,0.0
2018-02-25,69.12,69.12,69.12,0.0,0.0,70.56,70.56,70.56,0.0,0.0,69.07,69.07,69.07,0.0,0.0,70.45,70.45,70.45,0.0,0.0
2018-03-04,72.67,72.67,72.67,0.0,0.0,73.34,73.34,73.34,0.0,0.0,72.67,72.67,72.67,0.0,0.0,73.34,73.34,73.34,0.0,0.0
2018-03-11,72.36,72.36,72.36,0.0,0.0,72.53,72.53,72.53,0.0,0.0,72.27,72.27,72.27,0.0,0.0,72.33,72.33,72.33,0.0,0.0
2018-03-18,69.31,69.31,69.31,0.0,0.0,69.57,69.57,69.57,0.0,0.0,67.83,67.83,67.83,0.0,0.0,67.93,67.93,67.93,0.0,0.0
2018-03-25,67.82,67.82,67.82,0.0,0.0,68.91,68.91,68.91,0.0,0.0,67.64,67.64,67.64,0.0,0.0,68.55,68.55,68.55,0.0,0.0
2018-04-01,68.44,68.44,68.44,0.0,0.0,68.81,68.81,68.81,0.0,0.0,67.06,67.06,67.06,0.0,0.0,67.64,67.64,67.64,0.0,0.0
2018-04-08,69.95,69.95,69.95,0.0,0.0,69.95,69.95,69.95,0.0,0.0,68.76,68.76,68.76,0.0,0.0,69.08,69.08,69.08,0.0,0.0
