Date,INTGStock_Open_average,INTGStock_Open_max,INTGStock_Open_min,INTGStock_Open_volatility,INTGStock_Open_change,INTGStock_High_average,INTGStock_High_max,INTGStock_High_min,INTGStock_High_volatility,INTGStock_High_change,INTGStock_Low_average,INTGStock_Low_max,INTGStock_Low_min,INTGStock_Low_volatility,INTGStock_Low_change,INTGStock_Close_average,INTGStock_Close_max,INTGStock_Close_min,INTGStock_Close_volatility,INTGStock_Close_change,INTGStock_Volume_average,INTGStock_Volume_max,INTGStock_Volume_min,INTGStock_Volume_volatility,INTGStock_Volume_change
2018-01-14,23.686666666666667,24.15,23.17,0.9799999999999969,-0.5699999999999967,23.686666666666667,24.15,23.17,0.9799999999999969,-0.5699999999999967,23.336666666666666,23.74,23.1,0.639999999999997,-0.5699999999999967,23.336666666666666,23.74,23.1,0.639999999999997,-0.5699999999999967,304,360,211,149,-19
2018-01-21,23.48,23.77,23.15,0.620000000000001,0.25,23.64,24.0,23.15,0.8500000000000014,-0.23000000000000043,23.446666666666665,23.77,23.05,0.7199999999999989,0.25,23.5,23.77,23.05,0.7199999999999989,0.08999999999999986,942,2106,121,1985,-1985
2018-01-28,23.675,23.8,23.55,0.25,0.25,24.09,24.38,23.8,0.5799999999999983,-0.5799999999999983,23.509999999999998,23.8,23.22,0.5800000000000018,0.5800000000000018,23.8,23.8,23.8,0.0,0.0,2822,5005,640,4365,-4365
2018-02-04,23.0275,23.3,22.66,0.6400000000000006,-0.5399999999999991,23.7725,24.27,23.2,1.0700000000000003,0.620000000000001,22.715,23.2,22.31,0.8900000000000006,-0.6900000000000013,23.155,23.41,23.0,0.41000000000000014,0.0,5666,11111,1648,9463,4752
2018-02-11,22.69,23.11,22.25,0.8599999999999994,-0.3999999999999986,23.523333333333333,23.97,23.2,0.7699999999999996,0.7699999999999996,22.333333333333332,22.55,22.2,0.3500000000000014,-0.3500000000000014,22.933333333333334,23.2,22.45,0.75,-0.05000000000000071,4017,8712,1021,7691,7691
2018-02-18,22.7925,23.85,22.1,1.75,-1.4299999999999997,23.3325,23.85,22.85,1.0,-0.610000000000003,22.715,23.85,22.05,1.8000000000000007,-1.4299999999999997,23.2975,23.85,22.71,1.1400000000000006,-0.610000000000003,848,1280,200,1080,559
2018-02-25,22.75,22.85,22.6,0.25,0.18999999999999773,22.75,22.85,22.6,0.25,0.18999999999999773,22.5375,22.75,22.35,0.3999999999999986,0.3500000000000014,22.66,22.75,22.55,0.1999999999999993,0.1999999999999993,1387,2410,518,1892,-582
2018-03-04,23.475,24.45,22.85,1.5999999999999979,1.5999999999999979,23.7025,24.45,23.0,1.4499999999999993,1.4499999999999993,23.475,24.45,22.85,1.5999999999999979,1.5999999999999979,23.675,24.45,22.95,1.5,1.5,1349,2243,163,2080,-2080
2018-03-11,24.5925,25.0,24.0,1.0,1.0,24.6675,25.17,24.0,1.1700000000000017,1.1700000000000017,24.5625,25.0,24.0,1.0,1.0,24.6675,25.17,24.0,1.1700000000000017,1.1700000000000017,1098,2800,0,2800,1594
2018-03-18,23.96,24.35,23.7,0.6500000000000021,0.3000000000000007,24.164,24.8,23.7,1.1000000000000014,0.75,23.656000000000002,24.3,23.21,1.0899999999999999,0.6999999999999993,23.918,24.3,23.21,1.0899999999999999,0.3000000000000007,2548,6200,463,5737,-3227
