Date,Fidelity Momentum_Open_average,Fidelity Momentum_Open_max,Fidelity Momentum_Open_min,Fidelity Momentum_Open_volatility,Fidelity Momentum_Open_change,Fidelity Momentum_High_average,Fidelity Momentum_High_max,Fidelity Momentum_High_min,Fidelity Momentum_High_volatility,Fidelity Momentum_High_change,Fidelity Momentum_Low_average,Fidelity Momentum_Low_max,Fidelity Momentum_Low_min,Fidelity Momentum_Low_volatility,Fidelity Momentum_Low_change,Fidelity Momentum_Close_average,Fidelity Momentum_Close_max,Fidelity Momentum_Close_min,Fidelity Momentum_Close_volatility,Fidelity Momentum_Close_change
2018-01-14,33.16,33.16,33.16,0.0,0.0,33.39,33.39,33.39,0.0,0.0,33.11,33.11,33.11,0.0,0.0,33.39,33.39,33.39,0.0,0.0
2018-01-21,33.82,33.82,33.82,0.0,0.0,33.82,33.82,33.82,0.0,0.0,33.47,33.47,33.47,0.0,0.0,33.51,33.51,33.51,0.0,0.0
2018-01-28,32.16,32.16,32.16,0.0,0.0,32.58,32.58,32.58,0.0,0.0,30.97,30.97,30.97,0.0,0.0,31.14,31.14,31.14,0.0,0.0
2018-02-04,31.15,31.15,31.15,0.0,0.0,31.49,31.49,31.49,0.0,0.0,30.95,30.95,30.95,0.0,0.0,31.35,31.35,31.35,0.0,0.0
2018-02-11,32.22,32.22,32.22,0.0,0.0,32.46,32.46,32.46,0.0,0.0,32.22,32.22,32.22,0.0,0.0,32.25,32.25,32.25,0.0,0.0
2018-02-18,32.61,32.61,32.61,0.0,0.0,32.78,32.78,32.78,0.0,0.0,32.58,32.58,32.58,0.0,0.0,32.78,32.78,32.78,0.0,0.0
2018-02-25,31.7,31.7,31.7,0.0,0.0,32.39,32.39,32.39,0.0,0.0,31.7,31.7,31.7,0.0,0.0,32.31,32.31,32.31,0.0,0.0
2018-03-04,33.36,33.36,33.36,0.0,0.0,33.38,33.38,33.38,0.0,0.0,33.22,33.22,33.22,0.0,0.0,33.29,33.29,33.29,0.0,0.0
2018-03-11,32.94,32.94,32.94,0.0,0.0,32.94,32.94,32.94,0.0,0.0,32.29,32.29,32.29,0.0,0.0,32.47,32.47,32.47,0.0,0.0
2018-03-18,31.61,31.61,31.61,0.0,0.0,32.05,32.05,32.05,0.0,0.0,31.38,31.38,31.38,0.0,0.0,32.01,32.01,32.01,0.0,0.0
2018-03-25,31.56,31.56,31.56,0.0,0.0,31.56,31.56,31.56,0.0,0.0,30.53,30.53,30.53,0.0,0.0,30.79,30.79,30.79,0.0,0.0
2018-04-01,31.48,31.48,31.48,0.0,0.0,31.71,31.71,31.71,0.0,0.0,31.18,31.18,31.18,0.0,0.0,31.25,31.25,31.25,0.0,0.0
2018-04-08,32.06,32.06,32.06,0.0,0.0,32.14,32.14,32.14,0.0,0.0,31.97,31.97,31.97,0.0,0.0,32.08,32.08,32.08,0.0,0.0
