Date,PowerShares SP 500 ex-Rate Sensiti_Open_average,PowerShares SP 500 ex-Rate Sensiti_Open_max,PowerShares SP 500 ex-Rate Sensiti_Open_min,PowerShares SP 500 ex-Rate Sensiti_Open_volatility,PowerShares SP 500 ex-Rate Sensiti_Open_change,PowerShares SP 500 ex-Rate Sensiti_High_average,PowerShares SP 500 ex-Rate Sensiti_High_max,PowerShares SP 500 ex-Rate Sensiti_High_min,PowerShares SP 500 ex-Rate Sensiti_High_volatility,PowerShares SP 500 ex-Rate Sensiti_High_change,PowerShares SP 500 ex-Rate Sensiti_Low_average,PowerShares SP 500 ex-Rate Sensiti_Low_max,PowerShares SP 500 ex-Rate Sensiti_Low_min,PowerShares SP 500 ex-Rate Sensiti_Low_volatility,PowerShares SP 500 ex-Rate Sensiti_Low_change,PowerShares SP 500 ex-Rate Sensiti_Close_average,PowerShares SP 500 ex-Rate Sensiti_Close_max,PowerShares SP 500 ex-Rate Sensiti_Close_min,PowerShares SP 500 ex-Rate Sensiti_Close_volatility,PowerShares SP 500 ex-Rate Sensiti_Close_change
2018-01-14,35.4,35.4,35.4,0.0,0.0,35.51,35.51,35.51,0.0,0.0,35.32,35.32,35.32,0.0,0.0,35.51,35.51,35.51,0.0,0.0
2018-01-21,36.13,36.13,36.13,0.0,0.0,36.2,36.2,36.2,0.0,0.0,35.92,35.92,35.92,0.0,0.0,35.93,35.93,35.93,0.0,0.0
2018-01-28,34.73,34.73,34.73,0.0,0.0,34.95,34.95,34.95,0.0,0.0,33.48,33.48,33.48,0.0,0.0,33.54,33.54,33.54,0.0,0.0
2018-02-04,33.28,33.28,33.28,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.11,33.11,33.11,0.0,0.0,33.43,33.43,33.43,0.0,0.0
2018-02-11,34.37,34.37,34.37,0.0,0.0,34.7,34.7,34.7,0.0,0.0,34.35,34.35,34.35,0.0,0.0,34.55,34.55,34.55,0.0,0.0
2018-02-18,34.61,34.61,34.61,0.0,0.0,34.94,34.94,34.94,0.0,0.0,34.61,34.61,34.61,0.0,0.0,34.9,34.9,34.9,0.0,0.0
2018-02-25,33.69,33.69,33.69,0.0,0.0,34.22,34.22,34.22,0.0,0.0,33.64,33.64,33.64,0.0,0.0,34.22,34.22,34.22,0.0,0.0
2018-03-04,35.27,35.27,35.27,0.0,0.0,35.3,35.3,35.3,0.0,0.0,35.05,35.05,35.05,0.0,0.0,35.15,35.15,35.15,0.0,0.0
2018-03-11,34.83,34.83,34.83,0.0,0.0,34.83,34.83,34.83,0.0,0.0,34.36,34.36,34.36,0.0,0.0,34.5,34.5,34.5,0.0,0.0
2018-03-18,33.5,33.5,33.5,0.0,0.0,33.91,33.91,33.91,0.0,0.0,33.4,33.4,33.4,0.0,0.0,33.89,33.89,33.89,0.0,0.0
2018-03-25,33.78,33.78,33.78,0.0,0.0,33.78,33.78,33.78,0.0,0.0,32.75,32.75,32.75,0.0,0.0,33.09,33.09,33.09,0.0,0.0
2018-04-01,33.62,33.62,33.62,0.0,0.0,33.97,33.97,33.97,0.0,0.0,33.51,33.51,33.51,0.0,0.0,33.51,33.51,33.51,0.0,0.0
2018-04-08,34.11,34.11,34.11,0.0,0.0,34.39,34.39,34.39,0.0,0.0,34.11,34.11,34.11,0.0,0.0,34.32,34.32,34.32,0.0,0.0
2018-04-15,34.31,34.31,34.31,0.0,0.0,34.37,34.37,34.37,0.0,0.0,34.2,34.2,34.2,0.0,0.0,34.32,34.32,34.32,0.0,0.0
