Date,FTRStock_Open_average,FTRStock_Open_max,FTRStock_Open_min,FTRStock_Open_volatility,FTRStock_Open_change,FTRStock_High_average,FTRStock_High_max,FTRStock_High_min,FTRStock_High_volatility,FTRStock_High_change,FTRStock_Low_average,FTRStock_Low_max,FTRStock_Low_min,FTRStock_Low_volatility,FTRStock_Low_change,FTRStock_Close_average,FTRStock_Close_max,FTRStock_Close_min,FTRStock_Close_volatility,FTRStock_Close_change,FTRStock_Volume_average,FTRStock_Volume_max,FTRStock_Volume_min,FTRStock_Volume_volatility,FTRStock_Volume_change
2018-01-14,7.702500000000001,8.4,7.23,1.17,-1.17,7.92,8.44,7.4,1.0399999999999991,-0.5799999999999992,7.34,7.78,6.99,0.79,-0.79,7.555,7.82,7.21,0.6100000000000003,-0.05000000000000071,3012180,3660840,2581960,1078880,705080
2018-01-21,8.218,8.57,7.74,0.8300000000000001,0.6500000000000004,8.526,8.83,8.31,0.5199999999999996,-0.11999999999999922,8.02,8.19,7.72,0.46999999999999975,0.46999999999999975,8.276,8.53,8.09,0.4399999999999995,-0.2699999999999996,2525390,4410090,1482990,2927100,-2310400
2018-01-28,8.098,8.25,7.99,0.2599999999999998,-0.2599999999999998,8.450000000000001,9.08,8.14,0.9399999999999995,0.6899999999999995,7.91,8.02,7.75,0.2699999999999996,-0.2699999999999996,8.046,8.19,7.84,0.34999999999999964,-0.21000000000000085,2766514,5577320,1649810,3927510,3927510
2018-02-04,7.62,7.78,7.27,0.5100000000000007,-0.4800000000000004,7.824,8.15,7.28,0.8700000000000001,-0.8700000000000001,7.316,7.64,6.65,0.9899999999999993,-0.96,7.414,7.78,6.81,0.9700000000000006,-0.8500000000000005,2384044,3617590,1463470,2154120,1347660
2018-02-11,8.0,9.05,6.86,2.1900000000000004,2.1900000000000004,8.522,9.38,7.71,1.6700000000000008,1.6700000000000008,7.866,8.78,6.85,1.9299999999999997,1.9299999999999997,8.376000000000001,9.22,7.64,1.580000000000001,1.580000000000001,2780600,3390520,2316150,1074370,781960
2018-02-18,8.715,9.22,8.2,1.0200000000000014,-1.0200000000000014,9.0875,9.35,8.9,0.4499999999999993,-0.23000000000000043,8.32,8.66,7.96,0.7000000000000002,-0.5,8.66,9.1,8.06,1.0399999999999991,0.379999999999999,2375097,3051420,1331490,1719930,563760
2018-02-25,7.866,9.18,6.92,2.26,-2.12,8.214,9.59,7.31,2.2800000000000002,-2.04,7.6659999999999995,9.04,6.65,2.389999999999999,-1.7799999999999994,7.934,9.24,7.0,2.24,-2.24,7321300,18851310,2249060,16602250,4577420
2018-03-04,7.672,8.27,7.0,1.2699999999999996,1.2699999999999996,8.156,8.48,7.63,0.8500000000000005,0.8199999999999994,7.636,8.12,7.0,1.1199999999999992,1.1199999999999992,7.962,8.28,7.38,0.8999999999999995,0.8400000000000007,3355336,4672170,2128600,2543570,-2543570
2018-03-11,7.8580000000000005,8.15,7.57,0.5800000000000001,-0.5800000000000001,7.988,8.23,7.65,0.5800000000000001,-0.5800000000000001,7.588,7.77,7.36,0.40999999999999925,-0.40999999999999925,7.802,8.03,7.59,0.4399999999999995,-0.379999999999999,4076188,6557800,2326800,4231000,3000630
2018-03-18,7.078,7.54,6.89,0.6500000000000004,-0.6500000000000004,7.216,7.55,7.06,0.4900000000000002,-0.4900000000000002,6.832,6.9,6.75,0.15000000000000036,-0.08000000000000007,6.986,7.1,6.93,0.16999999999999993,-0.07000000000000028,2704786,4933660,1774670,3158990,-3158990
