Date,iShares US Consumer Goods_Open_average,iShares US Consumer Goods_Open_max,iShares US Consumer Goods_Open_min,iShares US Consumer Goods_Open_volatility,iShares US Consumer Goods_Open_change,iShares US Consumer Goods_High_average,iShares US Consumer Goods_High_max,iShares US Consumer Goods_High_min,iShares US Consumer Goods_High_volatility,iShares US Consumer Goods_High_change,iShares US Consumer Goods_Low_average,iShares US Consumer Goods_Low_max,iShares US Consumer Goods_Low_min,iShares US Consumer Goods_Low_volatility,iShares US Consumer Goods_Low_change,iShares US Consumer Goods_Close_average,iShares US Consumer Goods_Close_max,iShares US Consumer Goods_Close_min,iShares US Consumer Goods_Close_volatility,iShares US Consumer Goods_Close_change
2018-01-14,129.91,129.91,129.91,0.0,0.0,130.56,130.56,130.56,0.0,0.0,129.91,129.91,129.91,0.0,0.0,130.55,130.55,130.55,0.0,0.0
2018-01-21,130.38,130.38,130.38,0.0,0.0,130.38,130.38,130.38,0.0,0.0,129.39,129.39,129.39,0.0,0.0,129.39,129.39,129.39,0.0,0.0
2018-01-28,125.54,125.54,125.54,0.0,0.0,125.94,125.94,125.94,0.0,0.0,121.55,121.55,121.55,0.0,0.0,121.55,121.55,121.55,0.0,0.0
2018-02-04,121.41,121.41,121.41,0.0,0.0,122.83,122.83,122.83,0.0,0.0,121.23,121.23,121.23,0.0,0.0,122.27,122.27,122.27,0.0,0.0
2018-02-11,124.19,124.19,124.19,0.0,0.0,124.98,124.98,124.98,0.0,0.0,123.6,123.6,123.6,0.0,0.0,124.31,124.31,124.31,0.0,0.0
2018-02-18,123.61,123.61,123.61,0.0,0.0,124.34,124.34,124.34,0.0,0.0,123.25,123.25,123.25,0.0,0.0,124.25,124.25,124.25,0.0,0.0
2018-02-25,120.59,120.59,120.59,0.0,0.0,122.16,122.16,122.16,0.0,0.0,120.59,120.59,120.59,0.0,0.0,122.14,122.14,122.14,0.0,0.0
2018-03-04,124.05,124.05,124.05,0.0,0.0,124.58,124.58,124.58,0.0,0.0,123.67,123.67,123.67,0.0,0.0,124.0,124.0,124.0,0.0,0.0
2018-03-11,121.55,121.55,121.55,0.0,0.0,121.67,121.67,121.67,0.0,0.0,120.1,120.1,120.1,0.0,0.0,120.75,120.75,120.75,0.0,0.0
2018-03-18,116.69,116.69,116.69,0.0,0.0,117.26,117.26,117.26,0.0,0.0,116.0,116.0,116.0,0.0,0.0,117.26,117.26,117.26,0.0,0.0
2018-03-25,118.46,118.46,118.46,0.0,0.0,118.46,118.46,118.46,0.0,0.0,115.32,115.32,115.32,0.0,0.0,115.98,115.98,115.98,0.0,0.0
2018-04-01,119.91,119.91,119.91,0.0,0.0,120.5,120.5,120.5,0.0,0.0,119.18,119.18,119.18,0.0,0.0,119.18,119.18,119.18,0.0,0.0
2018-04-08,120.25,120.25,120.25,0.0,0.0,121.07,121.07,121.07,0.0,0.0,120.04,120.04,120.04,0.0,0.0,120.72,120.72,120.72,0.0,0.0
2018-04-15,114.78,114.78,114.78,0.0,0.0,115.0,115.0,115.0,0.0,0.0,114.36,114.36,114.36,0.0,0.0,114.8,114.8,114.8,0.0,0.0
2018-04-22,115.31,115.31,115.31,0.0,0.0,115.55,115.55,115.55,0.0,0.0,114.0,114.0,114.0,0.0,0.0,114.07,114.07,114.07,0.0,0.0
2018-04-29,113.59,113.59,113.59,0.0,0.0,113.64,113.64,113.64,0.0,0.0,113.0,113.0,113.0,0.0,0.0,113.25,113.25,113.25,0.0,0.0
2018-05-06,114.09,114.09,114.09,0.0,0.0,114.09,114.09,114.09,0.0,0.0,113.39,113.39,113.39,0.0,0.0,113.54,113.54,113.54,0.0,0.0
2018-05-13,114.6,114.6,114.6,0.0,0.0,115.0,115.0,115.0,0.0,0.0,114.56,114.56,114.56,0.0,0.0,114.62,114.62,114.62,0.0,0.0
2018-05-20,114.64,114.64,114.64,0.0,0.0,115.45,115.45,115.45,0.0,0.0,114.64,114.64,114.64,0.0,0.0,114.95,114.95,114.95,0.0,0.0
2018-05-27,115.71,115.71,115.71,0.0,0.0,115.96,115.96,115.96,0.0,0.0,115.5,115.5,115.5,0.0,0.0,115.91,115.91,115.91,0.0,0.0
2018-06-03,118.52,118.52,118.52,0.0,0.0,119.48,119.48,119.48,0.0,0.0,118.52,118.52,118.52,0.0,0.0,119.31,119.31,119.31,0.0,0.0
2018-06-10,120.27,120.27,120.27,0.0,0.0,120.27,120.27,120.27,0.0,0.0,119.18,119.18,119.18,0.0,0.0,119.62,119.62,119.62,0.0,0.0
2018-06-17,118.65,118.65,118.65,0.0,0.0,119.04,119.04,119.04,0.0,0.0,118.24,118.24,118.24,0.0,0.0,118.91,118.91,118.91,0.0,0.0
2018-06-24,117.87,117.87,117.87,0.0,0.0,118.04,118.04,118.04,0.0,0.0,117.0,117.0,117.0,0.0,0.0,117.85,117.85,117.85,0.0,0.0
2018-07-01,119.59,119.59,119.59,0.0,0.0,119.76,119.76,119.76,0.0,0.0,119.21,119.21,119.21,0.0,0.0,119.35,119.35,119.35,0.0,0.0
2018-07-08,120.2,120.2,120.2,0.0,0.0,120.2,120.2,120.2,0.0,0.0,119.63,119.63,119.63,0.0,0.0,119.75,119.75,119.75,0.0,0.0
2018-07-15,120.28,120.28,120.28,0.0,0.0,120.28,120.28,120.28,0.0,0.0,119.53,119.53,119.53,0.0,0.0,119.73,119.73,119.73,0.0,0.0
2018-07-22,119.55,119.55,119.55,0.0,0.0,119.61,119.61,119.61,0.0,0.0,119.08,119.08,119.08,0.0,0.0,119.2,119.2,119.2,0.0,0.0
2018-07-29,121.71,121.71,121.71,0.0,0.0,122.02,122.02,122.02,0.0,0.0,121.6,121.6,121.6,0.0,0.0,121.62,121.62,121.62,0.0,0.0
2018-08-05,119.85,119.85,119.85,0.0,0.0,119.85,119.85,119.85,0.0,0.0,118.87,118.87,118.87,0.0,0.0,119.27,119.27,119.27,0.0,0.0
2018-08-12,121.17,121.17,121.17,0.0,0.0,121.63,121.63,121.63,0.0,0.0,121.17,121.17,121.17,0.0,0.0,121.54,121.54,121.54,0.0,0.0
2018-08-19,120.45,120.45,120.45,0.0,0.0,120.77,120.77,120.77,0.0,0.0,120.21,120.21,120.21,0.0,0.0,120.65,120.65,120.65,0.0,0.0
2018-08-26,118.95,118.95,118.95,0.0,0.0,119.31,119.31,119.31,0.0,0.0,118.4,118.4,118.4,0.0,0.0,118.95,118.95,118.95,0.0,0.0
2018-09-02,119.4,119.4,119.4,0.0,0.0,120.09,120.09,120.09,0.0,0.0,119.4,119.4,119.4,0.0,0.0,119.56,119.56,119.56,0.0,0.0
2018-09-09,121.23,121.23,121.23,0.0,0.0,121.51,121.51,121.51,0.0,0.0,121.14,121.14,121.14,0.0,0.0,121.36,121.36,121.36,0.0,0.0
2018-09-16,122.15,122.15,122.15,0.0,0.0,122.15,122.15,122.15,0.0,0.0,120.45,120.45,120.45,0.0,0.0,120.65,120.65,120.65,0.0,0.0
2018-09-23,119.57,119.57,119.57,0.0,0.0,119.57,119.57,119.57,0.0,0.0,118.86,118.86,118.86,0.0,0.0,119.06,119.06,119.06,0.0,0.0
2018-09-30,117.06,117.06,117.06,0.0,0.0,117.83,117.83,117.83,0.0,0.0,117.02,117.02,117.02,0.0,0.0,117.72,117.72,117.72,0.0,0.0
2018-10-07,112.81,112.81,112.81,0.0,0.0,114.0,114.0,114.0,0.0,0.0,112.81,112.81,112.81,0.0,0.0,113.28,113.28,113.28,0.0,0.0
2018-10-14,115.22,115.22,115.22,0.0,0.0,115.35,115.35,115.35,0.0,0.0,114.04,114.04,114.04,0.0,0.0,114.35,114.35,114.35,0.0,0.0
2018-10-21,115.11,115.11,115.11,0.0,0.0,116.1,116.1,116.1,0.0,0.0,113.5,113.5,113.5,0.0,0.0,114.48,114.48,114.48,0.0,0.0
2018-10-28,117.91,117.91,117.91,0.0,0.0,118.47,118.47,118.47,0.0,0.0,117.7,117.7,117.7,0.0,0.0,118.31,118.31,118.31,0.0,0.0
2018-11-04,118.0,118.0,118.0,0.0,0.0,118.58,118.58,118.58,0.0,0.0,117.35,117.35,117.35,0.0,0.0,117.5,117.5,117.5,0.0,0.0
2018-11-11,117.23,117.23,117.23,0.0,0.0,117.3,117.3,117.3,0.0,0.0,116.23,116.23,116.23,0.0,0.0,116.43,116.43,116.43,0.0,0.0
2018-11-18,115.49,115.49,115.49,0.0,0.0,115.84,115.84,115.84,0.0,0.0,115.02,115.02,115.02,0.0,0.0,115.68,115.68,115.68,0.0,0.0
2018-11-25,118.71,118.71,118.71,0.0,0.0,118.71,118.71,118.71,0.0,0.0,117.39,117.39,117.39,0.0,0.0,118.29,118.29,118.29,0.0,0.0
2018-12-02,114.14,114.14,114.14,0.0,0.0,114.16,114.16,114.16,0.0,0.0,111.91,111.91,111.91,0.0,0.0,113.56,113.56,113.56,0.0,0.0
2018-12-09,111.58,111.58,111.58,0.0,0.0,112.21,112.21,112.21,0.0,0.0,109.44,109.44,109.44,0.0,0.0,110.03,110.03,110.03,0.0,0.0
2018-12-16,104.79,104.79,104.79,0.0,0.0,104.79,104.79,104.79,0.0,0.0,102.26,102.26,102.26,0.0,0.0,102.26,102.26,102.26,0.0,0.0
2018-12-23,106.69,106.69,106.69,0.0,0.0,106.69,106.69,106.69,0.0,0.0,105.41,105.41,105.41,0.0,0.0,106.44,106.44,106.44,0.0,0.0
2018-12-30,107.64,107.64,107.64,0.0,0.0,108.95,108.95,108.95,0.0,0.0,107.26,107.26,107.26,0.0,0.0,108.27,108.27,108.27,0.0,0.0
2019-01-06,109.83,109.83,109.83,0.0,0.0,110.16,110.16,110.16,0.0,0.0,109.5,109.5,109.5,0.0,0.0,109.63,109.63,109.63,0.0,0.0
2019-01-13,111.54,111.54,111.54,0.0,0.0,112.38,112.38,112.38,0.0,0.0,111.54,111.54,111.54,0.0,0.0,112.03,112.03,112.03,0.0,0.0
2019-01-20,110.42,110.42,110.42,0.0,0.0,111.11,111.11,111.11,0.0,0.0,110.33,110.33,110.33,0.0,0.0,111.11,111.11,111.11,0.0,0.0
2019-01-27,114.17,114.17,114.17,0.0,0.0,114.72,114.72,114.72,0.0,0.0,113.85,113.85,113.85,0.0,0.0,114.72,114.72,114.72,0.0,0.0
2019-02-03,115.13,115.13,115.13,0.0,0.0,115.31,115.31,115.31,0.0,0.0,114.98,114.98,114.98,0.0,0.0,115.24,115.24,115.24,0.0,0.0
2019-02-10,116.38,116.38,116.38,0.0,0.0,116.64,116.64,116.64,0.0,0.0,116.16,116.16,116.16,0.0,0.0,116.4,116.4,116.4,0.0,0.0
2019-02-17,117.23,117.23,117.23,0.0,0.0,117.23,117.23,117.23,0.0,0.0,116.34,116.34,116.34,0.0,0.0,116.45,116.45,116.45,0.0,0.0
2019-02-24,117.25,117.25,117.25,0.0,0.0,117.28,117.28,117.28,0.0,0.0,115.82,115.82,115.82,0.0,0.0,116.64,116.64,116.64,0.0,0.0
2019-03-03,116.41,116.41,116.41,0.0,0.0,117.14,117.14,117.14,0.0,0.0,116.41,116.41,116.41,0.0,0.0,117.1,117.1,117.1,0.0,0.0
2019-03-10,117.35,117.35,117.35,0.0,0.0,118.04,118.04,118.04,0.0,0.0,117.35,117.35,117.35,0.0,0.0,117.94,117.94,117.94,0.0,0.0
2019-03-17,116.54,116.54,116.54,0.0,0.0,117.56,117.56,117.56,0.0,0.0,116.52,116.52,116.52,0.0,0.0,117.27,117.27,117.27,0.0,0.0
2019-03-24,119.93,119.93,119.93,0.0,0.0,119.93,119.93,119.93,0.0,0.0,119.57,119.57,119.57,0.0,0.0,119.84,119.84,119.84,0.0,0.0
2019-03-31,119.82,119.82,119.82,0.0,0.0,120.31,120.31,120.31,0.0,0.0,119.68,119.68,119.68,0.0,0.0,120.28,120.28,120.28,0.0,0.0
2019-04-07,121.18,121.18,121.18,0.0,0.0,121.56,121.56,121.56,0.0,0.0,121.18,121.18,121.18,0.0,0.0,121.51,121.51,121.51,0.0,0.0
2019-04-14,122.1,122.1,122.1,0.0,0.0,122.25,122.25,122.25,0.0,0.0,121.78,121.78,121.78,0.0,0.0,121.82,121.82,121.82,0.0,0.0
2019-04-21,122.24,122.24,122.24,0.0,0.0,122.71,122.71,122.71,0.0,0.0,122.24,122.24,122.24,0.0,0.0,122.53,122.53,122.53,0.0,0.0
2019-04-28,121.41,121.41,121.41,0.0,0.0,122.39,122.39,122.39,0.0,0.0,121.41,121.41,121.41,0.0,0.0,122.21,122.21,122.21,0.0,0.0
2019-05-05,119.64,119.64,119.64,0.0,0.0,119.72,119.72,119.72,0.0,0.0,119.1,119.1,119.1,0.0,0.0,119.53,119.53,119.53,0.0,0.0
2019-05-12,120.97,120.97,120.97,0.0,0.0,121.18,121.18,121.18,0.0,0.0,120.45,120.45,120.45,0.0,0.0,120.68,120.68,120.68,0.0,0.0
2019-05-19,120.5,120.5,120.5,0.0,0.0,120.5,120.5,120.5,0.0,0.0,119.6,119.6,119.6,0.0,0.0,119.64,119.64,119.64,0.0,0.0
2019-05-26,115.66,115.66,115.66,0.0,0.0,116.81,116.81,116.81,0.0,0.0,115.6,115.6,115.6,0.0,0.0,116.69,116.69,116.69,0.0,0.0
2019-06-02,122.29,122.29,122.29,0.0,0.0,122.29,122.29,122.29,0.0,0.0,121.64,121.64,121.64,0.0,0.0,121.86,121.86,121.86,0.0,0.0
2019-06-09,121.74,121.74,121.74,0.0,0.0,121.74,121.74,121.74,0.0,0.0,121.28,121.28,121.28,0.0,0.0,121.51,121.51,121.51,0.0,0.0
2019-06-16,122.48,122.48,122.48,0.0,0.0,123.0,123.0,123.0,0.0,0.0,122.34,122.34,122.34,0.0,0.0,122.42,122.42,122.42,0.0,0.0
2019-06-23,122.45,122.45,122.45,0.0,0.0,122.63,122.63,122.63,0.0,0.0,121.62,121.62,121.62,0.0,0.0,122.23,122.23,122.23,0.0,0.0
2019-06-30,123.54,123.54,123.54,0.0,0.0,123.83,123.83,123.83,0.0,0.0,123.37,123.37,123.37,0.0,0.0,123.67,123.67,123.67,0.0,0.0
2019-07-07,124.74,124.74,124.74,0.0,0.0,124.84,124.84,124.84,0.0,0.0,124.49,124.49,124.49,0.0,0.0,124.8,124.8,124.8,0.0,0.0
2019-07-14,124.83,124.83,124.83,0.0,0.0,124.92,124.92,124.92,0.0,0.0,123.92,123.92,123.92,0.0,0.0,123.98,123.98,123.98,0.0,0.0
2019-07-21,125.56,125.56,125.56,0.0,0.0,126.08,126.08,126.08,0.0,0.0,125.56,125.56,125.56,0.0,0.0,126.05,126.05,126.05,0.0,0.0
2019-07-28,121.74,121.74,121.74,0.0,0.0,121.74,121.74,121.74,0.0,0.0,119.21,119.21,119.21,0.0,0.0,119.38,119.38,119.38,0.0,0.0
2019-08-04,122.03,122.03,122.03,0.0,0.0,122.03,122.03,122.03,0.0,0.0,121.17,121.17,121.17,0.0,0.0,121.56,121.56,121.56,0.0,0.0
2019-08-11,123.41,123.41,123.41,0.0,0.0,123.94,123.94,123.94,0.0,0.0,123.3,123.3,123.3,0.0,0.0,123.71,123.71,123.71,0.0,0.0
2019-08-18,121.97,121.97,121.97,0.0,0.0,122.6,122.6,122.6,0.0,0.0,121.93,121.93,121.93,0.0,0.0,122.15,122.15,122.15,0.0,0.0
2019-08-25,123.93,123.93,123.93,0.0,0.0,124.04,124.04,124.04,0.0,0.0,123.06,123.06,123.06,0.0,0.0,123.35,123.35,123.35,0.0,0.0
2019-09-01,126.01,126.01,126.01,0.0,0.0,126.18,126.18,126.18,0.0,0.0,125.88,125.88,125.88,0.0,0.0,126.09,126.09,126.09,0.0,0.0
2019-09-08,125.37,125.37,125.37,0.0,0.0,125.45,125.45,125.45,0.0,0.0,124.88,124.88,124.88,0.0,0.0,125.07,125.07,125.07,0.0,0.0
2019-09-15,124.63,124.63,124.63,0.0,0.0,125.61,125.61,125.61,0.0,0.0,124.63,124.63,124.63,0.0,0.0,125.19,125.19,125.19,0.0,0.0
2019-09-22,125.81,125.81,125.81,0.0,0.0,126.59,126.59,126.59,0.0,0.0,125.81,125.81,125.81,0.0,0.0,126.49,126.49,126.49,0.0,0.0
2019-09-29,125.48,125.48,125.48,0.0,0.0,125.9,125.9,125.9,0.0,0.0,124.93,124.93,124.93,0.0,0.0,125.17,125.17,125.17,0.0,0.0
2019-10-06,125.08,125.08,125.08,0.0,0.0,125.22,125.22,125.22,0.0,0.0,125.08,125.08,125.08,0.0,0.0,125.19,125.19,125.19,0.0,0.0
2019-10-13,126.43,126.43,126.43,0.0,0.0,126.66,126.66,126.66,0.0,0.0,126.33,126.33,126.33,0.0,0.0,126.59,126.59,126.59,0.0,0.0
2019-10-20,127.49,127.49,127.49,0.0,0.0,127.49,127.49,127.49,0.0,0.0,126.68,126.68,126.68,0.0,0.0,126.8,126.8,126.8,0.0,0.0
2019-10-27,127.71,127.71,127.71,0.0,0.0,127.71,127.71,127.71,0.0,0.0,126.15,126.15,126.15,0.0,0.0,126.41,126.41,126.41,0.0,0.0
2019-11-03,126.65,126.65,126.65,0.0,0.0,126.81,126.81,126.81,0.0,0.0,126.63,126.63,126.63,0.0,0.0,126.71,126.71,126.71,0.0,0.0
2019-11-10,127.78,127.78,127.78,0.0,0.0,128.75,128.75,128.75,0.0,0.0,127.78,127.78,127.78,0.0,0.0,128.36,128.36,128.36,0.0,0.0
2019-11-17,127.8,127.8,127.8,0.0,0.0,128.04,128.04,128.04,0.0,0.0,127.77,127.77,127.77,0.0,0.0,128.04,128.04,128.04,0.0,0.0
2019-11-24,129.37,129.37,129.37,0.0,0.0,129.37,129.37,129.37,0.0,0.0,128.64,128.64,128.64,0.0,0.0,129.26,129.26,129.26,0.0,0.0
2019-12-01,130.74,130.74,130.74,0.0,0.0,131.2,131.2,131.2,0.0,0.0,130.74,130.74,130.74,0.0,0.0,130.97,130.97,130.97,0.0,0.0
2019-12-08,131.49,131.49,131.49,0.0,0.0,131.95,131.95,131.95,0.0,0.0,131.49,131.49,131.49,0.0,0.0,131.62,131.62,131.62,0.0,0.0
2019-12-15,133.57,133.57,133.57,0.0,0.0,133.71,133.71,133.71,0.0,0.0,132.96,132.96,132.96,0.0,0.0,132.96,132.96,132.96,0.0,0.0
2019-12-22,133.65,133.65,133.65,0.0,0.0,133.65,133.65,133.65,0.0,0.0,132.89,132.89,132.89,0.0,0.0,133.02,133.02,133.02,0.0,0.0
2019-12-29,131.63,131.63,131.63,0.0,0.0,132.82,132.82,132.82,0.0,0.0,131.63,131.63,131.63,0.0,0.0,132.52,132.52,132.52,0.0,0.0
