Date,PowerShares DWA Consumer Staples Momentum Portfoli_Open_average,PowerShares DWA Consumer Staples Momentum Portfoli_Open_max,PowerShares DWA Consumer Staples Momentum Portfoli_Open_min,PowerShares DWA Consumer Staples Momentum Portfoli_Open_volatility,PowerShares DWA Consumer Staples Momentum Portfoli_Open_change,PowerShares DWA Consumer Staples Momentum Portfoli_High_average,PowerShares DWA Consumer Staples Momentum Portfoli_High_max,PowerShares DWA Consumer Staples Momentum Portfoli_High_min,PowerShares DWA Consumer Staples Momentum Portfoli_High_volatility,PowerShares DWA Consumer Staples Momentum Portfoli_High_change,PowerShares DWA Consumer Staples Momentum Portfoli_Low_average,PowerShares DWA Consumer Staples Momentum Portfoli_Low_max,PowerShares DWA Consumer Staples Momentum Portfoli_Low_min,PowerShares DWA Consumer Staples Momentum Portfoli_Low_volatility,PowerShares DWA Consumer Staples Momentum Portfoli_Low_change,PowerShares DWA Consumer Staples Momentum Portfoli_Close_average,PowerShares DWA Consumer Staples Momentum Portfoli_Close_max,PowerShares DWA Consumer Staples Momentum Portfoli_Close_min,PowerShares DWA Consumer Staples Momentum Portfoli_Close_volatility,PowerShares DWA Consumer Staples Momentum Portfoli_Close_change
2018-01-14,66.28,66.28,66.28,0.0,0.0,66.45,66.45,66.45,0.0,0.0,66.22,66.22,66.22,0.0,0.0,66.45,66.45,66.45,0.0,0.0
2018-01-21,67.93,67.93,67.93,0.0,0.0,67.93,67.93,67.93,0.0,0.0,67.08,67.08,67.08,0.0,0.0,67.08,67.08,67.08,0.0,0.0
2018-01-28,65.23,65.23,65.23,0.0,0.0,65.23,65.23,65.23,0.0,0.0,63.73,63.73,63.73,0.0,0.0,64.51,64.51,64.51,0.0,0.0
2018-02-04,63.58,63.58,63.58,0.0,0.0,64.42,64.42,64.42,0.0,0.0,63.58,63.58,63.58,0.0,0.0,64.17,64.17,64.17,0.0,0.0
2018-02-11,65.98,65.98,65.98,0.0,0.0,66.48,66.48,66.48,0.0,0.0,65.81,65.81,65.81,0.0,0.0,66.2,66.2,66.2,0.0,0.0
2018-02-18,66.55,66.55,66.55,0.0,0.0,66.94,66.94,66.94,0.0,0.0,66.4,66.4,66.4,0.0,0.0,66.88,66.88,66.88,0.0,0.0
2018-02-25,65.54,65.54,65.54,0.0,0.0,66.17,66.17,66.17,0.0,0.0,65.54,65.54,65.54,0.0,0.0,66.17,66.17,66.17,0.0,0.0
2018-03-04,68.64,68.64,68.64,0.0,0.0,68.69,68.69,68.69,0.0,0.0,68.38,68.38,68.38,0.0,0.0,68.4,68.4,68.4,0.0,0.0
2018-03-11,67.5,67.5,67.5,0.0,0.0,67.5,67.5,67.5,0.0,0.0,67.27,67.27,67.27,0.0,0.0,67.42,67.42,67.42,0.0,0.0
2018-03-18,66.02,66.02,66.02,0.0,0.0,66.42,66.42,66.42,0.0,0.0,66.02,66.02,66.02,0.0,0.0,66.42,66.42,66.42,0.0,0.0
2018-03-25,66.66,66.66,66.66,0.0,0.0,66.66,66.66,66.66,0.0,0.0,65.25,65.25,65.25,0.0,0.0,65.52,65.52,65.52,0.0,0.0
2018-04-01,67.34,67.34,67.34,0.0,0.0,67.6,67.6,67.6,0.0,0.0,67.01,67.01,67.01,0.0,0.0,67.2,67.2,67.2,0.0,0.0
2018-04-08,68.37,68.37,68.37,0.0,0.0,69.09,69.09,69.09,0.0,0.0,68.37,68.37,68.37,0.0,0.0,68.97,68.97,68.97,0.0,0.0
2018-04-15,68.18,68.18,68.18,0.0,0.0,68.18,68.18,68.18,0.0,0.0,67.59,67.59,67.59,0.0,0.0,67.63,67.63,67.63,0.0,0.0
2018-04-22,68.42,68.42,68.42,0.0,0.0,68.42,68.42,68.42,0.0,0.0,67.67,67.67,67.67,0.0,0.0,67.67,67.67,67.67,0.0,0.0
2018-04-29,67.82,67.82,67.82,0.0,0.0,67.96,67.96,67.96,0.0,0.0,67.65,67.65,67.65,0.0,0.0,67.69,67.69,67.69,0.0,0.0
2018-05-06,68.97,68.97,68.97,0.0,0.0,68.97,68.97,68.97,0.0,0.0,68.1,68.1,68.1,0.0,0.0,68.1,68.1,68.1,0.0,0.0
2018-05-13,70.15,70.15,70.15,0.0,0.0,70.15,70.15,70.15,0.0,0.0,69.57,69.57,69.57,0.0,0.0,69.65,69.65,69.65,0.0,0.0
2018-05-20,69.22,69.22,69.22,0.0,0.0,69.22,69.22,69.22,0.0,0.0,68.73,68.73,68.73,0.0,0.0,68.82,68.82,68.82,0.0,0.0
2018-05-27,69.69,69.69,69.69,0.0,0.0,69.69,69.69,69.69,0.0,0.0,69.57,69.57,69.57,0.0,0.0,69.6,69.6,69.6,0.0,0.0
2018-06-03,71.09,71.09,71.09,0.0,0.0,71.18,71.18,71.18,0.0,0.0,70.76,70.76,70.76,0.0,0.0,70.97,70.97,70.97,0.0,0.0
2018-06-10,71.55,71.55,71.55,0.0,0.0,71.78,71.78,71.78,0.0,0.0,71.21,71.21,71.21,0.0,0.0,71.76,71.76,71.76,0.0,0.0
