Date,Direxion Daily Russia Bear 3X Shares_Open_average,Direxion Daily Russia Bear 3X Shares_Open_max,Direxion Daily Russia Bear 3X Shares_Open_volatility,Direxion Daily Russia Bear 3X Shares_Open_change,Direxion Daily Russia Bear 3X Shares_High_average,Direxion Daily Russia Bear 3X Shares_High_max,Direxion Daily Russia Bear 3X Shares_High_volatility,Direxion Daily Russia Bear 3X Shares_High_change,Direxion Daily Russia Bear 3X Shares_Low_average,Direxion Daily Russia Bear 3X Shares_Low_max,Direxion Daily Russia Bear 3X Shares_Low_volatility,Direxion Daily Russia Bear 3X Shares_Low_change,Direxion Daily Russia Bear 3X Shares_Close_average,Direxion Daily Russia Bear 3X Shares_Close_max,Direxion Daily Russia Bear 3X Shares_Close_volatility,Direxion Daily Russia Bear 3X Shares_Close_change
2016-01-03,235.55,235.55,0.0,0.0,260.5,260.5,0.0,0.0,235.5,235.5,0.0,0.0,254.5,254.5,0.0,0.0
2016-01-10,285.25,285.25,0.0,0.0,297.35,297.35,0.0,0.0,281.2,281.2,0.0,0.0,290.8,290.8,0.0,0.0
2016-01-17,237.0,237.0,0.0,0.0,246.6,246.6,0.0,0.0,227.45,227.45,0.0,0.0,246.3,246.3,0.0,0.0
2016-01-24,182.05,182.05,0.0,0.0,189.85,189.85,0.0,0.0,179.65,179.65,0.0,0.0,185.8,185.8,0.0,0.0
2016-01-31,183.2,183.2,0.0,0.0,200.0,200.0,0.0,0.0,182.9,182.9,0.0,0.0,193.8,193.8,0.0,0.0
2016-02-07,199.5,199.5,0.0,0.0,204.3,204.3,0.0,0.0,189.35,189.35,0.0,0.0,190.95,190.95,0.0,0.0
2016-02-14,152.5,152.5,0.0,0.0,153.0,153.0,0.0,0.0,148.8,148.8,0.0,0.0,150.6,150.6,0.0,0.0
2016-02-21,150.7,150.7,0.0,0.0,152.6,152.6,0.0,0.0,144.5,144.5,0.0,0.0,150.2,150.2,0.0,0.0
2016-02-28,115.55,115.55,0.0,0.0,115.55,115.55,0.0,0.0,105.9,105.9,0.0,0.0,109.4,109.4,0.0,0.0
2016-03-06,112.1,112.1,0.0,0.0,113.7,113.7,0.0,0.0,101.95,101.95,0.0,0.0,104.4,104.4,0.0,0.0
2016-03-13,96.3,96.3,0.0,0.0,96.33,96.33,0.0,0.0,91.88,91.88,0.0,0.0,92.35,92.35,0.0,0.0
2016-03-20,100.85,100.85,0.0,0.0,103.55,103.55,0.0,0.0,100.85,100.85,0.0,0.0,101.9,101.9,0.0,0.0
2016-03-27,101.2,101.2,0.0,0.0,104.8,104.8,0.0,0.0,98.05,98.05,0.0,0.0,104.75,104.75,0.0,0.0
2016-04-03,88.95,88.95,0.0,0.0,88.95,88.95,0.0,0.0,86.4,86.4,0.0,0.0,88.3,88.3,0.0,0.0
2016-04-10,94.65,94.65,0.0,0.0,95.25,95.25,0.0,0.0,85.85,85.85,0.0,0.0,87.5,87.5,0.0,0.0
2016-04-17,76.4,76.4,0.0,0.0,79.9,79.9,0.0,0.0,76.0,76.0,0.0,0.0,79.75,79.75,0.0,0.0
2016-04-24,72.5,72.5,0.0,0.0,76.67,76.67,0.0,0.0,72.5,72.5,0.0,0.0,76.2,76.2,0.0,0.0
2016-05-01,83.95,83.95,0.0,0.0,89.45,89.45,0.0,0.0,83.95,83.95,0.0,0.0,89.0,89.0,0.0,0.0
2016-05-08,74.5,74.5,0.0,0.0,76.55,76.55,0.0,0.0,72.88,72.88,0.0,0.0,75.75,75.75,0.0,0.0
2016-05-15,89.75,89.75,0.0,0.0,89.75,89.75,0.0,0.0,85.3,85.3,0.0,0.0,85.65,85.65,0.0,0.0
2016-05-22,78.7,78.7,0.0,0.0,78.75,78.75,0.0,0.0,76.05,76.05,0.0,0.0,77.4,77.4,0.0,0.0
2016-05-29,76.0,76.0,0.0,0.0,77.1,77.1,0.0,0.0,74.0,74.0,0.0,0.0,74.1,74.1,0.0,0.0
2016-06-05,79.0,79.0,0.0,0.0,79.15,79.15,0.0,0.0,75.95,75.95,0.0,0.0,78.85,78.85,0.0,0.0
2016-06-12,72.6,72.6,0.0,0.0,72.6,72.6,0.0,0.0,70.35,70.35,0.0,0.0,71.65,71.65,0.0,0.0
2016-06-19,80.0,80.0,0.0,0.0,83.75,83.75,0.0,0.0,79.4,79.4,0.0,0.0,81.35,81.35,0.0,0.0
2016-06-26,68.05,68.05,0.0,0.0,68.1,68.1,0.0,0.0,65.7,65.7,0.0,0.0,66.2,66.2,0.0,0.0
2016-07-03,64.6,64.6,0.0,0.0,64.95,64.95,0.0,0.0,63.25,63.25,0.0,0.0,64.9,64.9,0.0,0.0
2016-07-10,59.4,59.4,0.0,0.0,59.4,59.4,0.0,0.0,56.75,56.75,0.0,0.0,56.9,56.9,0.0,0.0
