Date,iShares US Real Estate_etf_Open_average,iShares US Real Estate_etf_Open_max,iShares US Real Estate_etf_Open_min,iShares US Real Estate_etf_Open_volatility,iShares US Real Estate_etf_Open_change,iShares US Real Estate_etf_High_average,iShares US Real Estate_etf_High_max,iShares US Real Estate_etf_High_min,iShares US Real Estate_etf_High_volatility,iShares US Real Estate_etf_High_change,iShares US Real Estate_etf_Low_average,iShares US Real Estate_etf_Low_max,iShares US Real Estate_etf_Low_min,iShares US Real Estate_etf_Low_volatility,iShares US Real Estate_etf_Low_change,iShares US Real Estate_etf_Close_average,iShares US Real Estate_etf_Close_max,iShares US Real Estate_etf_Close_min,iShares US Real Estate_etf_Close_volatility,iShares US Real Estate_etf_Close_change
2018-01-14,77.03,77.03,77.03,0.0,0.0,77.48,77.48,77.48,0.0,0.0,76.81,76.81,76.81,0.0,0.0,77.46,77.46,77.46,0.0,0.0
2018-01-21,78.88,78.88,78.88,0.0,0.0,78.99,78.99,78.99,0.0,0.0,78.26,78.26,78.26,0.0,0.0,78.77,78.77,78.77,0.0,0.0
2018-01-28,76.69,76.69,76.69,0.0,0.0,77.01,77.01,77.01,0.0,0.0,75.97,75.97,75.97,0.0,0.0,76.46,76.46,76.46,0.0,0.0
2018-02-04,72.25,72.25,72.25,0.0,0.0,73.91,73.91,73.91,0.0,0.0,71.26,71.26,71.26,0.0,0.0,73.28,73.28,73.28,0.0,0.0
2018-02-11,74.52,74.52,74.52,0.0,0.0,75.33,75.33,75.33,0.0,0.0,74.5,74.5,74.5,0.0,0.0,75.06,75.06,75.06,0.0,0.0
2018-02-18,73.99,73.99,73.99,0.0,0.0,74.86,74.86,74.86,0.0,0.0,73.71,73.71,73.71,0.0,0.0,74.83,74.83,74.83,0.0,0.0
2018-02-25,72.85,72.85,72.85,0.0,0.0,73.07,73.07,73.07,0.0,0.0,72.26,72.26,72.26,0.0,0.0,72.97,72.97,72.97,0.0,0.0
2018-03-04,75.14,75.14,75.14,0.0,0.0,75.49,75.49,75.49,0.0,0.0,74.65,74.65,74.65,0.0,0.0,75.49,75.49,75.49,0.0,0.0
2018-03-11,75.94,75.94,75.94,0.0,0.0,76.59,76.59,76.59,0.0,0.0,75.76,75.76,75.76,0.0,0.0,76.48,76.48,76.48,0.0,0.0
2018-03-18,74.02,74.02,74.02,0.0,0.0,74.34,74.34,74.34,0.0,0.0,72.75,72.75,72.75,0.0,0.0,72.9,72.9,72.9,0.0,0.0
2018-03-25,75.6,75.6,75.6,0.0,0.0,75.83,75.83,75.83,0.0,0.0,75.19,75.19,75.19,0.0,0.0,75.47,75.47,75.47,0.0,0.0
2018-04-01,75.71,75.71,75.71,0.0,0.0,76.15,76.15,76.15,0.0,0.0,74.92,74.92,74.92,0.0,0.0,75.15,75.15,75.15,0.0,0.0
2018-04-08,73.96,73.96,73.96,0.0,0.0,74.58,74.58,74.58,0.0,0.0,73.96,73.96,73.96,0.0,0.0,74.45,74.45,74.45,0.0,0.0
2018-04-15,74.5,74.5,74.5,0.0,0.0,74.81,74.81,74.81,0.0,0.0,73.86,73.86,73.86,0.0,0.0,73.93,73.93,73.93,0.0,0.0
2018-04-22,74.78,74.78,74.78,0.0,0.0,76.11,76.11,76.11,0.0,0.0,74.68,74.68,74.68,0.0,0.0,75.87,75.87,75.87,0.0,0.0
2018-04-29,75.95,75.95,75.95,0.0,0.0,76.95,76.95,76.95,0.0,0.0,75.94,75.94,75.94,0.0,0.0,76.74,76.74,76.74,0.0,0.0
2018-05-06,77.97,77.97,77.97,0.0,0.0,78.26,78.26,78.26,0.0,0.0,77.54,77.54,77.54,0.0,0.0,77.64,77.64,77.64,0.0,0.0
2018-05-13,75.46,75.46,75.46,0.0,0.0,75.72,75.72,75.72,0.0,0.0,75.14,75.14,75.14,0.0,0.0,75.49,75.49,75.49,0.0,0.0
2018-05-20,76.81,76.81,76.81,0.0,0.0,77.38,77.38,77.38,0.0,0.0,76.74,76.74,76.74,0.0,0.0,77.12,77.12,77.12,0.0,0.0
2018-05-27,78.18,78.18,78.18,0.0,0.0,78.62,78.62,78.62,0.0,0.0,77.83,77.83,77.83,0.0,0.0,78.46,78.46,78.46,0.0,0.0
2018-06-03,79.15,79.15,79.15,0.0,0.0,79.47,79.47,79.47,0.0,0.0,79.02,79.02,79.02,0.0,0.0,79.42,79.42,79.42,0.0,0.0
