Date,iShares iBoxx $ Investment Grade Corporate Bond_Open_average,iShares iBoxx $ Investment Grade Corporate Bond_Open_max,iShares iBoxx $ Investment Grade Corporate Bond_Open_min,iShares iBoxx $ Investment Grade Corporate Bond_Open_volatility,iShares iBoxx $ Investment Grade Corporate Bond_Open_change,iShares iBoxx $ Investment Grade Corporate Bond_High_average,iShares iBoxx $ Investment Grade Corporate Bond_High_max,iShares iBoxx $ Investment Grade Corporate Bond_High_min,iShares iBoxx $ Investment Grade Corporate Bond_High_volatility,iShares iBoxx $ Investment Grade Corporate Bond_High_change,iShares iBoxx $ Investment Grade Corporate Bond_Low_average,iShares iBoxx $ Investment Grade Corporate Bond_Low_max,iShares iBoxx $ Investment Grade Corporate Bond_Low_min,iShares iBoxx $ Investment Grade Corporate Bond_Low_volatility,iShares iBoxx $ Investment Grade Corporate Bond_Low_change,iShares iBoxx $ Investment Grade Corporate Bond_Close_average,iShares iBoxx $ Investment Grade Corporate Bond_Close_max,iShares iBoxx $ Investment Grade Corporate Bond_Close_min,iShares iBoxx $ Investment Grade Corporate Bond_Close_volatility,iShares iBoxx $ Investment Grade Corporate Bond_Close_change
2018-01-14,119.77,119.77,119.77,0.0,0.0,120.0,120.0,120.0,0.0,0.0,119.63,119.63,119.63,0.0,0.0,119.66,119.66,119.66,0.0,0.0
2018-01-21,120.2,120.2,120.2,0.0,0.0,120.38,120.38,120.38,0.0,0.0,120.0,120.0,120.0,0.0,0.0,120.23,120.23,120.23,0.0,0.0
2018-01-28,118.24,118.24,118.24,0.0,0.0,119.33,119.33,119.33,0.0,0.0,118.22,118.22,118.22,0.0,0.0,118.68,118.68,118.68,0.0,0.0
2018-02-04,117.29,117.29,117.29,0.0,0.0,117.62,117.62,117.62,0.0,0.0,117.2,117.2,117.2,0.0,0.0,117.22,117.22,117.22,0.0,0.0
2018-02-11,117.58,117.58,117.58,0.0,0.0,117.76,117.76,117.76,0.0,0.0,117.46,117.46,117.46,0.0,0.0,117.65,117.65,117.65,0.0,0.0
2018-02-18,117.59,117.59,117.59,0.0,0.0,117.75,117.75,117.75,0.0,0.0,117.33,117.33,117.33,0.0,0.0,117.36,117.36,117.36,0.0,0.0
2018-02-25,116.51,116.51,116.51,0.0,0.0,116.58,116.58,116.58,0.0,0.0,116.1,116.1,116.1,0.0,0.0,116.21,116.21,116.21,0.0,0.0
2018-03-04,116.19,116.19,116.19,0.0,0.0,116.28,116.28,116.28,0.0,0.0,116.09,116.09,116.09,0.0,0.0,116.24,116.24,116.24,0.0,0.0
2018-03-11,116.5,116.5,116.5,0.0,0.0,116.6,116.6,116.6,0.0,0.0,116.36,116.36,116.36,0.0,0.0,116.37,116.37,116.37,0.0,0.0
2018-03-18,116.06,116.06,116.06,0.0,0.0,116.2,116.2,116.2,0.0,0.0,116.0,116.0,116.0,0.0,0.0,116.13,116.13,116.13,0.0,0.0
2018-03-25,116.9,116.9,116.9,0.0,0.0,117.07,117.07,117.07,0.0,0.0,116.72,116.72,116.72,0.0,0.0,116.99,116.99,116.99,0.0,0.0
2018-04-01,116.85,116.85,116.85,0.0,0.0,117.18,117.18,117.18,0.0,0.0,116.85,116.85,116.85,0.0,0.0,117.13,117.13,117.13,0.0,0.0
2018-04-08,116.75,116.75,116.75,0.0,0.0,116.99,116.99,116.99,0.0,0.0,116.71,116.71,116.71,0.0,0.0,116.97,116.97,116.97,0.0,0.0
2018-04-15,115.44,115.44,115.44,0.0,0.0,115.47,115.47,115.47,0.0,0.0,115.25,115.25,115.25,0.0,0.0,115.42,115.42,115.42,0.0,0.0
2018-04-22,115.37,115.37,115.37,0.0,0.0,115.46,115.46,115.46,0.0,0.0,115.17,115.17,115.17,0.0,0.0,115.22,115.22,115.22,0.0,0.0
2018-04-29,114.71,114.71,114.71,0.0,0.0,114.75,114.75,114.75,0.0,0.0,114.5,114.5,114.5,0.0,0.0,114.54,114.54,114.54,0.0,0.0
2018-05-06,115.13,115.13,115.13,0.0,0.0,115.27,115.27,115.27,0.0,0.0,115.05,115.05,115.05,0.0,0.0,115.05,115.05,115.05,0.0,0.0
2018-05-13,114.15,114.15,114.15,0.0,0.0,114.35,114.35,114.35,0.0,0.0,114.1,114.1,114.1,0.0,0.0,114.35,114.35,114.35,0.0,0.0
2018-05-20,115.38,115.38,115.38,0.0,0.0,115.42,115.42,115.42,0.0,0.0,115.23,115.23,115.23,0.0,0.0,115.38,115.38,115.38,0.0,0.0
2018-05-27,114.9,114.9,114.9,0.0,0.0,114.97,114.97,114.97,0.0,0.0,114.65,114.65,114.65,0.0,0.0,114.65,114.65,114.65,0.0,0.0
2018-06-03,114.3,114.3,114.3,0.0,0.0,114.4,114.4,114.4,0.0,0.0,114.23,114.23,114.23,0.0,0.0,114.39,114.39,114.39,0.0,0.0
2018-06-10,114.64,114.64,114.64,0.0,0.0,114.66,114.66,114.66,0.0,0.0,114.42,114.42,114.42,0.0,0.0,114.53,114.53,114.53,0.0,0.0
2018-06-17,114.04,114.04,114.04,0.0,0.0,114.11,114.11,114.11,0.0,0.0,113.87,113.87,113.87,0.0,0.0,113.89,113.89,113.89,0.0,0.0
2018-06-24,114.41,114.41,114.41,0.0,0.0,114.41,114.41,114.41,0.0,0.0,114.16,114.16,114.16,0.0,0.0,114.24,114.24,114.24,0.0,0.0
2018-07-01,115.09,115.09,115.09,0.0,0.0,115.3,115.3,115.3,0.0,0.0,115.03,115.03,115.03,0.0,0.0,115.26,115.26,115.26,0.0,0.0
2018-07-08,115.5,115.5,115.5,0.0,0.0,115.63,115.63,115.63,0.0,0.0,115.29,115.29,115.29,0.0,0.0,115.51,115.51,115.51,0.0,0.0
2018-07-15,115.05,115.05,115.05,0.0,0.0,115.12,115.12,115.12,0.0,0.0,114.72,114.72,114.72,0.0,0.0,114.79,114.79,114.79,0.0,0.0
2018-07-22,115.32,115.32,115.32,0.0,0.0,115.49,115.49,115.49,0.0,0.0,115.31,115.31,115.31,0.0,0.0,115.4,115.4,115.4,0.0,0.0
2018-07-29,115.59,115.59,115.59,0.0,0.0,115.75,115.75,115.75,0.0,0.0,115.59,115.59,115.59,0.0,0.0,115.62,115.62,115.62,0.0,0.0
2018-08-05,115.26,115.26,115.26,0.0,0.0,115.38,115.38,115.38,0.0,0.0,115.22,115.22,115.22,0.0,0.0,115.33,115.33,115.33,0.0,0.0
2018-08-12,116.25,116.25,116.25,0.0,0.0,116.37,116.37,116.37,0.0,0.0,116.18,116.18,116.18,0.0,0.0,116.27,116.27,116.27,0.0,0.0
2018-08-19,116.02,116.02,116.02,0.0,0.0,116.16,116.16,116.16,0.0,0.0,116.01,116.01,116.01,0.0,0.0,116.06,116.06,116.06,0.0,0.0
2018-08-26,115.81,115.81,115.81,0.0,0.0,115.83,115.83,115.83,0.0,0.0,115.43,115.43,115.43,0.0,0.0,115.44,115.44,115.44,0.0,0.0
2018-09-02,114.74,114.74,114.74,0.0,0.0,115.03,115.03,115.03,0.0,0.0,114.74,114.74,114.74,0.0,0.0,115.03,115.03,115.03,0.0,0.0
2018-09-09,114.91,114.91,114.91,0.0,0.0,115.11,115.11,115.11,0.0,0.0,114.89,114.89,114.89,0.0,0.0,115.03,115.03,115.03,0.0,0.0
2018-09-16,114.48,114.48,114.48,0.0,0.0,114.6,114.6,114.6,0.0,0.0,114.37,114.37,114.37,0.0,0.0,114.45,114.45,114.45,0.0,0.0
2018-09-23,114.5,114.5,114.5,0.0,0.0,114.64,114.64,114.64,0.0,0.0,114.42,114.42,114.42,0.0,0.0,114.42,114.42,114.42,0.0,0.0
2018-09-30,113.0,113.0,113.0,0.0,0.0,113.01,113.01,113.01,0.0,0.0,112.8,112.8,112.8,0.0,0.0,112.82,112.82,112.82,0.0,0.0
2018-10-07,113.26,113.26,113.26,0.0,0.0,113.36,113.36,113.36,0.0,0.0,113.1,113.1,113.1,0.0,0.0,113.11,113.11,113.11,0.0,0.0
2018-10-14,112.83,112.83,112.83,0.0,0.0,112.85,112.85,112.85,0.0,0.0,112.53,112.53,112.53,0.0,0.0,112.56,112.56,112.56,0.0,0.0
2018-10-21,112.86,112.86,112.86,0.0,0.0,112.92,112.92,112.92,0.0,0.0,112.72,112.72,112.72,0.0,0.0,112.8,112.8,112.8,0.0,0.0
2018-10-28,111.85,111.85,111.85,0.0,0.0,112.04,112.04,112.04,0.0,0.0,111.85,111.85,111.85,0.0,0.0,111.95,111.95,111.95,0.0,0.0
2018-11-04,112.41,112.41,112.41,0.0,0.0,112.41,112.41,112.41,0.0,0.0,112.08,112.08,112.08,0.0,0.0,112.17,112.17,112.17,0.0,0.0
2018-11-11,111.47,111.47,111.47,0.0,0.0,111.65,111.65,111.65,0.0,0.0,111.42,111.42,111.42,0.0,0.0,111.62,111.62,111.62,0.0,0.0
2018-11-18,111.77,111.77,111.77,0.0,0.0,111.82,111.82,111.82,0.0,0.0,111.64,111.64,111.64,0.0,0.0,111.69,111.69,111.69,0.0,0.0
2018-11-25,111.31,111.31,111.31,0.0,0.0,111.6,111.6,111.6,0.0,0.0,111.25,111.25,111.25,0.0,0.0,111.52,111.52,111.52,0.0,0.0
2018-12-02,112.2,112.2,112.2,0.0,0.0,112.24,112.24,112.24,0.0,0.0,111.91,111.91,111.91,0.0,0.0,112.23,112.23,112.23,0.0,0.0
2018-12-09,112.77,112.77,112.77,0.0,0.0,112.98,112.98,112.98,0.0,0.0,112.77,112.77,112.77,0.0,0.0,112.85,112.85,112.85,0.0,0.0
2018-12-16,112.32,112.32,112.32,0.0,0.0,112.41,112.41,112.41,0.0,0.0,111.99,111.99,111.99,0.0,0.0,112.07,112.07,112.07,0.0,0.0
2018-12-23,112.52,112.52,112.52,0.0,0.0,112.92,112.92,112.92,0.0,0.0,112.43,112.43,112.43,0.0,0.0,112.82,112.82,112.82,0.0,0.0
2018-12-30,113.39,113.39,113.39,0.0,0.0,113.46,113.46,113.46,0.0,0.0,113.14,113.14,113.14,0.0,0.0,113.16,113.16,113.16,0.0,0.0
2019-01-06,113.62,113.62,113.62,0.0,0.0,113.79,113.79,113.79,0.0,0.0,113.42,113.42,113.42,0.0,0.0,113.45,113.45,113.45,0.0,0.0
2019-01-13,113.96,113.96,113.96,0.0,0.0,114.28,114.28,114.28,0.0,0.0,113.96,113.96,113.96,0.0,0.0,114.17,114.17,114.17,0.0,0.0
2019-01-20,114.95,114.95,114.95,0.0,0.0,115.12,115.12,115.12,0.0,0.0,114.89,114.89,114.89,0.0,0.0,115.03,115.03,115.03,0.0,0.0
2019-01-27,115.87,115.87,115.87,0.0,0.0,115.89,115.89,115.89,0.0,0.0,115.61,115.61,115.61,0.0,0.0,115.83,115.83,115.83,0.0,0.0
2019-02-03,116.28,116.28,116.28,0.0,0.0,116.28,116.28,116.28,0.0,0.0,116.0,116.0,116.0,0.0,0.0,116.09,116.09,116.09,0.0,0.0
