Date,Schwab amental US Large CompanyEtf_Open_average,Schwab amental US Large CompanyEtf_Open_max,Schwab amental US Large CompanyEtf_Open_min,Schwab amental US Large CompanyEtf_Open_volatility,Schwab amental US Large CompanyEtf_Open_change,Schwab amental US Large CompanyEtf_High_average,Schwab amental US Large CompanyEtf_High_max,Schwab amental US Large CompanyEtf_High_min,Schwab amental US Large CompanyEtf_High_volatility,Schwab amental US Large CompanyEtf_High_change,Schwab amental US Large CompanyEtf_Low_average,Schwab amental US Large CompanyEtf_Low_max,Schwab amental US Large CompanyEtf_Low_min,Schwab amental US Large CompanyEtf_Low_volatility,Schwab amental US Large CompanyEtf_Low_change,Schwab amental US Large CompanyEtf_Close_average,Schwab amental US Large CompanyEtf_Close_max,Schwab amental US Large CompanyEtf_Close_min,Schwab amental US Large CompanyEtf_Close_volatility,Schwab amental US Large CompanyEtf_Close_change
2018-01-14,39.14,39.14,39.14,0.0,0.0,39.25,39.25,39.25,0.0,0.0,39.03,39.03,39.03,0.0,0.0,39.25,39.25,39.25,0.0,0.0
2018-01-21,39.65,39.65,39.65,0.0,0.0,39.96,39.96,39.96,0.0,0.0,39.64,39.64,39.64,0.0,0.0,39.96,39.96,39.96,0.0,0.0
2018-01-28,38.86,38.86,38.86,0.0,0.0,38.88,38.88,38.88,0.0,0.0,38.17,38.17,38.17,0.0,0.0,38.18,38.18,38.18,0.0,0.0
2018-02-04,36.18,36.18,36.18,0.0,0.0,36.49,36.49,36.49,0.0,0.0,35.12,35.12,35.12,0.0,0.0,36.21,36.21,36.21,0.0,0.0
2018-02-11,37.51,37.51,37.51,0.0,0.0,37.99,37.99,37.99,0.0,0.0,37.51,37.51,37.51,0.0,0.0,37.67,37.67,37.67,0.0,0.0
2018-02-18,37.39,37.39,37.39,0.0,0.0,37.75,37.75,37.75,0.0,0.0,37.33,37.33,37.33,0.0,0.0,37.75,37.75,37.75,0.0,0.0
2018-02-25,36.53,36.53,36.53,0.0,0.0,37.05,37.05,37.05,0.0,0.0,36.43,36.43,36.43,0.0,0.0,37.01,37.01,37.01,0.0,0.0
2018-03-04,37.68,37.68,37.68,0.0,0.0,38.04,38.04,38.04,0.0,0.0,37.61,37.61,37.61,0.0,0.0,38.03,38.03,38.03,0.0,0.0
2018-03-11,37.32,37.32,37.32,0.0,0.0,37.56,37.56,37.56,0.0,0.0,37.32,37.32,37.32,0.0,0.0,37.39,37.39,37.39,0.0,0.0
2018-03-18,36.21,36.21,36.21,0.0,0.0,36.34,36.34,36.34,0.0,0.0,35.45,35.45,35.45,0.0,0.0,35.48,35.48,35.48,0.0,0.0
2018-03-25,36.01,36.01,36.01,0.0,0.0,36.51,36.51,36.51,0.0,0.0,36.01,36.01,36.01,0.0,0.0,36.34,36.34,36.34,0.0,0.0
2018-04-01,36.4,36.4,36.4,0.0,0.0,36.69,36.69,36.69,0.0,0.0,35.76,35.76,35.76,0.0,0.0,35.99,35.99,35.99,0.0,0.0
2018-04-08,37.04,37.04,37.04,0.0,0.0,37.04,37.04,37.04,0.0,0.0,36.66,36.66,36.66,0.0,0.0,36.79,36.79,36.79,0.0,0.0
2018-04-15,37.27,37.27,37.27,0.0,0.0,37.27,37.27,37.27,0.0,0.0,36.83,36.83,36.83,0.0,0.0,36.96,36.96,36.96,0.0,0.0
2018-04-22,37.0,37.0,37.0,0.0,0.0,37.1,37.1,37.1,0.0,0.0,36.88,36.88,36.88,0.0,0.0,37.01,37.01,37.01,0.0,0.0
2018-04-29,36.21,36.21,36.21,0.0,0.0,36.88,36.88,36.88,0.0,0.0,36.11,36.11,36.11,0.0,0.0,36.77,36.77,36.77,0.0,0.0
2018-05-06,37.54,37.54,37.54,0.0,0.0,37.6,37.6,37.6,0.0,0.0,37.47,37.47,37.47,0.0,0.0,37.55,37.55,37.55,0.0,0.0
2018-05-13,37.74,37.74,37.74,0.0,0.0,37.76,37.76,37.76,0.0,0.0,37.65,37.65,37.65,0.0,0.0,37.65,37.65,37.65,0.0,0.0
2018-05-20,37.58,37.58,37.58,0.0,0.0,37.61,37.61,37.61,0.0,0.0,37.46,37.46,37.46,0.0,0.0,37.54,37.54,37.54,0.0,0.0
2018-05-27,37.58,37.58,37.58,0.0,0.0,37.75,37.75,37.75,0.0,0.0,37.58,37.58,37.58,0.0,0.0,37.71,37.71,37.71,0.0,0.0
