Date,iShares Core 10Y US Bd_Open_average,iShares Core 10Y US Bd_Open_max,iShares Core 10Y US Bd_Open_min,iShares Core 10Y US Bd_Open_volatility,iShares Core 10Y US Bd_Open_change,iShares Core 10Y US Bd_High_average,iShares Core 10Y US Bd_High_max,iShares Core 10Y US Bd_High_min,iShares Core 10Y US Bd_High_volatility,iShares Core 10Y US Bd_High_change,iShares Core 10Y US Bd_Low_average,iShares Core 10Y US Bd_Low_max,iShares Core 10Y US Bd_Low_min,iShares Core 10Y US Bd_Low_volatility,iShares Core 10Y US Bd_Low_change,iShares Core 10Y US Bd_Close_average,iShares Core 10Y US Bd_Close_max,iShares Core 10Y US Bd_Close_min,iShares Core 10Y US Bd_Close_volatility,iShares Core 10Y US Bd_Close_change
2018-01-14,63.58,63.58,63.58,0.0,0.0,63.63,63.63,63.63,0.0,0.0,63.35,63.35,63.35,0.0,0.0,63.46,63.46,63.46,0.0,0.0
2018-01-21,63.61,63.61,63.61,0.0,0.0,63.61,63.61,63.61,0.0,0.0,63.38,63.38,63.38,0.0,0.0,63.58,63.58,63.58,0.0,0.0
2018-01-28,61.87,61.87,61.87,0.0,0.0,62.53,62.53,62.53,0.0,0.0,61.72,61.72,61.72,0.0,0.0,62.26,62.26,62.26,0.0,0.0
2018-02-04,61.11,61.11,61.11,0.0,0.0,61.31,61.31,61.31,0.0,0.0,61.0,61.0,61.0,0.0,0.0,61.2,61.2,61.2,0.0,0.0
2018-02-11,61.46,61.46,61.46,0.0,0.0,61.52,61.52,61.52,0.0,0.0,61.24,61.24,61.24,0.0,0.0,61.41,61.41,61.41,0.0,0.0
2018-02-18,61.32,61.32,61.32,0.0,0.0,61.47,61.47,61.47,0.0,0.0,61.13,61.13,61.13,0.0,0.0,61.2,61.2,61.2,0.0,0.0
2018-02-25,60.85,60.85,60.85,0.0,0.0,60.92,60.92,60.92,0.0,0.0,60.62,60.62,60.62,0.0,0.0,60.77,60.77,60.77,0.0,0.0
2018-03-04,60.82,60.82,60.82,0.0,0.0,60.89,60.89,60.89,0.0,0.0,60.7,60.7,60.7,0.0,0.0,60.89,60.89,60.89,0.0,0.0
2018-03-11,60.94,60.94,60.94,0.0,0.0,61.1,61.1,61.1,0.0,0.0,60.9,60.9,60.9,0.0,0.0,60.91,60.91,60.91,0.0,0.0
2018-03-18,60.81,60.81,60.81,0.0,0.0,61.02,61.02,61.02,0.0,0.0,60.69,60.69,60.69,0.0,0.0,60.78,60.78,60.78,0.0,0.0
