Date,OGZPY_Open_average,OGZPY_Open_max,OGZPY_Open_min,OGZPY_Open_volatility,OGZPY_Open_change,OGZPY_High_average,OGZPY_High_max,OGZPY_High_min,OGZPY_High_volatility,OGZPY_High_change,OGZPY_Low_average,OGZPY_Low_max,OGZPY_Low_min,OGZPY_Low_volatility,OGZPY_Low_change,OGZPY_Close_average,OGZPY_Close_max,OGZPY_Close_min,OGZPY_Close_volatility,OGZPY_Close_change,OGZPY_Volume_average,OGZPY_Volume_max,OGZPY_Volume_min,OGZPY_Volume_volatility,OGZPY_Volume_change
2018-01-14,5.2,5.25,5.08,0.16999999999999993,0.16000000000000014,5.2219999999999995,5.28,5.1,0.1800000000000006,0.16000000000000014,5.172000000000001,5.23,5.03,0.20000000000000018,0.20000000000000018,5.188,5.26,5.03,0.22999999999999954,0.22999999999999954,684841,974052,359396,614656,-33832
2018-01-21,5.206,5.33,5.09,0.2400000000000002,-0.11000000000000032,5.2379999999999995,5.35,5.09,0.2599999999999998,-0.15000000000000036,5.174,5.26,5.05,0.20999999999999996,-0.1299999999999999,5.207,5.29,5.05,0.2400000000000002,-0.1800000000000006,624782,743526,506488,237038,-80613
2018-01-28,5.082,5.13,5.03,0.09999999999999964,-0.04999999999999982,5.0872,5.14,5.04,0.09999999999999964,-0.04600000000000026,4.992,5.1,4.85,0.25,-0.16000000000000014,5.011,5.14,4.885,0.2549999999999999,-0.1349999999999998,827006,1692797,339539,1353258,337410
2018-02-04,4.762,4.9,4.6,0.3000000000000007,-0.20999999999999996,4.817,4.97,4.625,0.34499999999999975,-0.16999999999999993,4.6899999999999995,4.88,4.5,0.3799999999999999,-0.20999999999999996,4.758,4.97,4.6,0.3700000000000001,-0.17999999999999972,1528518,4227807,619128,3608679,2776716
2018-02-11,4.78325,4.819,4.71,0.10899999999999999,0.02400000000000002,4.842499999999999,4.87,4.81,0.0600000000000005,0.040000000000000036,4.7524999999999995,4.77,4.71,0.05999999999999961,0.009999999999999787,4.81875,4.86,4.77,0.09000000000000075,-0.03500000000000014,497742,1125340,219908,905432,-789695
2018-02-18,5.0468,5.17,4.96,0.20999999999999996,0.20999999999999996,5.0956,5.23,4.98,0.25,0.25,5.0328,5.16,4.93,0.23000000000000043,0.23000000000000043,5.065,5.23,4.945,0.28500000000000014,0.28500000000000014,495133,884130,217013,667117,642786
2018-02-25,4.97,5.2,4.81,0.39000000000000057,-0.3100000000000005,5.018,5.2,4.89,0.3100000000000005,-0.20999999999999996,4.9079999999999995,5.1,4.77,0.33000000000000007,-0.20999999999999996,4.963,5.11,4.875,0.23500000000000032,-0.1299999999999999,272477,293075,235753,57322,37515
2018-03-04,4.876,4.97,4.81,0.16000000000000014,-0.0699999999999994,4.8999999999999995,4.97,4.83,0.13999999999999968,-0.040000000000000036,4.842,4.89,4.79,0.09999999999999964,0.0,4.869,4.915,4.805,0.11000000000000032,0.025000000000000355,635462,2008520,153228,1855292,-1855292
2018-03-11,4.8258,4.938,4.76,0.17799999999999994,-0.1479999999999997,4.8632,4.99,4.8,0.1900000000000004,-0.16000000000000014,4.782,4.89,4.72,0.16999999999999993,-0.1299999999999999,4.8058,4.899,4.73,0.1689999999999996,-0.12900000000000045,348994,532014,178910,353104,84878
2018-03-18,4.859,4.895,4.84,0.054999999999999716,0.009999999999999787,4.904,4.95,4.86,0.08999999999999986,-0.040000000000000036,4.819,4.86,4.76,0.10000000000000053,-0.08000000000000007,4.858,4.93,4.795,0.1349999999999998,-0.040000000000000036,260789,319440,195790,123650,101361
2018-03-25,4.872,4.918,4.82,0.09799999999999986,0.04800000000000004,4.8995,4.93,4.85,0.08000000000000007,0.017999999999999794,4.8225,4.87,4.79,0.08000000000000007,-0.040000000000000036,4.84875,4.93,4.81,0.1200000000000001,-0.004999999999999893,207300,277949,110148,167801,55144
2018-04-01,4.736,4.84,4.41,0.4299999999999997,-0.41999999999999993,4.775,4.86,4.48,0.3799999999999999,-0.3699999999999992,4.696,4.8,4.36,0.4399999999999995,-0.4399999999999995,4.7299999999999995,4.86,4.39,0.47000000000000064,-0.4350000000000005,860358,2522687,153014,2369673,2369673
2018-04-08,4.504,4.64,4.39,0.25,0.09000000000000075,4.592,4.69,4.46,0.23000000000000043,0.1299999999999999,4.4803999999999995,4.62,4.39,0.23000000000000043,0.07000000000000028,4.559,4.645,4.44,0.20499999999999918,0.11999999999999922,798377,1694207,448741,1245466,-1214229
2018-04-15,4.6206000000000005,4.67,4.53,0.13999999999999968,0.0699999999999994,4.652,4.7,4.59,0.11000000000000032,0.03000000000000025,4.577,4.62,4.5,0.1200000000000001,0.040000000000000036,4.635,4.69,4.58,0.11000000000000032,0.040000000000000036,434673,605204,278141,327063,66397
2018-04-22,4.5926,4.678999999999999,4.524,0.15499999999999936,-0.06899999999999906,4.622,4.69,4.56,0.13000000000000078,-0.05000000000000071,4.552,4.6,4.5,0.09999999999999964,-0.04999999999999982,4.578,4.61,4.56,0.05000000000000071,-0.05000000000000071,323485,370086,295111,74975,48908
2018-04-29,4.512,4.54,4.48,0.05999999999999961,-0.020000000000000462,4.5348,4.55,4.52,0.03000000000000025,0.0039999999999995595,4.474,4.5,4.45,0.04999999999999982,-0.009999999999999787,4.5038,4.534,4.48,0.05399999999999938,-0.019999999999999574,284177,468996,134017,334979,-45282
2018-05-06,4.68,4.84,4.53,0.3099999999999996,0.3099999999999996,4.71,4.85,4.54,0.3099999999999996,0.2999999999999998,4.642,4.78,4.47,0.3100000000000005,0.3100000000000005,4.684,4.79,4.54,0.25,0.25,294489,492351,143208,349143,-238545
2018-05-13,4.7104,4.79,4.62,0.16999999999999993,-0.02799999999999958,4.744,4.79,4.68,0.11000000000000032,0.019999999999999574,4.678,4.7,4.62,0.08000000000000007,0.0,4.711,4.76,4.66,0.09999999999999964,0.009999999999999787,218133,320126,132962,187164,147319
2018-05-20,4.6899999999999995,4.75,4.62,0.1299999999999999,-0.1299999999999999,4.7225,4.78,4.65,0.1299999999999999,-0.1299999999999999,4.655,4.73,4.59,0.14000000000000057,-0.14000000000000057,4.715,4.78,4.64,0.14000000000000057,-0.14000000000000057,503381,1310532,188411,1122121,-1081610
