Date,ProShares UltraShort Bloomberg Crude Oil_Open_average,ProShares UltraShort Bloomberg Crude Oil_Open_max,ProShares UltraShort Bloomberg Crude Oil_Open_min,ProShares UltraShort Bloomberg Crude Oil_Open_volatility,ProShares UltraShort Bloomberg Crude Oil_Open_change,ProShares UltraShort Bloomberg Crude Oil_High_average,ProShares UltraShort Bloomberg Crude Oil_High_max,ProShares UltraShort Bloomberg Crude Oil_High_min,ProShares UltraShort Bloomberg Crude Oil_High_volatility,ProShares UltraShort Bloomberg Crude Oil_High_change,ProShares UltraShort Bloomberg Crude Oil_Low_average,ProShares UltraShort Bloomberg Crude Oil_Low_max,ProShares UltraShort Bloomberg Crude Oil_Low_min,ProShares UltraShort Bloomberg Crude Oil_Low_volatility,ProShares UltraShort Bloomberg Crude Oil_Low_change,ProShares UltraShort Bloomberg Crude Oil_Close_average,ProShares UltraShort Bloomberg Crude Oil_Close_max,ProShares UltraShort Bloomberg Crude Oil_Close_min,ProShares UltraShort Bloomberg Crude Oil_Close_volatility,ProShares UltraShort Bloomberg Crude Oil_Close_change
2018-01-14,22.12,22.12,22.12,0.0,0.0,22.25,22.25,22.25,0.0,0.0,21.52,21.52,21.52,0.0,0.0,21.74,21.74,21.74,0.0,0.0
2018-01-21,20.56,20.56,20.56,0.0,0.0,20.9,20.9,20.9,0.0,0.0,20.47,20.47,20.47,0.0,0.0,20.64,20.64,20.64,0.0,0.0
2018-01-28,20.83,20.83,20.83,0.0,0.0,21.78,21.78,21.78,0.0,0.0,20.7,20.7,20.7,0.0,0.0,21.66,21.66,21.66,0.0,0.0
2018-02-04,24.43,24.43,24.43,0.0,0.0,24.95,24.95,24.95,0.0,0.0,24.0,24.0,24.0,0.0,0.0,24.87,24.87,24.87,0.0,0.0
2018-02-11,23.33,23.33,23.33,0.0,0.0,23.5,23.5,23.5,0.0,0.0,22.66,22.66,22.66,0.0,0.0,22.91,22.91,22.91,0.0,0.0
2018-02-18,21.5,21.5,21.5,0.0,0.0,21.65,21.65,21.65,0.0,0.0,20.87,20.87,20.87,0.0,0.0,21.04,21.04,21.04,0.0,0.0
2018-02-25,22.88,22.88,22.88,0.0,0.0,22.93,22.93,22.93,0.0,0.0,21.76,21.76,21.76,0.0,0.0,21.9,21.9,21.9,0.0,0.0
2018-03-04,22.39,22.39,22.39,0.0,0.0,23.05,23.05,23.05,0.0,0.0,22.28,22.28,22.28,0.0,0.0,22.56,22.56,22.56,0.0,0.0
2018-03-11,21.78,21.78,21.78,0.0,0.0,22.42,22.42,22.42,0.0,0.0,21.77,21.77,21.77,0.0,0.0,21.87,21.87,21.87,0.0,0.0
2018-03-18,19.55,19.55,19.55,0.0,0.0,19.88,19.88,19.88,0.0,0.0,19.44,19.44,19.44,0.0,0.0,19.61,19.61,19.61,0.0,0.0
2018-03-25,20.32,20.32,20.32,0.0,0.0,21.17,21.17,21.17,0.0,0.0,20.32,20.32,20.32,0.0,0.0,21.02,21.02,21.02,0.0,0.0
2018-04-01,21.12,21.12,21.12,0.0,0.0,21.21,21.21,21.21,0.0,0.0,20.68,20.68,20.68,0.0,0.0,20.9,20.9,20.9,0.0,0.0
2018-04-08,18.66,18.66,18.66,0.0,0.0,19.0,19.0,19.0,0.0,0.0,18.62,18.62,18.62,0.0,0.0,18.89,18.89,18.89,0.0,0.0
2018-04-15,18.15,18.15,18.15,0.0,0.0,18.29,18.29,18.29,0.0,0.0,17.35,17.35,17.35,0.0,0.0,17.4,17.4,17.4,0.0,0.0
2018-04-22,18.11,18.11,18.11,0.0,0.0,18.14,18.14,18.14,0.0,0.0,17.14,17.14,17.14,0.0,0.0,17.64,17.64,17.64,0.0,0.0
2018-04-29,16.64,16.64,16.64,0.0,0.0,17.0,17.0,17.0,0.0,0.0,16.38,16.38,16.38,0.0,0.0,16.85,16.85,16.85,0.0,0.0
2018-05-06,16.3,16.3,16.3,0.0,0.0,16.32,16.32,16.32,0.0,0.0,16.07,16.07,16.07,0.0,0.0,16.13,16.13,16.13,0.0,0.0
2018-05-13,15.89,15.89,15.89,0.0,0.0,15.92,15.92,15.92,0.0,0.0,15.48,15.48,15.48,0.0,0.0,15.51,15.51,15.51,0.0,0.0
