Date,First Trust Dorsey Wright Peoples Portfolio_Open_average,First Trust Dorsey Wright Peoples Portfolio_Open_max,First Trust Dorsey Wright Peoples Portfolio_Open_min,First Trust Dorsey Wright Peoples Portfolio_Open_volatility,First Trust Dorsey Wright Peoples Portfolio_Open_change,First Trust Dorsey Wright Peoples Portfolio_High_average,First Trust Dorsey Wright Peoples Portfolio_High_max,First Trust Dorsey Wright Peoples Portfolio_High_min,First Trust Dorsey Wright Peoples Portfolio_High_volatility,First Trust Dorsey Wright Peoples Portfolio_High_change,First Trust Dorsey Wright Peoples Portfolio_Low_average,First Trust Dorsey Wright Peoples Portfolio_Low_max,First Trust Dorsey Wright Peoples Portfolio_Low_min,First Trust Dorsey Wright Peoples Portfolio_Low_volatility,First Trust Dorsey Wright Peoples Portfolio_Low_change,First Trust Dorsey Wright Peoples Portfolio_Close_average,First Trust Dorsey Wright Peoples Portfolio_Close_max,First Trust Dorsey Wright Peoples Portfolio_Close_min,First Trust Dorsey Wright Peoples Portfolio_Close_volatility,First Trust Dorsey Wright Peoples Portfolio_Close_change
2018-01-14,30.06,30.06,30.06,0.0,0.0,30.21,30.21,30.21,0.0,0.0,30.0,30.0,30.0,0.0,0.0,30.21,30.21,30.21,0.0,0.0
2018-01-21,30.68,30.68,30.68,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.39,30.39,30.39,0.0,0.0,30.39,30.39,30.39,0.0,0.0
2018-01-28,29.15,29.15,29.15,0.0,0.0,29.15,29.15,29.15,0.0,0.0,28.39,28.39,28.39,0.0,0.0,28.47,28.47,28.47,0.0,0.0
2018-02-04,28.31,28.31,28.31,0.0,0.0,28.38,28.38,28.38,0.0,0.0,28.31,28.31,28.31,0.0,0.0,28.38,28.38,28.38,0.0,0.0
2018-02-11,29.04,29.04,29.04,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.04,29.04,29.04,0.0,0.0,29.19,29.19,29.19,0.0,0.0
2018-02-18,29.3,29.3,29.3,0.0,0.0,29.43,29.43,29.43,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.43,29.43,29.43,0.0,0.0
2018-02-25,28.93,28.93,28.93,0.0,0.0,28.93,28.93,28.93,0.0,0.0,28.93,28.93,28.93,0.0,0.0,28.93,28.93,28.93,0.0,0.0
2018-03-04,29.56,29.56,29.56,0.0,0.0,29.68,29.68,29.68,0.0,0.0,29.56,29.56,29.56,0.0,0.0,29.68,29.68,29.68,0.0,0.0
2018-03-11,29.36,29.36,29.36,0.0,0.0,29.36,29.36,29.36,0.0,0.0,28.95,28.95,28.95,0.0,0.0,29.07,29.07,29.07,0.0,0.0
2018-03-18,28.05,28.05,28.05,0.0,0.0,28.42,28.42,28.42,0.0,0.0,28.05,28.05,28.05,0.0,0.0,28.42,28.42,28.42,0.0,0.0
2018-03-25,27.76,27.76,27.76,0.0,0.0,27.81,27.81,27.81,0.0,0.0,27.55,27.55,27.55,0.0,0.0,27.81,27.81,27.81,0.0,0.0
2018-04-01,28.34,28.34,28.34,0.0,0.0,28.34,28.34,28.34,0.0,0.0,28.25,28.25,28.25,0.0,0.0,28.25,28.25,28.25,0.0,0.0
2018-04-08,28.58,28.58,28.58,0.0,0.0,28.78,28.78,28.78,0.0,0.0,28.58,28.58,28.58,0.0,0.0,28.75,28.75,28.75,0.0,0.0
2018-04-15,28.74,28.74,28.74,0.0,0.0,28.79,28.79,28.79,0.0,0.0,28.56,28.56,28.56,0.0,0.0,28.64,28.64,28.64,0.0,0.0
2018-04-22,28.68,28.68,28.68,0.0,0.0,28.72,28.72,28.72,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.4,28.4,28.4,0.0,0.0
2018-04-29,28.51,28.51,28.51,0.0,0.0,28.55,28.55,28.55,0.0,0.0,28.46,28.46,28.46,0.0,0.0,28.52,28.52,28.52,0.0,0.0
2018-05-06,29.05,29.05,29.05,0.0,0.0,29.07,29.07,29.07,0.0,0.0,28.99,28.99,28.99,0.0,0.0,28.99,28.99,28.99,0.0,0.0
2018-05-13,29.07,29.07,29.07,0.0,0.0,29.23,29.23,29.23,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.23,29.23,29.23,0.0,0.0
2018-05-20,29.0,29.0,29.0,0.0,0.0,29.0,29.0,29.0,0.0,0.0,28.92,28.92,28.92,0.0,0.0,28.92,28.92,28.92,0.0,0.0
2018-05-27,29.19,29.19,29.19,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.07,29.07,29.07,0.0,0.0
2018-06-03,29.61,29.61,29.61,0.0,0.0,29.66,29.66,29.66,0.0,0.0,29.61,29.61,29.61,0.0,0.0,29.66,29.66,29.66,0.0,0.0
2018-06-10,29.54,29.54,29.54,0.0,0.0,29.54,29.54,29.54,0.0,0.0,29.54,29.54,29.54,0.0,0.0,29.54,29.54,29.54,0.0,0.0
2018-06-17,29.14,29.14,29.14,0.0,0.0,29.14,29.14,29.14,0.0,0.0,28.86,28.86,28.86,0.0,0.0,28.86,28.86,28.86,0.0,0.0
2018-06-24,28.69,28.69,28.69,0.0,0.0,28.84,28.84,28.84,0.0,0.0,28.68,28.68,28.68,0.0,0.0,28.84,28.84,28.84,0.0,0.0
2018-07-01,29.52,29.52,29.52,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.5,29.5,29.5,0.0,0.0
2018-07-08,29.48,29.48,29.48,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.48,29.48,29.48,0.0,0.0,29.52,29.52,29.52,0.0,0.0
2018-07-15,29.64,29.64,29.64,0.0,0.0,29.68,29.68,29.68,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.66,29.66,29.66,0.0,0.0
2018-07-22,29.87,29.87,29.87,0.0,0.0,29.87,29.87,29.87,0.0,0.0,29.68,29.68,29.68,0.0,0.0,29.68,29.68,29.68,0.0,0.0
2018-07-29,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,0.0,0.0
2018-08-05,29.77,29.77,29.77,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.63,29.63,29.63,0.0,0.0,29.72,29.72,29.72,0.0,0.0
2018-08-12,30.06,30.06,30.06,0.0,0.0,30.13,30.13,30.13,0.0,0.0,30.05,30.05,30.05,0.0,0.0,30.12,30.12,30.12,0.0,0.0
2018-08-19,30.46,30.46,30.46,0.0,0.0,30.48,30.48,30.48,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.45,30.45,30.45,0.0,0.0
2018-08-26,30.42,30.42,30.42,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.42,30.42,30.42,0.0,0.0
2018-09-02,30.29,30.29,30.29,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.29,30.29,30.29,0.0,0.0,30.39,30.39,30.39,0.0,0.0
2018-09-09,30.49,30.49,30.49,0.0,0.0,30.53,30.53,30.53,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.42,30.42,30.42,0.0,0.0
2018-09-16,30.8,30.8,30.8,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.54,30.54,30.54,0.0,0.0
2018-09-23,30.62,30.62,30.62,0.0,0.0,30.62,30.62,30.62,0.0,0.0,30.37,30.37,30.37,0.0,0.0,30.37,30.37,30.37,0.0,0.0
2018-09-30,30.01,30.01,30.01,0.0,0.0,30.01,30.01,30.01,0.0,0.0,30.01,30.01,30.01,0.0,0.0,30.01,30.01,30.01,0.0,0.0
2018-10-07,28.7,28.7,28.7,0.0,0.0,28.7,28.7,28.7,0.0,0.0,28.68,28.68,28.68,0.0,0.0,28.68,28.68,28.68,0.0,0.0
2018-10-14,28.53,28.53,28.53,0.0,0.0,28.56,28.56,28.56,0.0,0.0,28.48,28.48,28.48,0.0,0.0,28.56,28.56,28.56,0.0,0.0
2018-10-21,27.75,27.75,27.75,0.0,0.0,27.75,27.75,27.75,0.0,0.0,27.19,27.19,27.19,0.0,0.0,27.19,27.19,27.19,0.0,0.0
2018-10-28,28.39,28.39,28.39,0.0,0.0,28.61,28.61,28.61,0.0,0.0,28.39,28.39,28.39,0.0,0.0,28.58,28.58,28.58,0.0,0.0
2018-11-04,28.67,28.67,28.67,0.0,0.0,28.67,28.67,28.67,0.0,0.0,28.67,28.67,28.67,0.0,0.0,28.67,28.67,28.67,0.0,0.0
2018-11-11,28.47,28.47,28.47,0.0,0.0,28.47,28.47,28.47,0.0,0.0,28.11,28.11,28.11,0.0,0.0,28.11,28.11,28.11,0.0,0.0
