Date,iShares MSCI Kokusai_Open_average,iShares MSCI Kokusai_Open_max,iShares MSCI Kokusai_Open_min,iShares MSCI Kokusai_Open_volatility,iShares MSCI Kokusai_Open_change,iShares MSCI Kokusai_High_average,iShares MSCI Kokusai_High_max,iShares MSCI Kokusai_High_min,iShares MSCI Kokusai_High_volatility,iShares MSCI Kokusai_High_change,iShares MSCI Kokusai_Low_average,iShares MSCI Kokusai_Low_max,iShares MSCI Kokusai_Low_min,iShares MSCI Kokusai_Low_volatility,iShares MSCI Kokusai_Low_change,iShares MSCI Kokusai_Close_average,iShares MSCI Kokusai_Close_max,iShares MSCI Kokusai_Close_min,iShares MSCI Kokusai_Close_volatility,iShares MSCI Kokusai_Close_change
2018-01-14,68.21,68.21,68.21,0.0,0.0,68.73,68.73,68.73,0.0,0.0,68.21,68.21,68.21,0.0,0.0,68.73,68.73,68.73,0.0,0.0
2018-01-21,69.29,69.29,69.29,0.0,0.0,69.43,69.43,69.43,0.0,0.0,69.26,69.26,69.26,0.0,0.0,69.26,69.26,69.26,0.0,0.0
2018-01-28,66.58,66.58,66.58,0.0,0.0,66.61,66.61,66.61,0.0,0.0,64.64,64.64,64.64,0.0,0.0,65.37,65.37,65.37,0.0,0.0
2018-02-04,64.03,64.03,64.03,0.0,0.0,64.79,64.79,64.79,0.0,0.0,63.87,63.87,63.87,0.0,0.0,64.79,64.79,64.79,0.0,0.0
2018-02-11,66.44,66.44,66.44,0.0,0.0,66.73,66.73,66.73,0.0,0.0,66.44,66.44,66.44,0.0,0.0,66.73,66.73,66.73,0.0,0.0
2018-02-18,67.04,67.04,67.04,0.0,0.0,67.5,67.5,67.5,0.0,0.0,67.04,67.04,67.04,0.0,0.0,67.44,67.44,67.44,0.0,0.0
2018-02-25,64.53,64.53,64.53,0.0,0.0,65.43,65.43,65.43,0.0,0.0,64.44,64.44,64.44,0.0,0.0,65.43,65.43,65.43,0.0,0.0
2018-03-04,66.95,66.95,66.95,0.0,0.0,66.95,66.95,66.95,0.0,0.0,66.6,66.6,66.6,0.0,0.0,66.91,66.91,66.91,0.0,0.0
2018-03-11,65.44,65.44,65.44,0.0,0.0,65.52,65.52,65.52,0.0,0.0,65.44,65.44,65.44,0.0,0.0,65.44,65.44,65.44,0.0,0.0
2018-03-18,63.96,63.96,63.96,0.0,0.0,64.57,64.57,64.57,0.0,0.0,63.74,63.74,63.74,0.0,0.0,64.52,64.52,64.52,0.0,0.0
2018-03-25,63.95,63.95,63.95,0.0,0.0,63.95,63.95,63.95,0.0,0.0,63.17,63.17,63.17,0.0,0.0,63.17,63.17,63.17,0.0,0.0
2018-04-01,64.27,64.27,64.27,0.0,0.0,64.89,64.89,64.89,0.0,0.0,64.18,64.18,64.18,0.0,0.0,64.52,64.52,64.52,0.0,0.0
2018-04-08,65.33,65.33,65.33,0.0,0.0,65.62,65.62,65.62,0.0,0.0,65.22,65.22,65.22,0.0,0.0,65.36,65.36,65.36,0.0,0.0
2018-04-15,65.29,65.29,65.29,0.0,0.0,65.32,65.32,65.32,0.0,0.0,65.17,65.17,65.17,0.0,0.0,65.17,65.17,65.17,0.0,0.0
2018-04-22,64.99,64.99,64.99,0.0,0.0,64.99,64.99,64.99,0.0,0.0,64.9,64.9,64.9,0.0,0.0,64.9,64.9,64.9,0.0,0.0
2018-04-29,64.99,64.99,64.99,0.0,0.0,65.54,65.54,65.54,0.0,0.0,64.99,64.99,64.99,0.0,0.0,65.54,65.54,65.54,0.0,0.0
2018-05-06,66.49,66.49,66.49,0.0,0.0,66.49,66.49,66.49,0.0,0.0,66.49,66.49,66.49,0.0,0.0,66.49,66.49,66.49,0.0,0.0
2018-05-13,66.47,66.47,66.47,0.0,0.0,66.5,66.5,66.5,0.0,0.0,66.41,66.41,66.41,0.0,0.0,66.42,66.42,66.42,0.0,0.0
2018-05-20,65.83,65.83,65.83,0.0,0.0,66.03,66.03,66.03,0.0,0.0,65.74,65.74,65.74,0.0,0.0,65.74,65.74,65.74,0.0,0.0
2018-05-27,66.19,66.19,66.19,0.0,0.0,66.19,66.19,66.19,0.0,0.0,66.01,66.01,66.01,0.0,0.0,66.13,66.13,66.13,0.0,0.0
2018-06-03,66.97,66.97,66.97,0.0,0.0,67.08,67.08,67.08,0.0,0.0,66.92,66.92,66.92,0.0,0.0,67.0,67.0,67.0,0.0,0.0
2018-06-10,66.24,66.24,66.24,0.0,0.0,66.44,66.44,66.44,0.0,0.0,65.8,65.8,65.8,0.0,0.0,66.44,66.44,66.44,0.0,0.0
2018-06-17,64.8,64.8,64.8,0.0,0.0,64.8,64.8,64.8,0.0,0.0,64.02,64.02,64.02,0.0,0.0,64.02,64.02,64.02,0.0,0.0
2018-06-24,63.95,63.95,63.95,0.0,0.0,64.24,64.24,64.24,0.0,0.0,63.95,63.95,63.95,0.0,0.0,64.24,64.24,64.24,0.0,0.0
2018-07-01,65.69,65.69,65.69,0.0,0.0,65.78,65.78,65.78,0.0,0.0,65.63,65.63,65.63,0.0,0.0,65.78,65.78,65.78,0.0,0.0
2018-07-08,65.99,65.99,65.99,0.0,0.0,66.01,66.01,66.01,0.0,0.0,65.99,65.99,65.99,0.0,0.0,66.01,66.01,66.01,0.0,0.0
2018-07-15,66.08,66.08,66.08,0.0,0.0,66.19,66.19,66.19,0.0,0.0,65.94,65.94,65.94,0.0,0.0,66.19,66.19,66.19,0.0,0.0
2018-07-22,66.72,66.72,66.72,0.0,0.0,66.72,66.72,66.72,0.0,0.0,66.13,66.13,66.13,0.0,0.0,66.13,66.13,66.13,0.0,0.0
2018-07-29,66.57,66.57,66.57,0.0,0.0,66.87,66.87,66.87,0.0,0.0,66.52,66.52,66.52,0.0,0.0,66.74,66.74,66.74,0.0,0.0
2018-08-05,66.47,66.47,66.47,0.0,0.0,66.47,66.47,66.47,0.0,0.0,66.17,66.17,66.17,0.0,0.0,66.17,66.17,66.17,0.0,0.0
2018-08-12,66.81,66.81,66.81,0.0,0.0,66.88,66.88,66.88,0.0,0.0,66.63,66.63,66.63,0.0,0.0,66.75,66.75,66.75,0.0,0.0
2018-08-19,66.88,66.88,66.88,0.0,0.0,66.88,66.88,66.88,0.0,0.0,66.74,66.74,66.74,0.0,0.0,66.74,66.74,66.74,0.0,0.0
2018-08-26,67.39,67.39,67.39,0.0,0.0,67.74,67.74,67.74,0.0,0.0,67.39,67.39,67.39,0.0,0.0,67.52,67.52,67.52,0.0,0.0
2018-09-02,66.7,66.7,66.7,0.0,0.0,66.83,66.83,66.83,0.0,0.0,66.7,66.7,66.7,0.0,0.0,66.83,66.83,66.83,0.0,0.0
2018-09-09,67.32,67.32,67.32,0.0,0.0,67.32,67.32,67.32,0.0,0.0,67.16,67.16,67.16,0.0,0.0,67.16,67.16,67.16,0.0,0.0
2018-09-16,68.07,68.07,68.07,0.0,0.0,68.37,68.37,68.37,0.0,0.0,68.07,68.07,68.07,0.0,0.0,68.12,68.12,68.12,0.0,0.0
2018-09-23,67.97,67.97,67.97,0.0,0.0,68.14,68.14,68.14,0.0,0.0,67.86,67.86,67.86,0.0,0.0,67.9,67.9,67.9,0.0,0.0
2018-09-30,66.45,66.45,66.45,0.0,0.0,66.61,66.61,66.61,0.0,0.0,66.43,66.43,66.43,0.0,0.0,66.61,66.61,66.61,0.0,0.0
2018-10-07,64.14,64.14,64.14,0.0,0.0,64.26,64.26,64.26,0.0,0.0,63.96,63.96,63.96,0.0,0.0,63.96,63.96,63.96,0.0,0.0
2018-10-14,64.07,64.07,64.07,0.0,0.0,64.11,64.11,64.11,0.0,0.0,64.03,64.03,64.03,0.0,0.0,64.08,64.08,64.08,0.0,0.0
2018-10-21,62.32,62.32,62.32,0.0,0.0,62.32,62.32,62.32,0.0,0.0,60.95,60.95,60.95,0.0,0.0,61.21,61.21,61.21,0.0,0.0
2018-10-28,63.57,63.57,63.57,0.0,0.0,63.57,63.57,63.57,0.0,0.0,63.29,63.29,63.29,0.0,0.0,63.29,63.29,63.29,0.0,0.0
2018-11-04,64.29,64.29,64.29,0.0,0.0,64.29,64.29,64.29,0.0,0.0,64.23,64.23,64.23,0.0,0.0,64.23,64.23,64.23,0.0,0.0
2018-11-11,63.21,63.21,63.21,0.0,0.0,63.21,63.21,63.21,0.0,0.0,62.15,62.15,62.15,0.0,0.0,62.39,62.39,62.39,0.0,0.0
2018-11-18,61.92,61.92,61.92,0.0,0.0,62.92,62.92,62.92,0.0,0.0,61.86,61.86,61.86,0.0,0.0,62.92,62.92,62.92,0.0,0.0
2018-11-25,64.77,64.77,64.77,0.0,0.0,64.94,64.94,64.94,0.0,0.0,64.72,64.72,64.72,0.0,0.0,64.72,64.72,64.72,0.0,0.0
2018-12-02,61.02,61.02,61.02,0.0,0.0,61.02,61.02,61.02,0.0,0.0,61.01,61.01,61.01,0.0,0.0,61.01,61.01,61.01,0.0,0.0
2018-12-09,60.39,60.39,60.39,0.0,0.0,60.42,60.42,60.42,0.0,0.0,59.61,59.61,59.61,0.0,0.0,59.75,59.75,59.75,0.0,0.0
2018-12-16,56.61,56.61,56.61,0.0,0.0,56.61,56.61,56.61,0.0,0.0,55.39,55.39,55.39,0.0,0.0,55.39,55.39,55.39,0.0,0.0
2018-12-23,58.01,58.01,58.01,0.0,0.0,58.05,58.05,58.05,0.0,0.0,58.01,58.01,58.01,0.0,0.0,58.05,58.05,58.05,0.0,0.0
2018-12-30,59.23,59.23,59.23,0.0,0.0,59.51,59.51,59.51,0.0,0.0,59.23,59.23,59.23,0.0,0.0,59.51,59.51,59.51,0.0,0.0
2019-01-06,60.4,60.4,60.4,0.0,0.0,60.58,60.58,60.58,0.0,0.0,60.32,60.32,60.32,0.0,0.0,60.33,60.33,60.33,0.0,0.0
2019-01-13,61.76,61.76,61.76,0.0,0.0,62.02,62.02,62.02,0.0,0.0,61.57,61.57,61.57,0.0,0.0,62.02,62.02,62.02,0.0,0.0
2019-01-20,61.35,61.35,61.35,0.0,0.0,61.66,61.66,61.66,0.0,0.0,61.35,61.35,61.35,0.0,0.0,61.65,61.65,61.65,0.0,0.0
2019-01-27,62.93,62.93,62.93,0.0,0.0,63.4,63.4,63.4,0.0,0.0,62.87,62.87,62.87,0.0,0.0,63.4,63.4,63.4,0.0,0.0
2019-02-03,62.96,62.96,62.96,0.0,0.0,62.96,62.96,62.96,0.0,0.0,62.84,62.84,62.84,0.0,0.0,62.84,62.84,62.84,0.0,0.0
2019-02-10,64.0,64.0,64.0,0.0,0.0,64.27,64.27,64.27,0.0,0.0,63.77,63.77,63.77,0.0,0.0,64.27,64.27,64.27,0.0,0.0
2019-02-17,65.04,65.04,65.04,0.0,0.0,65.08,65.08,65.08,0.0,0.0,64.89,64.89,64.89,0.0,0.0,65.04,65.04,65.04,0.0,0.0
2019-02-24,65.56,65.56,65.56,0.0,0.0,65.93,65.93,65.93,0.0,0.0,64.91,64.91,64.91,0.0,0.0,64.96,64.96,64.96,0.0,0.0
2019-03-03,64.35,64.35,64.35,0.0,0.0,64.72,64.72,64.72,0.0,0.0,64.35,64.35,64.35,0.0,0.0,64.72,64.72,64.72,0.0,0.0
2019-03-10,65.74,65.74,65.74,0.0,0.0,65.94,65.94,65.94,0.0,0.0,65.74,65.74,65.74,0.0,0.0,65.81,65.81,65.81,0.0,0.0
2019-03-17,65.08,65.08,65.08,0.0,0.0,65.38,65.38,65.38,0.0,0.0,64.95,64.95,64.95,0.0,0.0,64.99,64.99,64.99,0.0,0.0
2019-03-24,66.28,66.28,66.28,0.0,0.0,66.6,66.6,66.6,0.0,0.0,66.28,66.28,66.28,0.0,0.0,66.6,66.6,66.6,0.0,0.0
2019-03-31,67.09,67.09,67.09,0.0,0.0,67.3,67.3,67.3,0.0,0.0,66.88,66.88,66.88,0.0,0.0,67.3,67.3,67.3,0.0,0.0
2019-04-07,67.39,67.39,67.39,0.0,0.0,67.47,67.47,67.47,0.0,0.0,67.39,67.39,67.39,0.0,0.0,67.47,67.47,67.47,0.0,0.0
2019-04-14,67.49,67.49,67.49,0.0,0.0,67.57,67.57,67.57,0.0,0.0,67.4,67.4,67.4,0.0,0.0,67.57,67.57,67.57,0.0,0.0
2019-04-21,68.06,68.06,68.06,0.0,0.0,68.17,68.17,68.17,0.0,0.0,67.71,67.71,67.71,0.0,0.0,68.17,68.17,68.17,0.0,0.0
2019-04-28,66.91,66.91,66.91,0.0,0.0,67.76,67.76,67.76,0.0,0.0,66.91,66.91,66.91,0.0,0.0,67.76,67.76,67.76,0.0,0.0
2019-05-05,65.89,65.89,65.89,0.0,0.0,65.89,65.89,65.89,0.0,0.0,65.11,65.11,65.11,0.0,0.0,65.11,65.11,65.11,0.0,0.0
2019-05-12,66.3,66.3,66.3,0.0,0.0,66.44,66.44,66.44,0.0,0.0,66.18,66.18,66.18,0.0,0.0,66.18,66.18,66.18,0.0,0.0
2019-05-19,66.15,66.15,66.15,0.0,0.0,66.56,66.56,66.56,0.0,0.0,66.01,66.01,66.01,0.0,0.0,66.01,66.01,66.01,0.0,0.0
2019-05-26,64.56,64.56,64.56,0.0,0.0,64.64,64.64,64.64,0.0,0.0,64.15,64.15,64.15,0.0,0.0,64.35,64.35,64.35,0.0,0.0
2019-06-02,67.39,67.39,67.39,0.0,0.0,67.43,67.43,67.43,0.0,0.0,67.3,67.3,67.3,0.0,0.0,67.3,67.3,67.3,0.0,0.0
2019-06-09,66.36,66.36,66.36,0.0,0.0,66.36,66.36,66.36,0.0,0.0,66.26,66.26,66.26,0.0,0.0,66.26,66.26,66.26,0.0,0.0
2019-06-16,67.79,67.79,67.79,0.0,0.0,67.8,67.8,67.8,0.0,0.0,67.79,67.79,67.79,0.0,0.0,67.79,67.79,67.79,0.0,0.0
2019-06-23,68.75,68.75,68.75,0.0,0.0,68.75,68.75,68.75,0.0,0.0,67.94,67.94,67.94,0.0,0.0,68.44,68.44,68.44,0.0,0.0
2019-06-30,68.39,68.39,68.39,0.0,0.0,68.49,68.49,68.49,0.0,0.0,68.26,68.26,68.26,0.0,0.0,68.36,68.36,68.36,0.0,0.0
2019-07-07,69.02,69.02,69.02,0.0,0.0,69.02,69.02,69.02,0.0,0.0,69.0,69.0,69.0,0.0,0.0,69.0,69.0,69.0,0.0,0.0
2019-07-14,68.64,68.64,68.64,0.0,0.0,68.64,68.64,68.64,0.0,0.0,68.54,68.54,68.54,0.0,0.0,68.57,68.57,68.57,0.0,0.0
2019-07-21,69.1,69.1,69.1,0.0,0.0,69.13,69.13,69.13,0.0,0.0,69.1,69.1,69.1,0.0,0.0,69.13,69.13,69.13,0.0,0.0
2019-07-28,66.44,66.44,66.44,0.0,0.0,66.44,66.44,66.44,0.0,0.0,65.07,65.07,65.07,0.0,0.0,65.78,65.78,65.78,0.0,0.0
2019-08-04,66.9,66.9,66.9,0.0,0.0,66.9,66.9,66.9,0.0,0.0,66.1,66.1,66.1,0.0,0.0,66.31,66.31,66.31,0.0,0.0
2019-08-11,66.83,66.83,66.83,0.0,0.0,67.16,67.16,67.16,0.0,0.0,66.56,66.56,66.56,0.0,0.0,66.56,66.56,66.56,0.0,0.0
2019-08-18,65.98,65.98,65.98,0.0,0.0,66.07,66.07,66.07,0.0,0.0,65.66,65.66,65.66,0.0,0.0,66.07,66.07,66.07,0.0,0.0
