Date,PowerShares DWA Utilities Momentum Portfolio_Open_average,PowerShares DWA Utilities Momentum Portfolio_Open_max,PowerShares DWA Utilities Momentum Portfolio_Open_min,PowerShares DWA Utilities Momentum Portfolio_Open_volatility,PowerShares DWA Utilities Momentum Portfolio_Open_change,PowerShares DWA Utilities Momentum Portfolio_High_average,PowerShares DWA Utilities Momentum Portfolio_High_max,PowerShares DWA Utilities Momentum Portfolio_High_min,PowerShares DWA Utilities Momentum Portfolio_High_volatility,PowerShares DWA Utilities Momentum Portfolio_High_change,PowerShares DWA Utilities Momentum Portfolio_Low_average,PowerShares DWA Utilities Momentum Portfolio_Low_max,PowerShares DWA Utilities Momentum Portfolio_Low_min,PowerShares DWA Utilities Momentum Portfolio_Low_volatility,PowerShares DWA Utilities Momentum Portfolio_Low_change,PowerShares DWA Utilities Momentum Portfolio_Close_average,PowerShares DWA Utilities Momentum Portfolio_Close_max,PowerShares DWA Utilities Momentum Portfolio_Close_min,PowerShares DWA Utilities Momentum Portfolio_Close_volatility,PowerShares DWA Utilities Momentum Portfolio_Close_change
2018-01-14,26.21,26.21,26.21,0.0,0.0,26.32,26.32,26.32,0.0,0.0,26.13,26.13,26.13,0.0,0.0,26.18,26.18,26.18,0.0,0.0
2018-01-21,26.53,26.53,26.53,0.0,0.0,26.53,26.53,26.53,0.0,0.0,26.33,26.33,26.33,0.0,0.0,26.38,26.38,26.38,0.0,0.0
2018-01-28,25.85,25.85,25.85,0.0,0.0,25.95,25.95,25.95,0.0,0.0,25.26,25.26,25.26,0.0,0.0,25.26,25.26,25.26,0.0,0.0
2018-02-04,25.28,25.28,25.28,0.0,0.0,25.36,25.36,25.36,0.0,0.0,25.0,25.0,25.0,0.0,0.0,25.36,25.36,25.36,0.0,0.0
2018-02-11,25.69,25.69,25.69,0.0,0.0,25.93,25.93,25.93,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.93,25.93,25.93,0.0,0.0
2018-02-18,26.2,26.2,26.2,0.0,0.0,26.2,26.2,26.2,0.0,0.0,25.88,25.88,25.88,0.0,0.0,25.91,25.91,25.91,0.0,0.0
2018-02-25,25.1,25.1,25.1,0.0,0.0,25.59,25.59,25.59,0.0,0.0,25.1,25.1,25.1,0.0,0.0,25.59,25.59,25.59,0.0,0.0
2018-03-04,25.48,25.48,25.48,0.0,0.0,25.6,25.6,25.6,0.0,0.0,25.48,25.48,25.48,0.0,0.0,25.59,25.59,25.59,0.0,0.0
2018-03-11,26.04,26.04,26.04,0.0,0.0,26.04,26.04,26.04,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.83,25.83,25.83,0.0,0.0
2018-03-18,25.13,25.13,25.13,0.0,0.0,25.73,25.73,25.73,0.0,0.0,25.13,25.13,25.13,0.0,0.0,25.69,25.69,25.69,0.0,0.0
