Date,First Trust Utilities AlphaDEX_Open_average,First Trust Utilities AlphaDEX_Open_max,First Trust Utilities AlphaDEX_Open_min,First Trust Utilities AlphaDEX_Open_volatility,First Trust Utilities AlphaDEX_Open_change,First Trust Utilities AlphaDEX_High_average,First Trust Utilities AlphaDEX_High_max,First Trust Utilities AlphaDEX_High_min,First Trust Utilities AlphaDEX_High_volatility,First Trust Utilities AlphaDEX_High_change,First Trust Utilities AlphaDEX_Low_average,First Trust Utilities AlphaDEX_Low_max,First Trust Utilities AlphaDEX_Low_min,First Trust Utilities AlphaDEX_Low_volatility,First Trust Utilities AlphaDEX_Low_change,First Trust Utilities AlphaDEX_Close_average,First Trust Utilities AlphaDEX_Close_max,First Trust Utilities AlphaDEX_Close_min,First Trust Utilities AlphaDEX_Close_volatility,First Trust Utilities AlphaDEX_Close_change
2018-01-14,25.36,25.36,25.36,0.0,0.0,25.52,25.52,25.52,0.0,0.0,25.34,25.34,25.34,0.0,0.0,25.36,25.36,25.36,0.0,0.0
2018-01-21,25.69,25.69,25.69,0.0,0.0,25.71,25.71,25.71,0.0,0.0,25.47,25.47,25.47,0.0,0.0,25.47,25.47,25.47,0.0,0.0
2018-01-28,24.91,24.91,24.91,0.0,0.0,25.07,25.07,25.07,0.0,0.0,24.31,24.31,24.31,0.0,0.0,24.31,24.31,24.31,0.0,0.0
2018-02-04,24.11,24.11,24.11,0.0,0.0,24.26,24.26,24.26,0.0,0.0,23.84,23.84,23.84,0.0,0.0,24.15,24.15,24.15,0.0,0.0
2018-02-11,24.8,24.8,24.8,0.0,0.0,25.03,25.03,25.03,0.0,0.0,24.7,24.7,24.7,0.0,0.0,24.94,24.94,24.94,0.0,0.0
2018-02-18,25.22,25.22,25.22,0.0,0.0,25.22,25.22,25.22,0.0,0.0,24.97,24.97,24.97,0.0,0.0,25.07,25.07,25.07,0.0,0.0
2018-02-25,24.65,24.65,24.65,0.0,0.0,25.2,25.2,25.2,0.0,0.0,24.56,24.56,24.56,0.0,0.0,25.15,25.15,25.15,0.0,0.0
2018-03-04,25.08,25.08,25.08,0.0,0.0,25.17,25.17,25.17,0.0,0.0,25.06,25.06,25.06,0.0,0.0,25.15,25.15,25.15,0.0,0.0
2018-03-11,25.58,25.58,25.58,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.31,25.31,25.31,0.0,0.0
2018-03-18,24.74,24.74,24.74,0.0,0.0,24.9,24.9,24.9,0.0,0.0,24.65,24.65,24.65,0.0,0.0,24.88,24.88,24.88,0.0,0.0
2018-03-25,25.33,25.33,25.33,0.0,0.0,25.43,25.43,25.43,0.0,0.0,24.97,24.97,24.97,0.0,0.0,25.08,25.08,25.08,0.0,0.0
