Date,ValueShares Int Quantitative Value_Open_average,ValueShares Int Quantitative Value_Open_max,ValueShares Int Quantitative Value_Open_min,ValueShares Int Quantitative Value_Open_volatility,ValueShares Int Quantitative Value_Open_change,ValueShares Int Quantitative Value_High_average,ValueShares Int Quantitative Value_High_max,ValueShares Int Quantitative Value_High_min,ValueShares Int Quantitative Value_High_volatility,ValueShares Int Quantitative Value_High_change,ValueShares Int Quantitative Value_Low_average,ValueShares Int Quantitative Value_Low_max,ValueShares Int Quantitative Value_Low_min,ValueShares Int Quantitative Value_Low_volatility,ValueShares Int Quantitative Value_Low_change,ValueShares Int Quantitative Value_Close_average,ValueShares Int Quantitative Value_Close_max,ValueShares Int Quantitative Value_Close_min,ValueShares Int Quantitative Value_Close_volatility,ValueShares Int Quantitative Value_Close_change
2018-01-14,34.59,34.59,34.59,0.0,0.0,34.74,34.74,34.74,0.0,0.0,34.52,34.52,34.52,0.0,0.0,34.66,34.66,34.66,0.0,0.0
2018-01-21,34.73,34.73,34.73,0.0,0.0,34.81,34.81,34.81,0.0,0.0,34.68,34.68,34.68,0.0,0.0,34.69,34.69,34.69,0.0,0.0
2018-01-28,33.16,33.16,33.16,0.0,0.0,33.3,33.3,33.3,0.0,0.0,32.23,32.23,32.23,0.0,0.0,32.59,32.59,32.59,0.0,0.0
2018-02-04,32.28,32.28,32.28,0.0,0.0,32.55,32.55,32.55,0.0,0.0,32.12,32.12,32.12,0.0,0.0,32.51,32.51,32.51,0.0,0.0
2018-02-11,33.22,33.22,33.22,0.0,0.0,33.37,33.37,33.37,0.0,0.0,33.2,33.2,33.2,0.0,0.0,33.35,33.35,33.35,0.0,0.0
2018-02-18,33.67,33.67,33.67,0.0,0.0,33.97,33.97,33.97,0.0,0.0,33.67,33.67,33.67,0.0,0.0,33.97,33.97,33.97,0.0,0.0
2018-02-25,32.59,32.59,32.59,0.0,0.0,32.91,32.91,32.91,0.0,0.0,32.56,32.56,32.56,0.0,0.0,32.91,32.91,32.91,0.0,0.0
2018-03-04,33.08,33.08,33.08,0.0,0.0,33.18,33.18,33.18,0.0,0.0,33.08,33.08,33.08,0.0,0.0,33.12,33.12,33.12,0.0,0.0
2018-03-11,32.81,32.81,32.81,0.0,0.0,32.81,32.81,32.81,0.0,0.0,32.35,32.35,32.35,0.0,0.0,32.48,32.48,32.48,0.0,0.0
2018-03-18,32.18,32.18,32.18,0.0,0.0,32.18,32.18,32.18,0.0,0.0,31.96,31.96,31.96,0.0,0.0,32.06,32.06,32.06,0.0,0.0
