Date,Victory CEMP International Volatility Weighted_Open_average,Victory CEMP International Volatility Weighted_Open_max,Victory CEMP International Volatility Weighted_Open_volatility,Victory CEMP International Volatility Weighted_Open_change,Victory CEMP International Volatility Weighted_High_average,Victory CEMP International Volatility Weighted_High_max,Victory CEMP International Volatility Weighted_High_volatility,Victory CEMP International Volatility Weighted_High_change,Victory CEMP International Volatility Weighted_Low_average,Victory CEMP International Volatility Weighted_Low_max,Victory CEMP International Volatility Weighted_Low_volatility,Victory CEMP International Volatility Weighted_Low_change,Victory CEMP International Volatility Weighted_Close_average,Victory CEMP International Volatility Weighted_Close_max,Victory CEMP International Volatility Weighted_Close_volatility,Victory CEMP International Volatility Weighted_Close_change
2016-01-03,31.5,31.5,0.0,0.0,31.64,31.64,0.0,0.0,31.5,31.5,0.0,0.0,31.64,31.64,0.0,0.0
2016-01-10,30.4,30.4,0.0,0.0,30.59,30.59,0.0,0.0,30.4,30.4,0.0,0.0,30.59,30.59,0.0,0.0
2016-01-17,30.02,30.02,0.0,0.0,31.01,31.01,0.0,0.0,30.02,30.02,0.0,0.0,30.93,30.93,0.0,0.0
2016-01-24,31.58,31.58,0.0,0.0,31.64,31.64,0.0,0.0,31.48,31.48,0.0,0.0,31.64,31.64,0.0,0.0
2016-01-31,30.04,30.04,0.0,0.0,30.07,30.07,0.0,0.0,30.04,30.04,0.0,0.0,30.07,30.07,0.0,0.0
2016-02-07,29.63,29.63,0.0,0.0,29.66,29.66,0.0,0.0,29.63,29.63,0.0,0.0,29.66,29.66,0.0,0.0
2016-02-14,31.31,31.31,0.0,0.0,31.31,31.31,0.0,0.0,31.31,31.31,0.0,0.0,31.31,31.31,0.0,0.0
2016-02-21,31.04,31.04,0.0,0.0,31.04,31.04,0.0,0.0,31.04,31.04,0.0,0.0,31.04,31.04,0.0,0.0
2016-02-28,31.7,31.7,0.0,0.0,31.7,31.7,0.0,0.0,31.66,31.66,0.0,0.0,31.66,31.66,0.0,0.0
2016-03-06,32.45,32.45,0.0,0.0,32.46,32.46,0.0,0.0,32.45,32.45,0.0,0.0,32.46,32.46,0.0,0.0
2016-03-13,33.26,33.26,0.0,0.0,33.28,33.28,0.0,0.0,33.23,33.23,0.0,0.0,33.27,33.27,0.0,0.0
2016-03-20,32.98,32.98,0.0,0.0,32.98,32.98,0.0,0.0,32.98,32.98,0.0,0.0,32.98,32.98,0.0,0.0
2016-03-27,32.88,32.88,0.0,0.0,32.88,32.88,0.0,0.0,32.88,32.88,0.0,0.0,32.88,32.88,0.0,0.0
2016-04-03,33.11,33.11,0.0,0.0,33.11,33.11,0.0,0.0,33.11,33.11,0.0,0.0,33.11,33.11,0.0,0.0
2016-04-10,34.05,34.05,0.0,0.0,34.05,34.05,0.0,0.0,33.95,33.95,0.0,0.0,33.95,33.95,0.0,0.0
2016-04-17,33.91,33.91,0.0,0.0,33.91,33.91,0.0,0.0,33.91,33.91,0.0,0.0,33.91,33.91,0.0,0.0
2016-04-24,34.12,34.12,0.0,0.0,34.12,34.12,0.0,0.0,34.12,34.12,0.0,0.0,34.12,34.12,0.0,0.0
2016-05-01,33.23,33.23,0.0,0.0,33.23,33.23,0.0,0.0,33.23,33.23,0.0,0.0,33.23,33.23,0.0,0.0
