Date,Direxion All Cap Insider Sentiment Shares_Open_average,Direxion All Cap Insider Sentiment Shares_Open_max,Direxion All Cap Insider Sentiment Shares_Open_min,Direxion All Cap Insider Sentiment Shares_Open_volatility,Direxion All Cap Insider Sentiment Shares_Open_change,Direxion All Cap Insider Sentiment Shares_High_average,Direxion All Cap Insider Sentiment Shares_High_max,Direxion All Cap Insider Sentiment Shares_High_min,Direxion All Cap Insider Sentiment Shares_High_volatility,Direxion All Cap Insider Sentiment Shares_High_change,Direxion All Cap Insider Sentiment Shares_Low_average,Direxion All Cap Insider Sentiment Shares_Low_max,Direxion All Cap Insider Sentiment Shares_Low_min,Direxion All Cap Insider Sentiment Shares_Low_volatility,Direxion All Cap Insider Sentiment Shares_Low_change,Direxion All Cap Insider Sentiment Shares_Close_average,Direxion All Cap Insider Sentiment Shares_Close_max,Direxion All Cap Insider Sentiment Shares_Close_min,Direxion All Cap Insider Sentiment Shares_Close_volatility,Direxion All Cap Insider Sentiment Shares_Close_change
2018-01-14,43.28,43.28,43.28,0.0,0.0,43.51,43.51,43.51,0.0,0.0,43.21,43.21,43.21,0.0,0.0,43.51,43.51,43.51,0.0,0.0
2018-01-21,43.31,43.31,43.31,0.0,0.0,43.4,43.4,43.4,0.0,0.0,43.02,43.02,43.02,0.0,0.0,43.11,43.11,43.11,0.0,0.0
2018-01-28,41.38,41.38,41.38,0.0,0.0,41.71,41.71,41.71,0.0,0.0,40.03,40.03,40.03,0.0,0.0,40.25,40.25,40.25,0.0,0.0
2018-02-04,40.1,40.1,40.1,0.0,0.0,40.45,40.45,40.45,0.0,0.0,39.83,39.83,39.83,0.0,0.0,40.2,40.2,40.2,0.0,0.0
2018-02-11,41.25,41.25,41.25,0.0,0.0,41.76,41.76,41.76,0.0,0.0,41.25,41.25,41.25,0.0,0.0,41.49,41.49,41.49,0.0,0.0
2018-02-18,41.9,41.9,41.9,0.0,0.0,42.07,42.07,42.07,0.0,0.0,41.62,41.62,41.62,0.0,0.0,42.07,42.07,42.07,0.0,0.0
2018-02-25,40.74,40.74,40.74,0.0,0.0,41.44,41.44,41.44,0.0,0.0,40.63,40.63,40.63,0.0,0.0,41.36,41.36,41.36,0.0,0.0
2018-03-04,42.34,42.34,42.34,0.0,0.0,42.45,42.45,42.45,0.0,0.0,42.16,42.16,42.16,0.0,0.0,42.24,42.24,42.24,0.0,0.0
2018-03-11,41.82,41.82,41.82,0.0,0.0,41.82,41.82,41.82,0.0,0.0,41.29,41.29,41.29,0.0,0.0,41.55,41.55,41.55,0.0,0.0
2018-03-18,40.39,40.39,40.39,0.0,0.0,40.73,40.73,40.73,0.0,0.0,40.1,40.1,40.1,0.0,0.0,40.73,40.73,40.73,0.0,0.0
2018-03-25,40.55,40.55,40.55,0.0,0.0,40.62,40.62,40.62,0.0,0.0,39.34,39.34,39.34,0.0,0.0,39.66,39.66,39.66,0.0,0.0
2018-04-01,40.24,40.24,40.24,0.0,0.0,40.44,40.44,40.44,0.0,0.0,40.12,40.12,40.12,0.0,0.0,40.22,40.22,40.22,0.0,0.0
2018-04-08,40.55,40.55,40.55,0.0,0.0,40.88,40.88,40.88,0.0,0.0,40.47,40.47,40.47,0.0,0.0,40.82,40.82,40.82,0.0,0.0
2018-04-15,40.75,40.75,40.75,0.0,0.0,40.94,40.94,40.94,0.0,0.0,40.6,40.6,40.6,0.0,0.0,40.76,40.76,40.76,0.0,0.0
2018-04-22,41.03,41.03,41.03,0.0,0.0,41.03,41.03,41.03,0.0,0.0,40.44,40.44,40.44,0.0,0.0,40.48,40.48,40.48,0.0,0.0
2018-04-29,40.42,40.42,40.42,0.0,0.0,40.47,40.47,40.47,0.0,0.0,40.25,40.25,40.25,0.0,0.0,40.38,40.38,40.38,0.0,0.0
2018-05-06,41.25,41.25,41.25,0.0,0.0,41.31,41.31,41.31,0.0,0.0,41.03,41.03,41.03,0.0,0.0,41.06,41.06,41.06,0.0,0.0
2018-05-13,41.67,41.67,41.67,0.0,0.0,41.8,41.8,41.8,0.0,0.0,41.6,41.6,41.6,0.0,0.0,41.76,41.76,41.76,0.0,0.0
2018-05-20,41.77,41.77,41.77,0.0,0.0,41.77,41.77,41.77,0.0,0.0,41.51,41.51,41.51,0.0,0.0,41.53,41.53,41.53,0.0,0.0
2018-05-27,41.99,41.99,41.99,0.0,0.0,42.04,42.04,42.04,0.0,0.0,41.85,41.85,41.85,0.0,0.0,41.99,41.99,41.99,0.0,0.0
2018-06-03,42.65,42.65,42.65,0.0,0.0,42.87,42.87,42.87,0.0,0.0,42.65,42.65,42.65,0.0,0.0,42.75,42.75,42.75,0.0,0.0
2018-06-10,42.64,42.64,42.64,0.0,0.0,42.64,42.64,42.64,0.0,0.0,42.42,42.42,42.42,0.0,0.0,42.55,42.55,42.55,0.0,0.0
