Date,VelocityShares Daily 4X Long USD vs. CHF_Open_average,VelocityShares Daily 4X Long USD vs. CHF_Open_max,VelocityShares Daily 4X Long USD vs. CHF_Open_min,VelocityShares Daily 4X Long USD vs. CHF_Open_volatility,VelocityShares Daily 4X Long USD vs. CHF_Open_change,VelocityShares Daily 4X Long USD vs. CHF_High_average,VelocityShares Daily 4X Long USD vs. CHF_High_max,VelocityShares Daily 4X Long USD vs. CHF_High_min,VelocityShares Daily 4X Long USD vs. CHF_High_volatility,VelocityShares Daily 4X Long USD vs. CHF_High_change,VelocityShares Daily 4X Long USD vs. CHF_Low_average,VelocityShares Daily 4X Long USD vs. CHF_Low_max,VelocityShares Daily 4X Long USD vs. CHF_Low_min,VelocityShares Daily 4X Long USD vs. CHF_Low_volatility,VelocityShares Daily 4X Long USD vs. CHF_Low_change,VelocityShares Daily 4X Long USD vs. CHF_Close_average,VelocityShares Daily 4X Long USD vs. CHF_Close_max,VelocityShares Daily 4X Long USD vs. CHF_Close_min,VelocityShares Daily 4X Long USD vs. CHF_Close_volatility,VelocityShares Daily 4X Long USD vs. CHF_Close_change
2018-01-14,22.15,22.15,22.15,0.0,0.0,22.42,22.42,22.42,0.0,0.0,22.13,22.13,22.13,0.0,0.0,22.34,22.34,22.34,0.0,0.0
2018-01-21,19.78,19.78,19.78,0.0,0.0,19.93,19.93,19.93,0.0,0.0,19.78,19.78,19.78,0.0,0.0,19.93,19.93,19.93,0.0,0.0
2018-01-28,19.8,19.8,19.8,0.0,0.0,19.8,19.8,19.8,0.0,0.0,19.8,19.8,19.8,0.0,0.0,19.8,19.8,19.8,0.0,0.0
2018-02-04,20.35,20.35,20.35,0.0,0.0,20.66,20.66,20.66,0.0,0.0,20.35,20.35,20.35,0.0,0.0,20.66,20.66,20.66,0.0,0.0
2018-02-11,19.14,19.14,19.14,0.0,0.0,19.14,19.14,19.14,0.0,0.0,19.08,19.08,19.08,0.0,0.0,19.08,19.08,19.08,0.0,0.0
2018-02-18,20.19,20.19,20.19,0.0,0.0,20.19,20.19,20.19,0.0,0.0,20.16,20.16,20.16,0.0,0.0,20.16,20.16,20.16,0.0,0.0
2018-02-25,20.22,20.22,20.22,0.0,0.0,20.3,20.3,20.3,0.0,0.0,20.22,20.22,20.22,0.0,0.0,20.3,20.3,20.3,0.0,0.0
2018-03-04,21.3,21.3,21.3,0.0,0.0,21.32,21.32,21.32,0.0,0.0,21.2,21.2,21.2,0.0,0.0,21.31,21.31,21.31,0.0,0.0
2018-03-11,21.54,21.54,21.54,0.0,0.0,21.69,21.69,21.69,0.0,0.0,21.54,21.54,21.54,0.0,0.0,21.69,21.69,21.69,0.0,0.0
2018-03-18,21.71,21.71,21.71,0.0,0.0,21.71,21.71,21.71,0.0,0.0,21.68,21.68,21.68,0.0,0.0,21.68,21.68,21.68,0.0,0.0
