Date,iShares Micro-Cap_Open_average,iShares Micro-Cap_Open_max,iShares Micro-Cap_Open_min,iShares Micro-Cap_Open_volatility,iShares Micro-Cap_Open_change,iShares Micro-Cap_High_average,iShares Micro-Cap_High_max,iShares Micro-Cap_High_min,iShares Micro-Cap_High_volatility,iShares Micro-Cap_High_change,iShares Micro-Cap_Low_average,iShares Micro-Cap_Low_max,iShares Micro-Cap_Low_min,iShares Micro-Cap_Low_volatility,iShares Micro-Cap_Low_change,iShares Micro-Cap_Close_average,iShares Micro-Cap_Close_max,iShares Micro-Cap_Close_min,iShares Micro-Cap_Close_volatility,iShares Micro-Cap_Close_change
2018-01-14,99.65,99.65,99.65,0.0,0.0,100.13,100.13,100.13,0.0,0.0,99.57,99.57,99.57,0.0,0.0,99.99,99.99,99.99,0.0,0.0
2018-01-21,99.44,99.44,99.44,0.0,0.0,100.14,100.14,100.14,0.0,0.0,99.44,99.44,99.44,0.0,0.0,99.5,99.5,99.5,0.0,0.0
2018-01-28,95.21,95.21,95.21,0.0,0.0,96.2,96.2,96.2,0.0,0.0,92.6,92.6,92.6,0.0,0.0,92.6,92.6,92.6,0.0,0.0
2018-02-04,92.93,92.93,92.93,0.0,0.0,93.81,93.81,93.81,0.0,0.0,91.93,91.93,91.93,0.0,0.0,92.91,92.91,92.91,0.0,0.0
2018-02-11,95.78,95.78,95.78,0.0,0.0,96.84,96.84,96.84,0.0,0.0,95.78,95.78,95.78,0.0,0.0,96.32,96.32,96.32,0.0,0.0
2018-02-18,97.26,97.26,97.26,0.0,0.0,97.98,97.98,97.98,0.0,0.0,96.81,96.81,96.81,0.0,0.0,97.78,97.78,97.78,0.0,0.0
2018-02-25,96.52,96.52,96.52,0.0,0.0,97.79,97.79,97.79,0.0,0.0,96.35,96.35,96.35,0.0,0.0,97.33,97.33,97.33,0.0,0.0
2018-03-04,101.08,101.08,101.08,0.0,0.0,101.49,101.49,101.49,0.0,0.0,100.75,100.75,100.75,0.0,0.0,101.35,101.35,101.35,0.0,0.0
2018-03-11,99.72,99.72,99.72,0.0,0.0,99.72,99.72,99.72,0.0,0.0,98.1,98.1,98.1,0.0,0.0,99.39,99.39,99.39,0.0,0.0
2018-03-18,97.53,97.53,97.53,0.0,0.0,97.55,97.55,97.55,0.0,0.0,96.18,96.18,96.18,0.0,0.0,97.4,97.4,97.4,0.0,0.0
2018-03-25,95.86,95.86,95.86,0.0,0.0,96.42,96.42,96.42,0.0,0.0,93.25,93.25,93.25,0.0,0.0,93.79,93.79,93.79,0.0,0.0
2018-04-01,95.82,95.82,95.82,0.0,0.0,96.28,96.28,96.28,0.0,0.0,95.1,95.1,95.1,0.0,0.0,95.15,95.15,95.15,0.0,0.0
2018-04-08,98.3,98.3,98.3,0.0,0.0,98.79,98.79,98.79,0.0,0.0,97.74,97.74,97.74,0.0,0.0,98.41,98.41,98.41,0.0,0.0
2018-04-15,98.68,98.68,98.68,0.0,0.0,99.21,99.21,99.21,0.0,0.0,98.28,98.28,98.28,0.0,0.0,98.66,98.66,98.66,0.0,0.0
2018-04-22,98.49,98.49,98.49,0.0,0.0,98.78,98.78,98.78,0.0,0.0,97.35,97.35,97.35,0.0,0.0,97.35,97.35,97.35,0.0,0.0
2018-04-29,99.55,99.55,99.55,0.0,0.0,100.54,100.54,100.54,0.0,0.0,99.55,99.55,99.55,0.0,0.0,100.03,100.03,100.03,0.0,0.0
2018-05-06,101.64,101.64,101.64,0.0,0.0,101.99,101.99,101.99,0.0,0.0,101.08,101.08,101.08,0.0,0.0,101.09,101.09,101.09,0.0,0.0
2018-05-13,103.98,103.98,103.98,0.0,0.0,104.35,104.35,104.35,0.0,0.0,103.66,103.66,103.66,0.0,0.0,103.93,103.93,103.93,0.0,0.0
2018-05-20,103.77,103.77,103.77,0.0,0.0,103.85,103.85,103.85,0.0,0.0,103.4,103.4,103.4,0.0,0.0,103.63,103.63,103.63,0.0,0.0
2018-05-27,105.64,105.64,105.64,0.0,0.0,105.79,105.79,105.79,0.0,0.0,104.86,104.86,104.86,0.0,0.0,105.75,105.75,105.75,0.0,0.0
2018-06-03,106.78,106.78,106.78,0.0,0.0,107.06,107.06,107.06,0.0,0.0,106.49,106.49,106.49,0.0,0.0,106.91,106.91,106.91,0.0,0.0
2018-06-10,107.05,107.05,107.05,0.0,0.0,108.42,108.42,108.42,0.0,0.0,107.05,107.05,107.05,0.0,0.0,108.37,108.37,108.37,0.0,0.0
2018-06-17,108.08,108.08,108.08,0.0,0.0,108.08,108.08,108.08,0.0,0.0,106.41,106.41,106.41,0.0,0.0,107.04,107.04,107.04,0.0,0.0
2018-06-24,105.15,105.15,105.15,0.0,0.0,106.97,106.97,106.97,0.0,0.0,105.04,105.04,105.04,0.0,0.0,106.75,106.75,106.75,0.0,0.0
2018-07-01,109.26,109.26,109.26,0.0,0.0,109.51,109.51,109.51,0.0,0.0,108.84,108.84,108.84,0.0,0.0,109.49,109.49,109.49,0.0,0.0
2018-07-08,107.61,107.61,107.61,0.0,0.0,107.85,107.85,107.85,0.0,0.0,106.5,106.5,106.5,0.0,0.0,107.06,107.06,107.06,0.0,0.0
2018-07-15,107.69,107.69,107.69,0.0,0.0,108.15,108.15,108.15,0.0,0.0,107.34,107.34,107.34,0.0,0.0,107.93,107.93,107.93,0.0,0.0
2018-07-22,105.1,105.1,105.1,0.0,0.0,105.5,105.5,105.5,0.0,0.0,104.28,104.28,104.28,0.0,0.0,104.28,104.28,104.28,0.0,0.0
2018-07-29,105.34,105.34,105.34,0.0,0.0,105.88,105.88,105.88,0.0,0.0,105.13,105.13,105.13,0.0,0.0,105.69,105.69,105.69,0.0,0.0
2018-08-05,106.45,106.45,106.45,0.0,0.0,106.71,106.71,106.71,0.0,0.0,105.27,105.27,105.27,0.0,0.0,105.78,105.78,105.78,0.0,0.0
2018-08-12,106.41,106.41,106.41,0.0,0.0,106.8,106.8,106.8,0.0,0.0,105.83,105.83,105.83,0.0,0.0,106.67,106.67,106.67,0.0,0.0
2018-08-19,109.28,109.28,109.28,0.0,0.0,109.61,109.61,109.61,0.0,0.0,108.66,108.66,108.66,0.0,0.0,108.87,108.87,108.87,0.0,0.0
2018-08-26,108.97,108.97,108.97,0.0,0.0,110.15,110.15,110.15,0.0,0.0,108.97,108.97,108.97,0.0,0.0,109.91,109.91,109.91,0.0,0.0
2018-09-02,108.3,108.3,108.3,0.0,0.0,108.4,108.4,108.4,0.0,0.0,107.61,107.61,107.61,0.0,0.0,107.62,107.62,107.62,0.0,0.0
2018-09-09,107.08,107.08,107.08,0.0,0.0,107.28,107.28,107.28,0.0,0.0,106.05,106.05,106.05,0.0,0.0,106.21,106.21,106.21,0.0,0.0
2018-09-16,107.0,107.0,107.0,0.0,0.0,107.35,107.35,107.35,0.0,0.0,106.31,106.31,106.31,0.0,0.0,106.68,106.68,106.68,0.0,0.0
2018-09-23,105.85,105.85,105.85,0.0,0.0,106.5,106.5,106.5,0.0,0.0,104.15,104.15,104.15,0.0,0.0,104.35,104.35,104.35,0.0,0.0
2018-09-30,101.38,101.38,101.38,0.0,0.0,101.75,101.75,101.75,0.0,0.0,100.53,100.53,100.53,0.0,0.0,101.54,101.54,101.54,0.0,0.0
2018-10-07,96.91,96.91,96.91,0.0,0.0,97.79,97.79,97.79,0.0,0.0,96.28,96.28,96.28,0.0,0.0,97.23,97.23,97.23,0.0,0.0
2018-10-14,96.65,96.65,96.65,0.0,0.0,97.04,97.04,97.04,0.0,0.0,95.46,95.46,95.46,0.0,0.0,95.94,95.94,95.94,0.0,0.0
2018-10-21,94.08,94.08,94.08,0.0,0.0,94.44,94.44,94.44,0.0,0.0,91.5,91.5,91.5,0.0,0.0,92.24,92.24,92.24,0.0,0.0
2018-10-28,96.57,96.57,96.57,0.0,0.0,96.83,96.83,96.83,0.0,0.0,95.57,95.57,95.57,0.0,0.0,96.07,96.07,96.07,0.0,0.0
2018-11-04,95.7,95.7,95.7,0.0,0.0,95.73,95.73,95.73,0.0,0.0,93.86,93.86,93.86,0.0,0.0,93.96,93.96,93.96,0.0,0.0
