Date,SPDR S&P International Small CapEtf_Open_average,SPDR S&P International Small CapEtf_Open_max,SPDR S&P International Small CapEtf_Open_min,SPDR S&P International Small CapEtf_Open_volatility,SPDR S&P International Small CapEtf_Open_change,SPDR S&P International Small CapEtf_High_average,SPDR S&P International Small CapEtf_High_max,SPDR S&P International Small CapEtf_High_min,SPDR S&P International Small CapEtf_High_volatility,SPDR S&P International Small CapEtf_High_change,SPDR S&P International Small CapEtf_Low_average,SPDR S&P International Small CapEtf_Low_max,SPDR S&P International Small CapEtf_Low_min,SPDR S&P International Small CapEtf_Low_volatility,SPDR S&P International Small CapEtf_Low_change,SPDR S&P International Small CapEtf_Close_average,SPDR S&P International Small CapEtf_Close_max,SPDR S&P International Small CapEtf_Close_min,SPDR S&P International Small CapEtf_Close_volatility,SPDR S&P International Small CapEtf_Close_change
2018-01-14,37.2,37.2,37.2,0.0,0.0,37.22,37.22,37.22,0.0,0.0,37.1,37.1,37.1,0.0,0.0,37.2,37.2,37.2,0.0,0.0
2018-01-21,37.86,37.86,37.86,0.0,0.0,37.99,37.99,37.99,0.0,0.0,37.71,37.71,37.71,0.0,0.0,37.98,37.98,37.98,0.0,0.0
2018-01-28,36.92,36.92,36.92,0.0,0.0,36.92,36.92,36.92,0.0,0.0,36.5,36.5,36.5,0.0,0.0,36.53,36.53,36.53,0.0,0.0
2018-02-04,34.38,34.38,34.38,0.0,0.0,34.63,34.63,34.63,0.0,0.0,33.66,33.66,33.66,0.0,0.0,34.4,34.4,34.4,0.0,0.0
2018-02-11,35.63,35.63,35.63,0.0,0.0,35.85,35.85,35.85,0.0,0.0,35.59,35.59,35.59,0.0,0.0,35.73,35.73,35.73,0.0,0.0
2018-02-18,35.86,35.86,35.86,0.0,0.0,36.08,36.08,36.08,0.0,0.0,35.82,35.82,35.82,0.0,0.0,36.03,36.03,36.03,0.0,0.0
2018-02-25,34.89,34.89,34.89,0.0,0.0,35.18,35.18,35.18,0.0,0.0,34.8,34.8,34.8,0.0,0.0,35.14,35.14,35.14,0.0,0.0
2018-03-04,35.73,35.73,35.73,0.0,0.0,35.92,35.92,35.92,0.0,0.0,35.69,35.69,35.69,0.0,0.0,35.88,35.88,35.88,0.0,0.0
2018-03-11,35.73,35.73,35.73,0.0,0.0,35.84,35.84,35.84,0.0,0.0,35.7,35.7,35.7,0.0,0.0,35.74,35.74,35.74,0.0,0.0
2018-03-18,34.95,34.95,34.95,0.0,0.0,35.03,35.03,35.03,0.0,0.0,34.53,34.53,34.53,0.0,0.0,34.53,34.53,34.53,0.0,0.0
2018-03-25,35.13,35.13,35.13,0.0,0.0,35.48,35.48,35.48,0.0,0.0,35.11,35.11,35.11,0.0,0.0,35.39,35.39,35.39,0.0,0.0
2018-04-01,35.34,35.34,35.34,0.0,0.0,35.52,35.52,35.52,0.0,0.0,35.02,35.02,35.02,0.0,0.0,35.12,35.12,35.12,0.0,0.0
2018-04-08,35.91,35.91,35.91,0.0,0.0,35.95,35.95,35.95,0.0,0.0,35.65,35.65,35.65,0.0,0.0,35.78,35.78,35.78,0.0,0.0
2018-04-15,36.01,36.01,36.01,0.0,0.0,36.01,36.01,36.01,0.0,0.0,35.87,35.87,35.87,0.0,0.0,35.95,35.95,35.95,0.0,0.0
2018-04-22,35.74,35.74,35.74,0.0,0.0,35.8,35.8,35.8,0.0,0.0,35.68,35.68,35.68,0.0,0.0,35.74,35.74,35.74,0.0,0.0
2018-04-29,35.4,35.4,35.4,0.0,0.0,35.8,35.8,35.8,0.0,0.0,35.4,35.4,35.4,0.0,0.0,35.66,35.66,35.66,0.0,0.0
2018-05-06,36.16,36.16,36.16,0.0,0.0,36.34,36.34,36.34,0.0,0.0,36.15,36.15,36.15,0.0,0.0,36.18,36.18,36.18,0.0,0.0
2018-05-13,35.96,35.96,35.96,0.0,0.0,36.09,36.09,36.09,0.0,0.0,35.96,35.96,35.96,0.0,0.0,36.08,36.08,36.08,0.0,0.0
2018-05-20,35.73,35.73,35.73,0.0,0.0,35.81,35.81,35.81,0.0,0.0,35.66,35.66,35.66,0.0,0.0,35.77,35.77,35.77,0.0,0.0
2018-05-27,35.62,35.62,35.62,0.0,0.0,35.82,35.82,35.82,0.0,0.0,35.62,35.62,35.62,0.0,0.0,35.78,35.78,35.78,0.0,0.0
2018-06-03,36.09,36.09,36.09,0.0,0.0,36.2,36.2,36.2,0.0,0.0,36.04,36.04,36.04,0.0,0.0,36.2,36.2,36.2,0.0,0.0
2018-06-10,35.49,35.49,35.49,0.0,0.0,35.49,35.49,35.49,0.0,0.0,35.31,35.31,35.31,0.0,0.0,35.42,35.42,35.42,0.0,0.0
2018-06-17,34.88,34.88,34.88,0.0,0.0,34.93,34.93,34.93,0.0,0.0,34.75,34.75,34.75,0.0,0.0,34.83,34.83,34.83,0.0,0.0
2018-06-24,34.39,34.39,34.39,0.0,0.0,34.46,34.46,34.46,0.0,0.0,34.3,34.3,34.3,0.0,0.0,34.32,34.32,34.32,0.0,0.0
2018-07-01,33.92,33.92,33.92,0.0,0.0,34.11,34.11,34.11,0.0,0.0,33.9,33.9,33.9,0.0,0.0,34.04,34.04,34.04,0.0,0.0
2018-07-08,33.94,33.94,33.94,0.0,0.0,34.08,34.08,34.08,0.0,0.0,33.88,33.88,33.88,0.0,0.0,34.01,34.01,34.01,0.0,0.0
2018-07-15,33.97,33.97,33.97,0.0,0.0,34.06,34.06,34.06,0.0,0.0,33.9,33.9,33.9,0.0,0.0,33.98,33.98,33.98,0.0,0.0
2018-07-22,34.64,34.64,34.64,0.0,0.0,34.72,34.72,34.72,0.0,0.0,34.47,34.47,34.47,0.0,0.0,34.58,34.58,34.58,0.0,0.0
2018-07-29,34.28,34.28,34.28,0.0,0.0,34.33,34.33,34.33,0.0,0.0,34.22,34.22,34.22,0.0,0.0,34.27,34.27,34.27,0.0,0.0
2018-08-05,33.7,33.7,33.7,0.0,0.0,33.79,33.79,33.79,0.0,0.0,33.6,33.6,33.6,0.0,0.0,33.73,33.73,33.73,0.0,0.0
2018-08-12,33.11,33.11,33.11,0.0,0.0,33.37,33.37,33.37,0.0,0.0,33.07,33.07,33.07,0.0,0.0,33.31,33.31,33.31,0.0,0.0
2018-08-19,33.95,33.95,33.95,0.0,0.0,34.1,34.1,34.1,0.0,0.0,33.9,33.9,33.9,0.0,0.0,34.04,34.04,34.04,0.0,0.0
