Date,ProShares UltraShort FTSE EuropeEtf_Open_average,ProShares UltraShort FTSE EuropeEtf_Open_max,ProShares UltraShort FTSE EuropeEtf_Open_min,ProShares UltraShort FTSE EuropeEtf_Open_volatility,ProShares UltraShort FTSE EuropeEtf_Open_change,ProShares UltraShort FTSE EuropeEtf_High_average,ProShares UltraShort FTSE EuropeEtf_High_max,ProShares UltraShort FTSE EuropeEtf_High_min,ProShares UltraShort FTSE EuropeEtf_High_volatility,ProShares UltraShort FTSE EuropeEtf_High_change,ProShares UltraShort FTSE EuropeEtf_Low_average,ProShares UltraShort FTSE EuropeEtf_Low_max,ProShares UltraShort FTSE EuropeEtf_Low_min,ProShares UltraShort FTSE EuropeEtf_Low_volatility,ProShares UltraShort FTSE EuropeEtf_Low_change,ProShares UltraShort FTSE EuropeEtf_Close_average,ProShares UltraShort FTSE EuropeEtf_Close_max,ProShares UltraShort FTSE EuropeEtf_Close_min,ProShares UltraShort FTSE EuropeEtf_Close_volatility,ProShares UltraShort FTSE EuropeEtf_Close_change
2018-01-14,27.73,27.73,27.73,0.0,0.0,28.07,28.07,28.07,0.0,0.0,27.73,27.73,27.73,0.0,0.0,27.81,27.81,27.81,0.0,0.0
2018-01-21,27.24,27.24,27.24,0.0,0.0,27.24,27.24,27.24,0.0,0.0,26.89,26.89,26.89,0.0,0.0,26.89,26.89,26.89,0.0,0.0
2018-01-28,28.38,28.38,28.38,0.0,0.0,29.21,29.21,29.21,0.0,0.0,28.38,28.38,28.38,0.0,0.0,29.18,29.18,29.18,0.0,0.0
2018-02-04,32.14,32.14,32.14,0.0,0.0,33.58,33.58,33.58,0.0,0.0,31.82,31.82,31.82,0.0,0.0,32.05,32.05,32.05,0.0,0.0
2018-02-11,29.88,29.88,29.88,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.69,29.69,29.69,0.0,0.0
2018-02-18,29.94,29.94,29.94,0.0,0.0,30.07,30.07,30.07,0.0,0.0,29.78,29.78,29.78,0.0,0.0,29.81,29.81,29.81,0.0,0.0
2018-02-25,32.29,32.29,32.29,0.0,0.0,32.43,32.43,32.43,0.0,0.0,31.77,31.77,31.77,0.0,0.0,31.77,31.77,31.77,0.0,0.0
2018-03-04,30.65,30.65,30.65,0.0,0.0,30.65,30.65,30.65,0.0,0.0,30.22,30.22,30.22,0.0,0.0,30.26,30.26,30.26,0.0,0.0
2018-03-11,30.47,30.47,30.47,0.0,0.0,30.62,30.62,30.62,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.61,30.61,30.61,0.0,0.0
2018-03-18,32.12,32.12,32.12,0.0,0.0,32.6,32.6,32.6,0.0,0.0,31.8,31.8,31.8,0.0,0.0,32.55,32.55,32.55,0.0,0.0
2018-03-25,31.33,31.33,31.33,0.0,0.0,31.42,31.42,31.42,0.0,0.0,31.04,31.04,31.04,0.0,0.0,31.23,31.23,31.23,0.0,0.0
2018-04-01,30.85,30.85,30.85,0.0,0.0,31.27,31.27,31.27,0.0,0.0,30.57,30.57,30.57,0.0,0.0,31.06,31.06,31.06,0.0,0.0
2018-04-08,29.65,29.65,29.65,0.0,0.0,29.79,29.79,29.79,0.0,0.0,29.6,29.6,29.6,0.0,0.0,29.73,29.73,29.73,0.0,0.0
2018-04-15,29.34,29.34,29.34,0.0,0.0,29.49,29.49,29.49,0.0,0.0,29.33,29.33,29.33,0.0,0.0,29.4,29.4,29.4,0.0,0.0
2018-04-22,29.89,29.89,29.89,0.0,0.0,29.89,29.89,29.89,0.0,0.0,29.62,29.62,29.62,0.0,0.0,29.62,29.62,29.62,0.0,0.0
2018-04-29,30.13,30.13,30.13,0.0,0.0,30.15,30.15,30.15,0.0,0.0,29.89,29.89,29.89,0.0,0.0,29.89,29.89,29.89,0.0,0.0
2018-05-06,28.96,28.96,28.96,0.0,0.0,29.0,29.0,29.0,0.0,0.0,28.96,28.96,28.96,0.0,0.0,29.0,29.0,29.0,0.0,0.0
2018-05-13,29.56,29.56,29.56,0.0,0.0,29.56,29.56,29.56,0.0,0.0,29.34,29.34,29.34,0.0,0.0,29.47,29.47,29.47,0.0,0.0
2018-05-20,30.68,30.68,30.68,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.48,30.48,30.48,0.0,0.0,30.5,30.5,30.5,0.0,0.0
2018-05-27,30.71,30.71,30.71,0.0,0.0,31.07,31.07,31.07,0.0,0.0,30.67,30.67,30.67,0.0,0.0,30.88,30.88,30.88,0.0,0.0
2018-06-03,30.62,30.62,30.62,0.0,0.0,30.7,30.7,30.7,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.48,30.48,30.48,0.0,0.0
2018-06-10,30.68,30.68,30.68,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.6,30.6,30.6,0.0,0.0,30.65,30.65,30.65,0.0,0.0
2018-06-17,31.29,31.29,31.29,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.13,31.13,31.13,0.0,0.0,31.34,31.34,31.34,0.0,0.0
2018-06-24,32.1,32.1,32.1,0.0,0.0,32.11,32.11,32.11,0.0,0.0,31.56,31.56,31.56,0.0,0.0,32.01,32.01,32.01,0.0,0.0
2018-07-01,31.42,31.42,31.42,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.02,31.02,31.02,0.0,0.0,31.05,31.05,31.05,0.0,0.0
2018-07-08,31.09,31.09,31.09,0.0,0.0,31.09,31.09,31.09,0.0,0.0,30.99,30.99,30.99,0.0,0.0,30.99,30.99,30.99,0.0,0.0
2018-07-15,30.96,30.96,30.96,0.0,0.0,30.96,30.96,30.96,0.0,0.0,30.7,30.7,30.7,0.0,0.0,30.7,30.7,30.7,0.0,0.0
2018-07-22,30.07,30.07,30.07,0.0,0.0,30.36,30.36,30.36,0.0,0.0,30.04,30.04,30.04,0.0,0.0,30.26,30.26,30.26,0.0,0.0
2018-07-29,30.88,30.88,30.88,0.0,0.0,31.16,31.16,31.16,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.82,30.82,30.82,0.0,0.0
