Date,PowerShares DWA Consumer Cyclicals Momentum Portfo_Open_average,PowerShares DWA Consumer Cyclicals Momentum Portfo_Open_max,PowerShares DWA Consumer Cyclicals Momentum Portfo_Open_min,PowerShares DWA Consumer Cyclicals Momentum Portfo_Open_volatility,PowerShares DWA Consumer Cyclicals Momentum Portfo_Open_change,PowerShares DWA Consumer Cyclicals Momentum Portfo_High_average,PowerShares DWA Consumer Cyclicals Momentum Portfo_High_max,PowerShares DWA Consumer Cyclicals Momentum Portfo_High_min,PowerShares DWA Consumer Cyclicals Momentum Portfo_High_volatility,PowerShares DWA Consumer Cyclicals Momentum Portfo_High_change,PowerShares DWA Consumer Cyclicals Momentum Portfo_Low_average,PowerShares DWA Consumer Cyclicals Momentum Portfo_Low_max,PowerShares DWA Consumer Cyclicals Momentum Portfo_Low_min,PowerShares DWA Consumer Cyclicals Momentum Portfo_Low_volatility,PowerShares DWA Consumer Cyclicals Momentum Portfo_Low_change,PowerShares DWA Consumer Cyclicals Momentum Portfo_Close_average,PowerShares DWA Consumer Cyclicals Momentum Portfo_Close_max,PowerShares DWA Consumer Cyclicals Momentum Portfo_Close_min,PowerShares DWA Consumer Cyclicals Momentum Portfo_Close_volatility,PowerShares DWA Consumer Cyclicals Momentum Portfo_Close_change
2018-01-14,53.87,53.87,53.87,0.0,0.0,53.87,53.87,53.87,0.0,0.0,53.87,53.87,53.87,0.0,0.0,53.87,53.87,53.87,0.0,0.0
2018-01-21,53.45,53.45,53.45,0.0,0.0,53.46,53.46,53.46,0.0,0.0,53.03,53.03,53.03,0.0,0.0,53.03,53.03,53.03,0.0,0.0
2018-01-28,50.12,50.12,50.12,0.0,0.0,50.65,50.65,50.65,0.0,0.0,48.86,48.86,48.86,0.0,0.0,48.86,48.86,48.86,0.0,0.0
2018-02-04,49.15,49.15,49.15,0.0,0.0,49.6,49.6,49.6,0.0,0.0,48.78,48.78,48.78,0.0,0.0,49.6,49.6,49.6,0.0,0.0
2018-02-11,51.25,51.25,51.25,0.0,0.0,51.25,51.25,51.25,0.0,0.0,50.87,50.87,50.87,0.0,0.0,50.87,50.87,50.87,0.0,0.0
2018-02-18,51.22,51.22,51.22,0.0,0.0,51.55,51.55,51.55,0.0,0.0,51.22,51.22,51.22,0.0,0.0,51.54,51.54,51.54,0.0,0.0
2018-02-25,49.9,49.9,49.9,0.0,0.0,50.06,50.06,50.06,0.0,0.0,49.9,49.9,49.9,0.0,0.0,50.06,50.06,50.06,0.0,0.0
2018-03-04,51.69,51.69,51.69,0.0,0.0,51.69,51.69,51.69,0.0,0.0,51.57,51.57,51.57,0.0,0.0,51.65,51.65,51.65,0.0,0.0
2018-03-11,50.87,50.87,50.87,0.0,0.0,50.87,50.87,50.87,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.55,50.55,50.55,0.0,0.0
2018-03-18,49.22,49.22,49.22,0.0,0.0,49.54,49.54,49.54,0.0,0.0,48.8,48.8,48.8,0.0,0.0,49.54,49.54,49.54,0.0,0.0
2018-03-25,48.89,48.89,48.89,0.0,0.0,48.89,48.89,48.89,0.0,0.0,47.46,47.46,47.46,0.0,0.0,47.48,47.48,47.48,0.0,0.0
