Date,iShares MSCI Emerging Markets Small-CapEtf_Open_average,iShares MSCI Emerging Markets Small-CapEtf_Open_max,iShares MSCI Emerging Markets Small-CapEtf_Open_min,iShares MSCI Emerging Markets Small-CapEtf_Open_volatility,iShares MSCI Emerging Markets Small-CapEtf_Open_change,iShares MSCI Emerging Markets Small-CapEtf_High_average,iShares MSCI Emerging Markets Small-CapEtf_High_max,iShares MSCI Emerging Markets Small-CapEtf_High_min,iShares MSCI Emerging Markets Small-CapEtf_High_volatility,iShares MSCI Emerging Markets Small-CapEtf_High_change,iShares MSCI Emerging Markets Small-CapEtf_Low_average,iShares MSCI Emerging Markets Small-CapEtf_Low_max,iShares MSCI Emerging Markets Small-CapEtf_Low_min,iShares MSCI Emerging Markets Small-CapEtf_Low_volatility,iShares MSCI Emerging Markets Small-CapEtf_Low_change,iShares MSCI Emerging Markets Small-CapEtf_Close_average,iShares MSCI Emerging Markets Small-CapEtf_Close_max,iShares MSCI Emerging Markets Small-CapEtf_Close_min,iShares MSCI Emerging Markets Small-CapEtf_Close_volatility,iShares MSCI Emerging Markets Small-CapEtf_Close_change
2018-01-14,55.77,55.77,55.77,0.0,0.0,55.94,55.94,55.94,0.0,0.0,55.6,55.6,55.6,0.0,0.0,55.77,55.77,55.77,0.0,0.0
2018-01-21,56.98,56.98,56.98,0.0,0.0,57.36,57.36,57.36,0.0,0.0,56.97,56.97,56.97,0.0,0.0,57.26,57.26,57.26,0.0,0.0
2018-01-28,55.23,55.23,55.23,0.0,0.0,55.23,55.23,55.23,0.0,0.0,54.13,54.13,54.13,0.0,0.0,54.38,54.38,54.38,0.0,0.0
2018-02-04,51.7,51.7,51.7,0.0,0.0,52.02,52.02,52.02,0.0,0.0,50.52,50.52,50.52,0.0,0.0,51.72,51.72,51.72,0.0,0.0
2018-02-11,54.03,54.03,54.03,0.0,0.0,54.58,54.58,54.58,0.0,0.0,54.03,54.03,54.03,0.0,0.0,54.27,54.27,54.27,0.0,0.0
2018-02-18,54.14,54.14,54.14,0.0,0.0,54.38,54.38,54.38,0.0,0.0,54.03,54.03,54.03,0.0,0.0,54.37,54.37,54.37,0.0,0.0
2018-02-25,52.67,52.67,52.67,0.0,0.0,53.89,53.89,53.89,0.0,0.0,52.67,52.67,52.67,0.0,0.0,53.83,53.83,53.83,0.0,0.0
2018-03-04,53.73,53.73,53.73,0.0,0.0,54.26,54.26,54.26,0.0,0.0,53.73,53.73,53.73,0.0,0.0,54.23,54.23,54.23,0.0,0.0
2018-03-11,53.62,53.62,53.62,0.0,0.0,53.98,53.98,53.98,0.0,0.0,53.62,53.62,53.62,0.0,0.0,53.8,53.8,53.8,0.0,0.0
2018-03-18,52.42,52.42,52.42,0.0,0.0,52.42,52.42,52.42,0.0,0.0,51.34,51.34,51.34,0.0,0.0,51.5,51.5,51.5,0.0,0.0
2018-03-25,52.74,52.74,52.74,0.0,0.0,53.53,53.53,53.53,0.0,0.0,52.74,52.74,52.74,0.0,0.0,53.35,53.35,53.35,0.0,0.0
2018-04-01,53.27,53.27,53.27,0.0,0.0,53.54,53.54,53.54,0.0,0.0,52.8,52.8,52.8,0.0,0.0,52.95,52.95,52.95,0.0,0.0
2018-04-08,53.83,53.83,53.83,0.0,0.0,53.87,53.87,53.87,0.0,0.0,53.46,53.46,53.46,0.0,0.0,53.58,53.58,53.58,0.0,0.0
2018-04-15,53.7,53.7,53.7,0.0,0.0,53.7,53.7,53.7,0.0,0.0,53.14,53.14,53.14,0.0,0.0,53.24,53.24,53.24,0.0,0.0
2018-04-22,52.67,52.67,52.67,0.0,0.0,52.8,52.8,52.8,0.0,0.0,52.48,52.48,52.48,0.0,0.0,52.8,52.8,52.8,0.0,0.0
2018-04-29,51.61,51.61,51.61,0.0,0.0,52.26,52.26,52.26,0.0,0.0,51.61,51.61,51.61,0.0,0.0,52.26,52.26,52.26,0.0,0.0
2018-05-06,52.65,52.65,52.65,0.0,0.0,52.65,52.65,52.65,0.0,0.0,52.19,52.19,52.19,0.0,0.0,52.39,52.39,52.39,0.0,0.0
2018-05-13,51.65,51.65,51.65,0.0,0.0,51.69,51.69,51.69,0.0,0.0,51.22,51.22,51.22,0.0,0.0,51.69,51.69,51.69,0.0,0.0
2018-05-20,51.77,51.77,51.77,0.0,0.0,52.0,52.0,52.0,0.0,0.0,51.77,51.77,51.77,0.0,0.0,51.99,51.99,51.99,0.0,0.0
2018-05-27,52.12,52.12,52.12,0.0,0.0,52.75,52.75,52.75,0.0,0.0,51.86,51.86,51.86,0.0,0.0,52.75,52.75,52.75,0.0,0.0
2018-06-03,51.68,51.68,51.68,0.0,0.0,51.74,51.74,51.74,0.0,0.0,51.3,51.3,51.3,0.0,0.0,51.73,51.73,51.73,0.0,0.0
2018-06-10,50.82,50.82,50.82,0.0,0.0,50.82,50.82,50.82,0.0,0.0,50.34,50.34,50.34,0.0,0.0,50.66,50.66,50.66,0.0,0.0
2018-06-17,48.96,48.96,48.96,0.0,0.0,48.96,48.96,48.96,0.0,0.0,48.59,48.59,48.59,0.0,0.0,48.59,48.59,48.59,0.0,0.0
2018-06-24,47.5,47.5,47.5,0.0,0.0,47.85,47.85,47.85,0.0,0.0,47.5,47.5,47.5,0.0,0.0,47.74,47.74,47.74,0.0,0.0
2018-07-01,47.01,47.01,47.01,0.0,0.0,47.66,47.66,47.66,0.0,0.0,47.01,47.01,47.01,0.0,0.0,47.58,47.58,47.58,0.0,0.0
2018-07-08,48.14,48.14,48.14,0.0,0.0,48.23,48.23,48.23,0.0,0.0,47.87,47.87,47.87,0.0,0.0,48.1,48.1,48.1,0.0,0.0
