Date,PBH_Open_average,PBH_Open_max,PBH_Open_min,PBH_Open_volatility,PBH_Open_change,PBH_High_average,PBH_High_max,PBH_High_min,PBH_High_volatility,PBH_High_change,PBH_Low_average,PBH_Low_max,PBH_Low_min,PBH_Low_volatility,PBH_Low_change,PBH_Close_average,PBH_Close_max,PBH_Close_min,PBH_Close_volatility,PBH_Close_change,PBH_Volume_average,PBH_Volume_max,PBH_Volume_min,PBH_Volume_volatility,PBH_Volume_change
2018-01-14,45.082499999999996,45.21,44.97,0.240000000000002,0.030000000000001137,45.402499999999996,45.62,45.25,0.36999999999999744,0.36999999999999744,44.894999999999996,45.0,44.78,0.21999999999999886,0.0799999999999983,45.225,45.58,44.94,0.6400000000000006,0.6400000000000006,465784,527745,386924,140821,21294
2018-01-21,45.758,46.3,45.42,0.8799999999999955,0.0,46.024,46.44,45.62,0.8200000000000003,0.09000000000000341,45.148,45.82,44.47,1.3500000000000014,-0.5500000000000043,45.546,46.03,44.87,1.1600000000000037,-0.6300000000000026,484006,675510,390518,284992,69935
2018-01-28,42.268,44.76,36.95,7.809999999999995,-7.809999999999995,42.634,45.05,37.18,7.869999999999997,-7.869999999999997,40.308,44.43,35.67,8.759999999999998,-8.759999999999998,40.568,44.62,35.83,8.79,-8.79,1610569,2936313,332445,2603868,1606226
2018-02-04,36.186,37.36,35.5,1.8599999999999994,0.28999999999999915,37.202,39.42,35.89,3.530000000000001,-0.46000000000000085,34.998,36.68,33.06,3.6199999999999974,-1.9699999999999989,35.762,37.28,33.76,3.520000000000003,-1.7700000000000031,1741613,2196483,1387364,809119,453809
2018-02-11,34.002,35.08,32.57,2.509999999999998,1.0799999999999983,34.594,35.29,34.02,1.269999999999996,1.1199999999999974,33.564,34.82,32.46,2.3599999999999994,1.3400000000000034,34.246,35.21,32.94,2.270000000000003,1.3599999999999994,881016,1109444,601769,507675,-248191
2018-02-18,34.925,35.23,34.45,0.779999999999994,0.02999999999999403,35.3,35.59,35.08,0.5100000000000051,-0.20000000000000284,34.4925,34.7,34.33,0.37000000000000455,-0.10999999999999943,34.845,35.15,34.36,0.7899999999999991,0.28000000000000114,782284,1085827,525025,560802,-560802
2018-02-25,34.736,36.18,33.4,2.780000000000001,-1.980000000000004,35.64,36.59,34.39,2.200000000000003,-1.1099999999999994,34.094,35.23,33.17,2.059999999999995,-2.059999999999995,34.812,36.25,33.73,2.520000000000003,-0.8299999999999983,761512,996439,534101,462338,241823
2018-03-04,35.99,36.57,35.41,1.1600000000000037,1.1600000000000037,36.522,37.33,36.06,1.269999999999996,1.269999999999996,35.538,36.12,34.95,1.1699999999999946,1.1699999999999946,36.128,36.5,35.77,0.7299999999999969,0.7299999999999969,654564,956072,422975,533097,-182557
2018-03-11,36.53,37.12,36.24,0.8799999999999955,-0.8799999999999955,36.91,37.26,36.65,0.6099999999999994,0.14000000000000057,35.944,36.14,35.75,0.39000000000000057,-0.28999999999999915,36.362,36.89,36.0,0.8900000000000006,0.5799999999999983,475355,798536,327691,470845,366026
2018-03-18,34.65,36.76,33.66,3.1000000000000014,-3.059999999999995,34.972,36.76,34.11,2.6499999999999986,-2.530000000000001,33.774,35.24,33.15,2.0900000000000034,-2.0900000000000034,33.946,35.3,33.17,2.1299999999999955,-2.1299999999999955,954662,1150472,724940,425532,127489
2018-03-25,33.870000000000005,34.6,33.58,1.0200000000000031,1.0200000000000031,34.3175,34.78,33.82,0.9600000000000009,0.9600000000000009,33.245000000000005,33.68,32.83,0.8500000000000014,0.8500000000000014,33.825,34.4,33.58,0.8200000000000003,0.11999999999999744,527246,647998,306503,341495,-33793
