Date,First Trust Germany AlphaDEX_Open_average,First Trust Germany AlphaDEX_Open_max,First Trust Germany AlphaDEX_Open_min,First Trust Germany AlphaDEX_Open_volatility,First Trust Germany AlphaDEX_Open_change,First Trust Germany AlphaDEX_High_average,First Trust Germany AlphaDEX_High_max,First Trust Germany AlphaDEX_High_min,First Trust Germany AlphaDEX_High_volatility,First Trust Germany AlphaDEX_High_change,First Trust Germany AlphaDEX_Low_average,First Trust Germany AlphaDEX_Low_max,First Trust Germany AlphaDEX_Low_min,First Trust Germany AlphaDEX_Low_volatility,First Trust Germany AlphaDEX_Low_change,First Trust Germany AlphaDEX_Close_average,First Trust Germany AlphaDEX_Close_max,First Trust Germany AlphaDEX_Close_min,First Trust Germany AlphaDEX_Close_volatility,First Trust Germany AlphaDEX_Close_change
2018-01-14,54.94,54.94,54.94,0.0,0.0,55.19,55.19,55.19,0.0,0.0,54.87,54.87,54.87,0.0,0.0,55.19,55.19,55.19,0.0,0.0
2018-01-21,54.56,54.56,54.56,0.0,0.0,54.56,54.56,54.56,0.0,0.0,54.22,54.22,54.22,0.0,0.0,54.33,54.33,54.33,0.0,0.0
2018-01-28,51.66,51.66,51.66,0.0,0.0,52.02,52.02,52.02,0.0,0.0,49.98,49.98,49.98,0.0,0.0,50.05,50.05,50.05,0.0,0.0
2018-02-04,49.97,49.97,49.97,0.0,0.0,51.18,51.18,51.18,0.0,0.0,49.97,49.97,49.97,0.0,0.0,50.44,50.44,50.44,0.0,0.0
2018-02-11,51.96,51.96,51.96,0.0,0.0,52.37,52.37,52.37,0.0,0.0,51.92,51.92,51.92,0.0,0.0,52.09,52.09,52.09,0.0,0.0
2018-02-18,51.38,51.38,51.38,0.0,0.0,51.54,51.54,51.54,0.0,0.0,51.11,51.11,51.11,0.0,0.0,51.38,51.38,51.38,0.0,0.0
2018-02-25,48.9,48.9,48.9,0.0,0.0,49.64,49.64,49.64,0.0,0.0,48.9,48.9,48.9,0.0,0.0,49.61,49.61,49.61,0.0,0.0
2018-03-04,50.54,50.54,50.54,0.0,0.0,50.71,50.71,50.71,0.0,0.0,50.53,50.53,50.53,0.0,0.0,50.66,50.66,50.66,0.0,0.0
2018-03-11,50.13,50.13,50.13,0.0,0.0,50.13,50.13,50.13,0.0,0.0,49.95,49.95,49.95,0.0,0.0,50.09,50.09,50.09,0.0,0.0
2018-03-18,49.67,49.67,49.67,0.0,0.0,50.02,50.02,50.02,0.0,0.0,49.34,49.34,49.34,0.0,0.0,50.02,50.02,50.02,0.0,0.0
2018-03-25,49.64,49.64,49.64,0.0,0.0,49.64,49.64,49.64,0.0,0.0,48.83,48.83,48.83,0.0,0.0,49.1,49.1,49.1,0.0,0.0
2018-04-01,50.11,50.11,50.11,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.04,50.04,50.04,0.0,0.0,50.08,50.08,50.08,0.0,0.0
2018-04-08,51.18,51.18,51.18,0.0,0.0,51.18,51.18,51.18,0.0,0.0,51.06,51.06,51.06,0.0,0.0,51.06,51.06,51.06,0.0,0.0
2018-04-15,51.29,51.29,51.29,0.0,0.0,51.31,51.31,51.31,0.0,0.0,51.07,51.07,51.07,0.0,0.0,51.31,51.31,51.31,0.0,0.0
2018-04-22,50.77,50.77,50.77,0.0,0.0,50.83,50.83,50.83,0.0,0.0,50.76,50.76,50.76,0.0,0.0,50.77,50.77,50.77,0.0,0.0
2018-04-29,51.81,51.81,51.81,0.0,0.0,51.87,51.87,51.87,0.0,0.0,51.68,51.68,51.68,0.0,0.0,51.68,51.68,51.68,0.0,0.0
2018-05-06,52.46,52.46,52.46,0.0,0.0,52.46,52.46,52.46,0.0,0.0,51.99,51.99,51.99,0.0,0.0,52.01,52.01,52.01,0.0,0.0
2018-05-13,51.86,51.86,51.86,0.0,0.0,51.86,51.86,51.86,0.0,0.0,51.58,51.58,51.58,0.0,0.0,51.6,51.6,51.6,0.0,0.0
2018-05-20,50.16,50.16,50.16,0.0,0.0,50.4,50.4,50.4,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.4,50.4,50.4,0.0,0.0
2018-05-27,50.24,50.24,50.24,0.0,0.0,50.46,50.46,50.46,0.0,0.0,50.07,50.07,50.07,0.0,0.0,50.3,50.3,50.3,0.0,0.0
2018-06-03,50.3,50.3,50.3,0.0,0.0,50.52,50.52,50.52,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.44,50.44,50.44,0.0,0.0
2018-06-10,49.33,49.33,49.33,0.0,0.0,49.61,49.61,49.61,0.0,0.0,49.33,49.33,49.33,0.0,0.0,49.61,49.61,49.61,0.0,0.0
2018-06-17,47.0,47.0,47.0,0.0,0.0,47.0,47.0,47.0,0.0,0.0,46.68,46.68,46.68,0.0,0.0,46.79,46.79,46.79,0.0,0.0
2018-06-24,45.73,45.73,45.73,0.0,0.0,45.95,45.95,45.95,0.0,0.0,45.73,45.73,45.73,0.0,0.0,45.95,45.95,45.95,0.0,0.0
2018-07-01,47.38,47.38,47.38,0.0,0.0,47.38,47.38,47.38,0.0,0.0,47.25,47.25,47.25,0.0,0.0,47.32,47.32,47.32,0.0,0.0
2018-07-08,47.45,47.45,47.45,0.0,0.0,47.47,47.47,47.47,0.0,0.0,47.38,47.38,47.38,0.0,0.0,47.47,47.47,47.47,0.0,0.0
2018-07-15,47.87,47.87,47.87,0.0,0.0,48.08,48.08,48.08,0.0,0.0,47.87,47.87,47.87,0.0,0.0,48.08,48.08,48.08,0.0,0.0
2018-07-22,48.95,48.95,48.95,0.0,0.0,48.95,48.95,48.95,0.0,0.0,48.82,48.82,48.82,0.0,0.0,48.88,48.88,48.88,0.0,0.0
2018-07-29,47.87,47.87,47.87,0.0,0.0,48.04,48.04,48.04,0.0,0.0,47.87,47.87,47.87,0.0,0.0,47.96,47.96,47.96,0.0,0.0
2018-08-05,46.99,46.99,46.99,0.0,0.0,46.99,46.99,46.99,0.0,0.0,46.81,46.81,46.81,0.0,0.0,46.88,46.88,46.88,0.0,0.0
2018-08-12,47.27,47.27,47.27,0.0,0.0,47.39,47.39,47.39,0.0,0.0,47.27,47.27,47.27,0.0,0.0,47.39,47.39,47.39,0.0,0.0
2018-08-19,49.09,49.09,49.09,0.0,0.0,49.47,49.47,49.47,0.0,0.0,49.09,49.09,49.09,0.0,0.0,49.47,49.47,49.47,0.0,0.0
2018-08-26,48.79,48.79,48.79,0.0,0.0,48.86,48.86,48.86,0.0,0.0,48.53,48.53,48.53,0.0,0.0,48.55,48.55,48.55,0.0,0.0
2018-09-02,47.13,47.13,47.13,0.0,0.0,47.2,47.2,47.2,0.0,0.0,47.09,47.09,47.09,0.0,0.0,47.14,47.14,47.14,0.0,0.0
2018-09-09,47.76,47.76,47.76,0.0,0.0,47.76,47.76,47.76,0.0,0.0,47.57,47.57,47.57,0.0,0.0,47.57,47.57,47.57,0.0,0.0
2018-09-16,47.46,47.46,47.46,0.0,0.0,47.46,47.46,47.46,0.0,0.0,47.46,47.46,47.46,0.0,0.0,47.46,47.46,47.46,0.0,0.0
2018-09-23,46.87,46.87,46.87,0.0,0.0,46.97,46.97,46.97,0.0,0.0,46.44,46.44,46.44,0.0,0.0,46.5,46.5,46.5,0.0,0.0
2018-09-30,43.4,43.4,43.4,0.0,0.0,43.69,43.69,43.69,0.0,0.0,43.4,43.4,43.4,0.0,0.0,43.53,43.53,43.53,0.0,0.0
2018-10-07,42.15,42.15,42.15,0.0,0.0,42.32,42.32,42.32,0.0,0.0,42.15,42.15,42.15,0.0,0.0,42.18,42.18,42.18,0.0,0.0
2018-10-14,42.53,42.53,42.53,0.0,0.0,42.53,42.53,42.53,0.0,0.0,42.14,42.14,42.14,0.0,0.0,42.32,42.32,42.32,0.0,0.0
2018-10-21,41.25,41.25,41.25,0.0,0.0,41.25,41.25,41.25,0.0,0.0,40.44,40.44,40.44,0.0,0.0,40.44,40.44,40.44,0.0,0.0
2018-10-28,42.29,42.29,42.29,0.0,0.0,42.29,42.29,42.29,0.0,0.0,42.03,42.03,42.03,0.0,0.0,42.12,42.12,42.12,0.0,0.0
2018-11-04,41.31,41.31,41.31,0.0,0.0,41.35,41.35,41.35,0.0,0.0,40.82,40.82,40.82,0.0,0.0,40.82,40.82,40.82,0.0,0.0
2018-11-11,40.95,40.95,40.95,0.0,0.0,41.08,41.08,41.08,0.0,0.0,40.72,40.72,40.72,0.0,0.0,40.72,40.72,40.72,0.0,0.0
2018-11-18,40.67,40.67,40.67,0.0,0.0,40.67,40.67,40.67,0.0,0.0,40.41,40.41,40.41,0.0,0.0,40.49,40.49,40.49,0.0,0.0
2018-11-25,41.15,41.15,41.15,0.0,0.0,41.15,41.15,41.15,0.0,0.0,40.99,40.99,40.99,0.0,0.0,41.05,41.05,41.05,0.0,0.0
2018-12-02,38.39,38.39,38.39,0.0,0.0,38.4,38.4,38.4,0.0,0.0,37.85,37.85,37.85,0.0,0.0,38.11,38.11,38.11,0.0,0.0
2018-12-09,37.82,37.82,37.82,0.0,0.0,38.13,38.13,38.13,0.0,0.0,37.79,37.79,37.79,0.0,0.0,37.79,37.79,37.79,0.0,0.0
2018-12-16,37.0,37.0,37.0,0.0,0.0,37.0,37.0,37.0,0.0,0.0,36.33,36.33,36.33,0.0,0.0,36.33,36.33,36.33,0.0,0.0
2018-12-23,37.86,37.86,37.86,0.0,0.0,37.86,37.86,37.86,0.0,0.0,37.64,37.64,37.64,0.0,0.0,37.68,37.68,37.68,0.0,0.0
