Date,SPDR S&P Emerging Markets_Open_average,SPDR S&P Emerging Markets_Open_max,SPDR S&P Emerging Markets_Open_min,SPDR S&P Emerging Markets_Open_volatility,SPDR S&P Emerging Markets_Open_change,SPDR S&P Emerging Markets_High_average,SPDR S&P Emerging Markets_High_max,SPDR S&P Emerging Markets_High_min,SPDR S&P Emerging Markets_High_volatility,SPDR S&P Emerging Markets_High_change,SPDR S&P Emerging Markets_Low_average,SPDR S&P Emerging Markets_Low_max,SPDR S&P Emerging Markets_Low_min,SPDR S&P Emerging Markets_Low_volatility,SPDR S&P Emerging Markets_Low_change,SPDR S&P Emerging Markets_Close_average,SPDR S&P Emerging Markets_Close_max,SPDR S&P Emerging Markets_Close_min,SPDR S&P Emerging Markets_Close_volatility,SPDR S&P Emerging Markets_Close_change
2018-01-14,41.18,41.18,41.18,0.0,0.0,41.43,41.43,41.43,0.0,0.0,41.1,41.1,41.1,0.0,0.0,41.42,41.42,41.42,0.0,0.0
2018-01-21,41.91,41.91,41.91,0.0,0.0,41.94,41.94,41.94,0.0,0.0,41.73,41.73,41.73,0.0,0.0,41.86,41.86,41.86,0.0,0.0
2018-01-28,40.28,40.28,40.28,0.0,0.0,40.63,40.63,40.63,0.0,0.0,39.05,39.05,39.05,0.0,0.0,39.11,39.11,39.11,0.0,0.0
2018-02-04,38.67,38.67,38.67,0.0,0.0,39.03,39.03,39.03,0.0,0.0,38.47,38.47,38.47,0.0,0.0,38.8,38.8,38.8,0.0,0.0
2018-02-11,40.29,40.29,40.29,0.0,0.0,40.75,40.75,40.75,0.0,0.0,40.29,40.29,40.29,0.0,0.0,40.46,40.46,40.46,0.0,0.0
2018-02-18,40.95,40.95,40.95,0.0,0.0,41.19,41.19,41.19,0.0,0.0,40.73,40.73,40.73,0.0,0.0,41.18,41.18,41.18,0.0,0.0
2018-02-25,39.27,39.27,39.27,0.0,0.0,39.82,39.82,39.82,0.0,0.0,39.23,39.23,39.23,0.0,0.0,39.76,39.76,39.76,0.0,0.0
2018-03-04,40.65,40.65,40.65,0.0,0.0,40.8,40.8,40.8,0.0,0.0,40.5,40.5,40.5,0.0,0.0,40.72,40.72,40.72,0.0,0.0
2018-03-11,39.94,39.94,39.94,0.0,0.0,39.96,39.96,39.96,0.0,0.0,39.5,39.5,39.5,0.0,0.0,39.69,39.69,39.69,0.0,0.0
2018-03-18,39.28,39.28,39.28,0.0,0.0,39.51,39.51,39.51,0.0,0.0,38.84,38.84,38.84,0.0,0.0,39.49,39.49,39.49,0.0,0.0
2018-03-25,39.07,39.07,39.07,0.0,0.0,39.19,39.19,39.19,0.0,0.0,38.3,38.3,38.3,0.0,0.0,38.63,38.63,38.63,0.0,0.0
2018-04-01,38.67,38.67,38.67,0.0,0.0,38.83,38.83,38.83,0.0,0.0,38.44,38.44,38.44,0.0,0.0,38.44,38.44,38.44,0.0,0.0
2018-04-08,38.71,38.71,38.71,0.0,0.0,38.81,38.81,38.81,0.0,0.0,38.61,38.61,38.61,0.0,0.0,38.8,38.8,38.8,0.0,0.0
2018-04-15,38.43,38.43,38.43,0.0,0.0,38.51,38.51,38.51,0.0,0.0,38.14,38.14,38.14,0.0,0.0,38.21,38.21,38.21,0.0,0.0
2018-04-22,38.48,38.48,38.48,0.0,0.0,38.5,38.5,38.5,0.0,0.0,38.08,38.08,38.08,0.0,0.0,38.08,38.08,38.08,0.0,0.0
2018-04-29,37.47,37.47,37.47,0.0,0.0,37.65,37.65,37.65,0.0,0.0,37.42,37.42,37.42,0.0,0.0,37.53,37.53,37.53,0.0,0.0
2018-05-06,38.61,38.61,38.61,0.0,0.0,38.73,38.73,38.73,0.0,0.0,38.46,38.46,38.46,0.0,0.0,38.48,38.48,38.48,0.0,0.0
2018-05-13,37.66,37.66,37.66,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.46,37.46,37.46,0.0,0.0,37.64,37.64,37.64,0.0,0.0
2018-05-20,37.44,37.44,37.44,0.0,0.0,37.59,37.59,37.59,0.0,0.0,37.35,37.35,37.35,0.0,0.0,37.49,37.49,37.49,0.0,0.0
2018-05-27,37.82,37.82,37.82,0.0,0.0,38.03,38.03,38.03,0.0,0.0,37.82,37.82,37.82,0.0,0.0,37.99,37.99,37.99,0.0,0.0
2018-06-03,37.68,37.68,37.68,0.0,0.0,37.75,37.75,37.75,0.0,0.0,37.57,37.57,37.57,0.0,0.0,37.57,37.57,37.57,0.0,0.0
2018-06-10,36.17,36.17,36.17,0.0,0.0,36.18,36.18,36.18,0.0,0.0,35.95,35.95,35.95,0.0,0.0,36.13,36.13,36.13,0.0,0.0
2018-06-17,35.43,35.43,35.43,0.0,0.0,35.43,35.43,35.43,0.0,0.0,34.95,34.95,34.95,0.0,0.0,35.34,35.34,35.34,0.0,0.0
2018-06-24,34.79,34.79,34.79,0.0,0.0,34.91,34.91,34.91,0.0,0.0,34.65,34.65,34.65,0.0,0.0,34.9,34.9,34.9,0.0,0.0
2018-07-01,35.82,35.82,35.82,0.0,0.0,35.99,35.99,35.99,0.0,0.0,35.73,35.73,35.73,0.0,0.0,35.99,35.99,35.99,0.0,0.0
2018-07-08,35.63,35.63,35.63,0.0,0.0,35.66,35.66,35.66,0.0,0.0,35.48,35.48,35.48,0.0,0.0,35.57,35.57,35.57,0.0,0.0
2018-07-15,35.75,35.75,35.75,0.0,0.0,35.83,35.83,35.83,0.0,0.0,35.63,35.63,35.63,0.0,0.0,35.7,35.7,35.7,0.0,0.0
2018-07-22,36.72,36.72,36.72,0.0,0.0,36.72,36.72,36.72,0.0,0.0,36.45,36.45,36.45,0.0,0.0,36.52,36.52,36.52,0.0,0.0
2018-07-29,35.96,35.96,35.96,0.0,0.0,36.04,36.04,36.04,0.0,0.0,35.86,35.86,35.86,0.0,0.0,35.97,35.97,35.97,0.0,0.0
2018-08-05,35.15,35.15,35.15,0.0,0.0,35.22,35.22,35.22,0.0,0.0,34.86,34.86,34.86,0.0,0.0,35.01,35.01,35.01,0.0,0.0
2018-08-12,34.71,34.71,34.71,0.0,0.0,34.82,34.82,34.82,0.0,0.0,34.6,34.6,34.6,0.0,0.0,34.77,34.77,34.77,0.0,0.0
2018-08-19,35.68,35.68,35.68,0.0,0.0,36.0,36.0,36.0,0.0,0.0,35.68,35.68,35.68,0.0,0.0,35.9,35.9,35.9,0.0,0.0
2018-08-26,34.99,34.99,34.99,0.0,0.0,35.3,35.3,35.3,0.0,0.0,34.95,34.95,34.95,0.0,0.0,35.22,35.22,35.22,0.0,0.0
2018-09-02,33.81,33.81,33.81,0.0,0.0,33.81,33.81,33.81,0.0,0.0,33.49,33.49,33.49,0.0,0.0,33.54,33.54,33.54,0.0,0.0
2018-09-09,33.9,33.9,33.9,0.0,0.0,34.02,34.02,34.02,0.0,0.0,33.87,33.87,33.87,0.0,0.0,33.9,33.9,33.9,0.0,0.0
2018-09-16,34.73,34.73,34.73,0.0,0.0,34.73,34.73,34.73,0.0,0.0,34.53,34.53,34.53,0.0,0.0,34.64,34.64,34.64,0.0,0.0
2018-09-23,34.94,34.94,34.94,0.0,0.0,34.97,34.97,34.97,0.0,0.0,34.72,34.72,34.72,0.0,0.0,34.83,34.83,34.83,0.0,0.0
2018-09-30,33.18,33.18,33.18,0.0,0.0,33.47,33.47,33.47,0.0,0.0,33.05,33.05,33.05,0.0,0.0,33.47,33.47,33.47,0.0,0.0
2018-10-07,32.74,32.74,32.74,0.0,0.0,32.89,32.89,32.89,0.0,0.0,32.6,32.6,32.6,0.0,0.0,32.67,32.67,32.67,0.0,0.0
2018-10-14,32.96,32.96,32.96,0.0,0.0,33.04,33.04,33.04,0.0,0.0,32.68,32.68,32.68,0.0,0.0,32.81,32.81,32.81,0.0,0.0
2018-10-21,32.05,32.05,32.05,0.0,0.0,32.1,32.1,32.1,0.0,0.0,30.94,30.94,30.94,0.0,0.0,31.29,31.29,31.29,0.0,0.0
2018-10-28,33.49,33.49,33.49,0.0,0.0,33.66,33.66,33.66,0.0,0.0,33.45,33.45,33.45,0.0,0.0,33.63,33.63,33.63,0.0,0.0
2018-11-04,32.6,32.6,32.6,0.0,0.0,32.62,32.62,32.62,0.0,0.0,32.2,32.2,32.2,0.0,0.0,32.26,32.26,32.26,0.0,0.0
2018-11-11,33.46,33.46,33.46,0.0,0.0,33.48,33.48,33.48,0.0,0.0,33.16,33.16,33.16,0.0,0.0,33.28,33.28,33.28,0.0,0.0
2018-11-18,33.13,33.13,33.13,0.0,0.0,33.23,33.23,33.23,0.0,0.0,32.95,32.95,32.95,0.0,0.0,33.09,33.09,33.09,0.0,0.0
2018-11-25,34.6,34.6,34.6,0.0,0.0,34.68,34.68,34.68,0.0,0.0,34.36,34.36,34.36,0.0,0.0,34.48,34.48,34.48,0.0,0.0
2018-12-02,32.69,32.69,32.69,0.0,0.0,32.75,32.75,32.75,0.0,0.0,32.19,32.19,32.19,0.0,0.0,32.61,32.61,32.61,0.0,0.0
2018-12-09,33.01,33.01,33.01,0.0,0.0,33.11,33.11,33.11,0.0,0.0,32.53,32.53,32.53,0.0,0.0,32.62,32.62,32.62,0.0,0.0
