Date,MTRNStock_Open_average,MTRNStock_Open_max,MTRNStock_Open_min,MTRNStock_Open_volatility,MTRNStock_Open_change,MTRNStock_High_average,MTRNStock_High_max,MTRNStock_High_min,MTRNStock_High_volatility,MTRNStock_High_change,MTRNStock_Low_average,MTRNStock_Low_max,MTRNStock_Low_min,MTRNStock_Low_volatility,MTRNStock_Low_change,MTRNStock_Close_average,MTRNStock_Close_max,MTRNStock_Close_min,MTRNStock_Close_volatility,MTRNStock_Close_change,MTRNStock_Volume_average,MTRNStock_Volume_max,MTRNStock_Volume_min,MTRNStock_Volume_volatility,MTRNStock_Volume_change
2018-01-14,52.8625,53.25,52.5,0.75,0.25,53.6075,53.92,53.41,0.5100000000000051,0.5100000000000051,52.35,52.75,52.0,0.75,0.75,53.1625,53.7,52.75,0.9500000000000028,0.9500000000000028,118887,185601,73711,111890,55888
2018-01-21,52.28,53.65,50.7,2.9499999999999957,-2.9499999999999957,52.43,53.65,50.73,2.9200000000000017,-2.9200000000000017,51.174,53.02,49.8,3.220000000000006,-3.220000000000006,51.52,53.4,50.35,3.049999999999997,-2.8999999999999986,120036,217706,54175,163531,69042
2018-01-28,50.13,50.6,49.4,1.2000000000000028,-1.2000000000000028,50.5,51.35,49.4,1.9500000000000028,-1.9500000000000028,49.37,50.25,48.4,1.8500000000000014,-1.8500000000000014,49.72,50.8,48.45,2.3499999999999943,-2.3499999999999943,120072,168708,79243,89465,89465
2018-02-04,47.6,48.3,45.95,2.3499999999999943,-2.1999999999999957,48.1,49.3,46.4,2.8999999999999986,-2.8999999999999986,46.44,47.75,44.95,2.799999999999997,-2.799999999999997,47.06,48.55,45.55,3.0,-1.9499999999999957,120458,142358,90575,51783,12790
2018-02-11,47.73,51.1,45.65,5.450000000000003,5.0,48.81,51.95,46.25,5.700000000000003,5.149999999999999,47.186,49.95,45.6,4.350000000000001,4.350000000000001,48.26,51.9,46.1,5.799999999999997,3.6500000000000057,121583,202640,64667,137973,53683
2018-02-18,51.0875,51.85,49.85,2.0,2.0,52.2875,52.9,51.3,1.6000000000000014,1.6000000000000014,50.7375,51.15,49.75,1.3999999999999986,1.3999999999999986,51.5,52.05,50.8,1.25,1.25,96869,133455,66120,67335,-45880
2018-02-25,51.38,52.55,49.9,2.6499999999999986,-2.3000000000000043,51.87,52.75,50.9,1.8500000000000014,-1.7000000000000028,50.53,51.65,49.2,2.4499999999999957,-2.4499999999999957,51.160000000000004,52.7,50.35,2.3500000000000014,-2.0,85717,99889,59772,40117,40117
2018-03-04,51.99,53.7,50.4,3.3000000000000043,2.8500000000000014,53.07,54.05,51.5,2.549999999999997,2.549999999999997,51.484,52.92,50.1,2.8200000000000003,2.8200000000000003,52.66,53.7,51.25,2.450000000000003,2.450000000000003,99105,139308,64531,74777,36700
2018-03-11,53.49,53.8,53.15,0.6499999999999986,-0.4000000000000057,54.53,55.35,53.7,1.6499999999999986,1.0500000000000043,52.99,53.3,52.45,0.8499999999999943,0.04999999999999716,53.45,54.2,53.0,1.2000000000000028,0.9500000000000028,175061,355413,106328,249085,238827
2018-03-18,53.22,54.25,52.1,2.1499999999999986,-2.0,53.764,54.4,52.7,1.6999999999999957,-1.6999999999999957,52.26,53.45,51.05,2.4000000000000057,-2.4000000000000057,52.69,54.25,51.15,3.1000000000000014,-3.1000000000000014,116266,171001,80356,90645,63761
