Date,Victory CEMP US 500 Volatility Weighted_Open_average,Victory CEMP US 500 Volatility Weighted_Open_max,Victory CEMP US 500 Volatility Weighted_Open_min,Victory CEMP US 500 Volatility Weighted_Open_volatility,Victory CEMP US 500 Volatility Weighted_Open_change,Victory CEMP US 500 Volatility Weighted_High_average,Victory CEMP US 500 Volatility Weighted_High_max,Victory CEMP US 500 Volatility Weighted_High_min,Victory CEMP US 500 Volatility Weighted_High_volatility,Victory CEMP US 500 Volatility Weighted_High_change,Victory CEMP US 500 Volatility Weighted_Low_average,Victory CEMP US 500 Volatility Weighted_Low_max,Victory CEMP US 500 Volatility Weighted_Low_min,Victory CEMP US 500 Volatility Weighted_Low_volatility,Victory CEMP US 500 Volatility Weighted_Low_change,Victory CEMP US 500 Volatility Weighted_Close_average,Victory CEMP US 500 Volatility Weighted_Close_max,Victory CEMP US 500 Volatility Weighted_Close_min,Victory CEMP US 500 Volatility Weighted_Close_volatility,Victory CEMP US 500 Volatility Weighted_Close_change
2018-01-14,51.14,51.14,51.14,0.0,0.0,51.34,51.34,51.34,0.0,0.0,51.05,51.05,51.05,0.0,0.0,51.31,51.31,51.31,0.0,0.0
2018-01-21,51.89,51.89,51.89,0.0,0.0,52.01,52.01,52.01,0.0,0.0,51.65,51.65,51.65,0.0,0.0,51.71,51.71,51.71,0.0,0.0
2018-01-28,49.93,49.93,49.93,0.0,0.0,50.13,50.13,50.13,0.0,0.0,48.21,48.21,48.21,0.0,0.0,48.21,48.21,48.21,0.0,0.0
2018-02-04,48.21,48.21,48.21,0.0,0.0,48.61,48.61,48.61,0.0,0.0,47.79,47.79,47.79,0.0,0.0,48.32,48.32,48.32,0.0,0.0
2018-02-11,49.68,49.68,49.68,0.0,0.0,50.11,50.11,50.11,0.0,0.0,49.62,49.62,49.62,0.0,0.0,49.82,49.82,49.82,0.0,0.0
2018-02-18,50.1,50.1,50.1,0.0,0.0,50.3,50.3,50.3,0.0,0.0,49.84,49.84,49.84,0.0,0.0,50.24,50.24,50.24,0.0,0.0
2018-02-25,48.86,48.86,48.86,0.0,0.0,49.65,49.65,49.65,0.0,0.0,48.48,48.48,48.48,0.0,0.0,49.52,49.52,49.52,0.0,0.0
2018-03-04,50.8,50.8,50.8,0.0,0.0,50.8,50.8,50.8,0.0,0.0,50.49,50.49,50.49,0.0,0.0,50.62,50.62,50.62,0.0,0.0
2018-03-11,50.12,50.12,50.12,0.0,0.0,50.12,50.12,50.12,0.0,0.0,49.51,49.51,49.51,0.0,0.0,49.76,49.76,49.76,0.0,0.0
2018-03-18,48.5,48.5,48.5,0.0,0.0,48.94,48.94,48.94,0.0,0.0,48.03,48.03,48.03,0.0,0.0,48.87,48.87,48.87,0.0,0.0
2018-03-25,48.84,48.84,48.84,0.0,0.0,48.84,48.84,48.84,0.0,0.0,47.41,47.41,47.41,0.0,0.0,47.85,47.85,47.85,0.0,0.0
2018-04-01,48.39,48.39,48.39,0.0,0.0,48.87,48.87,48.87,0.0,0.0,48.21,48.21,48.21,0.0,0.0,48.21,48.21,48.21,0.0,0.0
2018-04-08,49.18,49.18,49.18,0.0,0.0,49.42,49.42,49.42,0.0,0.0,49.01,49.01,49.01,0.0,0.0,49.33,49.33,49.33,0.0,0.0
2018-04-15,49.47,49.47,49.47,0.0,0.0,49.47,49.47,49.47,0.0,0.0,49.08,49.08,49.08,0.0,0.0,49.28,49.28,49.28,0.0,0.0
2018-04-22,49.28,49.28,49.28,0.0,0.0,49.28,49.28,49.28,0.0,0.0,48.6,48.6,48.6,0.0,0.0,48.6,48.6,48.6,0.0,0.0
