Date,First Trust NASDAQ Technology Dividend_Open_average,First Trust NASDAQ Technology Dividend_Open_max,First Trust NASDAQ Technology Dividend_Open_min,First Trust NASDAQ Technology Dividend_Open_volatility,First Trust NASDAQ Technology Dividend_Open_change,First Trust NASDAQ Technology Dividend_High_average,First Trust NASDAQ Technology Dividend_High_max,First Trust NASDAQ Technology Dividend_High_min,First Trust NASDAQ Technology Dividend_High_volatility,First Trust NASDAQ Technology Dividend_High_change,First Trust NASDAQ Technology Dividend_Low_average,First Trust NASDAQ Technology Dividend_Low_max,First Trust NASDAQ Technology Dividend_Low_min,First Trust NASDAQ Technology Dividend_Low_volatility,First Trust NASDAQ Technology Dividend_Low_change,First Trust NASDAQ Technology Dividend_Close_average,First Trust NASDAQ Technology Dividend_Close_max,First Trust NASDAQ Technology Dividend_Close_min,First Trust NASDAQ Technology Dividend_Close_volatility,First Trust NASDAQ Technology Dividend_Close_change
2018-06-03,37.03,37.03,37.03,0.0,0.0,37.23,37.23,37.23,0.0,0.0,37.03,37.03,37.03,0.0,0.0,37.14,37.14,37.14,0.0,0.0
2018-06-10,36.77,36.77,36.77,0.0,0.0,36.82,36.82,36.82,0.0,0.0,36.58,36.58,36.58,0.0,0.0,36.77,36.77,36.77,0.0,0.0
2018-06-17,35.84,35.84,35.84,0.0,0.0,35.84,35.84,35.84,0.0,0.0,35.18,35.18,35.18,0.0,0.0,35.46,35.46,35.46,0.0,0.0
2018-06-24,35.25,35.25,35.25,0.0,0.0,35.56,35.56,35.56,0.0,0.0,35.13,35.13,35.13,0.0,0.0,35.56,35.56,35.56,0.0,0.0
2018-07-01,36.5,36.5,36.5,0.0,0.0,36.62,36.62,36.62,0.0,0.0,36.37,36.37,36.37,0.0,0.0,36.6,36.6,36.6,0.0,0.0
2018-07-08,36.5,36.5,36.5,0.0,0.0,36.72,36.72,36.72,0.0,0.0,36.5,36.5,36.5,0.0,0.0,36.66,36.66,36.66,0.0,0.0
2018-07-15,36.55,36.55,36.55,0.0,0.0,36.78,36.78,36.78,0.0,0.0,36.45,36.45,36.45,0.0,0.0,36.76,36.76,36.76,0.0,0.0
2018-07-22,36.68,36.68,36.68,0.0,0.0,36.72,36.72,36.72,0.0,0.0,36.49,36.49,36.49,0.0,0.0,36.56,36.56,36.56,0.0,0.0
2018-07-29,37.15,37.15,37.15,0.0,0.0,37.32,37.32,37.32,0.0,0.0,37.13,37.13,37.13,0.0,0.0,37.26,37.26,37.26,0.0,0.0
2018-08-05,36.93,36.93,36.93,0.0,0.0,37.23,37.23,37.23,0.0,0.0,36.86,36.86,36.86,0.0,0.0,36.95,36.95,36.95,0.0,0.0
