Date,PowerShares S&P 500 Momentum Portfolio_etf_Open_average,PowerShares S&P 500 Momentum Portfolio_etf_Open_max,PowerShares S&P 500 Momentum Portfolio_etf_Open_min,PowerShares S&P 500 Momentum Portfolio_etf_Open_volatility,PowerShares S&P 500 Momentum Portfolio_etf_Open_change,PowerShares S&P 500 Momentum Portfolio_etf_High_average,PowerShares S&P 500 Momentum Portfolio_etf_High_max,PowerShares S&P 500 Momentum Portfolio_etf_High_min,PowerShares S&P 500 Momentum Portfolio_etf_High_volatility,PowerShares S&P 500 Momentum Portfolio_etf_High_change,PowerShares S&P 500 Momentum Portfolio_etf_Low_average,PowerShares S&P 500 Momentum Portfolio_etf_Low_max,PowerShares S&P 500 Momentum Portfolio_etf_Low_min,PowerShares S&P 500 Momentum Portfolio_etf_Low_volatility,PowerShares S&P 500 Momentum Portfolio_etf_Low_change,PowerShares S&P 500 Momentum Portfolio_etf_Close_average,PowerShares S&P 500 Momentum Portfolio_etf_Close_max,PowerShares S&P 500 Momentum Portfolio_etf_Close_min,PowerShares S&P 500 Momentum Portfolio_etf_Close_volatility,PowerShares S&P 500 Momentum Portfolio_etf_Close_change
2018-01-14,36.64,36.64,36.64,0.0,0.0,36.71,36.71,36.71,0.0,0.0,36.63,36.63,36.63,0.0,0.0,36.71,36.71,36.71,0.0,0.0
2018-01-21,37.12,37.12,37.12,0.0,0.0,37.46,37.46,37.46,0.0,0.0,37.12,37.12,37.12,0.0,0.0,37.46,37.46,37.46,0.0,0.0
2018-01-28,36.91,36.91,36.91,0.0,0.0,36.91,36.91,36.91,0.0,0.0,36.55,36.55,36.55,0.0,0.0,36.55,36.55,36.55,0.0,0.0
2018-02-04,34.32,34.32,34.32,0.0,0.0,34.32,34.32,34.32,0.0,0.0,33.39,33.39,33.39,0.0,0.0,34.27,34.27,34.27,0.0,0.0
2018-02-11,36.47,36.47,36.47,0.0,0.0,36.61,36.61,36.61,0.0,0.0,36.45,36.45,36.45,0.0,0.0,36.5,36.5,36.5,0.0,0.0
2018-02-18,36.64,36.64,36.64,0.0,0.0,36.65,36.65,36.65,0.0,0.0,36.54,36.54,36.54,0.0,0.0,36.59,36.59,36.59,0.0,0.0
2018-02-25,35.5,35.5,35.5,0.0,0.0,36.25,36.25,36.25,0.0,0.0,35.5,35.5,35.5,0.0,0.0,36.25,36.25,36.25,0.0,0.0
2018-03-04,37.27,37.27,37.27,0.0,0.0,37.81,37.81,37.81,0.0,0.0,37.27,37.27,37.27,0.0,0.0,37.77,37.77,37.77,0.0,0.0
2018-03-11,37.42,37.42,37.42,0.0,0.0,37.42,37.42,37.42,0.0,0.0,37.24,37.24,37.24,0.0,0.0,37.32,37.32,37.32,0.0,0.0
2018-03-18,35.45,35.45,35.45,0.0,0.0,35.67,35.67,35.67,0.0,0.0,35.09,35.09,35.09,0.0,0.0,35.09,35.09,35.09,0.0,0.0
2018-03-25,34.72,34.72,34.72,0.0,0.0,35.22,35.22,35.22,0.0,0.0,34.6,34.6,34.6,0.0,0.0,35.22,35.22,35.22,0.0,0.0
2018-04-01,35.27,35.27,35.27,0.0,0.0,35.27,35.27,35.27,0.0,0.0,34.5,34.5,34.5,0.0,0.0,34.5,34.5,34.5,0.0,0.0
2018-04-08,35.93,35.93,35.93,0.0,0.0,35.93,35.93,35.93,0.0,0.0,35.29,35.29,35.29,0.0,0.0,35.46,35.46,35.46,0.0,0.0
2018-04-15,36.45,36.45,36.45,0.0,0.0,36.45,36.45,36.45,0.0,0.0,36.19,36.19,36.19,0.0,0.0,36.19,36.19,36.19,0.0,0.0
2018-04-22,35.95,35.95,35.95,0.0,0.0,36.04,36.04,36.04,0.0,0.0,35.92,35.92,35.92,0.0,0.0,35.94,35.94,35.94,0.0,0.0
2018-04-29,35.62,35.62,35.62,0.0,0.0,36.18,36.18,36.18,0.0,0.0,35.56,35.56,35.56,0.0,0.0,36.12,36.12,36.12,0.0,0.0
2018-05-06,37.31,37.31,37.31,0.0,0.0,37.31,37.31,37.31,0.0,0.0,37.16,37.16,37.16,0.0,0.0,37.16,37.16,37.16,0.0,0.0
2018-05-13,36.88,36.88,36.88,0.0,0.0,36.98,36.98,36.98,0.0,0.0,36.87,36.87,36.87,0.0,0.0,36.96,36.96,36.96,0.0,0.0
2018-05-20,37.11,37.11,37.11,0.0,0.0,37.31,37.31,37.31,0.0,0.0,37.11,37.11,37.11,0.0,0.0,37.18,37.18,37.18,0.0,0.0
2018-05-27,37.45,37.45,37.45,0.0,0.0,37.62,37.62,37.62,0.0,0.0,37.35,37.35,37.35,0.0,0.0,37.55,37.55,37.55,0.0,0.0
2018-06-03,38.17,38.17,38.17,0.0,0.0,38.17,38.17,38.17,0.0,0.0,38.01,38.01,38.01,0.0,0.0,38.11,38.11,38.11,0.0,0.0
2018-06-10,38.32,38.32,38.32,0.0,0.0,38.35,38.35,38.35,0.0,0.0,38.18,38.18,38.18,0.0,0.0,38.31,38.31,38.31,0.0,0.0
2018-06-17,37.85,37.85,37.85,0.0,0.0,37.89,37.89,37.89,0.0,0.0,37.73,37.73,37.73,0.0,0.0,37.75,37.75,37.75,0.0,0.0
2018-06-24,37.11,37.11,37.11,0.0,0.0,37.42,37.42,37.42,0.0,0.0,37.05,37.05,37.05,0.0,0.0,37.05,37.05,37.05,0.0,0.0
2018-07-01,37.36,37.36,37.36,0.0,0.0,37.63,37.63,37.63,0.0,0.0,37.33,37.33,37.33,0.0,0.0,37.62,37.62,37.62,0.0,0.0
2018-07-08,38.65,38.65,38.65,0.0,0.0,38.72,38.72,38.72,0.0,0.0,38.65,38.65,38.65,0.0,0.0,38.71,38.71,38.71,0.0,0.0
2018-07-15,38.87,38.87,38.87,0.0,0.0,38.97,38.97,38.97,0.0,0.0,38.79,38.79,38.79,0.0,0.0,38.83,38.83,38.83,0.0,0.0
2018-07-22,39.31,39.31,39.31,0.0,0.0,39.42,39.42,39.42,0.0,0.0,38.73,38.73,38.73,0.0,0.0,38.84,38.84,38.84,0.0,0.0
2018-07-29,38.82,38.82,38.82,0.0,0.0,38.82,38.82,38.82,0.0,0.0,38.65,38.65,38.65,0.0,0.0,38.74,38.74,38.74,0.0,0.0
2018-08-05,38.97,38.97,38.97,0.0,0.0,39.07,39.07,39.07,0.0,0.0,38.87,38.87,38.87,0.0,0.0,38.95,38.95,38.95,0.0,0.0
2018-08-12,38.61,38.61,38.61,0.0,0.0,38.94,38.94,38.94,0.0,0.0,38.61,38.61,38.61,0.0,0.0,38.91,38.91,38.91,0.0,0.0
2018-08-19,39.32,39.32,39.32,0.0,0.0,39.45,39.45,39.45,0.0,0.0,39.29,39.29,39.29,0.0,0.0,39.42,39.42,39.42,0.0,0.0
2018-08-26,40.11,40.11,40.11,0.0,0.0,40.17,40.17,40.17,0.0,0.0,39.97,39.97,39.97,0.0,0.0,40.07,40.07,40.07,0.0,0.0
2018-09-02,39.22,39.22,39.22,0.0,0.0,39.65,39.65,39.65,0.0,0.0,39.22,39.22,39.22,0.0,0.0,39.45,39.45,39.45,0.0,0.0
2018-09-09,40.22,40.22,40.22,0.0,0.0,40.24,40.24,40.24,0.0,0.0,40.0,40.0,40.0,0.0,0.0,40.17,40.17,40.17,0.0,0.0
2018-09-16,40.52,40.52,40.52,0.0,0.0,40.52,40.52,40.52,0.0,0.0,40.3,40.3,40.3,0.0,0.0,40.3,40.3,40.3,0.0,0.0
2018-09-23,40.58,40.58,40.58,0.0,0.0,40.62,40.62,40.62,0.0,0.0,40.49,40.49,40.49,0.0,0.0,40.53,40.53,40.53,0.0,0.0
2018-09-30,39.95,39.95,39.95,0.0,0.0,39.95,39.95,39.95,0.0,0.0,39.42,39.42,39.42,0.0,0.0,39.71,39.71,39.71,0.0,0.0
2018-10-07,37.84,37.84,37.84,0.0,0.0,38.1,38.1,38.1,0.0,0.0,37.32,37.32,37.32,0.0,0.0,37.93,37.93,37.93,0.0,0.0
2018-10-14,37.98,37.98,37.98,0.0,0.0,37.99,37.99,37.99,0.0,0.0,37.34,37.34,37.34,0.0,0.0,37.47,37.47,37.47,0.0,0.0
2018-10-21,36.1,36.1,36.1,0.0,0.0,36.45,36.45,36.45,0.0,0.0,35.53,35.53,35.53,0.0,0.0,35.92,35.92,35.92,0.0,0.0
2018-10-28,37.29,37.29,37.29,0.0,0.0,37.37,37.37,37.37,0.0,0.0,36.56,36.56,36.56,0.0,0.0,36.82,36.82,36.82,0.0,0.0
2018-11-04,37.64,37.64,37.64,0.0,0.0,37.73,37.73,37.73,0.0,0.0,37.37,37.37,37.37,0.0,0.0,37.73,37.73,37.73,0.0,0.0
2018-11-11,36.5,36.5,36.5,0.0,0.0,36.62,36.62,36.62,0.0,0.0,36.35,36.35,36.35,0.0,0.0,36.59,36.59,36.59,0.0,0.0
2018-11-18,34.76,34.76,34.76,0.0,0.0,34.86,34.86,34.86,0.0,0.0,34.67,34.67,34.67,0.0,0.0,34.73,34.73,34.73,0.0,0.0
2018-11-25,36.96,36.96,36.96,0.0,0.0,37.14,37.14,37.14,0.0,0.0,36.83,36.83,36.83,0.0,0.0,37.14,37.14,37.14,0.0,0.0
2018-12-02,36.56,36.56,36.56,0.0,0.0,36.73,36.73,36.73,0.0,0.0,35.28,35.28,35.28,0.0,0.0,35.35,35.35,35.35,0.0,0.0
2018-12-09,35.39,35.39,35.39,0.0,0.0,35.53,35.53,35.53,0.0,0.0,34.88,34.88,34.88,0.0,0.0,34.98,34.98,34.98,0.0,0.0
2018-12-16,33.08,33.08,33.08,0.0,0.0,33.2,33.2,33.2,0.0,0.0,32.03,32.03,32.03,0.0,0.0,32.23,32.23,32.23,0.0,0.0
2018-12-23,33.89,33.89,33.89,0.0,0.0,33.89,33.89,33.89,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.43,33.43,33.43,0.0,0.0
2018-12-30,33.64,33.64,33.64,0.0,0.0,34.13,34.13,34.13,0.0,0.0,33.64,33.64,33.64,0.0,0.0,34.13,34.13,34.13,0.0,0.0
2019-01-06,35.26,35.26,35.26,0.0,0.0,35.4,35.4,35.4,0.0,0.0,35.24,35.24,35.24,0.0,0.0,35.4,35.4,35.4,0.0,0.0
2019-01-13,36.31,36.31,36.31,0.0,0.0,36.62,36.62,36.62,0.0,0.0,36.26,36.26,36.26,0.0,0.0,36.56,36.56,36.56,0.0,0.0
2019-01-20,36.28,36.28,36.28,0.0,0.0,36.55,36.55,36.55,0.0,0.0,36.28,36.28,36.28,0.0,0.0,36.41,36.41,36.41,0.0,0.0
2019-01-27,36.81,36.81,36.81,0.0,0.0,36.89,36.89,36.89,0.0,0.0,36.71,36.71,36.71,0.0,0.0,36.73,36.73,36.73,0.0,0.0
2019-02-03,36.6,36.6,36.6,0.0,0.0,36.89,36.89,36.89,0.0,0.0,36.6,36.6,36.6,0.0,0.0,36.86,36.86,36.86,0.0,0.0
2019-02-10,37.99,37.99,37.99,0.0,0.0,38.08,38.08,38.08,0.0,0.0,37.93,37.93,37.93,0.0,0.0,38.08,38.08,38.08,0.0,0.0
2019-02-17,38.14,38.14,38.14,0.0,0.0,38.41,38.41,38.41,0.0,0.0,38.14,38.14,38.14,0.0,0.0,38.36,38.36,38.36,0.0,0.0
2019-02-24,38.65,38.65,38.65,0.0,0.0,38.67,38.67,38.67,0.0,0.0,38.41,38.41,38.41,0.0,0.0,38.6,38.6,38.6,0.0,0.0
2019-03-03,37.18,37.18,37.18,0.0,0.0,37.56,37.56,37.56,0.0,0.0,37.18,37.18,37.18,0.0,0.0,37.56,37.56,37.56,0.0,0.0
2019-03-10,38.77,38.77,38.77,0.0,0.0,38.95,38.95,38.95,0.0,0.0,38.74,38.74,38.74,0.0,0.0,38.81,38.81,38.81,0.0,0.0
