Date,GaveKal Knowledge Leaders Developed World_Open_average,GaveKal Knowledge Leaders Developed World_Open_max,GaveKal Knowledge Leaders Developed World_Open_min,GaveKal Knowledge Leaders Developed World_Open_volatility,GaveKal Knowledge Leaders Developed World_Open_change,GaveKal Knowledge Leaders Developed World_High_average,GaveKal Knowledge Leaders Developed World_High_max,GaveKal Knowledge Leaders Developed World_High_min,GaveKal Knowledge Leaders Developed World_High_volatility,GaveKal Knowledge Leaders Developed World_High_change,GaveKal Knowledge Leaders Developed World_Low_average,GaveKal Knowledge Leaders Developed World_Low_max,GaveKal Knowledge Leaders Developed World_Low_min,GaveKal Knowledge Leaders Developed World_Low_volatility,GaveKal Knowledge Leaders Developed World_Low_change,GaveKal Knowledge Leaders Developed World_Close_average,GaveKal Knowledge Leaders Developed World_Close_max,GaveKal Knowledge Leaders Developed World_Close_min,GaveKal Knowledge Leaders Developed World_Close_volatility,GaveKal Knowledge Leaders Developed World_Close_change
2018-01-14,35.09,35.09,35.09,0.0,0.0,35.11,35.11,35.11,0.0,0.0,35.02,35.02,35.02,0.0,0.0,35.1,35.1,35.1,0.0,0.0
2018-01-21,35.58,35.58,35.58,0.0,0.0,35.73,35.73,35.73,0.0,0.0,35.58,35.58,35.58,0.0,0.0,35.72,35.72,35.72,0.0,0.0
2018-01-28,34.86,34.86,34.86,0.0,0.0,34.86,34.86,34.86,0.0,0.0,34.48,34.48,34.48,0.0,0.0,34.5,34.5,34.5,0.0,0.0
2018-02-04,32.79,32.79,32.79,0.0,0.0,32.82,32.82,32.82,0.0,0.0,32.02,32.02,32.02,0.0,0.0,32.79,32.79,32.79,0.0,0.0
2018-02-11,34.35,34.35,34.35,0.0,0.0,34.53,34.53,34.53,0.0,0.0,34.35,34.35,34.35,0.0,0.0,34.44,34.44,34.44,0.0,0.0
2018-02-18,34.27,34.27,34.27,0.0,0.0,34.49,34.49,34.49,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.49,34.49,34.49,0.0,0.0
2018-02-25,33.36,33.36,33.36,0.0,0.0,33.73,33.73,33.73,0.0,0.0,33.36,33.36,33.36,0.0,0.0,33.62,33.62,33.62,0.0,0.0
2018-03-04,34.4,34.4,34.4,0.0,0.0,34.67,34.67,34.67,0.0,0.0,34.4,34.4,34.4,0.0,0.0,34.65,34.65,34.65,0.0,0.0
2018-03-11,34.72,34.72,34.72,0.0,0.0,34.72,34.72,34.72,0.0,0.0,34.65,34.65,34.65,0.0,0.0,34.7,34.7,34.7,0.0,0.0
2018-03-18,33.6,33.6,33.6,0.0,0.0,33.72,33.72,33.72,0.0,0.0,33.17,33.17,33.17,0.0,0.0,33.19,33.19,33.19,0.0,0.0
2018-03-25,33.93,33.93,33.93,0.0,0.0,34.26,34.26,34.26,0.0,0.0,33.89,33.89,33.89,0.0,0.0,34.16,34.16,34.16,0.0,0.0
2018-04-01,34.14,34.14,34.14,0.0,0.0,34.14,34.14,34.14,0.0,0.0,33.73,33.73,33.73,0.0,0.0,33.77,33.77,33.77,0.0,0.0
2018-04-08,34.3,34.3,34.3,0.0,0.0,34.3,34.3,34.3,0.0,0.0,34.08,34.08,34.08,0.0,0.0,34.13,34.13,34.13,0.0,0.0
2018-04-15,34.52,34.52,34.52,0.0,0.0,34.53,34.53,34.53,0.0,0.0,34.39,34.39,34.39,0.0,0.0,34.4,34.4,34.4,0.0,0.0
2018-04-22,34.26,34.26,34.26,0.0,0.0,34.32,34.32,34.32,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.31,34.31,34.31,0.0,0.0
2018-04-29,33.78,33.78,33.78,0.0,0.0,34.23,34.23,34.23,0.0,0.0,33.78,33.78,33.78,0.0,0.0,34.23,34.23,34.23,0.0,0.0
2018-05-06,34.63,34.63,34.63,0.0,0.0,34.66,34.66,34.66,0.0,0.0,34.63,34.63,34.63,0.0,0.0,34.65,34.65,34.65,0.0,0.0
2018-05-13,34.69,34.69,34.69,0.0,0.0,34.73,34.73,34.73,0.0,0.0,34.64,34.64,34.64,0.0,0.0,34.69,34.69,34.69,0.0,0.0
2018-05-20,34.64,34.64,34.64,0.0,0.0,34.69,34.69,34.69,0.0,0.0,34.58,34.58,34.58,0.0,0.0,34.59,34.59,34.59,0.0,0.0
2018-05-27,34.6,34.6,34.6,0.0,0.0,34.67,34.67,34.67,0.0,0.0,34.54,34.54,34.54,0.0,0.0,34.67,34.67,34.67,0.0,0.0
2018-06-03,34.94,34.94,34.94,0.0,0.0,35.06,35.06,35.06,0.0,0.0,34.93,34.93,34.93,0.0,0.0,35.05,35.05,35.05,0.0,0.0
2018-06-10,34.93,34.93,34.93,0.0,0.0,34.94,34.94,34.94,0.0,0.0,34.8,34.8,34.8,0.0,0.0,34.94,34.94,34.94,0.0,0.0
2018-06-17,34.48,34.48,34.48,0.0,0.0,34.57,34.57,34.57,0.0,0.0,34.48,34.48,34.48,0.0,0.0,34.57,34.57,34.57,0.0,0.0
