Date,Global X Internet of Things Thematic USDEtf_Open_average,Global X Internet of Things Thematic USDEtf_Open_max,Global X Internet of Things Thematic USDEtf_Open_min,Global X Internet of Things Thematic USDEtf_Open_volatility,Global X Internet of Things Thematic USDEtf_Open_change,Global X Internet of Things Thematic USDEtf_High_average,Global X Internet of Things Thematic USDEtf_High_max,Global X Internet of Things Thematic USDEtf_High_min,Global X Internet of Things Thematic USDEtf_High_volatility,Global X Internet of Things Thematic USDEtf_High_change,Global X Internet of Things Thematic USDEtf_Low_average,Global X Internet of Things Thematic USDEtf_Low_max,Global X Internet of Things Thematic USDEtf_Low_min,Global X Internet of Things Thematic USDEtf_Low_volatility,Global X Internet of Things Thematic USDEtf_Low_change,Global X Internet of Things Thematic USDEtf_Close_average,Global X Internet of Things Thematic USDEtf_Close_max,Global X Internet of Things Thematic USDEtf_Close_min,Global X Internet of Things Thematic USDEtf_Close_volatility,Global X Internet of Things Thematic USDEtf_Close_change
2018-01-14,21.0,21.0,21.0,0.0,0.0,21.06,21.06,21.06,0.0,0.0,20.91,20.91,20.91,0.0,0.0,20.97,20.97,20.97,0.0,0.0
2018-01-21,20.68,20.68,20.68,0.0,0.0,20.9,20.9,20.9,0.0,0.0,20.68,20.68,20.68,0.0,0.0,20.9,20.9,20.9,0.0,0.0
2018-01-28,20.56,20.56,20.56,0.0,0.0,20.67,20.67,20.67,0.0,0.0,20.26,20.26,20.26,0.0,0.0,20.27,20.27,20.27,0.0,0.0
2018-02-04,19.36,19.36,19.36,0.0,0.0,19.6,19.6,19.6,0.0,0.0,18.91,18.91,18.91,0.0,0.0,19.39,19.39,19.39,0.0,0.0
2018-02-11,20.5,20.5,20.5,0.0,0.0,20.55,20.55,20.55,0.0,0.0,20.3,20.3,20.3,0.0,0.0,20.45,20.45,20.45,0.0,0.0
2018-02-18,20.4,20.4,20.4,0.0,0.0,20.49,20.49,20.49,0.0,0.0,20.35,20.35,20.35,0.0,0.0,20.48,20.48,20.48,0.0,0.0
2018-02-25,19.87,19.87,19.87,0.0,0.0,20.11,20.11,20.11,0.0,0.0,19.72,19.72,19.72,0.0,0.0,20.11,20.11,20.11,0.0,0.0
2018-03-04,20.97,20.97,20.97,0.0,0.0,21.15,21.15,21.15,0.0,0.0,20.93,20.93,20.93,0.0,0.0,21.15,21.15,21.15,0.0,0.0
2018-03-11,21.0,21.0,21.0,0.0,0.0,21.02,21.02,21.02,0.0,0.0,20.9,20.9,20.9,0.0,0.0,20.97,20.97,20.97,0.0,0.0
2018-03-18,20.27,20.27,20.27,0.0,0.0,20.29,20.29,20.29,0.0,0.0,19.81,19.81,19.81,0.0,0.0,19.81,19.81,19.81,0.0,0.0
2018-03-25,19.8,19.8,19.8,0.0,0.0,20.1,20.1,20.1,0.0,0.0,19.73,19.73,19.73,0.0,0.0,20.02,20.02,20.02,0.0,0.0
2018-04-01,19.72,19.72,19.72,0.0,0.0,19.81,19.81,19.81,0.0,0.0,19.35,19.35,19.35,0.0,0.0,19.44,19.44,19.44,0.0,0.0
2018-04-08,20.34,20.34,20.34,0.0,0.0,20.34,20.34,20.34,0.0,0.0,20.11,20.11,20.11,0.0,0.0,20.17,20.17,20.17,0.0,0.0
2018-04-15,19.93,19.93,19.93,0.0,0.0,19.95,19.95,19.95,0.0,0.0,19.75,19.75,19.75,0.0,0.0,19.8,19.8,19.8,0.0,0.0
2018-04-22,19.49,19.49,19.49,0.0,0.0,19.49,19.49,19.49,0.0,0.0,19.21,19.21,19.21,0.0,0.0,19.31,19.31,19.31,0.0,0.0
2018-04-29,19.44,19.44,19.44,0.0,0.0,19.73,19.73,19.73,0.0,0.0,19.36,19.36,19.36,0.0,0.0,19.7,19.7,19.7,0.0,0.0
2018-05-06,20.25,20.25,20.25,0.0,0.0,20.25,20.25,20.25,0.0,0.0,20.11,20.11,20.11,0.0,0.0,20.15,20.15,20.15,0.0,0.0
2018-05-13,20.15,20.15,20.15,0.0,0.0,20.15,20.15,20.15,0.0,0.0,20.01,20.01,20.01,0.0,0.0,20.11,20.11,20.11,0.0,0.0
2018-05-20,20.21,20.21,20.21,0.0,0.0,20.32,20.32,20.32,0.0,0.0,20.21,20.21,20.21,0.0,0.0,20.27,20.27,20.27,0.0,0.0
2018-05-27,20.14,20.14,20.14,0.0,0.0,20.29,20.29,20.29,0.0,0.0,20.08,20.08,20.08,0.0,0.0,20.28,20.28,20.28,0.0,0.0
2018-06-03,20.5,20.5,20.5,0.0,0.0,20.6,20.6,20.6,0.0,0.0,20.5,20.5,20.5,0.0,0.0,20.57,20.57,20.57,0.0,0.0
2018-06-10,20.75,20.75,20.75,0.0,0.0,20.9,20.9,20.9,0.0,0.0,20.66,20.66,20.66,0.0,0.0,20.9,20.9,20.9,0.0,0.0
2018-06-17,20.24,20.24,20.24,0.0,0.0,20.24,20.24,20.24,0.0,0.0,20.04,20.04,20.04,0.0,0.0,20.11,20.11,20.11,0.0,0.0
2018-06-24,19.4,19.4,19.4,0.0,0.0,19.55,19.55,19.55,0.0,0.0,19.4,19.4,19.4,0.0,0.0,19.44,19.44,19.44,0.0,0.0
2018-07-01,19.37,19.37,19.37,0.0,0.0,19.61,19.61,19.61,0.0,0.0,19.37,19.37,19.37,0.0,0.0,19.61,19.61,19.61,0.0,0.0
2018-07-08,19.93,19.93,19.93,0.0,0.0,20.0,20.0,20.0,0.0,0.0,19.87,19.87,19.87,0.0,0.0,19.96,19.96,19.96,0.0,0.0
2018-07-15,20.18,20.18,20.18,0.0,0.0,20.23,20.23,20.23,0.0,0.0,20.14,20.14,20.14,0.0,0.0,20.14,20.14,20.14,0.0,0.0
2018-07-22,20.03,20.03,20.03,0.0,0.0,20.05,20.05,20.05,0.0,0.0,19.77,19.77,19.77,0.0,0.0,19.87,19.87,19.87,0.0,0.0
2018-07-29,20.24,20.24,20.24,0.0,0.0,20.34,20.34,20.34,0.0,0.0,20.23,20.23,20.23,0.0,0.0,20.3,20.3,20.3,0.0,0.0
2018-08-05,20.26,20.26,20.26,0.0,0.0,20.26,20.26,20.26,0.0,0.0,20.13,20.13,20.13,0.0,0.0,20.21,20.21,20.21,0.0,0.0
2018-08-12,19.96,19.96,19.96,0.0,0.0,20.15,20.15,20.15,0.0,0.0,19.93,19.93,19.93,0.0,0.0,20.1,20.1,20.1,0.0,0.0
2018-08-19,20.52,20.52,20.52,0.0,0.0,20.63,20.63,20.63,0.0,0.0,20.5,20.5,20.5,0.0,0.0,20.59,20.59,20.59,0.0,0.0
2018-08-26,20.76,20.76,20.76,0.0,0.0,20.95,20.95,20.95,0.0,0.0,20.76,20.76,20.76,0.0,0.0,20.94,20.94,20.94,0.0,0.0
2018-09-02,20.45,20.45,20.45,0.0,0.0,20.58,20.58,20.58,0.0,0.0,20.34,20.34,20.34,0.0,0.0,20.36,20.36,20.36,0.0,0.0
2018-09-09,20.52,20.52,20.52,0.0,0.0,20.65,20.65,20.65,0.0,0.0,20.47,20.47,20.47,0.0,0.0,20.53,20.53,20.53,0.0,0.0
2018-09-16,20.7,20.7,20.7,0.0,0.0,20.89,20.89,20.89,0.0,0.0,20.7,20.7,20.7,0.0,0.0,20.79,20.79,20.79,0.0,0.0
2018-09-23,20.21,20.21,20.21,0.0,0.0,20.35,20.35,20.35,0.0,0.0,20.18,20.18,20.18,0.0,0.0,20.29,20.29,20.29,0.0,0.0
2018-09-30,19.5,19.5,19.5,0.0,0.0,19.5,19.5,19.5,0.0,0.0,19.07,19.07,19.07,0.0,0.0,19.21,19.21,19.21,0.0,0.0
2018-10-07,18.25,18.25,18.25,0.0,0.0,18.32,18.32,18.32,0.0,0.0,17.91,17.91,17.91,0.0,0.0,18.04,18.04,18.04,0.0,0.0
2018-10-14,18.15,18.15,18.15,0.0,0.0,18.29,18.29,18.29,0.0,0.0,17.93,17.93,17.93,0.0,0.0,17.99,17.99,17.99,0.0,0.0
2018-10-21,17.02,17.02,17.02,0.0,0.0,17.27,17.27,17.27,0.0,0.0,16.8,16.8,16.8,0.0,0.0,17.14,17.14,17.14,0.0,0.0
2018-10-28,18.42,18.42,18.42,0.0,0.0,18.49,18.49,18.49,0.0,0.0,18.2,18.2,18.2,0.0,0.0,18.33,18.33,18.33,0.0,0.0
2018-11-04,18.5,18.5,18.5,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.22,18.22,18.22,0.0,0.0,18.28,18.28,18.28,0.0,0.0
2018-11-11,17.57,17.57,17.57,0.0,0.0,17.95,17.95,17.95,0.0,0.0,17.57,17.57,17.57,0.0,0.0,17.86,17.86,17.86,0.0,0.0
2018-11-18,17.2,17.2,17.2,0.0,0.0,17.42,17.42,17.42,0.0,0.0,17.12,17.12,17.12,0.0,0.0,17.4,17.4,17.4,0.0,0.0
