Date,BLK_Open_average,BLK_Open_max,BLK_Open_min,BLK_Open_volatility,BLK_Open_change,BLK_High_average,BLK_High_max,BLK_High_min,BLK_High_volatility,BLK_High_change,BLK_Low_average,BLK_Low_max,BLK_Low_min,BLK_Low_volatility,BLK_Low_change,BLK_Close_average,BLK_Close_max,BLK_Close_min,BLK_Close_volatility,BLK_Close_change,BLK_Volume_average,BLK_Volume_max,BLK_Volume_min,BLK_Volume_volatility,BLK_Volume_change
2018-01-14,576.436,592.46,562.62,29.840000000000032,29.840000000000032,583.732,593.44,571.82,21.620000000000005,21.620000000000005,572.8779999999999,581.99,561.06,20.930000000000064,20.930000000000064,580.45,593.26,563.0,30.25999999999999,30.25999999999999,921905,1370552,591655,778897,-526979
2018-01-21,586.728,593.0,578.21,14.789999999999964,-7.470000000000027,589.076,594.52,585.53,8.990000000000009,-8.990000000000009,579.17,588.4,572.95,15.449999999999932,-14.199999999999932,582.814,589.68,574.42,15.259999999999991,-15.259999999999991,661130,892464,516601,375863,-32384
2018-01-28,560.304,570.05,539.99,30.059999999999945,-30.059999999999945,565.054,571.53,553.03,18.5,-18.5,548.978,562.18,518.5,43.67999999999995,-43.67999999999995,552.514,565.19,524.97,40.22000000000003,-37.319999999999936,822829,1129441,659597,469844,278306
2018-02-04,524.718,535.18,510.81,24.369999999999948,15.510000000000048,534.96,541.66,525.99,15.669999999999959,-6.3799999999999955,513.632,532.0,500.01,31.99000000000001,12.620000000000005,524.75,535.22,509.38,25.840000000000032,-9.840000000000032,868223,1076684,614748,461936,-461936
2018-02-11,531.13,546.41,517.9,28.50999999999999,18.49000000000001,540.765,548.48,526.52,21.960000000000036,21.960000000000036,526.0425,537.83,516.4,21.430000000000064,19.06000000000006,535.74,541.1,521.27,19.83000000000004,19.83000000000004,589311,657379,517482,139897,16943
2018-02-18,545.694,553.15,541.0,12.149999999999977,12.149999999999977,553.7579999999999,564.22,546.43,17.790000000000077,17.790000000000077,541.98,550.69,537.25,13.440000000000055,13.440000000000055,547.882,563.97,539.53,24.440000000000055,21.370000000000005,530149,639590,366653,272937,107441
2018-02-25,545.6320000000001,561.95,530.22,31.730000000000018,-29.300000000000068,553.374,566.4,539.8,26.600000000000023,-19.33000000000004,537.426,552.76,527.03,25.730000000000018,-21.340000000000032,544.124,552.77,535.58,17.18999999999994,-7.509999999999991,627670,779735,384595,395140,-231812
2018-03-04,553.824,578.34,540.42,37.92000000000007,35.180000000000064,561.866,578.8,548.51,30.289999999999964,29.799999999999955,550.566,569.01,538.33,30.67999999999995,28.870000000000005,559.6899999999999,577.18,547.43,29.75,23.129999999999995,534839,814709,387462,427247,23459
2018-03-11,565.362,577.26,558.79,18.470000000000027,-13.409999999999968,567.742,578.56,563.63,14.92999999999995,-14.579999999999927,556.3439999999999,562.18,548.09,14.089999999999918,-14.089999999999918,559.688,564.06,553.83,10.229999999999905,-10.229999999999905,460733,616887,313222,303665,77048
2018-03-18,548.874,558.6,529.9,28.700000000000045,-27.639999999999986,554.648,573.47,541.57,31.899999999999977,-16.269999999999982,538.31,557.05,518.55,38.5,-26.42999999999995,544.59,564.16,521.13,43.02999999999997,-16.799999999999955,577572,699186,381157,318029,290802
