Date,Guggenheim Invest S&P 500 Equal Weight Health CareEtf_Open_average,Guggenheim Invest S&P 500 Equal Weight Health CareEtf_Open_max,Guggenheim Invest S&P 500 Equal Weight Health CareEtf_Open_min,Guggenheim Invest S&P 500 Equal Weight Health CareEtf_Open_volatility,Guggenheim Invest S&P 500 Equal Weight Health CareEtf_Open_change,Guggenheim Invest S&P 500 Equal Weight Health CareEtf_High_average,Guggenheim Invest S&P 500 Equal Weight Health CareEtf_High_max,Guggenheim Invest S&P 500 Equal Weight Health CareEtf_High_min,Guggenheim Invest S&P 500 Equal Weight Health CareEtf_High_volatility,Guggenheim Invest S&P 500 Equal Weight Health CareEtf_High_change,Guggenheim Invest S&P 500 Equal Weight Health CareEtf_Low_average,Guggenheim Invest S&P 500 Equal Weight Health CareEtf_Low_max,Guggenheim Invest S&P 500 Equal Weight Health CareEtf_Low_min,Guggenheim Invest S&P 500 Equal Weight Health CareEtf_Low_volatility,Guggenheim Invest S&P 500 Equal Weight Health CareEtf_Low_change,Guggenheim Invest S&P 500 Equal Weight Health CareEtf_Close_average,Guggenheim Invest S&P 500 Equal Weight Health CareEtf_Close_max,Guggenheim Invest S&P 500 Equal Weight Health CareEtf_Close_min,Guggenheim Invest S&P 500 Equal Weight Health CareEtf_Close_volatility,Guggenheim Invest S&P 500 Equal Weight Health CareEtf_Close_change
2018-01-14,191.06,191.06,191.06,0.0,0.0,191.9,191.9,191.9,0.0,0.0,191.06,191.06,191.06,0.0,0.0,191.88,191.88,191.88,0.0,0.0
2018-01-21,196.65,196.65,196.65,0.0,0.0,198.8,198.8,198.8,0.0,0.0,196.58,196.58,196.58,0.0,0.0,198.64,198.64,198.64,0.0,0.0
2018-01-28,191.22,191.22,191.22,0.0,0.0,191.91,191.91,191.91,0.0,0.0,189.06,189.06,189.06,0.0,0.0,189.06,189.06,189.06,0.0,0.0
2018-02-04,177.76,177.76,177.76,0.0,0.0,179.87,179.87,179.87,0.0,0.0,173.88,173.88,173.88,0.0,0.0,178.69,178.69,178.69,0.0,0.0
2018-02-11,185.12,185.12,185.12,0.0,0.0,187.28,187.28,187.28,0.0,0.0,185.12,185.12,185.12,0.0,0.0,186.09,186.09,186.09,0.0,0.0
2018-02-18,184.36,184.36,184.36,0.0,0.0,185.88,185.88,185.88,0.0,0.0,183.62,183.62,183.62,0.0,0.0,185.79,185.79,185.79,0.0,0.0
2018-02-25,179.06,179.06,179.06,0.0,0.0,182.73,182.73,182.73,0.0,0.0,179.06,179.06,179.06,0.0,0.0,182.56,182.56,182.56,0.0,0.0
2018-03-04,187.75,187.75,187.75,0.0,0.0,190.03,190.03,190.03,0.0,0.0,187.74,187.74,187.74,0.0,0.0,189.97,189.97,189.97,0.0,0.0
2018-03-11,187.09,187.09,187.09,0.0,0.0,187.8,187.8,187.8,0.0,0.0,187.09,187.09,187.09,0.0,0.0,187.52,187.52,187.52,0.0,0.0
2018-03-18,178.96,178.96,178.96,0.0,0.0,179.34,179.34,179.34,0.0,0.0,175.18,175.18,175.18,0.0,0.0,175.45,175.45,175.45,0.0,0.0
