Date,iShares US Medical Devices_Open_average,iShares US Medical Devices_Open_max,iShares US Medical Devices_Open_min,iShares US Medical Devices_Open_volatility,iShares US Medical Devices_Open_change,iShares US Medical Devices_High_average,iShares US Medical Devices_High_max,iShares US Medical Devices_High_min,iShares US Medical Devices_High_volatility,iShares US Medical Devices_High_change,iShares US Medical Devices_Low_average,iShares US Medical Devices_Low_max,iShares US Medical Devices_Low_min,iShares US Medical Devices_Low_volatility,iShares US Medical Devices_Low_change,iShares US Medical Devices_Close_average,iShares US Medical Devices_Close_max,iShares US Medical Devices_Close_min,iShares US Medical Devices_Close_volatility,iShares US Medical Devices_Close_change
2018-01-14,186.62,186.62,186.62,0.0,0.0,187.34,187.34,187.34,0.0,0.0,185.66,185.66,185.66,0.0,0.0,187.34,187.34,187.34,0.0,0.0
2018-01-21,193.32,193.32,193.32,0.0,0.0,194.27,194.27,194.27,0.0,0.0,192.96,192.96,192.96,0.0,0.0,193.2,193.2,193.2,0.0,0.0
2018-01-28,187.41,187.41,187.41,0.0,0.0,188.04,188.04,188.04,0.0,0.0,180.32,180.32,180.32,0.0,0.0,180.89,180.89,180.89,0.0,0.0
2018-02-04,176.79,176.79,176.79,0.0,0.0,178.6,178.6,178.6,0.0,0.0,175.1,175.1,175.1,0.0,0.0,177.39,177.39,177.39,0.0,0.0
2018-02-11,183.22,183.22,183.22,0.0,0.0,185.44,185.44,185.44,0.0,0.0,183.0,183.0,183.0,0.0,0.0,184.19,184.19,184.19,0.0,0.0
2018-02-18,185.27,185.27,185.27,0.0,0.0,187.21,187.21,187.21,0.0,0.0,184.58,184.58,184.58,0.0,0.0,186.95,186.95,186.95,0.0,0.0
2018-02-25,180.92,180.92,180.92,0.0,0.0,184.52,184.52,184.52,0.0,0.0,180.61,180.61,180.61,0.0,0.0,183.84,183.84,183.84,0.0,0.0
2018-03-04,192.5,192.5,192.5,0.0,0.0,193.0,193.0,193.0,0.0,0.0,191.92,191.92,191.92,0.0,0.0,192.24,192.24,192.24,0.0,0.0
2018-03-11,190.38,190.38,190.38,0.0,0.0,190.38,190.38,190.38,0.0,0.0,186.43,186.43,186.43,0.0,0.0,188.0,188.0,188.0,0.0,0.0
2018-03-18,182.88,182.88,182.88,0.0,0.0,185.68,185.68,185.68,0.0,0.0,181.7,181.7,181.7,0.0,0.0,185.47,185.47,185.47,0.0,0.0
2018-03-25,184.59,184.59,184.59,0.0,0.0,184.98,184.98,184.98,0.0,0.0,178.76,178.76,178.76,0.0,0.0,180.59,180.59,180.59,0.0,0.0
2018-04-01,182.01,182.01,182.01,0.0,0.0,185.24,185.24,185.24,0.0,0.0,181.69,181.69,181.69,0.0,0.0,182.75,182.75,182.75,0.0,0.0
2018-04-08,187.42,187.42,187.42,0.0,0.0,189.29,189.29,189.29,0.0,0.0,186.9,186.9,186.9,0.0,0.0,188.52,188.52,188.52,0.0,0.0
2018-04-15,191.01,191.01,191.01,0.0,0.0,191.76,191.76,191.76,0.0,0.0,189.73,189.73,189.73,0.0,0.0,190.4,190.4,190.4,0.0,0.0
2018-04-22,191.25,191.25,191.25,0.0,0.0,191.33,191.33,191.33,0.0,0.0,188.37,188.37,188.37,0.0,0.0,188.37,188.37,188.37,0.0,0.0
2018-04-29,193.14,193.14,193.14,0.0,0.0,194.86,194.86,194.86,0.0,0.0,192.39,192.39,192.39,0.0,0.0,193.75,193.75,193.75,0.0,0.0
2018-05-06,197.54,197.54,197.54,0.0,0.0,198.58,198.58,198.58,0.0,0.0,196.93,196.93,196.93,0.0,0.0,197.62,197.62,197.62,0.0,0.0
2018-05-13,198.73,198.73,198.73,0.0,0.0,199.26,199.26,199.26,0.0,0.0,198.07,198.07,198.07,0.0,0.0,198.84,198.84,198.84,0.0,0.0
2018-05-20,199.13,199.13,199.13,0.0,0.0,199.56,199.56,199.56,0.0,0.0,197.95,197.95,197.95,0.0,0.0,198.38,198.38,198.38,0.0,0.0
2018-05-27,201.88,201.88,201.88,0.0,0.0,202.7,202.7,202.7,0.0,0.0,200.78,200.78,200.78,0.0,0.0,202.55,202.55,202.55,0.0,0.0
2018-06-03,204.81,204.81,204.81,0.0,0.0,206.75,206.75,206.75,0.0,0.0,204.19,204.19,204.19,0.0,0.0,205.35,205.35,205.35,0.0,0.0
2018-06-10,205.31,205.31,205.31,0.0,0.0,205.92,205.92,205.92,0.0,0.0,204.05,204.05,204.05,0.0,0.0,205.73,205.73,205.73,0.0,0.0
2018-06-17,203.87,203.87,203.87,0.0,0.0,204.11,204.11,204.11,0.0,0.0,199.73,199.73,199.73,0.0,0.0,201.07,201.07,201.07,0.0,0.0
2018-06-24,199.54,199.54,199.54,0.0,0.0,201.27,201.27,201.27,0.0,0.0,198.34,198.34,198.34,0.0,0.0,201.27,201.27,201.27,0.0,0.0
2018-07-01,205.59,205.59,205.59,0.0,0.0,206.17,206.17,206.17,0.0,0.0,204.94,204.94,204.94,0.0,0.0,206.03,206.03,206.03,0.0,0.0
2018-07-08,206.49,206.49,206.49,0.0,0.0,206.49,206.49,206.49,0.0,0.0,204.61,204.61,204.61,0.0,0.0,204.9,204.9,204.9,0.0,0.0
2018-07-15,207.95,207.95,207.95,0.0,0.0,209.44,209.44,209.44,0.0,0.0,207.46,207.46,207.46,0.0,0.0,209.3,209.3,209.3,0.0,0.0
2018-07-22,207.61,207.61,207.61,0.0,0.0,207.9,207.9,207.9,0.0,0.0,204.82,204.82,204.82,0.0,0.0,205.73,205.73,205.73,0.0,0.0
